变量名,name,showInHandBook,weight,cardEffect,resScale,filterTarget,price,hp,attack,rarity,res,defence,pvpShowInHandBook,resPos,findBuff,keyWords
400411,宝石手镯,,,【特技】：自身攻击减半，对随机敌方单位造成减半值的技能伤害，获得2金币,,"""true""",6,,,5,config/item/xddj/icon_bssz.png,,TRUE,,<40041100>,<【特技】>
400412,防尘护目镜,,,免疫负面【状态】,,"""true""",6,,,5,config/item/xddj/icon_fchmj.png,,TRUE,,<40041200>,<【状态】>
400414,探宝器,,,【失败】：获得1张随机装备卡,,"""true""",6,,,5,config/item/xddj/icon_tbq.png,,TRUE,,<40041400>,<【失败】>
400415,现形镜,,,【濒死】：解除伤害来源的所有正面【状态】,,"""true""",6,,,5,config/item/xddj/icon_xxj.png,,TRUE,,<40041500>,<【濒死】>
400416,神秘项链,,,行动后，触发自身的【登场】效果,,"""true""",6,,,5,config/item/xddj/icon_smxl.png,,TRUE,,<40041600>,<【登场】>
400417,武士头盔,,,【守卫】\n受到攻击后，+8攻击，+8护甲,,"""true""",6,,,5,config/item/xddj/icon_wstk.png,,TRUE,,<40041700>,
400418,痛苦面具,,,【特技】：对全体敌方造成1点【破甲】\n【光环】：场上单位的【破甲】不会自动清除,,"""true""",6,,,5,config/item/xddj/icon_tkmj.png,,TRUE,,<40041800>,<【特技】;【破甲】;【光环】>
400419,葛拉西蒂亚花,,,装备者攻击力始终等于生命,,"""true""",6,,,5,config/item/xddj/icon_glxdyh.png,,TRUE,,<40041900>,
400420,神隐王冠,,,【先机】/【濒死】：己方全体获得【隐匿】,,"""true""",6,,,5,config/item/xddj/icon_smwg.png,,TRUE,,<40042000>,<【先机】;【濒死】;【隐匿】>
400421,火焰宝珠,,,【特技】：对随机敌方造成等于自身攻击的技能伤害,,"""true""",6,,,5,config/item/xddj/icon_hybz.png,,TRUE,,<40042100>,<【特技】>
400422,迅猛铃铛,,,【鼓舞】：自身获得1次行动,,"""true""",6,,,5,config/item/xddj/icon_gjld.png,,TRUE,,<40042200>,<【鼓舞】>
400423,坚固铃铛,,,【鼓舞】：自身+8护甲\n【坚甲】,,"""true""",6,,,5,config/item/xddj/icon_fyld.png,,TRUE,,<40042300>,<【鼓舞】;【坚甲】>
400424,羁绊铃铛,,,【鼓舞】：自身和攻击者+5生命,,"""true""",6,,,5,config/item/xddj/icon_kzld.png,,TRUE,,<40042400>,<【鼓舞】>
400425,鬼手拳套,,,【隐匿】状态下获得【突袭】\n【击破】：获得【隐匿】,,"""true""",6,,,5,config/item/xddj/icon_mxd.png,,TRUE,,<40042500>,<【隐匿】;【突袭】;【击破】>
400426,咸鱼龙刺,,,战斗阶段，其他精灵入场时，使其+N攻击，+N生命（N为装备者的对应属性）,,"""true""",6,,,5,config/item/xddj/icon_xylc.png,,TRUE,,<40042600>,
400427,机巧魂心,,,受到攻击后若满血，+20护甲，然后令1个己方精灵获得1次行动,,"""true""",6,,,5,config/item/xddj/icon_mjyn.png,,TRUE,,<40042700>,
400428,月亮之笛,,,自身【濒死】效果额外触发1次,,"""true""",6,,,5,config/item/xddj/icon_lnyl.png,,TRUE,,<40042800>,<【濒死】>
400429,混沌魔方球,,,【特技】：对自身和随机敌方单位造成100点技能伤害,,"""true""",6,,,5,config/item/xddj/icon_zzmq.png,,TRUE,,<40042900>,<【特技】>
400430,究极棱镜,,,失去生命时，对随机敌方造成1点技能伤害，每次触发后伤害会翻倍,,"""true""",6,,,5,config/item/xddj/icon_jjlj.png,,TRUE,,<40043000>,
400431,基因气团,,,【特技】：【召唤】1个自身的【幻影】,,"""true""",6,,,5,config/item/xddj/icon_symh.png,,TRUE,,<40043100>,<【特技】;【召唤】;【幻影】>
