变量名,name,type,desc,isHidden,clientTaskType,targetType,point,targetArg,languages,targetArg2,clientTaskArg
10400,Gracidea Helper,,"In the Woods-Dwellers encounter, help retrieve a Gracidea Flower and clear the run.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;25;3>}
10410,Right Turn Home,,"In the Lost encounter, pick the correct direction and clear the run.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;32;1>}
10420,Let It Slide,,"In the Stolen Goods encounter, choose Let it go and clear the run.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{storyChooseR=<1;99999;33;2>}
20010,Chapter of Cinnabar,2,Clear 5 full runs while using Trainer Blaine.,,,,10,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001}
20020,Blaine • First Steps,2,Reach mastery level 5 with Blaine.,,,1,10,1,<cn;tw;en;en_us;en_eu;kr>,<5;200001>,
20030,Blaine Legacy I,2,"When the season settles, rank in the Blaine leaderboard top 50.",TRUE,,3,10,1,<cn;tw;en;en_us;en_eu;kr>,<50;200001>,
20040,Embers Trial,2,Clear a run while using Blaine’s Embers skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000101;trainerID=200001}
20050,Spark Trial,2,Clear a run while using Blaine’s Spark skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000102;trainerID=200001}
20060,Blazing Bear,2,Clear a run while using Blaine’s Blaze Bear skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000103;trainerID=200001}
20070,Blaine • True Grip,2,Reach mastery level 10 with Blaine.,,,1,20,1,<cn;tw;en;en_us;en_eu;kr>,<10;200001>,
20080,Blaine • Cinnabar Overlord,2,Reach mastery level 15 with Blaine.,,,1,20,1,<cn;tw;en;en_us;en_eu;kr>,<15;200001>,
20090,Kindled Burn,2,Clear a run while using Blaine’s Kindled Burn skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000104;trainerID=200001}
20100,Prairie Fire,2,Clear a run while using Blaine’s Prairie Fire skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000105;trainerID=200001}
20110,Press Ahead,2,Clear a run while using Blaine’s Press Ahead skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000106;trainerID=200001}
20120,Unyielding Blaze,2,Clear a run while using Blaine’s Unyielding skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000107;trainerID=200001}
20130,Cinnabar Tempest,2,Clear a run while using Blaine’s Cinnabar skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000108;trainerID=200001}
20140,Riddle Duel,2,Clear a run while using Blaine’s Riddle skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000109;trainerID=200001}
20150,Hellfire Finale,2,Clear a run while using Blaine’s Hellfire skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000110;trainerID=200001}
20160,Ho-Oh Ally,2,Clear 5 runs with Blaine deploying Ho-Oh.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<2001>>}
20170,Victini Ally,2,Clear 5 runs with Blaine deploying Victini.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<2013>>}
20180,Marshadow Ally,2,Clear 5 runs with Blaine deploying Marshadow.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<7001>>}
20190,Zamazenta Ally,2,Clear 5 runs with Blaine deploying Zamazenta.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<7011>>}
20200,Endless Flames,2,Clear a run using Blaine with Ho-Oh and Charmander on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<2001>>;unitIDR_1=<1;99999;<2008>>}
20210,Victory Blaze,2,Clear a run using Blaine with Victini and Torchic on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<2013>>;unitIDR_1=<1;99999;<2006>>}
20220,Sky-High Spark,2,Clear a run using Blaine with Moltres and Magby on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<2004>>;unitIDR_1=<1;99999;<2003>>}
20230,Shadow Chronicles,2,Clear a run using Blaine with Marshadow and Mankey on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<7001>>;unitIDR_1=<1;99999;<7009>>}
20240,Shield and Fang,2,Clear a run using Blaine with Torchic and Zamazenta on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<2006>>;unitIDR_1=<1;99999;<7011>>}
20250,Strike Unbroken,2,Clear a run using Blaine with Riolu and Sirfetch’d on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<7002>>;unitIDR_1=<1;99999;<7010>>}
20260,Blaine Legacy II,2,"When the season settles, rank in the Blaine leaderboard top 10.",TRUE,,3,20,1,<cn;tw;en;en_us;en_eu;kr>,<10;200001>,
20270,Blaine • Cinnabar Overlord+,2,Reach mastery level 20 with Blaine.,,,1,30,1,<cn;tw;en;en_us;en_eu;kr>,<20;200001>,
20280,Undying Pyre,2,"Clear a run using Blaine with Cyndaquil, Chimchar, and Entei.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<2009>>;unitIDR_1=<1;99999;<2015>>;unitIDR_2=<1;99999;<2005>>}
20290,Blaine Legacy III,2,"When the season settles, place #1 on the Blaine leaderboard.",TRUE,,3,30,1,<cn;tw;en;en_us;en_eu;kr>,<1;200001>,
20300,Tri-Kicking Line,2,"Clear a run using Blaine with Hitmonlee, Hitmonchan, and Hitmontop.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200001;unitIDR=<1;99999;<7004>>;unitIDR_1=<1;99999;<7006>>;unitIDR_2=<1;99999;<7005>>}
30010,Olivine Chapter,3,Clear 5 full runs while using Trainer Jasmine.,,,,10,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002}
30020,Jasmine • First Steps,3,Reach mastery level 5 with Jasmine.,,,1,10,1,<cn;tw;en;en_us;en_eu;kr>,<5;200002>,
30030,Component Kit,3,Clear a run while using Jasmine’s Component skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000201;trainerID=200002}
30040,Iron Shelter,3,Clear a run while using Jasmine’s Iron Shelter skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000202;trainerID=200002}
30050,Bounty Sprout,3,Clear a run while using Jasmine’s Bounty skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000203;trainerID=200002}
30060,Jasmine Legacy I,3,"When the season settles, rank in the Jasmine leaderboard top 50.",TRUE,,3,10,1,<cn;tw;en;en_us;en_eu;kr>,<50;200002>,
30070,Jasmine Legacy II,3,"When the season settles, rank in the Jasmine leaderboard top 10.",TRUE,,3,20,1,<cn;tw;en;en_us;en_eu;kr>,<10;200002>,
30080,Jasmine Legacy III,3,"When the season settles, place #1 on the Jasmine leaderboard.",TRUE,,3,30,1,<cn;tw;en;en_us;en_eu;kr>,<1;200002>,
30090,Jasmine • True Grip,3,Reach mastery level 10 with Jasmine.,,,1,20,1,<cn;tw;en;en_us;en_eu;kr>,<10;200002>,
30100,Jasmine • Olivine Overlord,3,Reach mastery level 15 with Jasmine.,,,1,20,1,<cn;tw;en;en_us;en_eu;kr>,<15;200002>,
30110,Eternal Lattice,3,Clear a run while using Jasmine’s Eternal skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000204;trainerID=200002}
30120,Assembly Line,3,Clear a run while using Jasmine’s Assembly skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000205;trainerID=200002}
30130,Smelt Breaker,3,Clear a run while using Jasmine’s Smelt skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000206;trainerID=200002}
30140,Luck Engine,3,Clear a run while using Jasmine’s Lucky skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000207;trainerID=200002}
30150,Absolute Guard,3,Clear a run while using Jasmine’s Absolute Defense skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000208;trainerID=200002}
30160,Razor’s Edge,3,Clear a run while using Jasmine’s Sharp skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000209;trainerID=200002}
30170,Focus Surge,3,Clear a run while using Jasmine’s Focus skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000210;trainerID=200002}
30180,Shaymin Land Ally,3,Clear 5 runs with Jasmine deploying Shaymin Land Forme.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<4001>>}
30190,Shaymin Sky Ally,3,Clear 5 runs with Jasmine deploying Shaymin Sky Forme.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<4002>>}
30200,Celebi Ally,3,Clear 5 runs with Jasmine deploying Celebi.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<4013>>}
30210,Meltan Ally,3,Clear 5 runs with Jasmine deploying Meltan.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<17001>>}
30220,Magearna Ally,3,Clear 5 runs with Jasmine deploying Magearna.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<17002>>}
30230,Solgaleo Ally,3,Clear 5 runs with Jasmine deploying Solgaleo.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<17011>>}
30240,Garden Surge,3,Clear a run using Jasmine with Shaymin Land Forme and Bounsweet on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<4001>>;unitIDR_1=<1;99999;<4006>>}
30250,Wild Spiral,3,Clear a run using Jasmine with Shaymin Sky Forme and Bellsprout on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<4002>>;unitIDR_1=<1;99999;<4012>>}
30260,Evergrowth Bond,3,Clear a run using Jasmine with Snivy and Celebi on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<4004>>;unitIDR_1=<1;99999;<4013>>}
30270,Solar Flare Fang,3,Clear a run using Jasmine with Solgaleo and Aron on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<17004>>;unitIDR_1=<1;99999;<17011>>}
30280,Edge Without Blade,3,Clear a run using Jasmine with Meltan and Excadrill on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<17001>>;unitIDR_1=<1;99999;<17009>>}
30290,Steel Riposte Duo,3,Clear a run using Jasmine with Steelix and Registeel on the field.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<17003>>;unitIDR_1=<1;99999;<17010>>}
30300,Jasmine • Olivine Overlord+,3,Reach mastery level 20 with Jasmine.,,,1,30,1,<cn;tw;en;en_us;en_eu;kr>,<20;200002>,
30310,Thorned Bloom Trio,3,"Clear a run using Jasmine with Chespin, Chikorita, and Turtwig.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<4011>>;unitIDR_1=<1;99999;<4009>>;unitIDR_2=<1;99999;<4010>>}
30320,Gearheart Trinity,3,"Clear a run using Jasmine with Klink, Aegislash Shield Forme, and Cobalion.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200002;unitIDR=<1;99999;<17008>>;unitIDR_1=<1;99999;<17007>>;unitIDR_2=<1;99999;<17006>>}
40010,Ecruteak Chapter,4,Clear 5 full runs while using Trainer Morty.,,,,10,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003}
40020,Morty • First Steps,4,Reach mastery level 5 with Morty.,,,1,10,1,<cn;tw;en;en_us;en_eu;kr>,<5;200003>,
40030,Shadow Slice,4,Clear a run while using Morty’s Shadow Strike skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000301;trainerID=200003}
40040,Veiled Step,4,Clear a run while using Morty’s Veiled Shape skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000302;trainerID=200003}
40050,Spirit Chorus,4,Clear a run while using Morty’s Spirit Call skill.,,,,10,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000303;trainerID=200003}
40060,Morty Legacy I,4,"When the season settles, rank in the Morty leaderboard top 50.",TRUE,,3,10,1,<cn;tw;en;en_us;en_eu;kr>,<50;200003>,
40070,Morty Legacy II,4,"When the season settles, rank in the Morty leaderboard top 10.",TRUE,,3,20,1,<cn;tw;en;en_us;en_eu;kr>,<10;200003>,
40080,Morty Legacy III,4,"When the season settles, place #1 on the Morty leaderboard.",TRUE,,3,30,1,<cn;tw;en;en_us;en_eu;kr>,<1;200003>,
40090,Morty • True Grip,4,Reach mastery level 10 with Morty.,,,1,20,1,<cn;tw;en;en_us;en_eu;kr>,<10;200003>,
40100,Morty • Ecruteak Overlord,4,Reach mastery level 15 with Morty.,,,1,20,1,<cn;tw;en;en_us;en_eu;kr>,<15;200003>,
40110,Slumber Shade,4,Clear a run while using Morty’s Drowsiness skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000304;trainerID=200003}
40120,Disaster Spiral,4,Clear a run while using Morty’s Calamity skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000305;trainerID=200003}
40130,Phantom Fade,4,Clear a run while using Morty’s Vanishing Shadow skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000306;trainerID=200003}
40140,Soul Drain,4,Clear a run while using Morty’s Exhaust skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000307;trainerID=200003}
40150,Illusion Cloak,4,Clear a run while using Morty’s Phantom skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000308;trainerID=200003}
40160,Wraith Bloom,4,Clear a run while using Morty’s Corruption skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000309;trainerID=200003}
40170,Pactbound Mark,4,Clear a run while using Morty’s Contract skill.,,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{skillID=10000310;trainerID=200003}
40180,Hoopa Confined Ally,4,Clear 5 runs with Morty deploying Hoopa Confined.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<14001>>}
40190,Lunala Ally,4,Clear 5 runs with Morty deploying Lunala.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<14003>>}
40200,Giratina Ally,4,Clear 5 runs with Morty deploying Giratina.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<14012>>}
40210,Yveltal Ally,4,Clear 5 runs with Morty deploying Yveltal.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<16001>>}
40220,Darkrai Ally,4,Clear 5 runs with Morty deploying Darkrai.,,,,20,5,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<16003>>}
40230,Mischief Engine,4,Clear a run using Morty with Hoopa Confined and Misdreavus.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<14001>>;unitIDR_1=<1;99999;<14004>>}
40240,Lunar Eclipse Haunt,4,Clear a run using Morty with Lunala and Mimikyu.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<14003>>;unitIDR_1=<1;99999;<14008>>}
40250,Spectral Procession,4,Clear a run using Morty with Giratina and Phantump.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<14012>>;unitIDR_1=<1;99999;<14011>>}
40260,Ruinous Whisper,4,Clear a run using Morty with Yveltal and Krokorok.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<16001>>;unitIDR_1=<1;99999;<16011>>}
40270,Rough Justice Duo,4,Clear a run using Morty with Greninja and Krookodile.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<16006>>;unitIDR_1=<1;99999;<16009>>}
40280,Insomnia Duel,4,Clear a run using Morty with Darkrai and Sneasel.,TRUE,,,20,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<16003>>;unitIDR_1=<1;99999;<16010>>}
40290,Morty • Ecruteak Overlord+,4,Reach mastery level 20 with Morty.,,,1,30,1,<cn;tw;en;en_us;en_eu;kr>,<20;200003>,
40300,Dream Sovereign Trio,4,"Clear a run using Morty with Misdreavus, Litwick, and Darkrai.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<14004>>;unitIDR_1=<1;99999;<14006>>;unitIDR_2=<1;99999;<16003>>}
40310,Rogue Spiral Trio,4,"Clear a run using Morty with Krookodile, Krokorok, and Sneasel.",TRUE,,,30,1,<cn;tw;en;en_us;en_eu;kr>,,{trainerID=200003;unitIDR=<1;99999;<16009>>;unitIDR_1=<1;99999;<16010>>;unitIDR_2=<1;99999;<16011>>}
50010,Laverre Chapter,5,Clear 5 full runs while using Trainer Valerie.,,,,10,5,<cn>,,{trainerID=200004}
50020,Valerie • First Steps,5,Reach mastery level 5 with Valerie.,,,1,10,1,<cn>,<5;200004>,
50030,Veil Whisper,5,Clear a run while using Valerie’s Ethereal skill.,,,,10,1,<cn>,,{skillID=10000401;trainerID=200004}
50040,Linked Fate,5,Clear a run while using Valerie’s Union skill.,,,,10,1,<cn>,,{skillID=10000402;trainerID=200004}
50050,Last Gambit,5,Clear a run while using Valerie’s Last Stand skill.,,,,10,1,<cn>,,{skillID=10000403;trainerID=200004}
50060,Valerie Legacy I,5,"When the season settles, rank in the Valerie leaderboard top 50.",TRUE,,3,10,1,<cn>,<50;200004>,
50070,Valerie Legacy II,5,"When the season settles, rank in the Valerie leaderboard top 10.",TRUE,,3,20,1,<cn>,<10;200004>,
50080,Valerie Legacy III,5,"When the season settles, place #1 on the Valerie leaderboard.",TRUE,,3,30,1,<cn>,<1;200004>,
50090,Valerie • True Grip,5,Reach mastery level 10 with Valerie.,,,1,20,1,<cn>,<10;200004>,
50100,Valerie • Laverre Overlord,5,Reach mastery level 15 with Valerie.,,,1,20,1,<cn>,<15;200004>,
50110,Mirror Mirage,5,Clear a run while using Valerie’s Mirror Flower skill.,,,,20,1,<cn>,,{skillID=10000404;trainerID=200004}
50120,Enchanting Shade,5,Clear a run while using Valerie’s Glamour skill.,,,,20,1,<cn>,,{skillID=10000405;trainerID=200004}
50130,Nimble Flourish,5,Clear a run while using Valerie’s Agility skill.,,,,20,1,<cn>,,{skillID=10000406;trainerID=200004}
50140,Living Bond,5,Clear a run while using Valerie’s Symbiosis skill.,,,,20,1,<cn>,,{skillID=10000407;trainerID=200004}
50150,Captured Gambit,5,Clear a run while using Valerie’s Pawn skill.,,,,20,1,<cn>,,{skillID=10000408;trainerID=200004}
50160,Moonlit Ripple,5,Clear a run while using Valerie’s Lunar Pool skill.,,,,20,1,<cn>,,{skillID=10000409;trainerID=200004}
50170,Healing Chorus,5,Clear a run while using Valerie’s Cure skill.,,,,20,1,<cn>,,{skillID=10000410;trainerID=200004}
50180,Xerneas Ally,5,Clear 5 runs with Valerie deploying Xerneas.,,,,20,5,<cn>,,{trainerID=200004;unitIDR=<1;99999;<18001>>}
50190,Radiant Mega Gardevoir Ally,5,Clear 5 runs with Valerie deploying Shiny Mega Gardevoir.,,,,20,5,<cn>,,{trainerID=200004;unitIDR=<1;99999;<18002>>}
