变量名,name,weight,price,resScale,findDesc,filterTarget,showInHandBook,pvpShowInHandBook,defence,cardEffect,hp,attack,nature1,rarity,logo,res,starUnlock,specialTarget,desc,actionTimes,equipSlots,resPos,buffid,keyWords,findBuff,nature2
1016,美洛耶塔·歌声,20,6,2.5,,,TRUE,,,【鼓舞】：令攻击者的攻击变为与自身相同，之后自身+$(6*star)$攻击，+$(6*star)$生命,4*self:star(),8*self:star(),,5,config/portrait/speedranktouxiang/img_648_mlytgsxt@.png,config/big_hero/normal/img_648_mlyt@.png,,,,,,{x=-180;y=-50},<101600;100010;100020;100030>,<【鼓舞】>,,11
1017,美洛耶塔·舞步,20,6,3,,,TRUE,,,【鼓舞】：自身+$(6*star)$攻击，+$(6*star)$生命，每累计触发3次，【消灭】随机$(star)$个攻击低于自身的敌人,4*self:star(),8*self:star(),,5,config/portrait/speedranktouxiang/img_648_mlytwbxt@.png,config/big_hero/normal/img_648_mlyt@.png,,,,,,{x=150;y=-70},<101700;100010;100020;100030>,<【鼓舞】;【消灭】>,,7
1018,猫老大,40,5,1.7,,,TRUE,,,【登场】：自身永久+N攻击，永久+N生命（N为$(star)$倍当前金币数量）,1*self:star(),1*self:star(),,4,config/portrait/speedranktouxiang/img_53_mld@.png,config/big_hero/normal/img_53_mld@.png,,,,,,,<101800;100010;100020;100030>,<【登场】>,,
1019,青绵鸟,60,4,,,,TRUE,,,【登场】：获得随机1张价格不高于$(2+star)$的精灵卡,3*self:star(),2*self:star(),,3,config/portrait/speedranktouxiang/img_333_qmn@.png,config/big_hero/normal/img_333_qmn@.png,,,,,,,<101900;100010;100020;100030>,<【登场】>,,10
1020,七夕青鸟,40,5,,,,TRUE,,,战斗结束时，自身和最左侧精灵永久+$(3*star)$攻击，永久+$(3*star)$生命，然后一同返回手牌,3*self:star(),3*self:star(),15,4,config/portrait/speedranktouxiang/img_334_qxqn@.png,config/big_hero/normal/img_334_qxqn@.png,,,,,,,<102000;100010;100020;100030>,,,10
1021,波波,80,3,,选择一个除波波外的己方精灵使其返回手牌,target:unitID()~=1021,TRUE,,,【登场】：选择一个场上除波波外的精灵，使其返回手牌（仅战斗外生效）,4*self:star(),1*self:star(),,2,config/portrait/speedranktouxiang/img_16_bb@.png,config/big_hero/normal/img_16_bb@.png,,,,,,,<102100;100010;100020;100030>,<【登场】>,<102100>,10
1022,大葱鸭,60,4,,,,TRUE,,,攻击后【晕眩】目标并【治疗】自身$(5*star)$点生命,5*self:star(),4*self:star(),,3,config/portrait/speedranktouxiang/img_83_dcy@.png,config/big_hero/normal/img_83_dcy@.png,,,,,,,<102200;100010;100020;100030>,<【晕眩】;【治疗】>,,10
1023,烈雀,100,2,1.8,,,TRUE,,,【登场】：+N攻击，+N生命（N为$(star)$倍训练家已损失血量）,1*self:star(),1*self:star(),,,config/portrait/speedranktouxiang/img_21_lq@.png,config/big_hero/normal/img_21_lq@.png,,,,,,,<102300;100010;100020;100030>,<【登场】>,,10
2001,凤王,20,6,,,,TRUE,,,自身左侧除凤王外的火系精灵阵亡时，在自身右侧【召唤】1个它的复制品，星级为$(1*star)$，并使其获得【暴击】,12*self:star(),2*self:star(),2,5,config/portrait/speedranktouxiang/img_250_fw@.png,config/big_hero/normal/img_250_fw@.png,,,,,,,<200100;100010;100020;100030>,<【召唤】;【暴击】>,,10
2002,卡蒂狗,60,4,,,,TRUE,,,【先机】：获得1次行动\n【濒死】：使随机1个火系精灵+N攻击，+N生命并获得【暴击】和此【濒死】效果（N为自身$(star)$倍对应属性）,2*self:star(),8*self:star(),2,3,config/portrait/speedranktouxiang/img_58_kdg@.png,config/big_hero/normal/img_58_kdg@.png,,,,,,,<200200;100010;100020;100030>,<【先机】;【濒死】;【暴击】>,,
2003,鸭嘴宝宝,40,5,1.8,,,TRUE,,,己方【暴击】精灵攻击后，自身对随机$(1*star)$个敌方精灵造成N点技能伤害（N为$(0.5*star)$倍自身攻击）,4*self:star(),8*self:star(),2,4,config/portrait/speedranktouxiang/img_240_yzbb@.png,config/big_hero/normal/img_240_yzbb@.png,,,,,,,<200300;100010;100020;100030>,<【暴击】>,,
2004,火焰鸟,40,5,,,,TRUE,,,【光环】：己方【暴击】精灵攻击后不会失去【暴击】，己方【暴击】精灵攻击后令己方火系精灵永久+$(1*star)$攻击,6*self:star(),6*self:star(),2,4,config/portrait/speedranktouxiang/img_146_hyn@.png,config/big_hero/normal/img_146_hyn@.png,,,,,,,<200400;100010;100020;100030>,<【暴击】;【光环】>,,10
2005,炎帝,60,4,,,,TRUE,,,己方【暴击】精灵攻击后自身永久+$(1*star)$生命，自身受到攻击后获得【暴击】并立即行动,6*self:star(),4*self:star(),2,3,config/portrait/speedranktouxiang/img_244_yd@.png,config/big_hero/normal/img_244_yd@.png,,,,,,,<200500;100010;100020;100030>,<【暴击】>,,
2006,火稚鸡,40,5,1.8,,,TRUE,,,将生命最低的敌方视为【宿敌】\n【贯穿】,5*self:star(),8*self:star(),2,4,config/portrait/speedranktouxiang/img_255_hzj@.png,config/big_hero/normal/img_255_hzj@.png,,,,,,{x=30;y=0},<200600;100010;100020;100030>,<【宿敌】;【贯穿】>,,7
2007,席多蓝恩,60,4,,,,TRUE,,6*self:star(),己方【暴击】精灵攻击后，己方精灵永久+$(1*star)$护甲,6*self:star(),2*self:star(),2,3,config/portrait/speedranktouxiang/img_485_xdle@.png,config/big_hero/normal/img_485_xdle@.png,,,,,,,<200700;100010;100020;100030>,<【暴击】>,,17
2008,小火龙,60,4,1.7,,,TRUE,,,【暴击】\n己方其他火系精灵进场时，自身永久+$(2*star)$攻击，+$(1*star)$生命,3*self:star(),3*self:star(),2,3,config/portrait/speedranktouxiang/img_4_xhl@.png,config/big_hero/normal/img_4_xhl@.png,,,,,,,<200800;100010;100020;100030>,<【暴击】>,,10
2009,火球鼠,80,3,,,,TRUE,,,【暴击】\n攻击后不会失去【暴击】,4*self:star(),5*self:star(),2,2,config/portrait/speedranktouxiang/img_155_hqs@.png,config/big_hero/normal/img_155_hqs@.png,,,,,,{x=100;y=0},<200900;100020;100030>,<【暴击】>,,
2010,呆火驼,100,2,,,,TRUE,,,【先机】：【晕眩】双方场上随机$(2*star)$个没有【暴击】的精灵,8*self:star(),1*self:star(),2,,config/portrait/speedranktouxiang/img_322_dht@.png,config/big_hero/normal/img_322_dht@.png,,,,,,{x=30;y=0},<201000;100010;100020;100030>,<【先机】;【晕眩】;【暴击】>,,9
2011,暖暖猪,80,3,1.8,,,TRUE,,,【暴击】\n攻击带有护甲的精灵前，自身攻击和生命提升$(0.5*star)$倍,4*self:star(),5*self:star(),2,2,config/portrait/speedranktouxiang/img_498_nnz@.png,config/big_hero/normal/img_498_nnz@.png,,,,,,,<201100;100010;100020;100030>,<【暴击】>,,7
2012,长尾火狐,100,2,,,,TRUE,,,己方其他火系精灵进场时，使其+$(4*star)$攻击，+$(4*star)$生命,7*self:star(),1*self:star(),2,,config/portrait/speedranktouxiang/img_654_cwhh@.png,config/big_hero/normal/img_654_cwhh@.png,,,,,,,<201200;100010;100020;100030>,,,11
2013,比克提尼,20,6,,,,TRUE,,,【胜利】：己方火系精灵永久+$(3*star)$攻击，+$(3*star)$生命,6*self:star(),6*self:star(),11,5,config/portrait/speedranktouxiang/img_494_bktn@.png,config/big_hero/normal/img_494_bktn@.png,,,,,,,<201300;100010;100020;100030>,<【胜利】>,,2
2014,砰头小丑,40,5,,,,TRUE,,,【濒死】：对攻击最高的敌人造成$(4*star)$点技能伤害，己方每有1个其他火系精灵，伤害额外翻倍一次,1*self:star(),5*self:star(),2,4,config/portrait/speedranktouxiang/img_806_ptxc@.png,config/big_hero/normal/img_806_ptxc@.png,,,,,,{x=80;y=-80},<201400;100010;100020;100030>,<【濒死】>,,14
2015,小火焰猴,60,4,,,,TRUE,,,【光环】：己方【暴击】精灵攻击后，令其永久+$(2*star)$生命,3*self:star(),3*self:star(),2,3,config/portrait/speedranktouxiang/img_390_xhyh@.png,config/big_hero/normal/img_390_xhyh@.png,,,,,,,<201500;100010;100020;100030>,<【光环】;【暴击】>,,
3002,盖欧卡,20,6,2.5,,,TRUE,,,与自身相邻的精灵受到负面【状态】时，将其解除并令其永久+$(2*star)$攻击，+$(2*star)$生命,7*self:star(),6*self:star(),3,5,config/portrait/speedranktouxiang/img_382_gok@.png,config/big_hero/normal/img_382_gok@.png,,,,,,{x=80;y=0},<300200;100010;100020;100030>,<【状态】>,,
3003,玛纳霏,20,6,1.8,,,TRUE,,,行动前在右侧【召唤】一个除玛纳霏外的己方场上水系精灵的复制，星级为$(1*star)$,10*self:star(),4*self:star(),3,5,config/portrait/speedranktouxiang/img_490_mnf@.png,config/big_hero/normal/img_490_mnf@.png,,,,,,{x=30;y=0},<300300;100010;100020;100030>,<【光环】;【召唤】>,,
3004,角金鱼,100,2,,,,TRUE,,,【流水】,3*self:star(),1*self:star(),3,,config/portrait/speedranktouxiang/img_118_jjy@.png,config/big_hero/normal/img_118_jjy@.png,,,,,,{x=0;y=-80},<300400;100010;100020;100030>,<【流水】>,,
3005,大舌贝,80,3,2.8,,,TRUE,,,【守卫】\n【盾反】,4*self:star(),2*self:star(),3,2,config/portrait/speedranktouxiang/img_90_dsb@.png,config/big_hero/normal/img_90_dsb@.png,,,,,,,<300500;100010;100020;100030>,<【守卫】;【盾反】>,,
3008,帕路奇亚,20,6,2.2,,,TRUE,,,【流水】\n【隐匿】\n自身触发或受到【流水】效果时，对最近的敌人造成N点技能伤害（N为$(2*star)$倍流水值）,5*self:star(),8*self:star(),3,5,config/portrait/speedranktouxiang/img_484_plqy@.png,config/big_hero/normal/img_484_plqy@.png,,,,,,{x=-60;y=50},<300800;100010;100020;100030>,<【隐匿】;【流水】>,,15
3010,暴鲤龙,40,5,1.8,,,TRUE,,,【溅射】\n己方精灵触发【流水】效果时，自身永久+$(star)$攻击，并进行1次不受反击的攻击,4*self:star(),7*self:star(),3,4,config/portrait/speedranktouxiang/img_130_bll@.png,config/big_hero/normal/img_130_bll@.png,,,,,,{x=0;y=50},<301000;100010;100020;100030>,<【溅射】;【流水】>,,10
3011,水君,40,5,1.8,,,TRUE,,,【光环】：己方精灵阵亡时，将其$(star)$倍攻击均分给己方水系精灵,7*self:star(),4*self:star(),3,4,config/portrait/speedranktouxiang/img_245_sj@.png,config/big_hero/normal/img_245_sj@.png,,,,,,{x=-30;y=0},<301100;100010;100020;100030>,<【光环】>,,
3012,呱呱泡蛙,60,4,,,,TRUE,,,【流水】\n自身触发或受到【流水】效果时，【晕眩】$(star)$个敌人,6*self:star(),4*self:star(),3,3,config/portrait/speedranktouxiang/img_656_ggpw@.png,config/big_hero/normal/img_656_ggpw@.png,,,,,,{x=-30;y=0},<301200;100010;100020;100030>,<【流水】;【晕眩】>,,
3014,杰尼龟,60,4,,,,TRUE,,,【流水】\n自身触发或受到【流水】效果时，获得【护盾】,6*self:star(),3*self:star(),3,3,config/portrait/speedranktouxiang/img_7_jng@.png,config/big_hero/normal/img_7_jng@.png,,,,,,,<301400;100010;100020;100030>,<【流水】;【护盾】>,,
3015,莲叶童子,80,3,,,,TRUE,,,【光环】：己方精灵触发或受到【流水】效果时，令其+$(3*star)$生命,5*self:star(),2*self:star(),3,2,config/portrait/speedranktouxiang/img_270_lytz@.png,config/big_hero/normal/img_270_lytz@.png,,,,,,{x=0;y=60},<301500;100010;100020;100030>,<【光环】;【流水】>,,4
3016,波加曼,80,3,,,,TRUE,,,自身受到负面【状态】时，永久+$(2*star)$攻击，+$(2*star)$生命,1*self:star(),1*self:star(),3,2,config/portrait/speedranktouxiang/img_393_bjm@.png,config/big_hero/normal/img_393_bjm@.png,,,,,,,<301600;100010;100020;100030>,<【状态】>,,
3017,轻飘飘·雄,100,2,2.3,,,TRUE,,,【流水】\n自身触发或受到【流水】效果时，自身永久+$(1*star)$攻击，若轻飘飘·雌在场，则额外永久+$(1*star)$生命,1*self:star(),2*self:star(),3,,config/portrait/speedranktouxiang/img_592_lqpp@.png,config/big_hero/normal/img_592_lqpp@.png,,,,,,,<301700;100010;100020;100030>,<【流水】>,,14
3018,轻飘飘·雌,100,2,2.1,,,TRUE,,,【流水】\n自身触发或受到【流水】效果时，自身永久+$(1*star)$生命，若轻飘飘·雄在场，则额外永久+$(1*star)$攻击,2*self:star(),1*self:star(),3,,config/portrait/speedranktouxiang/img_592_hqpp@.png,config/big_hero/normal/img_592_hqpp@.png,,,,,,{x=0;y=-130},<301800;100010;100020;100030>,<【流水】>,,14
3019,铁臂枪虾,100,2,,,,TRUE,,,【流水】\n自身触发或受到【流水】效果时，对最近的敌人造成$(4*star)$点技能伤害,1*self:star(),3*self:star(),3,,config/portrait/speedranktouxiang/img_692_tbqx@.png,config/big_hero/normal/img_692_tbqx@.png,,,,,,,<301900;100010;100020;100030>,<【流水】>,,
3020,水跃鱼,40,5,,,,TRUE,,,行动前解除随机$(star)$个己方精灵的负面【状态】,7*self:star(),6*self:star(),3,4,config/portrait/speedranktouxiang/img_258_syy@.png,config/big_hero/normal/img_258_syy@.png,,,,,,{x=0;y=30},<302000;100010;100020;100030>,<【状态】>,,
4001,谢米·陆地,20,6,,,,TRUE,,,【光环】：对己方草系精灵使用【生长】时，提供的属性额外+$(2*star)$,8*self:star(),7*self:star(),4,5,config/portrait/speedranktouxiang/img_492_xm@.png,config/big_hero/normal/img_492_xm@.png,,,,,,{x=0;y=-20},<400100;100010;100020;100030>,<【光环】;【生长】>,,10
4002,谢米·天空,20,6,,选择一个草系精灵并获得其属性,target:hasNature(4),TRUE,,,【登场】：选择一个草系精灵，永久获得其攻击和生命（仅战斗外生效）,7*self:star(),8*self:star(),4,5,config/portrait/speedranktouxiang/img_492_xmtkxt@.png,config/big_hero/normal/img_492_xmtkxt@.png,,,,,,,<100010;100020;100030>,<【登场】>,<400200>,10
4003,木守宫,60,5,1.8,,,TRUE,,,行动前在右侧【召唤】一个星级为$(1*star)$的随机草系精灵，然后令其攻击和生命与自身一致,4*self:star(),2*self:star(),4,4,config/portrait/speedranktouxiang/img_252_msg@.png,config/big_hero/normal/img_252_msg@.png,,,,,,{x=-50;y=0},<400300;100010;100020;100030>,<【召唤】>,,
4004,藤藤蛇,60,3,,,,TRUE,,,【濒死】：获得1张【生长】,1*self:star(),6*self:star(),4,2,config/portrait/speedranktouxiang/img_495_tts@.png,config/big_hero/normal/img_495_tts@.png,,,,,,,<400400;100010;100020;100030>,<【濒死】;【生长】>,,
4005,木木枭,40,5,,,,TRUE,,,【隐匿】\n【隐匿】状态下自身获得【突袭】,3*self:star(),7*self:star(),4,4,config/portrait/speedranktouxiang/img_722_mmx@.png,config/big_hero/normal/img_722_mmx@.png,,,,,,{x=30;y=0},<400500;100010;100020;100030>,<【隐匿】;【突袭】>,,14
4006,甜竹竹,60,4,,,,TRUE,,,行动次数+1\n攻击后获得1张【生长】,4*self:star(),6*self:star(),4,3,config/portrait/speedranktouxiang/img_761_tzz@.png,config/big_hero/normal/img_761_tzz@.png,,,,,,,<400600;100010;100020;100030>,<【生长】>,,
4007,毕力吉翁,40,5,2.1,,,TRUE,,,打出事件卡时，令己方草系精灵永久+$(1*star)$生命,3*self:star(),2*self:star(),4,4,config/portrait/speedranktouxiang/img_640_bljw@.png,config/big_hero/normal/img_640_bljw@.png,,,,,,{x=0;y=-40},<400700;100010;100020;100030>,,,7
4008,妙蛙种子,60,4,2.2,,,TRUE,,,准备阶段结束时，获得1张【生长】,1*self:star(),1*self:star(),4,3,config/portrait/speedranktouxiang/img_1_mwzz@.png,config/big_hero/normal/img_1_mwzz@.png,,,,,,{x=180;y=-50},<400800;100010;100020;100030>,<【生长】>,,8
4009,菊草叶,80,2,1.7,,,TRUE,,,失去生命时，【治疗】己方草系精灵$(3*star)$点生命,2*self:star(),1*self:star(),4,,config/portrait/speedranktouxiang/img_152_jcy@.png,config/big_hero/normal/img_152_jcy@.png,,,,,,,<400900;100010;100020;100030>,<【治疗】>,,
4010,草苗龟,100,4,1.8,,,TRUE,,,失去生命时，对其他全体单位造成1点技能伤害(无法对草苗龟造成伤害),10*self:star(),0,4,3,config/portrait/speedranktouxiang/img_387_cmg@.png,config/big_hero/normal/img_387_cmg@.png,,,,,,{x=30;y=0},<401000;100010;100020;100030>,,,9
4011,哈力栗,100,3,1.8,,,TRUE,,,失去生命时，所有友方+$(1*star)$攻击，+$(1*star)$生命,1*self:star(),1*self:star(),4,2,config/portrait/speedranktouxiang/img_650_hll@.png,config/big_hero/normal/img_650_hll@.png,,,,,,{x=10;y=0},<401100;100010;100020;100030>,,,7
4012,喇叭芽,80,2,1.5,,,TRUE,,,打出事件卡时，自身永久+$(1*star)$攻击，+$(1*star)$生命,1*self:star(),2*self:star(),4,,config/portrait/speedranktouxiang/img_69_lby@.png,config/big_hero/normal/img_69_lby@.png,,,,,,{x=0;y=-20},<401200;100010;100020;100030>,,,8
4013,时拉比,20,6,,,,TRUE,,,己方其他精灵阵亡时，对己方随机$(1*star)$个精灵使用1次随机【生长】效果,4*self:star(),6*self:star(),11,5,config/portrait/speedranktouxiang/img_251_slb@.png,config/big_hero/normal/img_251_slb@.png,,,,,,,<401300;100010;100020;100030>,<【生长】>,,4
4014,纸御剑,40,5,,,,TRUE,,,【穿甲】\n【贯穿】\n【破敌】：获得1张【生长】,5*self:star(),8*self:star(),4,4,config/portrait/speedranktouxiang/img_798_zyj@.png,config/big_hero/normal/img_798_zyj@.png,,,,,,{x=20;y=0},<401400;100010;100020;100030>,<【穿甲】;【贯穿】;【破敌】;【生长】>,,17
4015,萨戮德,20,6,,,,TRUE,,,【光环】：己方草系精灵受到攻击前，若攻击者生命高于受击者，令两者交换生命值，并对受击者使用$(star)$次随机【生长】,5*self:star(),10*self:star(),16,5,config/portrait/speedranktouxiang/img_893_sld@.png,config/big_hero/normal/img_893_sld@.png,,,,,,,<401500;100010;100020;100030>,<【光环】;【生长】>,,4
6001,闪光超级暴雪王,20,6,,,,TRUE,,10*self:star(),【先机】：所有精灵+$(5*star)$护甲\n【光环】：无护甲精灵行动前，将其【消灭】,1*self:star(),6*self:star(),4,5,config/portrait/speedranktouxiang/img_460_sgcjbxw@.png,config/big_hero/normal/img_460_sgcjbxw@.png,,,,,,,<600100;100010;100020;100030>,<【先机】;【光环】;【消灭】>,,6
6002,蕾冠王·白马,20,6,,,,TRUE,,,【穿甲】\n攻击【冰冻】目标时+$(5*star)$攻击并且不受反击,8*self:star(),8*self:star(),11,5,config/portrait/speedranktouxiang/img_898_lgwbm@.png,config/big_hero/normal/img_898_lgwbm@.png,,,,,,,<600200;100010;100020;100030>,<【穿甲】;【冰冻】>,,6
6003,酋雷姆,20,6,,,,TRUE,,,将距离最近的敌人视为【宿敌】，击杀【宿敌】后自身永久+$(5*star)$攻击，永久+$(5*star)$生命\n【先机】：【冰冻】除【宿敌】外的所有精灵,8*self:star(),8*self:star(),15,5,config/portrait/speedranktouxiang/img_646_qlm@.png,config/big_hero/normal/img_646_qlm@.png,,,,,,,<600300;100010;100020;100030>,<【宿敌】;【冰冻】>,,6
6004,拉普拉斯,40,5,,,,TRUE,,3*self:star(),行动后，为自身和相邻精灵解除$(1*star)$个负面【状态】,6*self:star(),3*self:star(),3,4,config/portrait/speedranktouxiang/img_131_lpls@.png,config/big_hero/normal/img_131_lpls@.png,,,,,,,<600400;100010;100020;100030>,<【状态】>,,6
6005,急冻鸟,40,5,,,,TRUE,,,【光环】：敌方被【冰冻】时，产生的护甲值+$(5*star)$,6*self:star(),6*self:star(),6,4,config/portrait/speedranktouxiang/img_144_jdn@.png,config/big_hero/normal/img_144_jdn@.png,,,,,,{x=40;y=-120},<600500;100010;100020;100030>,<【光环】;【冰冻】>,,10
