变量名,name,type,filterTarget,cd,cost,triggerTimes,desc,skillIcon,buff,findBuff
90018,Echo,3,,,,,"Each time you play an Event card, gain 1 gold (max 5 gold per turn#HIDE#, earned $selfTrainer:getBuffOverlayCount(9001802)$/5#HIDE#).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_qy.png,<9001800>,
90019,Nightfall,,,1,3,,Randomly gain 1 Event card from shop stock no higher than current shop level. Cooldown: 1 turn.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_kj.png,<9001900>,
90020,Research,2,TRUE,1,3,,"Choose a Pokémon, remove it, then from shop stock 【Discover】 1 Pokémon card (price +1). Cooldown: 1 turn.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb3.png,,<9002000>
90021,Arena Edge,3,,,,,Damage you deal to the enemy Trainer is increased by 3.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb10.png,<9002100>,
90022,Tenacity,3,,,,,Damage taken from the enemy Trainer cannot exceed N (N is twice the current turn number).,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am7.png,<9002200>,
90023,Odd Species,3,,,,,"Each time the shop levels up, gain 1 【Odd Egg】 (Timer 1: randomly gain 1 Pokémon priced at no more than 3/4/6).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_zh.png,<9002300>,
90024,Expansion,2,TRUE,1,3,,Choose a Pokémon: its equipment slots permanently become 2. Cooldown: 1 turn.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs5.png,,<9002400>
90025,Balance,2,TRUE,1,3,,Choose a Pokémon: permanently raise its Attack or HP until the two are equal. Cooldown: 1 turn.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am4.png,,<9002500>
90026,Copy,,,2,3,,Gain a copy of 1 random Event card in hand. Cooldown: 2 turns.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs9.png,<9002600>,
90027,Spy,,,1,3,,"From your next opponent's last-turn board, 【Discover】 one initial copy of a Pokémon. Cooldown: 1 turn.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_sy.png,<9002700>,
90028,Rebirth,2,TRUE,1,,,"Choose a Pokémon: next battle it gains: when KO'd, summon a copy of itself. Cooldown: 1 turn.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_fh.png,,<9002800>
90029,Soul Shift,,,1,,,The leftmost and rightmost Pokémon swap Attack and HP for 1 battle. Cooldown: 1 turn.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xy.png,<9002900>,
90030,Hold Fast,2,TRUE,2,2,,Choose a Pokémon: it permanently gains 【Guard】 or permanently loses 【Guard】. Cooldown: 2 turns.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs4.png,,<9003000>
90031,Regular,3,,,,,"At end of prep phase, shop upgrade cost is reduced by 1 extra.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am1.png,<9003100>,
90032,Battle Spirit,3,,,,,Your Pokémon gain: 【Break】: Permanently +1 Attack and +1 HP.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs2.png,<9003200>,
90033,Depreciation,3,,,,,"Each Pokémon you sell: at end of prep phase, gain 1 extra gold (max 5#HIDE#, can earn $selfTrainer:getBuffOverlayCount(9003301)$/5 gold#HIDE#).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb8.png,<9003300>,
90034,Splurge,,,1,,2,"Spend all remaining gold: your Pokémon permanently gain +N Attack and HP (N is twice the gold spent). Cooldown: 1 turn, 2 times per match#HIDE#(used $selfTrainer:getBuffOverlayCount(9003404)$ time(s))#HIDE#.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb4.png,<9003400>,
10000101,Embers,3,,,,,"Passive: When you lose a battle, if Trainer HP is 10 or less, 【Discover】 a Fire/Fighting Pokémon card.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb1.png,<1000010101>,
10000102,Spark,3,,,,,"Passive: When you play a Pokémon card, it gains +5 Attack for 1 battle.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb2.png,<1000010201>,
10000103,Blaze,2,TRUE,1,3,,Active: Choose a Pokémon on the field and give it +1 action for 1 battle. Cooldown: 1 battle.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb3.png,,<1000010301>
10000104,Burn,2,TRUE,1,,,Active: Trainer HP -3. Choose a Pokémon on the field and give it +N Attack (N is Trainer HP lost) for 1 battle. Cooldown: 1 battle.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb4.png,,<1000010401>
10000105,Wildfire,,,1,4,,"Active: At the start of the next battle phase, all your Pokémon gain +N Attack (N is your Fire/Fighting Pokémon count ×5) for 1 battle. Cooldown: 1 battle.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb5.png,<1000010501>,
10000106,Press the Advantage,3,,,,,"Passive: During battle, all your Pokémon gain 【On Kill】: The ally to the right gains +5 Attack and acts immediately.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb6.png,<1000010601>,
10000107,Undying,2,TRUE,1,6,,"Active: Choose a Pokémon: the first time it is KO'd in the next battle, summon a same-star copy in place. Cooldown: 1 battle.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb7.png,,<1000010701>
10000108,Crimson Lotus,3,,,,,"Passive: When you win a battle, all Fire/Fighting Pokémon on your field permanently gain +3 Attack and +3 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb8.png,<1000010801>,
10000109,Riddle,3,,,,,"Passive: After 4 battle wins, Trainer HP +5, then the count resets.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb9.png,<1000010901>,
10000110,Hellfire,,,1,6,,Active: Your Pokémon gain 【First Strike】: Deal N skill damage to the nearest enemy (N is your Attack) for 1 battle. Cooldown: 1 battle.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb10.png,<1000011001>,
10000201,Parts,,,4,3,,Active: 【Discover】 1 Equipment card. Cooldown: 4 battles.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am1.png,<1000020101>,
10000202,Hard Shell,3,,,,,"Passive: At end of prep phase, all Pokémon on your field permanently gain +2 Armor.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am2.png,<1000020201>,
10000203,Bounty,3,,,,,"Passive: At end of prep phase, gain two random 【Growth】 cards.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am3.png,<1000020301>,
10000204,Eternity,3,,,,,"Passive: During battle, after your Pokémon have been hit 6 times in total, all allies gain +20 Armor.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am4.png,<1000020401>,
10000205,Assembly,2,TRUE,99,,,Active: Choose a Pokémon on the field to sell; the leftmost unit permanently gains the sold unit's three core stats. One use only.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am5.png,,<1000020501>
10000206,Melt,2,TRUE,3,6,,Active: Choose a Pokémon on the field and permanently swap its Attack and Armor. Cooldown: 3 battles.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am6.png,,<1000020601>
10000207,Good Luck,,,4,3,,Active: 【Discover】 1 Event card. Cooldown: 4 battles.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am7.png,<1000020701>,
10000208,Absolute Defense,3,,,,,"Passive: At battle start, your Pokémon's HP becomes 1 and Armor doubles; when Armor is lost, deal N skill damage to a random enemy (N is its current Armor).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am8.png,<1000020801>,
10000209,Keen Edge,2,TRUE,1,3,,Active: Choose a Pokémon on the field and give it +N Attack (N is its Armor) for 1 battle. Cooldown: 1 battle.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am9.png,,<1000020901>
10000210,Coalesce,3,,,,,"Passive: Before your Pokémon act, give a random ally +3 Armor.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am10.png,<1000021001>,
10000301,Shadow Kill,3,,,,,"Passive: When your Pokémon lose 【Stealth】, they gain +5 Attack.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_ys.png,<1000030101>,
10000302,Hidden Form,3,,,,,"Passive: At battle start, your rightmost Pokémon gains 【Stealth】 and +5 Attack.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_cx.png,<1000030201>,
10000303,Spirit Call,,,4,5,,Active: 【Discover】 1 Dark- or Ghost-type Pokémon card. Cooldown: 4 battles.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_hl.png,<1000030301>,
10000304,Drowsy,3,,,,,"Passive: At battle start, 【Stun】 the 3 highest-Attack Pokémon on each side.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_kj.png,<1000030401>,
10000305,Calamity,,,1,3,,"Active: Next battle, after your Pokémon act, deal 1 skill damage to all enemies.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_zh.png,<1000030501>,
10000306,Shadow Step,2,TRUE,1,5,,"Active: Choose a Pokémon on the field; it gains 【Stealth】 and gains 【Stealth】 after taking damage, for 1 battle.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_dy.png,,<1000030601>
10000307,Exhaustion,3,,,,,"Passive: After your Pokémon are attacked, reduce the attacker's Attack by 5.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_sj.png,<1000030701>,
10000308,Afterimage,3,,,,,"Passive: After your Pokémon attack a 0-Attack target, gain 1 extra action.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xy.png,<1000030801>,
10000309,Corruption,2,TRUE,4,10,,Active: Choose a Pokémon on the field and permanently transform it into a random Ghost- or Dark-type Pokémon of the same star. Cooldown: 4 battles.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_fh.png,,<1000030901>
10000310,Pact,,,99,,,Active: Halve Trainer HP and gain 1 random Ghost- or Dark-type Pokémon priced at 6. One use only.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_qy.png,<1000031001>,
10000401,Ethereal,2,TRUE,2,4,,"Active: Choose a Pokémon: at the start of the next battle, it and the nearest enemy both become 【Phantom】s. Cooldown: 2 battles.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_pm.png,,<1000040101>
10000402,Link,3,,,,,"Passive: When a 【Phantom】 on either side is KO'd, all your Pokémon gain +5 Attack and +5 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_lj.png,<1000040201>,
10000403,Last Stand,2,TRUE,4,6,,"Active: Choose a Pokémon: next battle, after attacking, permanently gain +N HP (N is Trainer HP lost), then 【Heal】 to full HP. Cooldown: 4 battles.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_hw.png,,<1000040301>
10000404,Mirror Bloom,3,,,,,"Passive: Before your Pokémon act, if it is your only unit, summon 3 【Phantom】s of it.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_jh.png,<1000040401>,
10000405,Phantom Lure,2,TRUE,2,5,,"Active: Choose a Pokémon: next battle, after attacking, 【Charm】 the target. Cooldown: 2 battles.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_my.png,,<1000040501>
10000406,Agility,3,,,,,"Passive: Before your Pokémon act, if it is at full HP, permanently gain +1 Attack and +1 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_ld.png,<1000040601>,
10000407,Symbiosis,2,TRUE,99,8,,Active: Choose a Pokémon; all other Pokémon's HP match that Pokémon's HP. One use only.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_bs.png,,<1000040701>
10000408,Pawn,3,,,,,"Passive: After a 【Charm】ed enemy Pokémon acts, it is immediately 【Destroy】ed and all your Pokémon gain +5 Attack and +5 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_qz.png,<1000040801>,
10000409,Moon on Water,,,4,10,,"Active: At the start of the next battle, all enemies become 【Phantom】s; after any unit acts, they return to physical form. Cooldown: 4 battles.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_sy.png,<1000040901>,
10000410,Healing,3,,,,,"Passive: After your Pokémon act, 【Heal】 all allies for 5 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_zy.png,<1000041001>,
10000501,Frost Dance,2,TRUE,1,4,,"Active: Choose a Pokémon: next battle, after attacking, 【Freeze】 the target. Cooldown: 1 battle.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs1.png,,<1000050101>
10000502,Ice Breaker,3,,,,,"Passive: When your Pokémon attack a 【Freeze】d target, that attack gains 【Critical Hit】.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs2.png,<1000050201>,
10000503,Blizzard,,,3,8,,"Active: At the start of the next battle, 【Freeze】 all enemies. Cooldown: 3 battles.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs3.png,<1000050301>,
10000504,Thaw,3,,,,,"Passive: Before either side's Pokémon act, halve Armor; if they have no Armor, halve HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs4.png,<1000050401>,
10000505,Trickling,,,3,6,,Active: All your Pokémon gain 【Flow】 for 1 battle. Cooldown: 3 battles.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs5.png,<1000050501>,
10000506,Whirlpool,3,,,,,"Passive: During battle, when your Pokémon's Attack is reduced to 0, set a random enemy's Attack to 0.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs6.png,<1000050601>,
10000507,Untainted,2,TRUE,3,8,,Active: Choose a Pokémon: it is immune to all negative 【Status】 effects for 1 battle. Cooldown: 3 battles.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs7.png,,<1000050701>
10000508,Avalanche,3,,,,,"Passive: When an enemy Pokémon gains 【Freeze】, deal N 【Armor Shred】 skill damage to adjacent units (N is its Armor).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs8.png,<1000050801>,
