变量名,name,choiceDesc3,choice4After,icon,choice2After,choiceDesc2,choice1After,onceEffectAniName,onceEffectResPath,choiceDesc1,choiceNum,desc,choiceDesc4,choice3After,onceEffectOffsetPos,choice1,choice2,choice3,choice4
23,Fallen Tree,,,,You accidentally start a forest fire and get a harsh fine from the rangers.,Burn it (requires a Fire-type Pokémon on your team),The path is clear!,,,Move it (requires a Fighting-type Pokémon on your team),2,A huge tree trunk blocks the road.,,,,"{case={over=1};condition=<moreE(countObj(""nature"",1,list(7)),1)>}","{case={over=1;gameGold=-10};condition=<moreE(countObj(""nature"",1,list(2)),1)>}",,
24,The Cliff,,,,,Fly to the far side (requires a Flying-type Pokémon on your team),Below the cliff is a narrow path that seems to lead somewhere.,,,Climb down with vines (requires a Grass-type Pokémon on your team),2,A steep cliff lies ahead; there's no way forward.,,,,"{case={insertEncounter=<<400021;1>>};condition=<moreE(countObj(""nature"",1,list(4)),1)>}","{case={insertEncounter=<<400026;1>>};condition=<moreE(countObj(""nature"",1,list(10)),1)>}",,
25,Forest Dwellers,Offer a Gracidea Flower,,,,Looks like a battle can't be avoided,"""Villains stole our precious Gracidea Flowers!""",,,Send Pokémon to talk (requires a Grass-type Pokémon on your team),3,The forest Pokémon seem hostile to outsiders.,,"The residents thank you, heal you, and give you plenty of gold.",,"{case={insertEncounter=<<400027;1>>};condition=<moreE(countObj(""nature"",1,list(4)),1)>}",{case={encounter=100101}},"{case={gameGold=10;trainerHp=30};showCondition=<moreE(countObj(""unitID"",3,list(100050)),1)>}",
26,Firefly Woods,,,,You attract a few Pokémon.,Picnic (requires a Lunch Box in hand),,,,Rest,2,"A quiet, beautiful forest.",,,,{case={trainerHp=5}},"{case={card=randomCards(c.allCards(),3,0,0)};condition=<moreE(countObj(""unitID"",3,list(200024)),1)>}",,
27,Rogue Hideout,,,,,Fight,"While they sleep, you grab a few things.",,,Blend in (requires a Dark-type Pokémon on your team),2,You've wandered into rogue territory…,,,,"{case={card=randomCards(c.allEquips_allEvents(),1,0,0)};condition=<moreE(countObj(""nature"",1,list(16)),1)>}",{case={encounter=100104}},,
28,The Arena,Leave,,,The brawl is so rough you get caught in the crossfire.,Watch the match,,,,Join the challenge (requires a Fighting-type Pokémon on your team),2,Shouts echo nearby—a fierce fighting tournament seems to be underway.,,,,"{case={encounter=100103};condition=<moreE(countObj(""nature"",1,list(7)),1)>}",{case={trainerHp=-5}},{case={over=1}},
29,Ancient Tomb,Flee,,,,Force your way in,You obtain an ancient key.,,,Speak with the spirits (requires a Ghost-type Pokémon on your team),2,An old tomb full of drifting spirits—they don't seem to like being disturbed.,,,,"{case={over=1};condition=<moreE(countObj(""nature"",1,list(14)),1)>}",{case={encounter=100105}},{case={over=1}},
30,Rampaging Pokémon,,,,,Break the mind control (requires a Psychic-type Pokémon on your team),,,,Battle,2,They look mind-controlled.,,,,{case={encounter=100106}},"{case={over=1};condition=<moreE(countObj(""nature"",1,list(11)),1)>}",,
31,Potion Seller,Leave,,,,Try the new formula,,,,Buy a potion,3,I've got some curious potions for sale—try my new brew and I won't charge you.,,,,{case={encounter=200013}},"{case={card=randomCards(c.yaoshui(),1,0,0)}}",{case={over=1}},
32,Lost,,,,This path doesn't seem right.,Go where the growth rings are tight,You find your way out of the forest.,,,Go where the growth rings are sparse,2,You're lost in the woods. The map says the exit is south—which way do you go?,,,,{case={over=1}},{case={insertEncounter=<<400029;1>>}},,
33,Theft,,,,All your money is stolen.,Let it go,"You trip chasing them, but you recover all your money.",,,Chase them,2,A shadowy figure stole your money.,,,,{case={trainerHp=-8}},{case={gameGold=-999}},,
34,Strange Egg,,,,,Leave,,,,Pick it up,2,A strange egg sits in the grass.,,,,{case={insertEncounter=<<400035;2>>;card=list(50)}},{case={over=1}},,
35,Professor's Lab,,,,,Leave,The Professor thanks you and funds your journey.,,,Ask the Professor to study it (requires a Strange Egg in hand),2,You arrive at the Professor's research lab.,,,,"{case={gameGold=10};condition=<moreE(countObj(""unitID"",3,list(50)),1)>}",{case={over=1}},,
101,Rustling Grass,Keep moving,,,,Capture the Pokémon,The Pokémon runs away.,,,Release the Pokémon,3,A Pokémon is trapped in the tall grass.,,You'd rather not get involved.,,{case={insertEncounter=<<400102>;<400103;2>>}},{case={insertEncounter=<<400103;2>>;card=randomCards(c.allCards())}},{case={over=1}},
102,Gratitude,It wants to adventure with you,,,,It gives you a bundle of herbs,,,,It gives you a strange item,2,You meet the Pokémon you rescued before.,,,,{case={card=randomCards(c.allEquips())}},{case={trainerHp=5}},{case={card=randomCards(c.allCards())}},
103,The Hunter's Revenge,,,,You hurt yourself scrambling to escape.,Try to flee,,,,Accept the challenge,2,You stole the hunter's dinner; now he demands a duel.,,,,{case={encounter=100102}},{case={trainerHp=-3}},,
201,Delivery Box,Leave it there,,,,Open it and see what's inside,,,,Pick it up for Professor Oak,3,"A black parcel lies by the road. The label reads: ""To Professor Oak.""",,,,{case={insertEncounter=<<400202;2>>}},{case={card=randomCards(c.allEquips())}},{case={over=1}},
202,Professor's House,,,,,,The Professor thanks you and funds your journey.,,,Hand over the delivery,1,You arrive at the Professor's research lab.,,,,{case={gameGold=10}},,,
301,Bank,Deposit 30 gold,,,,Deposit 20 gold,,,,Deposit 10 gold,3,Depositing money can earn you more later.,,,,"{case={gameGold=-10;insertEncounter=<<400302;2>>};condition=<moreE(getGoldNum(),10)>}","{case={gameGold=-20;insertEncounter=<<400303;2>>};condition=<moreE(getGoldNum(),20)>}","{case={gameGold=-30;insertEncounter=<<400304;2>>};condition=<moreE(getGoldNum(),30)>}",
302,Bank,,,,,,,,,Withdraw savings (13 gold),1,You can withdraw deposited money.,,,,{case={gameGold=13}},,,
303,Bank,,,,,,,,,Withdraw savings (26 gold),1,You can withdraw deposited money.,,,,{case={gameGold=26}},,,
304,Bank,,,,,,,,,Withdraw savings (40 gold),1,You can withdraw deposited money.,,,,{case={gameGold=40}},,,
