变量名,attack,hp,starMax,starMin,defence,equip,exBuff,roleId
30031,,,,,,,,3003
30032,,,2,2,,,,3003
30034,,,4,4,,,,3003
30041,,,,,,,,3004
30042,,,2,2,,,,3004
30044,,,4,4,,,,3004
30051,,,,,,,,3005
30052,,,2,2,,,,3005
30054,,,4,4,,,,3005
30081,,,,,,,,3008
30082,,,2,2,,,,3008
30084,,,4,4,,,,3008
30101,,,,,,,,3010
30102,,,2,2,,,,3010
30104,,,4,4,,,,3010
30111,,,,,,,,3011
30112,,,2,2,,,,3011
30114,,,4,4,,,,3011
30121,,,,,,,,3012
30122,,,2,2,,,,3012
30124,,,4,4,,,,3012
30141,,,,,,,,3014
30142,,,2,2,,,,3014
30144,,,4,4,,,,3014
30151,,,,,,,,3015
30152,,,2,2,,,,3015
30154,,,4,4,,,,3015
30161,,,,,,,,3016
30162,,,2,2,,,,3016
30164,,,4,4,,,,3016
30171,,,,,,,,3017
30172,,,2,2,,,,3017
30174,,,4,4,,,,3017
30181,,,,,,,,3018
30182,,,2,2,,,,3018
30184,,,4,4,,,,3018
30191,,,,,,,,3019
30192,,,2,2,,,,3019
30194,,,4,4,,,,3019
30201,,,,,,,,3020
30202,,,2,2,,,,3020
30204,,,4,4,,,,3020
40011,,,,,,,,4001
40012,,,2,2,,,,4001
40014,,,4,4,,,,4001
40021,,,,,,,,4002
40022,,,2,2,,,,4002
40024,,,4,4,,,,4002
40031,,,,,,,,4003
40032,,,2,2,,,,4003
40034,,,4,4,,,,4003
40041,,,,,,,,4004
40042,,,2,2,,,,4004
40044,,,4,4,,,,4004
40051,,,,,,,,4005
40052,,,2,2,,,,4005
40054,,,4,4,,,,4005
40061,,,,,,,,4006
40062,,,2,2,,,,4006
40064,,,4,4,,,,4006
40071,,,,,,,,4007
40072,,,2,2,,,,4007
40074,,,4,4,,,,4007
40081,,,,,,,,4008
40082,,,2,2,,,,4008
40084,,,4,4,,,,4008
40091,,,,,,,,4009
40092,,,2,2,,,,4009
40094,,,4,4,,,,4009
40101,,,,,,,,4010
40102,,,2,2,,,,4010
40104,,,4,4,,,,4010
40111,,,,,,,,4011
40112,,,2,2,,,,4011
40114,,,4,4,,,,4011
40121,,,,,,,,4012
40122,,,2,2,,,,4012
40124,,,4,4,,,,4012
40131,,,,,,,,4013
40132,,,2,2,,,,4013
40134,,,4,4,,,,4013
40141,,,,,,,,4014
40142,,,2,2,,,,4014
40144,,,4,4,,,,4014
60011,,,,,,,,6001
60012,,,2,2,,,,6001
60014,,,4,4,,,,6001
60021,,,,,,,,6002
60022,,,2,2,,,,6002
60024,,,4,4,,,,6002
60031,,,,,,,,6003
60032,,,2,2,,,,6003
60034,,,4,4,,,,6003
60041,,,,,,,,6004
60042,,,2,2,,,,6004
60044,,,4,4,,,,6004
60051,,,,,,,,6005
60052,,,2,2,,,,6005
60054,,,4,4,,,,6005
60061,,,,,,,,6006
60062,,,2,2,,,,6006
60064,,,4,4,,,,6006
60071,,,,,,,,6007
60072,,,2,2,,,,6007
60074,,,4,4,,,,6007
60081,,,,,,,,6008
60082,,,2,2,,,,6008
60084,,,4,4,,,,6008
60091,,,,,,,,6009
60092,,,2,2,,,,6009
60094,,,4,4,,,,6009
60101,,,,,,,,6010
60102,,,2,2,,,,6010
60104,,,4,4,,,,6010
60111,,,,,,,,6011
60112,,,2,2,,,,6011
60114,,,4,4,,,,6011
60121,,,,,,,,6012
60122,,,2,2,,,,6012
60124,,,4,4,,,,6012
60131,,,,,,,,6013
60132,,,2,2,,,,6013
60134,,,4,4,,,,6013
60141,,,,,,,,6014
60142,,,2,2,,,,6014
60144,,,4,4,,,,6014
60151,,,,,,,,6015
60152,,,2,2,,,,6015
60154,,,4,4,,,,6015
60161,,,,,,,,6016
60162,,,2,2,,,,6016
60164,,,4,4,,,,6016
70011,,,,,,,,7001
70012,,,2,2,,,,7001
70014,,,4,4,,,,7001
70021,,,,,,,,7002
70022,,,2,2,,,,7002
70024,,,4,4,,,,7002
70031,,,,,,,,7003
70032,,,2,2,,,,7003
70034,,,4,4,,,,7003
70041,,,,,,,,7004
70042,,,2,2,,,,7004
70044,,,4,4,,,,7004
70051,,,,,,,,7005
70052,,,2,2,,,,7005
70054,,,4,4,,,,7005
70061,,,,,,,,7006
70062,,,2,2,,,,7006
70064,,,4,4,,,,7006
70071,,,,,,,,7007
70072,,,2,2,,,,7007
70074,,,4,4,,,,7007
70081,,,,,,,,7008
70082,,,2,2,,,,7008
70084,,,4,4,,,,7008
70091,,,,,,,,7009
70092,,,2,2,,,,7009
70094,,,4,4,,,,7009
70101,,,,,,,,7010
70102,,,2,2,,,,7010
70104,,,4,4,,,,7010
70111,,,,,,,,7011
70112,,,2,2,,,,7011
70114,,,4,4,,,,7011
70121,,,,,,,,7012
70122,,,2,2,,,,7012
70124,,,4,4,,,,7012
90011,,,,,,,,9001
90012,,,2,2,,,,9001
90014,,,4,4,,,,9001
90021,,,,,,,,9002
90022,,,2,2,,,,9002
90024,,,4,4,,,,9002
90031,,,,,,,,9003
90032,,,2,2,,,,9003
90034,,,4,4,,,,9003
90041,,,,,,,,9004
90042,,,2,2,,,,9004
90044,,,4,4,,,,9004
90051,,,,,,,,9005
90052,,,2,2,,,,9005
90054,,,4,4,,,,9005
90061,,,,,,,,9006
90062,,,2,2,,,,9006
90064,,,4,4,,,,9006
90071,,,,,,,,9007
90072,,,2,2,,,,9007
90074,,,4,4,,,,9007
90081,,,,,,,,9008
90082,,,2,2,,,,9008
90084,,,4,4,,,,9008
90091,,,,,,,,9009
90092,,,2,2,,,,9009
90094,,,4,4,,,,9009
90101,,,,,,,,9010
90102,,,2,2,,,,9010
90104,,,4,4,,,,9010
110011,,,,,,,,11001
110012,,,2,2,,,,11001
110014,,,4,4,,,,11001
110021,,,,,,,,11002
110022,,,2,2,,,,11002
110024,,,4,4,,,,11002
110031,,,,,,,,11003
110032,,,2,2,,,,11003
110034,,,4,4,,,,11003
110041,,,,,,,,11004
110042,,,2,2,,,,11004
110044,,,4,4,,,,11004
110051,,,,,,,,11005
110052,,,2,2,,,,11005
110054,,,4,4,,,,11005
110061,,,,,,,,11006
110062,,,2,2,,,,11006
110064,,,4,4,,,,11006
110071,,,,,,,,11007
110072,,,2,2,,,,11007
110074,,,4,4,,,,11007
110081,,,,,,,,11008
110082,,,2,2,,,,11008
110084,,,4,4,,,,11008
110091,,,,,,,,11009
110092,,,2,2,,,,11009
110094,,,4,4,,,,11009
110111,,,,,,,,11011
110112,,,2,2,,,,11011
110114,,,4,4,,,,11011
110131,,,,,,,,11013
110132,,,2,2,,,,11013
110134,,,4,4,,,,11013
110141,,,,,,,,11014
110142,,,2,2,,,,11014
110144,,,4,4,,,,11014
110151,,,,,,,,11015
110152,,,2,2,,,,11015
110154,,,4,4,,,,11015
110161,,,,,,,,11016
110162,,,2,2,,,,11016
110164,,,4,4,,,,11016
120011,,,,,,,,12001
120012,,,2,2,,,,12001
120014,,,4,4,,,,12001
120021,,,,,,,,12002
120022,,,2,2,,,,12002
120024,,,4,4,,,,12002
120031,,,,,,,,12003
120032,,,2,2,,,,12003
120034,,,4,4,,,,12003
120041,,,,,,,,12004
120042,,,2,2,,,,12004
120044,,,4,4,,,,12004
120051,,,,,,,,12005
120052,,,2,2,,,,12005
120054,,,4,4,,,,12005
120061,,,,,,,,12006
120062,,,2,2,,,,12006
120064,,,4,4,,,,12006
120071,,,,,,,,12007
120072,,,2,2,,,,12007
120074,,,4,4,,,,12007
120081,,,,,,,,12008
120082,,,2,2,,,,12008
120084,,,4,4,,,,12008
120091,,,,,,,,12009
120092,,,2,2,,,,12009
120094,,,4,4,,,,12009
120101,,,,,,,,12010
120102,,,2,2,,,,12010
120104,,,4,4,,,,12010
140011,,,,,,,,14001
140012,,,2,2,,,,14001
140014,,,4,4,,,,14001
140031,,,,,,,,14003
140032,,,2,2,,,,14003
140034,,,4,4,,,,14003
140041,,,,,,,,14004
140042,,,2,2,,,,14004
140044,,,4,4,,,,14004
140051,,,,,,,,14005
140052,,,2,2,,,,14005
140054,,,4,4,,,,14005
140061,,,,,,,,14006
140062,,,2,2,,,,14006
140064,,,4,4,,,,14006
140071,,,,,,,,14007
140072,,,2,2,,,,14007
140074,,,4,4,,,,14007
140081,,,,,,,,14008
140082,,,2,2,,,,14008
140084,,,4,4,,,,14008
140091,,,,,,,,14009
140092,,,2,2,,,,14009
140094,,,4,4,,,,14009
140101,,,,,,,,14010
140102,,,2,2,,,,14010
140104,,,4,4,,,,14010
140111,,,,,,,,14011
140112,,,2,2,,,,14011
140114,,,4,4,,,,14011
140121,,,,,,,,14012
140122,,,2,2,,,,14012
140124,,,4,4,,,,14012
160011,,,,,,,,16001
160012,,,2,2,,,,16001
160014,,,4,4,,,,16001
160031,,,,,,,,16003
160032,,,2,2,,,,16003
160034,,,4,4,,,,16003
160041,,,,,,,,16004
160042,,,2,2,,,,16004
160044,,,4,4,,,,16004
160051,,,,,,,,16005
160052,,,2,2,,,,16005
160054,,,4,4,,,,16005
160061,,,,,,,,16006
160062,,,2,2,,,,16006
160064,,,4,4,,,,16006
160071,,,,,,,,16007
160072,,,2,2,,,,16007
160074,,,4,4,,,,16007
160081,,,,,,,,16008
160082,,,2,2,,,,16008
160084,,,4,4,,,,16008
160091,,,,,,,,16009
160092,,,2,2,,,,16009
160094,,,4,4,,,,16009
160101,,,,,,,,16010
160102,,,2,2,,,,16010
160104,,,4,4,,,,16010
160111,,,,,,,,16011
160112,,,2,2,,,,16011
160114,,,4,4,,,,16011
170011,,,,,,,,17001
170012,,,2,2,,,,17001
170014,,,4,4,,,,17001
170021,,,,,,,,17002
170022,,,2,2,,,,17002
170024,,,4,4,,,,17002
170031,,,,,,,,17003
170032,,,2,2,,,,17003
170034,,,4,4,,,,17003
170041,,,,,,,,17004
170042,,,2,2,,,,17004
170044,,,4,4,,,,17004
170051,,,,,,,,17005
170052,,,2,2,,,,17005
170054,,,4,4,,,,17005
170061,,,,,,,,17006
170062,,,2,2,,,,17006
170064,,,4,4,,,,17006
170071,,,,,,,,17007
170072,,,2,2,,,,17007
170074,,,4,4,,,,17007
170081,,,,,,,,17008
170082,,,2,2,,,,17008
170084,,,4,4,,,,17008
170091,,,,,,,,17009
170092,,,2,2,,,,17009
170094,,,4,4,,,,17009
170101,,,,,,,,17010
170102,,,2,2,,,,17010
170104,,,4,4,,,,17010
170111,,,,,,,,17011
170112,,,2,2,,,,17011
170114,,,4,4,,,,17011
170121,,,,,,,,17012
170122,,,2,2,,,,17012
170124,,,4,4,,,,17012
180011,,,,,,,,18001
180012,,,2,2,,,,18001
180014,,,4,4,,,,18001
180021,,,,,,,,18002
180022,,,2,2,,,,18002
180024,,,4,4,,,,18002
180031,,,,,,,,18003
180032,,,2,2,,,,18003
180034,,,4,4,,,,18003
180041,,,,,,,,18004
180042,,,2,2,,,,18004
180044,,,4,4,,,,18004
180051,,,,,,,,18005
180052,,,2,2,,,,18005
180054,,,4,4,,,,18005
180061,,,,,,,,18006
180062,,,2,2,,,,18006
180064,,,4,4,,,,18006
180071,,,,,,,,18007
180072,,,2,2,,,,18007
180074,,,4,4,,,,18007
180081,,,,,,,,18008
180082,,,2,2,,,,18008
180084,,,4,4,,,,18008
180091,,,,,,,,18009
180092,,,2,2,,,,18009
180094,,,4,4,,,,18009
180101,,,,,,,,18010
180102,,,2,2,,,,18010
180104,,,4,4,,,,18010
180111,,,,,,,,18011
180112,,,2,2,,,,18011
180114,,,4,4,,,,18011
180121,,,,,,,,18012
180122,,,2,2,,,,18012
180124,,,4,4,,,,18012
180131,,,,,,,,18013
180132,,,2,2,,,,18013
180134,,,4,4,,,,18013
180141,,,,,,,,18014
180142,,,2,2,,,,18014
180144,,,4,4,,,,18014
180151,,,,,,,,18015
180152,,,2,2,,,,18015
180154,,,4,4,,,,18015
180161,,,,,,,,18016
180162,,,2,2,,,,18016
180164,,,4,4,,,,18016
180171,,,,,,,,18017
180172,,,2,2,,,,18017
180174,,,4,4,,,,18017
10001021,,,4,4,,<100015>,,1007
10001022,50,50,4,4,,<100017>,,7001
10001023,50,50,4,4,,<100045>,,7011
10001024,50,50,4,4,,<100019>,,16003
10001025,50,50,4,4,,<100044>,,7001
10001026,50,50,4,4,,<100034>,,11002
10001027,,,4,4,,<100025>,,7009
