变量名,name,back,battleType,icon,chapterLimit,weight,isEndShow,totalLimit,close,guideExit,failJump,iconScale,type,iconOffset,monster,shop,story,choose
215,精英战斗,,2,config/big_role/show/img_role_2@.png,,,,,FALSE,,,,1,,<15>,,,
216,首领战,,3,config/big_hero/normal/img_6_phl@.png,,,,,FALSE,,200010,1.6,1,{x=0;y=20},<16>,,,
217,普通战斗,,1,config/big_role/show/img_role_1@.png,,,,,FALSE,,,,1,,<17>,,,
218,普通战斗,,1,config/big_role/show/img_role_1@.png,,,,,FALSE,,,,1,,<18>,,,
219,精英战斗,,2,config/big_role/show/img_role_2@.png,,,,,FALSE,,,,1,,<19>,,,
220,首领战,,3,config/big_hero/normal/img_6_phl@.png,,,,,FALSE,,200010,1.6,1,{x=0;y=20},<20>,,,
221,巅峰对决,,,config/big_hero/normal/img_6_phl@.png,,,FALSE,,FALSE,,,,5,,,,,
224,火系阵容,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<12>,,
225,钢系阵容,,,config/big_role/show/img_role_6@.png,,,,,,,,,2,,,<13>,,
226,杂货店,,,config/big_role/show/img_role_7@.png,,,,,,,,,2,,,<14>,,
227,随机阵容,,,config/big_role/show/img_role_7@.png,,,,,,,,,2,,,<12;13>,,
228,普通,FALSE,1,config/big_role/show/img_role_1@.png,,,FALSE,,FALSE,,,,1,,<1;2>,,,
1001,商店,FALSE,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<1001>,,
1002,普通战斗,FALSE,1,config/big_role/show/img_role_32@.png,,,,,FALSE,,,,1,{x=40;y=0},<1001>,,,
1003,商店,FALSE,,config/big_role/show/img_role_6@.png,,,,,,,,,2,{x=-30;y=0},,<1002>,,
1004,精英战斗,FALSE,2,config/big_role/show/img_role_32@.png,,,,,FALSE,,,,1,{x=-25;y=0},<1002>,,,
1005,首领战斗,FALSE,3,config/big_hero/normal/img_6_phl@.png,,,,,FALSE,TRUE,200010,1.6,1,{x=0;y=20},<1003>,,,
100001,博士的考验,,1,config/big_role/show/img_role_32@.png,,,FALSE,,FALSE,,,,1,,<1000001;1000002;1000003;1000004;1000005;1000006;1000007;1000008;1000009;1000010;1000011;1000012;1000013>,,,
100002,野生宝可梦,,1,config/big_hero/normal/img_298_lll@.png,,,,,FALSE,,,,1,,<1000101;1000102;1000103;1000104;1000105;1000106;1000107;1000108;1000109;1000110;1000111;1000112;1000113>,,,
100003,训练家挑战,,2,config/big_role/show/img_role_29@.png,,,,,FALSE,,,,1,,<1000201;1000202;1000203;1000204;1000205;1000206;1000207;1000208;1000209;1000210;1000211;1000212;1000213>,,,
100004,训练家挑战,,2,config/big_role/show/img_role_29@.png,,,,,FALSE,,,,1,,<1000301;1000302;1000303;1000304;1000305;1000306;1000307;1000308;1000309;1000310;1000311;1000312;1000313>,,,
100005,宝可梦试炼,,3,config/big_hero/normal/img_6_phl@.png,,,,,FALSE,,200010,1.6,1,{x=0;y=20},<1000401;1000402;1000403;1000404;1000405;1000406;1000407;1000408;1000409;1000410;1000411;1000412;1000413>,,,
100006,野生宝可梦,,1,config/big_hero/normal/img_152_jcy@.png,,,,,FALSE,,,,1,,<1000501;1000502;1000503;1000504;1000505;1000506;1000507;1000508;1000509;1000510;1000511;1000512;1000513>,,,
100007,训练家挑战,,2,config/big_role/show/img_role_41@.png,,,,,FALSE,,,,1,,<1000601;1000602;1000603;1000604;1000605;1000606;1000607;1000608;1000609;1000610;1000611;1000612;1000613>,,,
100008,训练家挑战,,2,config/big_role/show/img_role_41@.png,,,,,FALSE,,,,1,,<1000701;1000702;1000703;1000704;1000705;1000706;1000707;1000708;1000709;1000710;1000711;1000712;1000713>,,,
100009,宝可梦试炼,,3,config/big_hero/normal/img_717_ypete@.png,,,,,FALSE,,200010,,1,,<1000801;1000802;1000803;1000804;1000805;1000806;1000807;1000808;1000809;1000810;1000811;1000812;1000813>,,,
100010,野生宝可梦,,1,config/big_hero/normal/img_202_grw@.png,,,,,FALSE,,,,1,{x=0;y=20},<1000901;1000902;1000903;1000904;1000905;1000906;1000907;1000908;1000909;1000910;1000911;1000912;1000913>,,,
100011,训练家挑战,,2,config/big_role/show/img_role_51@.png,,,,,FALSE,,,,1,,<1001001;1001002;1001003;1001004;1001005;1001006;1001007;1001008;1001009;1001010;1001011;1001012;1001013>,,,
100012,训练家挑战,,2,config/big_role/show/img_role_51@.png,,,,,FALSE,,,,1,,<1001101;1001102;1001103;1001104;1001105;1001106;1001107;1001108;1001109;1001110;1001111;1001112;1001113>,,,
100013,宝可梦试炼,,3,config/big_hero/normal/img_800_nklzm@.png,,,,,FALSE,,200010,,1,,<1001201;1001202;1001203;1001204;1001205;1001206;1001207;1001208;1001209;1001210;1001211;1001212;1001213>,,,
100101,森林的住民,FALSE,2,config/big_hero/normal/img_492_xmtkxt@.png,,,FALSE,,FALSE,,,,1,,<1010011>,,,
100102,愤怒的猎人,FALSE,2,config/big_role/show/img_role_51@.png,,,FALSE,,FALSE,,,,1,,<1010012>,,,
100103,擂台挑战,FALSE,2,config/big_hero/normal/img_66_wl@.png,,,FALSE,,FALSE,,,,1,,<1010013>,,,
100104,恶棍巢穴,FALSE,2,config/big_hero/normal/img_215_nl@.png,,,FALSE,,FALSE,,,,1,,<1010014>,,,
100105,古老陵墓,FALSE,2,config/big_hero/normal/img_607_zgl@.png,,,FALSE,,FALSE,,,,1,,<1010015>,,,
100106,心灵控制,FALSE,2,config/big_hero/normal/img_65_hd@.png,,,FALSE,,FALSE,,,,1,,<1010016>,,,
200001,免费领取,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<20>,,
200002,大商场,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<21>,,
200003,黑心商人,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<22>,,
200004,装备专卖,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<23>,,
200005,杂货店,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<24>,,
200006,特价促销,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<25>,,
200007,精灵之家,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<26>,,
200008,精灵精选,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<27;28;33>,,
200009,精灵精选,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<27;30;43>,,
200010,神秘人,,,config/big_role/show/img_role_52@.png,,,,,,,,,2,,,<45>,,
200011,补给站,,,config/big_role/show/img_role_16@.png,,,,,,,,,2,,,<46>,,
200012,精灵精选,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<27;40;42>,,
200013,药水商贩,,,config/big_role/show/img_role_52@.png,,,,,,,,,2,,,<47>,,
200014,精灵精选,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<27;37;44>,,
200015,精灵精选,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<27;29;32>,,
300001,耐力特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<11>
300002,力量特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<12>
300003,体力特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<13>
300004,魔鬼训练,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<14>
300005,耐力特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<15>
300006,力量特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<16>
300007,体力特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<17>
300008,耐力特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<18>
300009,力量特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<19>
300010,体力特训,,,config/big_role/show/img_role_13@.png,,,,,,,,,4,{x=-30;y=0},,,,<20>
400015,整装待发,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<15>,
400021,漆黑洞穴,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<21>,
400022,鱼的吃法,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<22>,
400023,拦路的大树,,,config/big_role/show/img_role_15@.png,,,,,FALSE,,,,3,{x=-30;y=0},,,<23>,
400024,悬崖,,,config/big_role/show/img_role_15@.png,,,,,FALSE,,,,3,{x=-30;y=0},,,<24>,
400025,森林的住民,,,config/big_role/show/img_role_15@.png,,,,,FALSE,,,,3,{x=-30;y=0},,,<25>,
400026,萤火森林,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<26>,
400027,恶棍巢穴,,,config/big_role/show/img_role_15@.png,,,,,FALSE,,,,3,{x=-30;y=0},,,<27>,
400028,擂台,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<28>,
400029,古老陵墓,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<29>,
400030,疯狂的宝可梦,,,config/big_role/show/img_role_15@.png,,,,,FALSE,,,,3,{x=-30;y=0},,,<30>,
400031,药水商贩,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<31>,
400032,迷路,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<32>,
400033,失窃,,,config/big_role/show/img_role_15@.png,,,,,FALSE,,,,3,{x=-30;y=0},,,<33>,
400034,怪蛋,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<34>,
400035,博士研究所,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<35>,
400101,草丛怪声,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<101>,
400102,报恩,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<102>,
400103,猎人的报复,,,config/big_role/show/img_role_15@.png,,,,,FALSE,,,,3,{x=-30;y=0},,,<103>,
400201,快递箱,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<201>,
400202,博士的住所,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<202>,
400301,银行,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<301>,
400302,银行,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<302>,
400303,银行,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<303>,
400304,银行,,,config/big_role/show/img_role_15@.png,,,,,,,,,3,{x=-30;y=0},,,<304>,
