变量名,jump,bg,chooseSkill,fake,must,random
56,,lushi/img_zzq_bg2.png,TRUE,,<100006;200014;100006;0;100007;0;300004;100008;0;100009>,<<300005;300006;300007>;<400201;400301;400021;400022;400023;400024;400025;400026;400027;400031;400032;400033;400034>;<200002;200003;200004;200005;200006;200007>>
57,113,lushi/img_zzq_bg3.png,,,<100010;200014;0;100010;200011;100012;0;100010;300004;100011;0;100013>,<<300008;300009;300010>;<400021;400022;400023;400024;400025;400026;400027;400028;400029;400030;400031;400032;400033;400035>;<200002;200003;200004;200005;200006;200007>>
58,,lushi/img_zzq_bg4.png,,TRUE,<221>,
61,,,,TRUE,<201>,
62,,,,TRUE,<201>,
63,,,,TRUE,<400015>,
64,,,,TRUE,<100001>,
65,,lushi/img_zzq_bg.png,,,<100002;200015;0;100004;0;300004;100003;0;100005>,<<300001;300002;300003>;<400101;400021;400022;400023;400024;400025;400033>;<200002;200003;200004;200005;200006;200007>>
66,,lushi/img_zzq_bg2.png,TRUE,,<100006;200015;100006;0;100007;0;300004;100008;0;100009>,<<300005;300006;300007>;<400201;400301;400021;400022;400023;400024;400025;400026;400027;400031;400032;400033;400034>;<200002;200003;200004;200005;200006;200007>>
67,113,lushi/img_zzq_bg3.png,,,<100010;200015;0;100010;200011;100012;0;100010;300004;100011;0;100013>,<<300008;300009;300010>;<400021;400022;400023;400024;400025;400026;400027;400028;400029;400030;400031;400032;400033;400035>;<200002;200003;200004;200005;200006;200007>>
68,,lushi/img_zzq_bg4.png,,TRUE,<221>,
1001,,,,TRUE,<1001>,
1002,,,,TRUE,<1002>,
1003,,,,TRUE,<1003>,
1004,,,,TRUE,<1004>,
1005,,,,TRUE,<1005>,
