变量名,name,easyEffectFunc,time,immuneType,overlayLimit,overlayType,combineArgs,groupPower,skillTimePos,equipBond,isShow,group,immuneBuff,dispelBuff,dispelType,specialVal,triggerBehaviors,specialEffect,specialTarget,triggerPriority
100311,Punching Glove (Main),,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=100312}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>}},,,
100312,Punching Glove (Main),quickStrike,99,,1,1,TRUE,,,TRUE,,<129;34;36>,,,,"<more(holder:attack(),beAttacked:attack())>",,,,
100400,Spinda,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100401}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
100401,Spinda,,99,,1,1,,,,,,<114>,,,,,{1={funcArgs=<<{caster=2;value=<2;1>;holder={process=field|random(csvSelectObj:star());input=enemyForce|nodead};cfgId=100402}>>;onSomeFlag=<target:inField()>;triggerPoint=204;effectFuncs=<castBuff>}},,,
100402,Spinda,stun,,,1,1,TRUE,,,,TRUE,<119;34;35>,,,,,,{0=1003},,
100411,Gold Teeth,,99,,1,,,,,TRUE,,<114>,,,,,{1={funcArgs=<<{caster=1;value=1;holder=3;cfgId=100412}>>;onSomeFlag=<target:inField()>;triggerPoint=204;effectFuncs=<castBuff>}},,,
100412,Gold Teeth,gainGold,,,1,1,,,,TRUE,,,,,,,,,,
100500,Exploud,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100501}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
100501,Exploud,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{cfgId=100502;prob=moreE(target:star(),1) and 1 or 0;value=1;holder={process=field|excludeID(list(csvSelf:id()));input=all|nodead};caster=2}>;<{cfgId=100502;prob=moreE(target:star(),2) and 1 or 0;value=1;holder={process=field|excludeID(list(csvSelf:id()));input=all|nodead};caster=2}>;<{cfgId=100502;prob=moreE(target:star(),4) and 1 or 0;value=1;holder={process=field|excludeID(list(csvSelf:id()));input=all|nodead};caster=2}>;<{cfgId=100502;prob=moreE(target:star(),4) and 1 or 0;value=1;holder={process=field|excludeID(list(csvSelf:id()));input=all|nodead};caster=2}>>;onSomeFlag=<target:inField()>;triggerPoint=205;effectFuncs=<playEffect;castBuff;castBuff;castBuff;castBuff>}}",,,
100502,Exploud,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
100600,Lickitung,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100601}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
100601,Lickitung,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=<2;1>;holder=9;cfgId=100602}>;<{caster=2;value=-target:star()*3;holder=9;cfgId=100603}>>;onSomeFlag=<target:inField()>;triggerPoint=32;effectFuncs=<castBuff;castBuff>}},,,
100602,Lickitung,stun,,,1,1,TRUE,,,,TRUE,<119;34;35>,,,,,,{0=1003},,
100603,Lickitung,attack,,,99,2,TRUE,,,,,<24;25;34;35>,,,,,,,,
100700,Slaking,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100701}>;<{caster=2;value=0;holder=1;cfgId=100705}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
100701,Slaking,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=2;value=<2;1>;holder=1;cfgId=100702}>>;onSomeFlag=<target:inField()>;triggerPoint=32;effectFuncs=<playEffect;castBuff>}},,,
100702,Slaking,stun,,,1,1,TRUE,,,,TRUE,<119;34;35>,,,,,,{0=1003},,
100703,Slaking,attack,99,,99,2,TRUE,,,,,<10;11;34;36>,,,,,,,,
100704,Slaking,hpMax,99,,99,2,TRUE,,,,,<10;13;34;36>,,,,,,,,
100705,Slaking,,99,,1,1,,,,,,,,,,,"{1={funcArgs=<<2>;<{caster=2;value=target:star()*2;holder=1;cfgId=100703}>;<{caster=2;value=target:star()*3;holder=1;cfgId=100704}>>;onSomeFlag=<hasIntersection(trigger:group(),list(119)) and target:inField()>;triggerPoint=16;effectFuncs=<playEffect;castBuff;castBuff>}}",,,
100800,Blissey,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100801}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
100801,Blissey,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=2;value=0;holder={process=field|random(csvSelectObj:star());input=selfForce|nodead};cfgId=100802}>>;onSomeFlag=<target:inField()>;triggerPoint=18;effectFuncs=<playEffect;castBuff>}},,,
100802,Blissey,,,,1,1,,,,,,,,,,,"{1={funcArgs=<<{prob=moreE(target:hp(),target:hpMax()) and 1 or 0;cfgId=100803;value=self:star();holder=1;caster=2}>;<{prob=1;cfgId=100804;value=10;holder=1;caster=2}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}}",,,
100803,Blissey,hpMax,99,,99,2,TRUE,,,,,<10;13;34;36>,,,,,,,,
100804,Blissey,heal,,,1,1,,,,,TRUE,<127>,,,,,,{0=1006},,
100811,Whipped Dream,,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=1;value=<2;1>;holder=1;cfgId=100812}>>;onSomeFlag=<target:inField()>;triggerPoint=5;effectFuncs=<castBuff>}},,,
100812,Whipped Dream,stun,,,1,1,TRUE,,,TRUE,TRUE,<119;34;35>,,,,,,{0=1003},,
100900,Meowth,,99,,1,,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=2;value=target:star()*3;holder=3;cfgId=100901}>>;triggerPoint=3;effectFuncs=<playEffect;castBuff>}},,,
100901,Meowth,gainGold,,,1,1,,,,,,,,,,,,,,
100911,Power Bracer,,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=2;value=2;holder=1;cfgId=100912}>>;onSomeFlag=<target:inField()>;triggerPoint=17;effectFuncs=<castBuff>}},,,
100912,Power Bracer,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
101000,Igglybuff,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=self:star()*5;holder=1;cfgId=101001}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101001,Igglybuff,defence,99,,99,2,TRUE,,,,,<10;12;34;36>,,,,,,,,
101011,Reaper Cloth,,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=101012}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=1;value=0;holder=1;cfgId=101012}>>;onSomeFlag=<target:inField()>;triggerPoint=33;effectFuncs=<castBuff>}},,,
101012,Reaper Cloth,stealth,,,1,,TRUE,,,TRUE,TRUE,<124;34;36>,,,,,,{0=1004},,
101100,Regigigas,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=101101}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101101,Regigigas,,99,,1,,,,,,,,,,,,"{1={funcArgs=<<2>;<{caster=2;value=math.floor(trigger.lostHp:get(3)*target:star()*0.5);holder=1;cfgId=101102}>>;onSomeFlag=<target:inField()>;triggerPoint=14;effectFuncs=<playEffect;castBuff>};2={funcArgs=<<{prob=lessE(target2:hp(),target:attack()) and 1 or 0;cfgId=101103;value=0;holder=9;caster=2}>>;onSomeFlag=<target:inField()>;triggerPoint=31;effectFuncs=<castBuff>}}",,,
101102,Regigigas,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
101103,Regigigas,destroy,,,1,1,TRUE,,,,,<135>,,,,,{0={triggerPoint=1};1={funcArgs=<<{caster=2;value=<3>;holder=2;cfgId=100040}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101111,Quick Claw,,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=2;value=3;holder=1;cfgId=101112}>>;onSomeFlag=<target:inField()>;triggerPoint=12;effectFuncs=<castBuff>}},,,
101112,Quick Claw,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
101200,Munchlax,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=101201}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<2>;<{caster=2;value=self:shield()*self:star();holder=9;cfgId=101202}>>;triggerPoint=32;effectFuncs=<playEffect;castBuff>}},,,
101201,Munchlax,shieldEX,99,,1,1,TRUE,,,,TRUE,<132;34;36>,,,,,,{0=1016},,
101202,Munchlax,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
101211,Scope Lens,,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=101212}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=1;value=0;holder=1;cfgId=101212}>>;onSomeFlag=<target:inField()>;triggerPoint=33;effectFuncs=<castBuff>}},,,
101212,Scope Lens,strike,,,1,1,TRUE,,,TRUE,TRUE,<115;34;36>,,,,,,{0=1001},,
101300,Jigglypuff,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=101301}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101301,Jigglypuff,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=101302;value=0;holder=18;prob=(target2:team()==self:team()) and  1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff>}},,,
101302,Jigglypuff,,99,,99,2,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=<1008>;holder=2;cfgId=100040}>;<{ignoreAura=1;cfgId=101303;prob=1;value=self:star()*4;holder=1;caster=2}>;<{ignoreAura=1;cfgId=101303;prob=1;value=self:star()*4;holder=2;caster=2}>>;onSomeFlag=<less(target:attack(),self:attack())>;triggerPoint=231;effectFuncs=<castBuff;castBuff;castBuff>}}",,,
101303,Jigglypuff,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
101311,Magmarizer,,99,,1,,,,,TRUE,,,<100011>,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=101312}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=1;value=0;holder=1;cfgId=101312}>>;onSomeFlag=<target:inField()>;triggerPoint=33;effectFuncs=<castBuff>}},,,
101312,Magmarizer,strike,,,1,1,TRUE,,,TRUE,TRUE,<115;34;36>,,,,,,{0=1001},,
101400,Doduo,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{cfgId=101401;prob=1;value=<self:star()>;holder=1;caster=2}>>;triggerPoint=5;effectFuncs=<castBuff>}},,,
101401,Doduo,actionTimes,99,,1,1,TRUE,,,,,<137>,,,,,,,,
101411,King's Rock,,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=1;value=<2;1>;holder=9;cfgId=101412}>>;onSomeFlag=<target:inField()>;triggerPoint=32;effectFuncs=<castBuff>}},,,
101412,King's Rock,stun,,,1,1,TRUE,,,TRUE,TRUE,<119;34;35>,,,,,,{0=1003},,
101500,Rattata,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=101501}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101501,Rattata,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=101502;value=0;holder=18;prob=(target2:team()==self:team()) and  1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff>}},,,
101502,Rattata,,99,,99,2,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=<1008>;holder=2;cfgId=100040}>;<{cfgId=101503;prob=1;value=self:star()*5;holder={process=field|random(1);input=enemyForce|nodead};caster=2}>>;onSomeFlag=<less(target:attack(),self:attack())>;triggerPoint=231;effectFuncs=<castBuff;castBuff>}}",,,
101503,Rattata,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
101511,Mental Herb,,99,,1,,,,,TRUE,,,,,,,"{1={funcArgs=<<2>;<{caster=1;value=0;holder=1;cfgId=101512}>>;onSomeFlag=<hasIntersection(trigger:group(),list(119)) and target:inField()>;triggerPoint=16;effectFuncs=<playEffect;castBuff>}}",,,
101512,Mental Herb,,,,1,1,,,,TRUE,,,,<119>,,,,,,
101600,Meloetta·Aria,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=101601}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101601,Meloetta·Aria,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=101602;value=0;holder=18;prob=(target2:team()==self:team()) and  1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff>}},,,
101602,Meloetta·Aria,,99,,99,2,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=<1008>;holder=2;cfgId=100040}>;<{ignoreAura=1;cfgId=101603;prob=1;value=max(0,(self:attack()-target:attack()));holder=1;caster=2}>;<{ignoreAura=1;cfgId=101603;prob=1;value=self:star()*6;holder=2;caster=2}>;<{ignoreAura=1;cfgId=101604;prob=1;value=self:star()*6;holder=2;caster=2}>>;onSomeFlag=<less(target:attack(),self:attack())>;triggerPoint=231;effectFuncs=<castBuff;castBuff;castBuff;castBuff>}}",,,
101603,Meloetta·Aria,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
101604,Meloetta·Aria,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
101611,Black Belt,,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=101612}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101612,Black Belt,changeAttackTarget,99,,1,1,TRUE,,,TRUE,,<122>,,,,<30>,,,"{process=field|attr(""broken"",""max"",1);input=enemyForce|nodead}",
101700,Meloetta·Pirouette,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=101701}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101701,Meloetta·Pirouette,auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=101702;value=0;holder=18;prob=(target2:team()==self:team()) and  1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff>}},,,
101702,Meloetta·Pirouette,,99,,99,2,,,,,,,,,,,"{1={funcArgs=<<{caster=2;value=<1008>;holder=2;cfgId=100040}>;<{ignoreAura=1;cfgId=101703;prob=1;value=self:star()*6;holder=2;caster=2}>;<{ignoreAura=1;cfgId=101707;prob=1;value=self:star()*6;holder=2;caster=2}>;<{prob=1;cfgId=101704;value=0;holder=2;caster=2}>>;onSomeFlag=<less(target:attack(),self:attack())>;triggerPoint=231;effectFuncs=<castBuff;castBuff;castBuff;castBuff>}}",,,
101703,Meloetta·Pirouette,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
101704,Meloetta·Pirouette,,,,99,2,,,,,,<101704>,,,,,"{1={funcArgs=<<{caster=2;value=0;holder={process=field|attrFilter(""attack"",""less"",csvSelf:attack())|random(csvSelectObj:star());input=enemyForce|nodead};cfgId=101705}>;<{caster=2;value=0;holder=2;cfgId=101706}>>;onSomeFlag=<target:getBuffOverlayCount(101704)==3>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}}",,,
101705,Meloetta·Pirouette,destroy,,,1,1,TRUE,,,,TRUE,<135>,,,,,{0={triggerPoint=1};1={funcArgs=<<{caster=2;value=<2>;holder=2;cfgId=100040}>;<{caster=2;value=<3>;holder=1;cfgId=100040}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},{0=1013},,
101706,Meloetta·Pirouette,,,,1,1,,,,,,,,<101704>,,,,,,
101707,Meloetta·Pirouette,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
101711,Rusted Sword,,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{bond=1;caster=1;value=<1>;holder=1;cfgId=101712}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=1;value=3;holder=1;cfgId=101713}>;<{caster=1;value=3;holder=1;cfgId=101714}>>;onSomeFlag=<target:inField()>;triggerPoint=31;effectFuncs=<castBuff;castBuff>}},,,
101712,Rusted Sword,actionTimes,99,,1,1,TRUE,,,TRUE,,<137>,,,,,,,,
101713,Rusted Sword,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
101714,Rusted Sword,hpMax,,,99,2,TRUE,,,,,<20;23;34;36>,,,,,,,,
