变量名,name,filterTarget,rarity,res,price,type,weight,pvpShowInHandBook,showInHandBook,level,overtime,overtype,desc,canSell,resScale,cardEffect,resPos,buff,findBuff,keyWords
200107,强化·团结一心,,5,config/lushi/img_sj_7.png,6,2,,,TRUE,,,,,TRUE,,战斗开始时，己方场上每有一只精灵，为所有精灵+4攻击，+4生命,,<510601>,,
200108,强化·除虫喷雾,,5,config/lushi/img_sj_8.png,6,,,,TRUE,,,,,,,下一场战斗开始时，对敌方全体造成8点技能伤害，触发3次,,<510701>,,
200109,强化·虚弱喷雾,,5,config/lushi/img_sj_9.png,6,,,,TRUE,,,,,,,下一场战斗开始时，使全体敌方攻击力减半并【晕眩】,,<510801>,,<【晕眩】>
200110,强化·防护装置,,5,config/lushi/img_sj_10.png,6,2,,,TRUE,,,,,TRUE,,己方场上精灵受到的伤害-6，至多降为1点,,<510901>,,
200111,强化·神奇糖果,,5,config/lushi/img_sj_11.png,6,,,,TRUE,,,,,,,让己方场上全部1星精灵星级永久翻倍,,<511001>,,
200112,强化·巨化喷雾,,5,config/lushi/img_sj_12.png,6,,,,TRUE,,,,,,,让己方场上全部精灵血量永久翻倍,,<511101>,,
200113,强化·硬化喷雾,,5,config/lushi/img_sj_13.png,6,,,,TRUE,,,,,,,让己方场上全部精灵护甲永久翻倍,,<511201>,,
200114,强化·强化喷雾,,5,config/lushi/img_sj_14.png,6,,,,TRUE,,,,,,,让己方场上全部精灵攻击永久翻倍,,<511301>,,
200115,强化·贵重球,,5,config/lushi/img_sj_15.png,6,,,,TRUE,,,,,,,打出后【发现】一张价格为6的精灵卡,,<511401>,,<【发现】>
200116,强化·精灵球,,5,config/lushi/img_sj_16.png,6,,,,TRUE,,,,,,,打出后【发现】一张精灵卡，触发两次,,<511511>,,<【发现】>
200117,强化·黄金宝箱,,5,config/lushi/img_sj_17.png,6,,,,TRUE,,,,,,,打出后【发现】一张价格为6的装备卡,,<511601>,,<【发现】>
200118,强化·木制宝箱,,5,config/lushi/img_sj_18.png,6,,,,TRUE,,,,,,,打出后【发现】一张装备卡，触发两次,,<511701>,,<【发现】>
200119,强化·预言之书,,5,config/lushi/img_sj_19.png,6,,,,TRUE,,,,,,,下三场战斗，若己方获胜，获得8金币,,<511801>,,
200120,强化·讨价还价,,5,config/lushi/img_sj_20.png,6,,,,TRUE,,,,,,,将己方场上全部精灵以4金币价格出售,,<511901>,,
200121,强化·理财能手,,5,config/lushi/img_sj_21.png,6,,,,TRUE,,,,,,,打出时，令金币量翻倍,,<512001>,,
200122,强化·营地休整,,5,config/lushi/img_sj_22.png,6,,,,TRUE,,,,,,,训练家生命值+6，己方场上的精灵永久+10生命,,<512101>,,
200123,强化·离洞绳,,5,config/lushi/img_sj_23.png,6,,,,TRUE,,,,,,,下三场战斗，训练家不会受到伤害,,<512201>,,
200201,生长,TRUE,,config/lushi/img_sj_25.png,2,,45,,,,,,,,,选择一个精灵，令其永久+1攻击,,,<520101>,
200202,生长,TRUE,,config/lushi/img_sj_25.png,2,,45,,,,,,,,,选择一个精灵，令其永久+1生命,,,<520102>,
200203,生长,TRUE,2,config/lushi/img_sj_25.png,3,,10,,,,,,,,,选择一个精灵，令其永久+1攻击，+1生命,,,<520103>,
200204,生长,TRUE,2,config/lushi/img_sj_25.png,3,,45,,,,,,,,,选择一个精灵，令其永久+2攻击,,,<520104>,
200205,生长,TRUE,2,config/lushi/img_sj_25.png,3,,45,,,,,,,,,选择一个精灵，令其永久+2生命,,,<520105>,
200206,生长,TRUE,3,config/lushi/img_sj_25.png,4,,10,,,,,,,,,选择一个精灵，令其永久+2攻击，+2生命,,,<520106>,
200207,生长,TRUE,3,config/lushi/img_sj_25.png,4,,45,,,,,,,,,选择一个精灵，令其永久+4攻击,,,<520107>,
200208,生长,TRUE,3,config/lushi/img_sj_25.png,4,,45,,,,,,,,,选择一个精灵，令其永久+4生命,,,<520108>,
200209,生长,TRUE,4,config/lushi/img_sj_25.png,5,,10,,,,,,,,,选择一个精灵，令其永久+4攻击，+4生命,,,<520109>,
500001,进化,,5,config/lushi/img_sj_3.png,6,,,,,,,,,,,【发现】一张强力的精灵卡,,<50000100>,,<【发现】>
500041,生长,TRUE,,config/lushi/img_sj_25.png,2,,45,,,,,,,,,选择一个精灵，令其永久+1#HIDE#(+$(selfTrainer:hasBuff(30401202) and selfTrainer:getBuff(30401202):getValue() or 0)$)#HIDE#攻击,,,<30000041>,
500042,生长,TRUE,,config/lushi/img_sj_25.png,2,,45,,,,,,,,,选择一个精灵，令其永久+1#HIDE#(+$(selfTrainer:hasBuff(30401102) and selfTrainer:getBuff(30401102):getValue() or 0)$)#HIDE#生命,,,<30000042>,
500043,生长,TRUE,2,config/lushi/img_sj_25.png,3,,10,,,,,,,,,选择一个精灵，令其永久+1#HIDE#(+$(selfTrainer:hasBuff(30401202) and selfTrainer:getBuff(30401202):getValue() or 0)$)#HIDE#攻击，+1#HIDE#(+$(selfTrainer:hasBuff(30401102) and selfTrainer:getBuff(30401102):getValue() or 0)$)#HIDE#生命,,,<30000043>,
500044,生长,TRUE,2,config/lushi/img_sj_25.png,3,,45,,,,,,,,,选择一个精灵，令其永久+2#HIDE#(+$(selfTrainer:hasBuff(30401202) and selfTrainer:getBuff(30401202):getValue() or 0)$)#HIDE#攻击,,,<30000044>,
500045,生长,TRUE,2,config/lushi/img_sj_25.png,3,,45,,,,,,,,,选择一个精灵，令其永久+2#HIDE#(+$(selfTrainer:hasBuff(30401102) and selfTrainer:getBuff(30401102):getValue() or 0)$)#HIDE#生命,,,<30000045>,
500046,生长,TRUE,3,config/lushi/img_sj_25.png,4,,10,,,,,,,,,选择一个精灵，令其永久+2#HIDE#(+$(selfTrainer:hasBuff(30401202) and selfTrainer:getBuff(30401202):getValue() or 0)$)#HIDE#攻击，+2#HIDE#(+$(selfTrainer:hasBuff(30401102) and selfTrainer:getBuff(30401102):getValue() or 0)$)#HIDE#生命,,,<30000046>,
500047,生长,TRUE,3,config/lushi/img_sj_25.png,4,,45,,,,,,,,,选择一个精灵，令其永久+4#HIDE#(+$(selfTrainer:hasBuff(30401202) and selfTrainer:getBuff(30401202):getValue() or 0)$)#HIDE#攻击,,,<30000047>,
500048,生长,TRUE,3,config/lushi/img_sj_25.png,4,,45,,,,,,,,,选择一个精灵，令其永久+4#HIDE#(+$(selfTrainer:hasBuff(30401102) and selfTrainer:getBuff(30401102):getValue() or 0)$)#HIDE#生命,,,<30000048>,
500049,生长,TRUE,4,config/lushi/img_sj_25.png,5,,10,,,,,,,,,选择一个精灵，令其永久+4#HIDE#(+$(selfTrainer:hasBuff(30401202) and selfTrainer:getBuff(30401202):getValue() or 0)$)#HIDE#攻击，+4#HIDE#(+$(selfTrainer:hasBuff(30401102) and selfTrainer:getBuff(30401102):getValue() or 0)$)#HIDE#生命,,,<30000049>,
501001,战意,,,config/lushi/event_1001.png,2,2,,TRUE,,,,,,TRUE,,战斗开始时，己方精灵+3攻击，+3生命,,<50100100>,,
501002,兴奋剂,TRUE,,config/lushi/event_1002.png,2,,,TRUE,,,,,,,,选择一个精灵，使其+10攻击，+10生命，持续1场战斗,,,<50100200>,
501003,绿色药丸,TRUE,,config/lushi/event_1003.png,2,,,TRUE,,,,,,,,选择一个精灵，使其永久+3生命,,,<50100300>,
501004,红色药丸,TRUE,,config/lushi/event_1004.png,2,,,TRUE,,,,,,,,选择一个精灵，使其永久+3攻击,,,<50100400>,
501005,蓝色药丸,TRUE,,config/lushi/event_1005.png,2,,,TRUE,,,,,,,,选择一个精灵，使其永久+3护甲,,,<50100500>,
501006,复仇之心,,,config/lushi/event_1006.png,2,2,,TRUE,,,,,,TRUE,,战斗失败时，己方场上精灵永久+2攻击，永久+2生命,,<50100600>,,
501007,会员日,,,config/lushi/event_1007.png,2,,,,,,,,,,,刷新商店，然后令最左侧商品价格-2,,<50100700>,,
501008,进货,TRUE,,config/lushi/event_1008.png,2,,,,,,,,,,,选择一个精灵，将其2张复制加入商店库存,,,<50100800>,
501009,改造锤,TRUE,,config/lushi/event_1009.png,2,,,,,,,,,,,选择一个精灵，将其永久【变形】为(费用+1)的同星级的随机精灵,,,<50100900>,<【变形】>
501010,幕后的汗水,,,config/lushi/event_1010.png,2,2,,TRUE,,,,,,TRUE,,准备阶段结束时，己方手牌精灵永久+2攻击，永久+2生命,,<50101000>,,
501011,新???,TRUE,,config/lushi/event_5003.png,2,,,TRUE,,,,,,,,祝可爱的玩家们新的一年龙腾蛇跃，宏图大展。\n选择一个精灵，使其行动次数+1，持续1场战斗,,,<50101100>,<【新春限定】>
502001,彩虹,TRUE,2,config/lushi/img_sj_16.png,3,,,TRUE,,,,,,,,选择一个精灵，永久+1攻，永久+1血，己方每有1种自然属性，重复一次,,,<50200100>,
502002,?年??,,2,config/lushi/event_5003.png,3,,,TRUE,,,,,,,,祝可爱的玩家们新的一年鸿运当头，好运常在。\n下一场战斗若己方获胜，敌方训练家所受伤害+2，并获得6金币,,<50200200>,,<【新春限定】>
502003,预言·负,,2,config/lushi/event_2003.png,3,,,TRUE,,,,,,,,下一场战斗若己方失败，己方训练家所受伤害-2，并获得6金币,,<50200300>,,
502004,防御改装,TRUE,2,config/lushi/event_2004.png,3,,,TRUE,,,,,,,,选择一个精灵，若其没有【守卫】，使其永久获得【守卫】；否则永久移除其【守卫】,,,<50200400>,<【守卫】>
502005,进攻改装,TRUE,2,config/lushi/event_2005.png,3,,,TRUE,,,,,,,,选择一个精灵，若其没有【强攻】，使其永久获得【强攻】；否则永久移除其【强攻】,,,<50200500>,<【强攻】>
502006,和平主义,,2,config/lushi/event_2006.png,3,,,TRUE,,,,,,,,下一场战斗，双方训练家均不会受到伤害,,<50200600>,,
502007,神奇糖果,target:star()==1,2,config/lushi/event_2007.png,3,,,TRUE,,,,,,,,选择一个1星精灵，使其星级翻倍,,,<50200700>,
502008,讨价还价,TRUE,2,config/lushi/event_2008.png,3,,,TRUE,,,,,,,,选择一个精灵，将其以原价出售,,,<50200800>,
502009,团结之力,,2,config/lushi/event_2009.png,3,2,,TRUE,,,,,,TRUE,,战斗开始时，己方场上每有一只精灵，己方精灵+2攻击，+2生命,,<50200900>,,
502010,镇店之宝,,2,config/lushi/event_2010.png,3,,,,,,,,,,,刷新商店，使刷出来的卡必定符合当前商店等级,,<50201000>,,
502011,戏法空间,,2,config/lushi/event_2011.png,3,,,,,,,,,,,下一场战斗开始时，双方最右侧精灵先获得1次行动,,<50201100>,,
502012,放大镜2,,2,config/lushi/event_3011.png,3,,,TRUE,,,,,,,,从商店库存中【发现】1张价格为2的卡牌,,<50201200>,,<【发现】>
503001,隐居的铁匠,,3,config/lushi/event_3001.png,4,,,TRUE,,,,,,,,【发现】一张不高于当前商店等级的装备卡,,<50300100>,,<【发现】>
503002,克隆,TRUE,3,config/lushi/event_3002.png,4,,,TRUE,,,,,,,,选择一个精灵，获得其1张1星原始复制,,,<50300200>,
503003,强夺,,3,config/lushi/event_3003.png,4,,,,,,,,,,,从当前商品中随机获取1张卡牌,,<50300300>,,
503004,回收,TRUE,3,config/lushi/img_sj_5.png,4,,,TRUE,,,,,,,,选择一个精灵，使其返回手牌,,,<50300400>,
503005,杀虫喷雾,,3,config/lushi/img_sj_8.png,4,,,TRUE,,,,,,,,下场战斗开始时，对敌方全体造成8点技能伤害,,<50300500>,,
503006,??快?,,3,config/lushi/event_5003.png,4,,,TRUE,,,,,,,,祝可爱的玩家们新的一年身体健康，无病无灾。\n训练家生命+1；若训练家生命低于5，改为+5,,<50300600>,,<【新春限定】>
503007,地雷,,3,config/lushi/event_3007.png,4,,,TRUE,,,,,,,,下一场战斗，敌方攻击高于100的精灵行动前，先对其造成等于其攻击的技能伤害,,<50300700>,,
503008,蝴蝶效应,,3,config/lushi/event_3008.png,4,2,,,,,,,,TRUE,,商店中事件卡价格-1,,<50300800>,,
503009,放大手电筒,,3,config/lushi/event_3009.png,4,2,,TRUE,,,,,,TRUE,,准备阶段，己方精灵获得永久属性时，额外永久+2对应属性,,<50300900>,,
503010,神秘商人,,3,config/lushi/event_3010.png,4,,,,,,,,,,,本回合，金币不够时，可以使用训练家生命支付,,<50301000>,,
503011,放大镜3,,3,config/lushi/event_3011.png,4,,,TRUE,,,,,,,,从商店库存中【发现】1张价格为3的卡牌,,<50301100>,,<【发现】>
503012,防护装置,,3,config/lushi/event_3012.png,4,2,,TRUE,,,,,,TRUE,,己方精灵受到伤害-2（可叠加，至多减为1）,,<50301200>,,
504001,完美闪避,TRUE,4,config/lushi/event_4001.png,5,,,,,,,,,,,选择一个精灵，使其每场战斗可以免疫首次受到的攻击伤害,,,<50400100>,
504002,一分钱一分货,,4,config/lushi/event_4002.png,5,,,,,,,,,,,本局游戏中，商店精灵卡价格永久+1，并且属性翻倍1次,,<50400200>,,
504003,紧急支援,,4,config/lushi/img_sj_15.png,5,,,TRUE,,,,,,,,从商店库存中获得1张随机卡牌；若训练家生命低于5，改为获得4张,,<50400300>,,
504004,批量克隆,,4,config/lushi/event_3002.png,5,,,TRUE,,,,,,,,随机选择一个己方角色，将其他角色都变成该角色的原始复制,,<50400400>,,
504005,下克上项链,,4,config/lushi/img_sj_17.png,5,2,,TRUE,,,,,,TRUE,,每场战斗1次，己方精灵攻击攻击力高于自身的目标前，自身属性翻倍,,<50400500>,,
504006,甄选装备,,4,config/lushi/event_4006.png,5,,,,,,,,,,,刷新商店，必然全为装备卡,,<50400600>,,
504007,甄选事件,,4,config/lushi/event_4007.png,5,,,,,,,,,,,刷新商店，必然全为事件卡,,<50400700>,,
504008,强化糖果,target:star()==1 or target:star()==2,4,config/lushi/event_4008.png,5,,,TRUE,,,,,,,,选择一个1星或2星精灵，使其星级翻倍,,,<50400800>,
504009,泡泡浴,,4,config/lushi/event_4009.png,5,2,,,,,,,,TRUE,,战斗中，己方精灵进场时，使其获得【护盾】,,<50400900>,,<【护盾】>
504010,胡帕的恶作剧,,4,config/lushi/event_4010.png,5,,,,,,,,,,,以1金币出售场上所有精灵，然后用随机精灵填满你的战场,,<50401000>,,
504011,放大镜4,,4,config/lushi/event_3011.png,5,,,TRUE,,,,,,,,从商店库存中【发现】1张价格为4的卡牌,,<50401100>,,<【发现】>
504012,逝时若光,,4,config/lushi/img_sj_25.png,5,,,TRUE,,,,,,,,令己方精灵【计时】-1,,<50401200>,,<【计时】>
504013,传承,TRUE,4,config/lushi/img_sj_25.png,5,,,TRUE,,,,,,,,选择一个精灵，将其移除，然后令场上最左侧精灵获得被移除精灵的属性,,,<50401300>,
504014,分裂,TRUE,4,config/lushi/img_sj_25.png,5,,,,,,,,,,,选择一个精灵，将其移除，随机获得2张与其价格相同的精灵,,,<50401400>,
504015,羁绊,TRUE,4,config/lushi/img_sj_25.png,5,,,TRUE,,,,,,,,选择一个精灵，从商店库存中【发现】1张与其有相同自然属性的精灵,,,<50401500>,<【发现】>
504016,???乐,TRUE,4,config/lushi/event_5003.png,5,,,TRUE,,,,,,,,祝可爱的玩家们新的一年万象更新，瑞气盈门。\n选择一个精灵，将其移除，从商店库存中获得2张与其价格相同的精灵,,,<50401600>,<【新春限定】>
505000,进化,,5,config/lushi/img_sj_3.png,6,,,,,,,,,,,从商店库存【发现】一张(当前商店等级+1)的精灵卡,,<50500000>,,<【发现】>
505001,量身定制,TRUE,5,config/lushi/event_5001.png,6,,,TRUE,,,,,,,,选择一个精灵，使其装备槽变为2,,,<50500100>,
505002,往事回响,,5,config/lushi/img_sj_18.png,6,,,TRUE,,,,,,,,从商店库存【发现】一张不高于当前商店等级的事件卡,,<50500200>,,<【发现】>
505003,聚宝盆,,5,config/lushi/event_5003.png,6,,,TRUE,,,,,,,,当前金币量翻倍(至多20),,<50500300>,,
505004,医学奇迹,,5,config/lushi/event_5004.png,6,,,TRUE,,,,,,,,消耗所有金币，训练家生命+N（N为金币消耗量的一半，向上取整，至多20）,,<50500400>,,
505005,全副武装,,5,config/lushi/event_5005.png,6,2,,TRUE,,,,,,TRUE,,训练家受到伤害-1（可叠加4次）,,<50500500>,,
505006,最终决战,,5,config/lushi/event_5006.png,6,,,,,,,,,,,下场战斗中，双方在战斗中阵亡的精灵将被永久移除,,<50500600>,,
505007,特价商品,,5,config/lushi/event_5007.png,6,,,,,,,,,,,本回合，商店中商品价格减半,,<50500700>,,
505008,镜子戏法,,5,config/lushi/event_5008.png,6,2,,,,,,,,TRUE,,每场战斗1次，己方精灵行动前，若其为己方唯一单位，召唤3个它的【幻影】,,<50500800>,,<【幻影】>
505009,红色药水,TRUE,5,config/lushi/event_5009.png,6,,,TRUE,,,,,,,,选择一个精灵，使其攻击永久翻倍,,,<50500900>,
505010,绿色药水,TRUE,5,config/lushi/event_5010.png,6,,,TRUE,,,,,,,,选择一个精灵，使其生命永久翻倍,,,<50501000>,
505011,蓝色药水,TRUE,5,config/lushi/event_5011.png,6,,,TRUE,,,,,,,,选择一个精灵，使其护甲永久翻倍,,,<50501100>,
505012,放大镜5,,5,config/lushi/event_3011.png,6,,,TRUE,,,,,,,,从商店库存中【发现】1张价格为5的卡牌,,<50501200>,,<【发现】>
505013,交易,,5,config/lushi/event_4002.png,6,,,TRUE,,,,,,,,本回合，商店刷新价格变为0，但是每次刷新后训练家生命-1,,<50501300>,,
506001,解除伪装,,,config/lushi/event_3010.png,2,,,,,,,,,,,将训练家技能变为[伪装],,<50600100>,,
506002,大葱,TRUE,,config/lushi/img_sj_25.png,2,,40,,,,,,,,,选择一个精灵，使其获得【强攻】，持续1场战斗,,,<50600200>,<【强攻】>
506003,大葱,TRUE,2,config/lushi/img_sj_25.png,3,,40,,,,,,,,,选择一个精灵，使其获得【守卫】，持续1场战斗,,,<50600300>,<【守卫】>
506004,大葱,TRUE,3,config/lushi/img_sj_25.png,4,,20,,,,,,,,,选择一个精灵，使其获得【穿甲】，持续1场战斗,,,<50600400>,<【穿甲】>
506005,大葱,TRUE,4,config/lushi/img_sj_25.png,5,,20,,,,,,,,,选择一个精灵，使其获得【护盾】，持续1场战斗,,,<50600500>,<【护盾】>
506006,大葱,TRUE,5,config/lushi/img_sj_25.png,6,,10,,,,,,,,,选择一个精灵，使其获得【贯穿】，持续1场战斗,,,<50600600>,<【贯穿】>
506007,大葱,TRUE,5,config/lushi/img_sj_25.png,6,,10,,,,,,,,,选择一个精灵，使其获得【突袭】，持续1场战斗,,,<50600700>,<【突袭】>
506008,新年快乐,,5,config/lushi/event_5003.png,6,2,,,,,,,,TRUE,,祝可爱的玩家们新的一年日进斗金！财源滚滚！\n每个商店阶段开始时额外获得2金币！,,<50600800>,,
