变量名,catch,trainerId,descShow,desc,weight,group,specialWeight,trainerSkill,monsters,event,hand,awardWin,awardFail,exp,rewardWin,rewardFail
1000103,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<140101;10011;170071>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000104,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<140091;140101;140111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000105,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<10141;10151;110161>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000106,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<170071;170081;110151>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000107,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<70061;110111;40101>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000108,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<170081;170091;170071>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000109,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<20091;20111;10031>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000110,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<10141;10151;10151>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000111,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<180101;180101;180101>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000112,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<60121;60121;60121>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000113,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<30122;30192;30142>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000201,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<20021;20051;20052>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000202,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<10052;40112;40092>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000203,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<20111;20112;20112>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000204,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<70042;70052;70062>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000205,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<70081;70032;70062>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000206,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<10062;10061;10062>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000207,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<110092;110092;110082>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000208,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<70072;70092;70052>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000209,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<20091;20072;170092>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000210,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<180152;180152;180132>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000211,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<180122;180162;180132>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000212,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<30042;30041;30052;30051>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000213,,5,路边的训练家向你发起挑战！,训练家挑战,100,,,,<30142;30041;30042;30101>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000301,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<10011;70091;160111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000302,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<110161;110151;110091>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000303,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<140101;10011;170071>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000304,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<140091;140101;140111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000305,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<10141;10151;110161>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000306,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<170071;170081;110151>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000307,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<70061;110111;40101>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000308,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<170081;170091;170071>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000309,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<20091;20111;10031>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000310,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<10141;10151;10151>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000311,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<180101;180101;180101>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000312,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<60121;60121;60121>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000313,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<30122;30192;30142>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=165;gold=22500;libs=<8621;8621;8621;8622>},{coin19=100;gold=13500;libs=<8621;8621>}
1000401,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<10011;10012;110092;10031>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000402,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<10031;10032;10032;10031>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000403,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<20091;20092;170072;170071>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000404,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<20091;20092;20092;20101>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000405,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<70071;70072;110072;70071>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000406,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<40111;110092;40112;40111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000407,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<70061;70052;70062;70041>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000408,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<70081;70092;70082;70091>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000409,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<170091;170092;170082;170081>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000410,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<10221;10082;180132;180121>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000411,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<40091;40112;10052;180061>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000412,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<30172;30182;30152>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000413,,6,危险！前方监测到强大的宝可梦气场,宝可梦试炼,100,,,,<60112;60152;170072>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{gameGold=0},{fail=0;win=2},{7346=2;coin19=330;gold=45000;libs=<8621;8621;8621;8623;8630;8630>},{coin19=200;gold=27000;libs=<8621;8622;8630>}
1000501,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<70081;160092;160112;160081>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000502,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<160111;70042;20112;10051>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000503,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<170091;40112;20092;160111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000504,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<170091;140092;140092;40111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000505,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<140091;170072;140092;70052;40111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000506,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<10151;160092;160112;170072;160111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000507,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<70061;170072;20112;160092;20091>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000508,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<70081;70042;70062;160112;70051>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000509,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<70081;140092;160092;70062;70051>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000510,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<110091;110152;110162;180102;180121>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000511,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<180051;170092;180102;180152;180131>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000512,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<60072;60082;60131;60131>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000513,,7,野生的宝可梦出现了!,野生宝可梦,100,,,<10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013>,<30121;60122;60132>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000601,,8,路边的训练家向你发起挑战！,训练家挑战,100,,,<20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013>,<140092;10054;160112;10152;160082>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000602,,8,路边的训练家向你发起挑战！,训练家挑战,100,,,<20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013>,<160112;70062;20114;40112;10052>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000603,,8,路边的训练家向你发起挑战！,训练家挑战,100,,,<20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013>,<40112;70084;70062;10152;170072>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=4}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
