变量名,value,key
1001,"{100001,100002,100003,100004,100005,100006,100007,100008,100009,100010,100011,100012,100013,100014,100015,100016,100017,100018,100019,100020,100021,100022,100023,100024,100025,100026,100027,100028,100029,100030,100031,100032,100033,100034,100035,100036,100037,100038,100039,100040,100041,100042,100043,100044,100045,100046,100047,100048,100049,100050,100051,100052,100053,100054,100055,100056,100057,100058,100059,100060}",allEquips
1002,,equips1
1003,"{100005,100006,100007}",equips2
1004,"{100008,100009,100010,100011,100012,100026,100032,100055}",equips3
1005,"{100002,100004,100013,100014,100015,100016,100023,100037,100041,100047,100051,100053}",equips4
1006,"{100001,100003,100022,100025,100027,100028,100033,100036,100038,100039,100040,100042,100057,100059}",equips5
1007,"{100017,100018,100019,100020,100021,100024,100029,100030,100031,100034,100035,100043,100044,100045,100046,100048,100049,100050,100052,100054,100056,100058,100060}",equips6
2001,"{200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200015,200016,200017,200018,200019,200020,200021,200022,200023}",allEvents
2002,"{200105,200106,200107,200108,200109,200110,200111,200112,200113,200114,200115,200116,200117,200118,200119,200120,200121,200122,200123}",enhancedEvents
2003,"{200201,200202,200203}",grow1
2004,"{200204,200205,200206}",grow2
2005,"{200207,200208,200209}",grow4
2006,"{200201,200202,200203,200204,200205,200206,200207,200208,200209}",allGrow
2007,"{500041,500042,500043}",growp1
2008,"{500044,500045,500046}",growp2
2009,"{500047,500048,500049}",growp4
2010,"{506002,506003}",dacong1
2011,"{506002,506003,506004,506005}",dacong2
2012,"{506002,506003,506004,506005,506006,506007}",dacong4
10001,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34}",allTrainers
10002,{1},shopNatureMust
10003,"{2,3,4,11,17,18}",shopNatureRandom
10004,"{4,6,8,10,12,16,20,20,22,24,24,30}",roundGold
100001,"{10,11,12,13,20,21,22,23,115,117,123,124,126,128,129,132,133,14,15,16,17,24,25,26,27,119,142,144,148,151}",allStates
100002,"{14,15,16,17,24,25,26,27,119,142,144,148,151}",negativeState
100003,"{10,11,12,13,20,21,22,23,115,117,123,124,126,128,129,132,133}",positiveState
100004,"{10,11,12,13,20,21,22,23}",attrUp
100005,"{14,15,16,17,24,25,26,27}",attrDown
