变量名,name,type,resScale,wholeRes,x,scene,adjoin,radius,res,oneMinuteAddHP,simpleRes,oneMinuteAddResource,y,adjoinSpeedUp,oneMinuteAddResourceSpecial,enemyOccupyTimeBuff,teamAttrFix,attrFix,dy,desc,dx,adjoinZ,buffRes
111,橄榄大农园,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,2050,1,<115;102;109>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,-975,,,0.5,,,55,在对方抢夺该据点过程中，抢夺消耗的自然时间将提升,,,city/union/cross_union_adventure/map/img_zhanlingshijian.png
112,列柱洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-2050,1,<101;114;108>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,975,,,0.5,,,55,在对方抢夺该据点过程中，抢夺消耗的自然时间将提升,,,city/union/cross_union_adventure/map/img_zhanlingshijian.png
113,名福其石,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-2050,1,<101;115;109>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,20,-975,,,,,,55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,,city/union/cross_union_adventure/map/img_huifu.png
114,朽木之祠,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,1,<112;110>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,1950,,,,,{1=50%},55,在据点内驻守的玩家，当前队伍精灵生命值上限提升,,,city/union/cross_union_adventure/map/img_huifu.png
115,冻裂之祠,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,1,<113;111>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,-1950,,,,,{1=50%},55,在据点内驻守的玩家，当前队伍精灵生命值上限提升,,,city/union/cross_union_adventure/map/img_huifu.png
201,桌台市,1,2,city/union/cross_union_adventure/map/icon_dabenying_b1.png,-3000,2,<203;204;211>,160,city/union/cross_union_adventure/map/img_dabenying1.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s1.png,,,,,,,{1=60%;22=3000;23=3000},80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,-100,<0;1;0>,
202,酿光市,2,2,city/union/cross_union_adventure/map/icon_dabenying_b2.png,3000,2,<212;207;208>,160,city/union/cross_union_adventure/map/img_dabenying2.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s2.png,,,,,,,{1=60%;22=3000;23=3000},80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,100,<0;1;0>,
203,淅洒斜塔,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1850,2,<201;209;210>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,700,,,,,{9=40%;10=40%;23=1500},55,在据点内的驻守玩家，精灵的双防和生命将获得提升,,<0;1;0>,city/union/cross_union_adventure/map/img_shuangfang.png
204,朽木之祠,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1500,2,<201;210>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,,0.5,,{7=20%;8=20%;22=2000},55,在对方抢夺该据点过程中，抢夺消耗的自然时间将提升,,<1;1>,city/union/cross_union_adventure/map/img_zhanlingshijian.png
205,冻裂之祠,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-700,2,<211;213;210>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,-1150,,,,,{7=10%;8=10%;13=20%},55,在据点内的驻守玩家，精灵的双防和生命将获得提升,,<1;1;0>,city/union/cross_union_adventure/map/img_shuangfang.png
206,零区匣口,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,700,2,<209;212;210>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,1150,,,,,{7=10%;8=10%;13=20%},55,在据点内的驻守玩家，精灵的双攻将获得提升,,<1;1;0>,city/union/cross_union_adventure/map/img_shuanggong.png
207,尘土之祠,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1500,2,<202;210>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,,0.5,,{7=20%;8=20%;22=2000},55,在对方抢夺该据点过程中，抢夺消耗的自然时间将提升,,<1;1>,city/union/cross_union_adventure/map/img_zhanlingshijian.png
208,火难之祠,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1850,2,<202;210;213>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,30,-700,,,,,{9=40%;10=40%;23=1500},55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,<0;0;1>,city/union/cross_union_adventure/map/img_huifu.png
209,观望塔,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-700,2,<203;206;210>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,1150,,,,,{7=10%;8=10%;13=20%},55,在据点内的驻守玩家，精灵的双攻将获得提升,,<1;1;0>,city/union/cross_union_adventure/map/img_shuanggong.png
210,灯塔,3,2.3,city/union/cross_union_adventure/map/icon_judian_b.png,,2,<203;204;205;206;207;208;209;211;213;212>,130,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,20,,,,,{1=20%;7=10%;8=10%;9=30%;10=30%;13=10%},,55,特殊据点：该据点被占领后，将为占领方全员提供属性加成,,<0;1;0;0;1;0;0;0;0;0>,city/union/cross_union_adventure/map/img_quanzengyi.png
211,帕底亚巨屋,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1850,2,<201;205;210>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,30,-700,,,,,{9=40%;10=40%;23=1500},55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,<0;1;0>,city/union/cross_union_adventure/map/img_huifu.png
212,灯塔研究所,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1850,2,<202;206;210>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,700,,,,,{9=40%;10=40%;23=1500},55,在据点内的驻守玩家，精灵的双防和生命将获得提升,,<0;1;0>,city/union/cross_union_adventure/map/img_shuangfang.png
213,烘烘屋,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,700,2,<205;210;208>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,-1150,,,,,{7=10%;8=10%;13=20%},55,在据点内的驻守玩家，精灵的双防和生命将获得提升,,<1;0;0>,city/union/cross_union_adventure/map/img_shuangfang.png
301,小匙镇,1,2,city/union/cross_union_adventure/map/icon_dabenying_b1.png,-3000,3,<304;303;305>,160,city/union/cross_union_adventure/map/img_dabenying1.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s1.png,,-800,,,,,{1=60%;22=3000;23=3000},80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,-150,,
302,渍沁镇,2,2,city/union/cross_union_adventure/map/icon_dabenying_b2.png,3000,3,<307;306;308>,160,city/union/cross_union_adventure/map/img_dabenying2.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s2.png,,800,,,,,{1=60%;22=3000;23=3000},80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,150,,
303,小匙小径,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1500,3,<301;309>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,800,<309>,,,,{7=10%;8=10%;13=15%},55,在据点内的驻守玩家，精灵的双防将获得提升,,,
304,霜抹山,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1500,3,<301;310;311>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,,0.5,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
305,锅巴林道,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1500,3,<311;313;301;312>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,-800,<313>,,,,{9=60%;10=60%;23=2000},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
306,锦穴山道,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1500,3,<311;309;310;302>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,800,<309>,,,,{9=60%;10=60%;23=2000},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
307,焙固空洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1500,3,<302;312;311>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,,0.5,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
308,印记森林园,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1500,3,<302;313>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,30,-800,<313>,,,,{7=10%;8=10%;13=15%},55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,,
309,海湾洞穴,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,3,<303;306>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,1600,<303;306>,,,,{7=10%;8=10%;13=20%},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
310,橄榄大农园,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,3,<304;306;311>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,20,800,,,,,{7=20%;8=20%;22=2000},55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,,
311,结晶祠,3,2.3,city/union/cross_union_adventure/map/icon_judian_b.png,,3,<312;310;305;306;304;307>,130,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,,,,,{1=20%;7=10%;8=10%;9=30%;10=30%;13=10%},,55,特殊据点：该据点被占领后，将为占领方全员提供属性加成,,,
312,列柱洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,3,<311;305;307>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,-800,,,,,,55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
313,名福其石,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,3,<305;308>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,-1600,<305;308>,,,,{7=10%;8=10%;13=20%},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
401,小匙镇,1,2,city/union/cross_union_adventure/map/icon_dabenying_b1.png,-3000,4,<412;413>,160,city/union/cross_union_adventure/map/img_dabenying1.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s1.png,,,,,,,,80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,-200,,
402,渍沁镇,2,2,city/union/cross_union_adventure/map/icon_dabenying_b2.png,3000,4,<410;411>,160,city/union/cross_union_adventure/map/img_dabenying2.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s2.png,,,,,,,,80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,200,,
403,小匙小径,3,2.3,city/union/cross_union_adventure/map/icon_judian_b.png,,4,<405;408;406;409>,130,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,,,,160,,,{1=60%;22=3000;23=3000},55,特殊据点：该据点被占领后，将为占领方产出高额的资源量,,,
404,霜抹山,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1025,4,<412;408>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,1950,,,,,,55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
405,锅巴林道,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1090,4,<412;413;403;408;409>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,,,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
406,锦穴山道,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1090,4,<410;411;403;408;409>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,,,,,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
407,焙固空洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1025,4,<413;409>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,-1950,,,,,,55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
408,印记森林园,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,4,<403;405;406;412;410;404;414>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,975,,,,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双防将获得提升,,,
409,海湾洞穴,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,4,<403;405;406;413;411;407;415>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,-975,,,,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双防将获得提升,,,
410,橄榄大农园,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,2050,4,<402;408;414;406>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,20,975,,,,,{7=12%;8=12%;22=1200},55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,,
411,结晶祠,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,2050,4,<402;409;406;415>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,-975,,,0.5,,{7=12%;8=12%;22=1200},55,在对方抢夺该据点过程中，抢夺消耗的自然时间将提升,,,
412,列柱洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-2050,4,<401;408;405;404>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,975,,,0.5,,{7=12%;8=12%;22=1200},55,在对方抢夺该据点过程中，抢夺消耗的自然时间将提升,,,
413,名福其石,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-2050,4,<401;409;405;407>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,20,-975,,,,,{7=12%;8=12%;22=1200},55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,,
414,列柱洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1025,4,<408;410>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,1950,,,,,,55,在据点内的驻守玩家，精灵的生命将获得提升,,,
415,名福其石,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1025,4,<409;411>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,-1950,,,,,,55,在据点内的驻守玩家，精灵的生命将获得提升,,,
501,小匙镇,1,2,city/union/cross_union_adventure/map/icon_dabenying_b1.png,-3000,5,<506;509;504>,100,city/union/cross_union_adventure/map/img_dabenying1.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s1.png,,,,,,,,80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,-200,,
502,渍沁镇,2,2,city/union/cross_union_adventure/map/icon_dabenying_b2.png,3000,5,<508;507;505>,100,city/union/cross_union_adventure/map/img_dabenying2.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s2.png,,,,,,,,80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,200,,
503,小匙小径,3,2.3,city/union/cross_union_adventure/map/icon_judian_b.png,,5,<504;506;510;509;505;507;511;508>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,,,,160,,,{1=60%;22=3000;23=3000},55,特殊据点：该据点被占领后，将为占领方产出高额的资源量,,,
504,霜抹山,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1500,5,<506;509;501;503>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,,,,,,,55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
505,锅巴林道,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1500,5,<508;507;502;503>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,,,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
506,锦穴山道,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-2250,5,<501;504;503;512;510>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,900,,,,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
507,焙固空洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,2250,5,<502;505;503;515;511>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,-900,,,,,,55,在据点内的驻守玩家，精灵的双攻将获得提升,,,
508,印记森林园,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,2250,5,<502;505;503;513;510>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,900,,,,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双防将获得提升,,,
509,海湾洞穴,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-2250,5,<501;504;503;514;511>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,-900,,,,,{9=40%;10=40%;23=1200},55,在据点内的驻守玩家，精灵的双防将获得提升,,,
510,橄榄大农园,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,5,<512;513;506;508;503>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,20,1800,,,,,{7=12%;8=12%;22=1200},55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,,
511,结晶祠,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,5,<514;515;509;507;503>,130,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,-1800,,,0.5,,{7=12%;8=12%;22=1200},55,在对方抢夺该据点过程中，抢夺消耗的自然时间将提升,,,
512,列柱洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-750,5,<506;510>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,900,,,0.5,,{7=12%;8=12%;22=1200},55,在对方抢夺该据点过程中，抢夺消耗的自然时间将提升,,,
513,名福其石,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,750,5,<508;510>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,20,900,,,,,{7=12%;8=12%;22=1200},55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,,
514,列柱洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-750,5,<509;511>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,-900,,,,,,55,在据点内的驻守玩家，精灵的生命将获得提升,,,
515,名福其石,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,750,5,<507;511>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,-900,,,,,,55,在据点内的驻守玩家，精灵的生命将获得提升,,,
601,小匙镇,1,2,city/union/cross_union_adventure/map/icon_dabenying_b1.png,-3000,6,<603;605;604;606>,160,city/union/cross_union_adventure/map/img_dabenying1.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s1.png,,,,,,,{1=60%;22=3000;23=3000},80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,-150,,
602,渍沁镇,2,2,city/union/cross_union_adventure/map/icon_dabenying_b2.png,3000,6,<607;609;608;610>,160,city/union/cross_union_adventure/map/img_dabenying2.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s2.png,,,,,,,{1=60%;22=3000;23=3000},80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,150,,
603,小匙小径,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-3000,6,<601;604;613>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,40,850,,,,,{7=10%;8=10%;13=15%},55,在据点内的驻守玩家，精灵的双防将获得提升,,,
