变量名,layer,x,z1,flipX,z,y,anchorY,anchorX,scale,res,scene
110125,panelOuter,-1437,,,,2057,,,,img_mt.png,1
110126,panelOuter,-1495,,,,1763,,,,img_shu01.png,1
110127,panelOuter,-1439,1,,,1890,,,1.2,img_shu02.png,1
110128,panelOuter,-1401,1,,,2203,,,,img_cc02.png,1
110129,panelOuter,-1030,,,,2115,,,0.9,img_shu01.png,1
110130,panelOuter,-1757,1,,,1276,,,,img_lz02.png,1
110131,panelOuter,-3787,,,,-2184,,,2,waiwei/img_wwss13.png,1
110132,panelOuter,-2690,,,,-561,,,,img_lth.png,1
110133,panelOuter,-1942,,,,-1184,,,,img_ltl.png,1
110134,panelOuter,-2440,,,,-1316,,,,img_dashu.png,1
110135,panelOuter,-2785,,,,-1989,,,,img_shu02.png,1
110136,panelOuter,-2619,,,,-1996,,,,img_shu02.png,1
110137,panelOuter,-3073,,,,-2416,,,0.8,img_st01.png,1
110138,panelOuter,-1460,,,,-1797,,,0,img_mt.png,1
110139,panelOuter,-1827,,,,-1961,,,0.8,img_st03.png,1
110140,panelOuter,-325,,,,-1950,,,,img_zt.png,1
110141,panelOuter,-1578,,,,1387,,,,img_ltl.png,1
110142,panelOuter,-2354,,,1,899,,,,img_lth.png,1
110143,panelOuter,-719,,,0,1921,,,,img_ssq01.png,1
110144,panelOuter,-2248,1,1,0,1125,,,,img_qz.png,1
110145,panelOuter,-2864,,,,-1382,,,0.7,img_sg.png,1
110146,panelOuter,-1493,,,,1423,,,,img_lth.png,1
110147,panelOuter,1599,,1,,1346,,,,img_lz02.png,1
110148,panelOuter,262,,,,2026,,,,img_lz03.png,1
110149,panelOuter,1818,,,,1258,,,,img_lth.png,1
110150,panelOuter,1013,,,,-1609,,,,img_lz02.png,1
110151,panelOuter,-1211,,,,1946,,,,img_shu01.png,1
110152,panelOuter,-1281,,,,2172,,,,img_shu01.png,1
110153,panelOuter,-1140,,,,1807,,,,img_shu02.png,1
110154,panelOuter,1791,,,,-1612,,,0.6,img_sg.png,1
110155,panelOuter,-2520,,,,2552,,,,img_shu02.png,1
110156,panelOuter,-2662,,,,2304,,,,img_shu02.png,1
110157,panelOuter,-2767,,,,2222,,,1.2,img_shu01.png,1
110158,panelOuter,-2900,,,,2246,,,0.9,img_shu02.png,1
110159,panelOuter,-3070,,,,2236,,,0.7,img_shu02.png,1
110160,panelOuter,-3183,1,,,2058,,,,img_shu01.png,1
110161,panelOuter,-3262,,,,1941,,,,img_shu01.png,1
110162,panelOuter,-3052,,,,1818,,,,img_shu01.png,1
110163,panelOuter,-3059,,,,1989,,,0.9,img_shu02.png,1
110164,panelOuter,-3162,,,,1886,,,0.9,img_shu02.png,1
110165,panelOuter,-3282,,,,1702,,,0.9,img_shu02.png,1
110166,panelOuter,-3358,,,,1876,,,0.9,img_shu02.png,1
110167,panelOuter,-3321,,,,2029,,,0.8,img_shu02.png,1
110168,panelOuter,-3186,,,,1758,,,0.8,img_shu01.png,1
110169,panelOuter,-2308,,,,2283,,,,img_shu01.png,1
110170,panelOuter,-2261,,,,2128,,,,img_shu01.png,1
110171,panelOuter,-2171,1,,,2185,,,,img_shu01.png,1
110172,panelOuter,-2157,,,,2330,,,0.9,img_shu02.png,1
110173,panelOuter,-2428,,,,2176,,,,img_shu02.png,1
110174,panelOuter,2656,,,,1573,,,0.9,img_shu02.png,1
110175,panelOuter,-1963,,,,2164,,,,img_shu02.png,1
110176,panelOuter,-2087,,,,2053,,,1.3,img_shu01.png,1
110177,panelOuter,-2286,,,,2005,,,0.8,img_shu02.png,1
110178,panelOuter,-2381,,,,1921,,,,img_shu02.png,1
110179,panelOuter,-2522,,,,1837,,,,img_shu01.png,1
110180,panelOuter,-2373,,,,1778,,,,img_shu02.png,1
110181,panelOuter,-2452,,,,1632,,,,img_shu02.png,1
110182,panelOuter,-2260,,,,1704,,,,img_shu02.png,1
110183,panelOuter,-1759,,,,2012,,,0.8,img_shu02.png,1
110184,panelOuter,-2091,,,,1754,,,0.9,img_shu02.png,1
110185,panelOuter,-2380,,,,2075,,,,img_shu02.png,1
110186,panelOuter,-2249,0,,,1865,,,0.8,img_shu01.png,1
110187,panelOuter,-1998,1,,,2038,,,,img_ys.png,1
110188,panelOuter,-1769,,,,2324,,,,img_shu02.png,1
110189,panelOuter,-1656,,,,2101,,,1.2,img_shu01.png,1
110190,panelOuter,-1655,0,,,1928,,,,img_shu02.png,1
110191,panelOuter,-1319,,,,1837,,,1.2,img_shu01.png,1
110192,panelOuter,-1302,,,,1972,,,,img_mt.png,1
110193,panelOuter,-1171,,,,1972,,,,img_mt.png,1
110194,panelOuter,-1606,,,,2283,,,,img_ks.png,1
110195,panelOuter,-2273,1,,,1540,,,1.1,img_st03.png,1
110196,panelOuter,-2739,1,,,1708,,,0.9,img_shu01.png,1
110197,panelOuter,-2796,0,,,1590,,,1.2,img_shu02.png,1
110198,panelOuter,-2900,,,,1643,,,0.9,img_shu01.png,1
110199,panelOuter,-2961,1,,,1527,,,,img_shu02.png,1
110200,panelOuter,-2921,,,,1986,,,,img_mt.png,1
110201,panelOuter,-2925,1,,,1884,,,,img_mt.png,1
110202,panelOuter,-2793,,,,1982,,,,img_mt.png,1
110203,panelOuter,-2793,1,,,1885,,,,img_mt.png,1
110204,panelOuter,-2667,,,,1981,,,,img_mt.png,1
110205,panelOuter,-2536,,,,1981,,,,img_mt.png,1
110206,panelOuter,-975,,,,2203,,,0.9,img_shu01.png,1
110207,panelOuter,-901,,,,2033,,,,img_shu02.png,1
110208,panelOuter,-809,,,,2185,,,,img_shu02.png,1
110209,panelOuter,-496,2,,,2251,,,,img_shu01.png,1
110210,panelOuter,-1108,1,,,1903,,,0.7,img_shu02.png,1
110211,panelOuter,-951,,,,1948,,,0.9,img_dashu.png,1
110212,panelOuter,-3511,,,,1785,,,0.9,img_shu02.png,1
110213,panelOuter,-3069,,,,1670,,,0.8,img_sg.png,1
110214,panelOuter,-3480,,,,1492,,,1.2,img_shu01.png,1
110215,panelOuter,-3345,,,,1450,,,0.9,img_shu02.png,1
110216,panelOuter,-3676,,,,1457,,,0.9,img_shu01.png,1
110217,panelOuter,-3258,,,,1440,,,0.9,img_shu02.png,1
110218,panelOuter,-3195,,,,1513,,,0.8,img_shu01.png,1
110219,panelOuter,-3137,,,,1425,,,0.9,img_shu02.png,1
110220,panelOuter,-3442,,,,1303,,,,img_st02.png,1
110221,panelOuter,-3688,,,,708,,,0.7,img_dashu.png,1
110222,panelOuter,-3416,,,,477,,,1.3,img_shu01.png,1
110223,panelOuter,-3271,0,,,423,,,0.9,img_shu02.png,1
110224,panelOuter,-3102,,,,777,,,0.9,img_shu02.png,1
110225,panelOuter,-3083,,,,585,,,0.8,img_shu01.png,1
110226,panelOuter,-3017,0,,,502,,,0.9,img_shu01.png,1
110227,panelOuter,-3142,1,,,408,,,1.1,img_shu02.png,1
110228,panelOuter,-3238,1,,,288,,,1.1,img_shu02.png,1
110229,panelOuter,-2686,0,,,1458,,,1.1,img_shu01.png,1
110230,panelOuter,-3908,1,,,1382,,,0.9,img_shu01.png,1
110231,panelOuter,-3851,,,,1303,,,0.9,img_shu01.png,1
110232,panelOuter,-4032,0,,,1340,,,1.1,img_shu02.png,1
110233,panelOuter,-3819,,,,528,,,1.1,img_shu02.png,1
110234,panelOuter,-3308,,,,633,,,,img_mt.png,1
110235,panelOuter,-3173,,,,633,,,,img_mt.png,1
110236,panelOuter,-3551,,,,281,,,,img_mt.png,1
110237,panelOuter,-3684,,,,184,,,,img_mt.png,1
110238,panelOuter,-3491,,,,235,,,1.1,img_shu02.png,1
110239,panelOuter,-3629,,,,97,,,0.9,img_shu01.png,1
110240,panelOuter,-3802,,,,674,,,0.9,img_shu01.png,1
110241,panelOuter,-4096,,,,261,,,0.9,img_shu01.png,1
110242,panelOuter,-3974,,,,122,,,,img_shu01.png,1
110243,panelOuter,-4085,,,,27,,,1.2,img_shu02.png,1
110244,panelOuter,-3795,,,,-176,,,,img_mt.png,1
110245,panelOuter,-3926,,,,-174,,,,img_mt.png,1
110246,panelOuter,-3755,,,,-257,,,,img_sg.png,1
110247,panelOuter,-3887,,,,-615,,,1.2,img_shu01.png,1
110248,panelOuter,-3274,2,,,-377,,,,img_shu01.png,1
110249,panelOuter,-2818,,,,-605,,,,img_shu01.png,1
110250,panelOuter,-3506,,,,-469,,,,img_shu01.png,1
110251,panelOuter,-3134,,,,-440,,,0.9,img_shu02.png,1
110252,panelOuter,-3219,,,,-529,,,,img_shu02.png,1
110253,panelOuter,-3040,,,,-522,,,,img_shu01.png,1
110254,panelOuter,-3124,,,,-612,,,0.9,img_shu02.png,1
110255,panelOuter,-3430,,,,-576,,,,img_shu01.png,1
110256,panelOuter,-3302,,,,-635,,,1.1,img_shu02.png,1
110257,panelOuter,-3058,,,,-1337,,,1.3,img_shu01.png,1
110258,panelOuter,-2848,,,,-907,,,1.2,img_shu01.png,1
110259,panelOuter,-2697,,,,-967,,,0.9,img_shu02.png,1
110260,panelOuter,-2716,0,,,-773,,,0.8,img_st03.png,1
110261,panelOuter,-3585,,,,-1380,,,1.3,img_shu02.png,1
110262,panelOuter,-2983,,,,-1480,,,1.2,img_shu02.png,1
110263,panelOuter,-2830,,,,-1570,,,0.9,img_shu01.png,1
110264,panelOuter,-2592,1,,,-1745,,,0.9,img_shu01.png,1
110265,panelOuter,-3088,,,,-1615,,,0.9,img_shu01.png,1
110266,panelOuter,-2846,,,,-1736,,,1.1,img_shu01.png,1
110267,panelOuter,-3350,,,,-1727,,,0.9,img_shu02.png,1
110268,panelOuter,-2967,,,,-1700,,,1.1,img_shu02.png,1
110269,panelOuter,-3062,0,,,-1837,,,0.9,img_shu02.png,1
110270,panelOuter,-3158,,,,-1764,,,,img_shu02.png,1
110271,panelOuter,-3317,,,,-1884,,,,img_shu02.png,1
110272,panelOuter,-3419,1,,,-1820,,,0.8,img_shu01.png,1
110273,panelOuter,-3515,,,,-1875,,,,img_shu02.png,1
110274,panelOuter,-3585,,,,-1630,,,,img_mt.png,1
110275,panelOuter,-3463,,,,-1630,,,,img_mt.png,1
110276,panelOuter,-3463,,,,-1729,,,,img_mt.png,1
110277,panelOuter,-3796,,,,-1694,,,,img_st04.png,1
110278,panelOuter,-4043,,,,-1688,,,1.1,img_shu01.png,1
110279,panelOuter,-3950,0,,,-1849,,,,img_shu02.png,1
110280,panelOuter,-3776,,,,-1903,,,0.9,img_dashu.png,1
110281,panelOuter,-3619,,,,-1967,,,0.9,img_shu02.png,1
110282,panelOuter,-3421,,,,-2019,,,1.1,img_shu01.png,1
110283,panelOuter,-3482,,,,-2103,,,0.9,img_shu02.png,1
110284,panelOuter,-3284,1,,,-2050,,,0.9,img_shu02.png,1
110285,panelOuter,-3306,,,,-2158,,,,img_sg.png,1
110286,panelOuter,-2912,,,,-2006,,,,img_st02.png,1
110287,panelOuter,-3072,,,,-1908,,,1.3,img_shu01.png,1
110288,panelOuter,-2736,,,,-1908,,,,img_shu02.png,1
110289,panelOuter,-2685,,,,-2154,,,0.8,img_dashu.png,1
110290,panelOuter,-2874,,,,-2168,,,1.1,img_shu01.png,1
110291,panelOuter,-3374,,,,-821,,,,img_shu02.png,1
110292,panelOuter,-3354,,,,-2466,,,1.3,img_shu01.png,1
110293,panelOuter,-3206,,,,-2368,,,,img_shu02.png,1
110294,panelOuter,-3217,2,,,-2546,,,1.3,img_shu01.png,1
110295,panelOuter,-2895,,,,-1307,,,,img_mt.png,1
110296,panelOuter,-2759,,,,-1392,,,,img_mt.png,1
110297,panelOuter,-2633,0,,,-1396,,,,img_mt.png,1
110298,panelOuter,-2768,,,,-1495,,,,img_mt.png,1
110299,panelOuter,-2634,,,,-1492,,,,img_mt.png,1
110300,panelOuter,-3975,,,,-1169,,,1.1,img_shu01.png,1
110301,panelOuter,-3204,,,,-773,,,1.3,img_shu02.png,1
110302,panelOuter,-2405,,,,-1496,,,,img_shu01.png,1
110303,panelOuter,-2395,,,,-1595,,,0.8,img_shu02.png,1
110304,panelOuter,-2478,,,,-1687,,,,img_shu02.png,1
110305,panelOuter,-2308,,,,-1635,,,,img_shu01.png,1
110306,panelOuter,-3152,0,,,-999,,,,img_shu01.png,1
110307,panelOuter,-2153,,,,-1325,,,1.1,img_shu02.png,1
110308,panelOuter,-2445,,,,-1827,,,,img_shu02.png,1
110309,panelOuter,-2233,1,,,-1747,,,,img_shu01.png,1
110310,panelOuter,-2257,1,,,-1874,,,0.8,img_shu02.png,1
110311,panelOuter,-2475,,,,-1962,,,,img_shu01.png,1
110312,panelOuter,-2341,,,,-2031,,,1.3,img_shu01.png,1
110313,panelOuter,-2094,1,,,-1850,,,0.9,img_shu01.png,1
110314,panelOuter,-2171,,,,-1921,,,0.8,img_shu02.png,1
110315,panelOuter,-2082,,,,-1985,,,1.1,img_shu02.png,1
110316,panelOuter,-2201,,,,-2116,,,,img_shu02.png,1
110317,panelOuter,-2416,,,,-2277,,,1.2,img_shu02.png,1
110318,panelOuter,-1970,1,,,-2116,,,0.9,img_shu01.png,1
110319,panelOuter,-2563,,,,-2094,,,1.1,img_shu01.png,1
110320,panelOuter,-1876,,,,-1967,,,,img_dashu.png,1
110321,panelOuter,-2260,,,,-2259,,,,img_cc02.png,1
110322,panelOuter,-2182,0,,,-2295,,,0.8,img_cc02.png,1
110323,panelOuter,-2787,,,,-2501,,,,img_cc02.png,1
110324,panelOuter,-2784,,,,-2402,,,,img_mt.png,1
110325,panelOuter,-3052,,,,-2514,,,,img_mt.png,1
110326,panelOuter,-2922,,,,-2517,,,,img_mt.png,1
110327,panelOuter,-2138,,,,-2505,,,,img_shu01.png,1
110328,panelOuter,-1812,,,,-2459,,,1.1,img_shu01.png,1
110329,panelOuter,-1958,,,,-2400,,,1.3,img_shu02.png,1
110330,panelOuter,-1342,,,,-1629,,,,img_shu02.png,1
110331,panelOuter,-1283,,,,-1550,,,0.9,img_shu01.png,1
110332,panelOuter,-1101,,,,-1627,,,0.7,img_shu01.png,1
110333,panelOuter,-1210,,,,-1687,,,,img_shu02.png,1
110334,panelOuter,-1331,,,,-1809,,,1.2,img_shu01.png,1
110335,panelOuter,-1226,,,,-1939,,,,img_shu02.png,1
110336,panelOuter,-1064,,,,-1870,,,0.9,img_dashu.png,1
110337,panelOuter,-1371,,,,-2013,,,,img_shu01.png,1
110338,panelOuter,-1511,,,,-2042,,,1.2,img_shu02.png,1
110339,panelOuter,-1381,,,,-2137,,,1.2,img_shu02.png,1
110340,panelOuter,-937,,,,-1811,,,,img_shu01.png,1
110341,panelOuter,-876,,,,-1718,,,0.8,img_shu02.png,1
110342,panelOuter,-782,,,,-1855,,,1.3,img_shu02.png,1
110343,panelOuter,-950,,,,-1948,,,0.9,img_shu02.png,1
110344,panelOuter,-666,1,,,-1851,,,,img_st03.png,1
110345,panelOuter,-1119,,,,-2291,,,1.2,img_shu01.png,1
110346,panelOuter,-920,,,,-2277,,,,img_shu02.png,1
110347,panelOuter,-814,,,,-2375,,,,img_sg.png,1
110348,panelOuter,-550,,,,-1916,,,0.8,img_shu02.png,1
110349,panelOuter,-398,,,,-2040,,,1.2,img_shu01.png,1
110350,panelOuter,-521,,,,-2321,,,,img_shu01.png,1
110351,panelOuter,-405,,,,-2454,,,,img_shu02.png,1
110352,panelOuter,-266,,,,-2026,,,0.8,img_shu02.png,1
110353,panelOuter,389,,,,-2056,,,,img_shu02.png,1
110354,panelOuter,324,,,,-2190,,,0.8,img_shu02.png,1
110355,panelOuter,262,,,,-2277,,,0.8,img_shu02.png,1
110356,panelOuter,92,,,,-2343,,,,img_shu01.png,1
110357,panelOuter,426,,,,-2298,,,1.1,img_shu01.png,1
110358,panelOuter,561,,,,-2244,,,,img_ks.png,1
110359,panelOuter,667,,,,-1965,,,1.1,img_shu02.png,1
110360,panelOuter,810,,,,-1751,,,0.8,img_shu02.png,1
110361,panelOuter,878,,,,-1886,,,1.4,img_shu01.png,1
110362,panelOuter,828,,,,-2056,,,1.1,img_shu01.png,1
110363,panelOuter,1021,,,,-1973,,,,img_st02.png,1
110364,panelOuter,990,,,,-2275,,,1.3,img_shu02.png,1
110365,panelOuter,1097,,,,-2174,,,,img_shu02.png,1
110366,panelOuter,1205,,,,-2245,,,0.9,img_shu01.png,1
110367,panelOuter,1257,,,,-2065,,,0.8,img_dashu.png,1
110368,panelOuter,1115,,,,-1661,,,1.1,img_shu01.png,1
110369,panelOuter,1202,,,,-1854,,,1.1,img_shu02.png,1
110370,panelOuter,1324,,,,-1619,,,,img_dashu.png,1
