变量名,level,skillID,cost,attrValue
701,,8,{coin3=150},0
702,1,8,{coin3=180},0.20%
703,2,8,{coin3=210},0.40%
704,3,8,{coin3=240},0.60%
705,4,8,{coin3=270},0.80%
706,5,8,{coin3=300},1%
707,6,8,{coin3=330},1.20%
708,7,8,{coin3=360},1.40%
709,8,8,{coin3=390},1.60%
710,9,8,{coin3=420},1.80%
711,10,8,{coin3=450},2%
712,11,8,{coin3=480},2.20%
713,12,8,{coin3=510},2.40%
714,13,8,{coin3=540},2.60%
715,14,8,{coin3=570},2.80%
716,15,8,{coin3=600},3%
717,16,8,{coin3=630},3.20%
718,17,8,{coin3=660},3.40%
719,18,8,{coin3=690},3.60%
720,19,8,{coin3=720},3.80%
721,20,8,{coin3=750},4%
722,21,8,{coin3=780},4.20%
723,22,8,{coin3=810},4.40%
724,23,8,{coin3=840},4.60%
725,24,8,{coin3=870},4.80%
726,25,8,{coin3=900},5%
727,26,8,{coin3=930},5.20%
728,27,8,{coin3=960},5.40%
729,28,8,{coin3=990},5.60%
730,29,8,{coin3=1020},5.80%
731,30,8,{coin3=1050},6%
732,31,8,{coin3=1080},6.20%
733,32,8,{coin3=1110},6.40%
734,33,8,{coin3=1140},6.60%
735,34,8,{coin3=1170},6.80%
736,35,8,{coin3=1200},7%
737,36,8,{coin3=1230},7.20%
738,37,8,{coin3=1260},7.40%
739,38,8,{coin3=1290},7.60%
740,39,8,{coin3=1320},7.80%
741,40,8,{coin3=1350},8%
742,41,8,{coin3=1380},8.20%
743,42,8,{coin3=1410},8.40%
744,43,8,{coin3=1440},8.60%
745,44,8,{coin3=1470},8.80%
746,45,8,{coin3=1500},9%
747,46,8,{coin3=1530},9.20%
748,47,8,{coin3=1560},9.40%
749,48,8,{coin3=1590},9.60%
750,49,8,{coin3=1620},9.80%
751,50,8,{coin3=1680},10%
752,51,8,{coin3=1740},10.20%
753,52,8,{coin3=1800},10.40%
754,53,8,{coin3=1860},10.60%
755,54,8,{coin3=1920},10.80%
756,55,8,{coin3=1980},11%
757,56,8,{coin3=2040},11.20%
758,57,8,{coin3=2100},11.40%
759,58,8,{coin3=2160},11.60%
760,59,8,{coin3=2220},11.80%
761,60,8,{coin3=2280},12%
801,,9,{coin3=150},0
802,1,9,{coin3=180},0.20%
803,2,9,{coin3=210},0.40%
804,3,9,{coin3=240},0.60%
805,4,9,{coin3=270},0.80%
806,5,9,{coin3=300},1%
807,6,9,{coin3=330},1.20%
808,7,9,{coin3=360},1.40%
809,8,9,{coin3=390},1.60%
810,9,9,{coin3=420},1.80%
811,10,9,{coin3=450},2%
812,11,9,{coin3=480},2.20%
813,12,9,{coin3=510},2.40%
814,13,9,{coin3=540},2.60%
815,14,9,{coin3=570},2.80%
816,15,9,{coin3=600},3%
817,16,9,{coin3=630},3.20%
818,17,9,{coin3=660},3.40%
819,18,9,{coin3=690},3.60%
820,19,9,{coin3=720},3.80%
821,20,9,{coin3=750},4%
822,21,9,{coin3=780},4.20%
823,22,9,{coin3=810},4.40%
824,23,9,{coin3=840},4.60%
825,24,9,{coin3=870},4.80%
826,25,9,{coin3=900},5%
827,26,9,{coin3=930},5.20%
828,27,9,{coin3=960},5.40%
829,28,9,{coin3=990},5.60%
830,29,9,{coin3=1020},5.80%
831,30,9,{coin3=1050},6%
832,31,9,{coin3=1080},6.20%
833,32,9,{coin3=1110},6.40%
834,33,9,{coin3=1140},6.60%
835,34,9,{coin3=1170},6.80%
836,35,9,{coin3=1200},7%
837,36,9,{coin3=1230},7.20%
838,37,9,{coin3=1260},7.40%
839,38,9,{coin3=1290},7.60%
840,39,9,{coin3=1320},7.80%
841,40,9,{coin3=1350},8%
842,41,9,{coin3=1380},8.20%
843,42,9,{coin3=1410},8.40%
844,43,9,{coin3=1440},8.60%
845,44,9,{coin3=1470},8.80%
846,45,9,{coin3=1500},9%
847,46,9,{coin3=1530},9.20%
848,47,9,{coin3=1560},9.40%
849,48,9,{coin3=1590},9.60%
850,49,9,{coin3=1620},9.80%
851,50,9,{coin3=1680},10%
852,51,9,{coin3=1740},10.20%
853,52,9,{coin3=1800},10.40%
854,53,9,{coin3=1860},10.60%
855,54,9,{coin3=1920},10.80%
856,55,9,{coin3=1980},11%
857,56,9,{coin3=2040},11.20%
858,57,9,{coin3=2100},11.40%
859,58,9,{coin3=2160},11.60%
860,59,9,{coin3=2220},11.80%
861,60,9,{coin3=2280},12%
901,,10,{coin3=150},0
902,1,10,{coin3=180},0.20%
903,2,10,{coin3=210},0.40%
904,3,10,{coin3=240},0.60%
905,4,10,{coin3=270},0.80%
906,5,10,{coin3=300},1%
907,6,10,{coin3=330},1.20%
908,7,10,{coin3=360},1.40%
909,8,10,{coin3=390},1.60%
910,9,10,{coin3=420},1.80%
911,10,10,{coin3=450},2%
912,11,10,{coin3=480},2.20%
913,12,10,{coin3=510},2.40%
914,13,10,{coin3=540},2.60%
915,14,10,{coin3=570},2.80%
916,15,10,{coin3=600},3%
917,16,10,{coin3=630},3.20%
918,17,10,{coin3=660},3.40%
919,18,10,{coin3=690},3.60%
920,19,10,{coin3=720},3.80%
921,20,10,{coin3=750},4%
922,21,10,{coin3=780},4.20%
923,22,10,{coin3=810},4.40%
924,23,10,{coin3=840},4.60%
925,24,10,{coin3=870},4.80%
926,25,10,{coin3=900},5%
927,26,10,{coin3=930},5.20%
928,27,10,{coin3=960},5.40%
929,28,10,{coin3=990},5.60%
930,29,10,{coin3=1020},5.80%
931,30,10,{coin3=1050},6%
932,31,10,{coin3=1080},6.20%
933,32,10,{coin3=1110},6.40%
934,33,10,{coin3=1140},6.60%
935,34,10,{coin3=1170},6.80%
936,35,10,{coin3=1200},7%
937,36,10,{coin3=1230},7.20%
938,37,10,{coin3=1260},7.40%
939,38,10,{coin3=1290},7.60%
940,39,10,{coin3=1320},7.80%
941,40,10,{coin3=1350},8%
942,41,10,{coin3=1380},8.20%
943,42,10,{coin3=1410},8.40%
944,43,10,{coin3=1440},8.60%
945,44,10,{coin3=1470},8.80%
946,45,10,{coin3=1500},9%
947,46,10,{coin3=1530},9.20%
948,47,10,{coin3=1560},9.40%
949,48,10,{coin3=1590},9.60%
950,49,10,{coin3=1620},9.80%
951,50,10,{coin3=1680},10%
952,51,10,{coin3=1740},10.20%
953,52,10,{coin3=1800},10.40%
954,53,10,{coin3=1860},10.60%
955,54,10,{coin3=1920},10.80%
956,55,10,{coin3=1980},11%
957,56,10,{coin3=2040},11.20%
958,57,10,{coin3=2100},11.40%
959,58,10,{coin3=2160},11.60%
960,59,10,{coin3=2220},11.80%
961,60,10,{coin3=2280},12%
1001,,11,{coin3=200},0
1002,1,11,{coin3=250},20
1003,2,11,{coin3=300},40
1004,3,11,{coin3=350},60
1005,4,11,{coin3=400},80
1006,5,11,{coin3=450},100
1007,6,11,{coin3=500},120
1008,7,11,{coin3=550},140
1009,8,11,{coin3=600},160
1010,9,11,{coin3=650},180
1011,10,11,{coin3=700},200
1012,11,11,{coin3=750},220
1013,12,11,{coin3=800},240
1014,13,11,{coin3=850},260
1015,14,11,{coin3=900},280
1016,15,11,{coin3=950},300
1017,16,11,{coin3=1000},320
1018,17,11,{coin3=1050},340
1019,18,11,{coin3=1100},360
1020,19,11,{coin3=1150},380
1021,20,11,{coin3=1200},400
1022,21,11,{coin3=1250},420
1023,22,11,{coin3=1300},440
1024,23,11,{coin3=1350},460
1025,24,11,{coin3=1400},480
1026,25,11,{coin3=1450},500
1027,26,11,{coin3=1500},520
1028,27,11,{coin3=1550},540
1029,28,11,{coin3=1600},560
1030,29,11,{coin3=1650},580
1031,30,11,{coin3=1700},600
1032,31,11,{coin3=1750},620
1033,32,11,{coin3=1800},640
1034,33,11,{coin3=1850},660
1035,34,11,{coin3=1900},680
1036,35,11,{coin3=1950},700
1037,36,11,{coin3=2000},720
1038,37,11,{coin3=2050},740
1039,38,11,{coin3=2100},760
1040,39,11,{coin3=2150},780
1041,40,11,{coin3=2200},800
1042,41,11,{coin3=2250},820
1043,42,11,{coin3=2300},840
1044,43,11,{coin3=2350},860
1045,44,11,{coin3=2400},880
1046,45,11,{coin3=2450},900
1047,46,11,{coin3=2500},920
1048,47,11,{coin3=2550},940
1049,48,11,{coin3=2600},960
1050,49,11,{coin3=2650},980
1051,50,11,{coin3=2750},1000
1052,51,11,{coin3=2850},1020
1053,52,11,{coin3=2950},1040
1054,53,11,{coin3=3050},1060
1055,54,11,{coin3=3150},1080
1056,55,11,{coin3=3250},1100
1057,56,11,{coin3=3350},1120
1058,57,11,{coin3=3450},1140
1059,58,11,{coin3=3550},1160
1060,59,11,{coin3=3650},1180
1061,60,11,{coin3=3750},1200
1101,,12,{coin3=200},0
1102,1,12,{coin3=250},20
1103,2,12,{coin3=300},40
1104,3,12,{coin3=350},60
1105,4,12,{coin3=400},80
1106,5,12,{coin3=450},100
1107,6,12,{coin3=500},120
1108,7,12,{coin3=550},140
1109,8,12,{coin3=600},160
1110,9,12,{coin3=650},180
1111,10,12,{coin3=700},200
1112,11,12,{coin3=750},220
1113,12,12,{coin3=800},240
1114,13,12,{coin3=850},260
1115,14,12,{coin3=900},280
1116,15,12,{coin3=950},300
1117,16,12,{coin3=1000},320
1118,17,12,{coin3=1050},340
1119,18,12,{coin3=1100},360
1120,19,12,{coin3=1150},380
1121,20,12,{coin3=1200},400
1122,21,12,{coin3=1250},420
1123,22,12,{coin3=1300},440
1124,23,12,{coin3=1350},460
1125,24,12,{coin3=1400},480
1126,25,12,{coin3=1450},500
1127,26,12,{coin3=1500},520
1128,27,12,{coin3=1550},540
1129,28,12,{coin3=1600},560
1130,29,12,{coin3=1650},580
1131,30,12,{coin3=1700},600
1132,31,12,{coin3=1750},620
1133,32,12,{coin3=1800},640
1134,33,12,{coin3=1850},660
1135,34,12,{coin3=1900},680
1136,35,12,{coin3=1950},700
1137,36,12,{coin3=2000},720
1138,37,12,{coin3=2050},740
1139,38,12,{coin3=2100},760
1140,39,12,{coin3=2150},780
1141,40,12,{coin3=2200},800
1142,41,12,{coin3=2250},820
1143,42,12,{coin3=2300},840
1144,43,12,{coin3=2350},860
1145,44,12,{coin3=2400},880
1146,45,12,{coin3=2450},900
1147,46,12,{coin3=2500},920
1148,47,12,{coin3=2550},940
1149,48,12,{coin3=2600},960
1150,49,12,{coin3=2650},980
1151,50,12,{coin3=2750},1000
1152,51,12,{coin3=2850},1020
1153,52,12,{coin3=2950},1040
1154,53,12,{coin3=3050},1060
1155,54,12,{coin3=3150},1080
1156,55,12,{coin3=3250},1100
1157,56,12,{coin3=3350},1120
1158,57,12,{coin3=3450},1140
1159,58,12,{coin3=3550},1160
1160,59,12,{coin3=3650},1180
1161,60,12,{coin3=3750},1200
1201,,13,{coin3=200},0
1202,1,13,{coin3=250},20
1203,2,13,{coin3=300},40
1204,3,13,{coin3=350},60
1205,4,13,{coin3=400},80
1206,5,13,{coin3=450},100
1207,6,13,{coin3=500},120
1208,7,13,{coin3=550},140
1209,8,13,{coin3=600},160
1210,9,13,{coin3=650},180
1211,10,13,{coin3=700},200
1212,11,13,{coin3=750},220
1213,12,13,{coin3=800},240
1214,13,13,{coin3=850},260
1215,14,13,{coin3=900},280
1216,15,13,{coin3=950},300
1217,16,13,{coin3=1000},320
1218,17,13,{coin3=1050},340
1219,18,13,{coin3=1100},360
1220,19,13,{coin3=1150},380
1221,20,13,{coin3=1200},400
1222,21,13,{coin3=1250},420
1223,22,13,{coin3=1300},440
1224,23,13,{coin3=1350},460
1225,24,13,{coin3=1400},480
1226,25,13,{coin3=1450},500
1227,26,13,{coin3=1500},520
1228,27,13,{coin3=1550},540
1229,28,13,{coin3=1600},560
1230,29,13,{coin3=1650},580
1231,30,13,{coin3=1700},600
1232,31,13,{coin3=1750},620
1233,32,13,{coin3=1800},640
1234,33,13,{coin3=1850},660
1235,34,13,{coin3=1900},680
1236,35,13,{coin3=1950},700
1237,36,13,{coin3=2000},720
1238,37,13,{coin3=2050},740
1239,38,13,{coin3=2100},760
1240,39,13,{coin3=2150},780
1241,40,13,{coin3=2200},800
1242,41,13,{coin3=2250},820
1243,42,13,{coin3=2300},840
1244,43,13,{coin3=2350},860
1245,44,13,{coin3=2400},880
1246,45,13,{coin3=2450},900
1247,46,13,{coin3=2500},920
1248,47,13,{coin3=2550},940
1249,48,13,{coin3=2600},960
1250,49,13,{coin3=2650},980
1251,50,13,{coin3=2750},1000
1252,51,13,{coin3=2850},1020
1253,52,13,{coin3=2950},1040
1254,53,13,{coin3=3050},1060
1255,54,13,{coin3=3150},1080
1256,55,13,{coin3=3250},1100
1257,56,13,{coin3=3350},1120
1258,57,13,{coin3=3450},1140
1259,58,13,{coin3=3550},1160
1260,59,13,{coin3=3650},1180
1261,60,13,{coin3=3750},1200
1301,,14,{coin3=200},0
1302,1,14,{coin3=250},20
1303,2,14,{coin3=300},40
1304,3,14,{coin3=350},60
1305,4,14,{coin3=400},80
1306,5,14,{coin3=450},100
1307,6,14,{coin3=500},120
1308,7,14,{coin3=550},140
1309,8,14,{coin3=600},160
1310,9,14,{coin3=650},180
1311,10,14,{coin3=700},200
1312,11,14,{coin3=750},220
1313,12,14,{coin3=800},240
1314,13,14,{coin3=850},260
1315,14,14,{coin3=900},280
1316,15,14,{coin3=950},300
1317,16,14,{coin3=1000},320
1318,17,14,{coin3=1050},340
1319,18,14,{coin3=1100},360
1320,19,14,{coin3=1150},380
1321,20,14,{coin3=1200},400
1322,21,14,{coin3=1250},420
1323,22,14,{coin3=1300},440
1324,23,14,{coin3=1350},460
1325,24,14,{coin3=1400},480
1326,25,14,{coin3=1450},500
1327,26,14,{coin3=1500},520
1328,27,14,{coin3=1550},540
1329,28,14,{coin3=1600},560
1330,29,14,{coin3=1650},580
1331,30,14,{coin3=1700},600
1332,31,14,{coin3=1750},620
1333,32,14,{coin3=1800},640
1334,33,14,{coin3=1850},660
