变量名,name,name_tw,name_en,name_kr,gateID,firstAward,repeatAward,challengeAward,killAward,desc,desc_tw,desc_en,desc_kr
默认值,"""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""",""""""
公会副本ID,副本名称,副本名称,副本名称,副本名称_韩,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,特性介绍,特性介绍_韩
11,急冻鸟,急凍鳥,Articuno,???,1010,{19=2;932=50;5000=50},{951=1;932=20;gold=130000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},急冻鸟似乎获得了更强的能力,急凍鳥似乎獲得了更強的能力,Articuno seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
12,闪电鸟,閃電鳥,Zapdos,??,1011,{519=1;932=50;5000=50},{951=1;932=20;gold=140000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},闪电鸟似乎获得了更强的能力,閃電鳥似乎獲得了更強的能力,Zapdos seems to have gotten more powerful,??? ? ?? ??? ??? ? ??.
13,火焰鸟,火焰鳥,Moltres,???,1012,{502=1;932=50;5000=50},{951=1;932=20;gold=150000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},火焰鸟似乎获得了更强的能力,火焰鳥似乎獲得了更強的能力,Moltres seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
14,蜥蜴王,蜥蜴王,Sceptile,???,1013,{rmb=100;932=60;5000=60},{951=1;932=20;gold=160000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},蜥蜴王似乎获得了更强的能力,蜥蜴王似乎獲得了更強的能力,Sceptile seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
15,请假王,請假王,Slaking,???,1014,{501=1;932=60;5000=60},{951=1;932=25;gold=170000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},请假王似乎获得了更强的能力,請假王似乎獲得了更強的能力,Slaking seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
16,炎武王,炎武王,Emboar,???,1015,{19=2;932=60;5000=60},{951=2;932=25;gold=180000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},炎武王似乎获得了更强的能力,炎武王似乎獲得了更強的能力,Emboar seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
17,雷公,雷公,Raikou,???,1016,{519=1;932=70;5000=70},{951=2;932=25;gold=190000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},雷公似乎获得了更强的能力,雷公似乎獲得了更強的能力,Raikou seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
18,炎帝,炎帝,Entei,???,1017,{501=1;932=70;5000=70},{951=2;932=25;gold=200000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},炎帝似乎获得了更强的能力,炎帝似乎獲得了更強的能力,Entei seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
19,水君,水君,Suicune,???,1018,{rmb=100;932=70;5000=70},{951=2;932=30;gold=210000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},水君似乎获得了更强的能力,水君似乎獲得了更強的能力,Suicune seems to have gotten more powerful,???? ? ?? ??? ??? ? ??.
20,梦幻,夢幻,Mew,?,1019,{501=1;932=80;5000=80},{951=2;932=30;gold=220000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},梦幻似乎获得了更强的能力,夢幻似乎獲得了更強的能力,Mew seems to have gotten more powerful,?? ? ?? ??? ??? ? ??.
21,超梦,超夢,Mewtwo,??,1020,{19=2;932=80;5000=80},{951=2;932=30;gold=230000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},超梦似乎获得了更强的能力,超夢似乎獲得了更強的能力,Mewtwo seems to have gotten more powerful,??? ? ?? ??? ??? ? ??.
22,自爆磁怪,自爆磁怪,Magnezone,????,1021,{519=1;932=80;5000=80},{951=2;932=35;gold=240000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},自爆磁怪似乎获得了更强的能力,自爆磁怪似乎獲得了更強的能力,Magnezone seems to have gotten more powerful,????? ? ?? ??? ??? ? ??.
23,超甲狂犀,超甲狂犀,Rhyperior,?????,1022,{501=1;932=90;5000=90},{951=2;932=35;gold=250000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},超甲狂犀似乎获得了更强的能力,超甲狂犀似乎獲得了更強的能力,Rhyperior seems to have gotten more powerful,?????? ? ?? ??? ??? ? ??.
24,巨钳螳螂,巨鉗螳螂,Scizor,??,1023,{rmb=100;932=90;5000=90},{951=2;932=35;gold=260000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},巨钳螳螂似乎获得了更强的能力,巨鉗螳螂似乎獲得了更強的能力,Scizor seems to have gotten more powerful,??? ? ?? ??? ??? ? ??.
25,鸭嘴炎兽,鴨嘴炎獸,Magmortar,????,1024,{501=1;932=90;5000=90},{951=2;932=40;gold=270000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},鸭嘴炎兽似乎获得了更强的能力,鴨嘴炎獸似乎獲得了更強的能力,Magmortar seems to have gotten more powerful,????? ? ?? ??? ??? ? ??.
26,电龙,電龍,Ampharos,??,1025,{19=2;932=100;5000=100},{951=2;932=40;gold=280000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},电龙似乎获得了更强的能力,電龍似乎獲得了更強的能力,Ampharos seems to have gotten more powerful,??? ? ?? ??? ??? ? ??.
27,赫拉克罗斯,赫拉克羅斯,Heracross,?????,1026,{519=1;932=100;5000=100},{951=2;932=40;gold=290000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},赫拉克罗斯似乎获得了更强的能力,赫拉克羅斯似乎獲得了更強的能力,Heracross seems to have gotten more powerful,?????? ? ?? ??? ??? ? ??.
28,玛狃拉,瑪狃拉,Weavile,????,1027,{501=1;932=110;5000=110},{951=2;932=40;gold=300000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},玛狃拉似乎获得了更强的能力,瑪狃拉似乎獲得了更強的能力,Weavile seems to have gotten more powerful,????? ? ?? ??? ??? ? ??.
29,黑鲁加,黑魯加,Houndoom,??,1028,{rmb=100;932=110;5000=110},{951=2;932=40;gold=310000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},黑鲁加似乎获得了更强的能力,黑魯加似乎獲得了更強的能力,Houndoom seems to have gotten more powerful,??? ? ?? ??? ??? ? ??.
30,班基拉斯,班基拉斯,Tyranitar,????,1029,{501=1;932=110;5000=110},{951=2;932=40;gold=320000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},班基拉斯似乎获得了更强的能力,班基拉斯似乎獲得了更強的能力,Tyranitar seems to have gotten more powerful,????? ? ?? ??? ??? ? ??.
31,雷吉洛克,雷吉洛克,,???,1030,{19=2;932=120;5000=120},{951=3;932=45;gold=330000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},雷吉洛克似乎获得了更强的能力,404,,???? ? ?? ??? ??? ? ??.
32,雷吉艾斯,雷吉艾斯,,?????,1031,{519=1;932=120;5000=120},{951=3;932=45;gold=340000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},雷吉艾斯似乎获得了更强的能力,404,,?????? ? ?? ??? ??? ? ??.
33,雷吉斯奇鲁,雷吉斯奇鲁,,????,1032,{501=1;932=120;5000=120},{951=3;932=45;gold=350000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},雷吉斯奇鲁似乎获得了更强的能力,404,,????? ? ?? ??? ??? ? ??.
34,大钢蛇,大钢蛇,,???,1033,{rmb=100;932=130;5000=130},{951=3;932=45;gold=360000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},大钢蛇似乎获得了更强的能力,404,,???? ? ?? ??? ??? ? ??.
35,巨金怪,巨金怪,,?????,1034,{501=1;932=130;5000=130},{951=3;932=45;gold=370000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},巨金怪似乎获得了更强的能力,404,,?????? ? ?? ??? ??? ? ??.
36,双斧战龙,双斧战龙,,?????,1035,{19=2;932=140;5000=140},{951=3;932=50;gold=380000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},双斧战龙似乎获得了更强的能力,404,,?????? ? ?? ??? ??? ? ??.
37,路卡利欧,路卡利欧,,????,1036,{519=1;932=140;5000=140},{951=3;932=50;gold=390000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},路卡利欧似乎获得了更强的能力,404,,????? ? ?? ??? ??? ? ??.
38,盖欧卡,盖欧卡,,????,1037,{501=1;932=140;5000=140},{951=3;932=50;gold=400000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},盖欧卡似乎获得了更强的能力,404,,????? ? ?? ??? ??? ? ??.
39,固拉多,固拉多,,???,1038,{rmb=100;932=150;5000=150},{951=3;932=50;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},固拉多似乎获得了更强的能力,404,,???? ? ?? ??? ??? ? ??.
40,裂空座,裂空座,,???,1039,{501=1;932=150;5000=150},{951=3;932=50;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},裂空座似乎获得了更强的能力,404,,???? ? ?? ??? ??? ? ??.
