变量名,attrNum6,attrNumType6,attrNum5,attrNumType5,attrNum4,explorerAttrNum,quality,attrNumType3,attrNum2,attrNumType2,techPoint,attrNum1,attrNumType1,attrNum3,attrNumType4,coreExp
65,27,13,108,10,108,,,8,325,7,6,1085,1,325,9,17410
66,27,13,109,10,109,,,8,328,7,6,1094,1,328,9,18570
67,28,13,110,10,110,0.50%,3,8,331,7,6,1104,1,331,9,19740
68,28,13,111,10,111,,,8,334,7,6,1114,1,334,9,21580
69,28,13,112,10,112,,,8,337,7,6,1123,1,337,9,23480
70,28,13,113,10,113,0.50%,4,8,340,7,6,1133,1,340,9,25380
71,29,13,114,10,114,,,8,343,7,6,1142,1,343,9,27330
72,29,13,115,10,115,,,8,346,7,6,1152,1,346,9,29310
73,29,13,116,10,116,0.50%,5,8,348,7,6,1162,1,348,9,31300
74,29,13,117,10,117,,,8,351,7,6,1171,1,351,9,33340
75,30,13,118,10,118,,,8,354,7,6,1181,1,354,9,35380
76,30,13,119,10,119,0.50%,2,8,357,7,6,1190,1,357,9,37480
77,30,13,120,10,120,,,8,360,7,6,1200,1,360,9,39610
78,30,13,121,10,121,,,8,363,7,6,1210,1,363,9,41730
79,30,13,122,10,122,0.50%,3,8,366,7,6,1219,1,366,9,43920
80,31,13,123,10,123,,,8,369,7,6,1229,1,369,9,46100
81,31,13,124,10,124,,,8,372,7,6,1238,1,372,9,49470
82,31,13,125,10,125,0.50%,4,8,374,7,6,1248,1,374,9,52890
83,31,13,126,10,126,,,8,377,7,6,1258,1,377,9,56310
84,32,13,127,10,127,,,8,380,7,6,1267,1,380,9,59820
85,32,13,128,10,128,0.50%,5,8,383,7,6,1277,1,383,9,63330
86,32,13,129,10,129,,,8,386,7,6,1286,1,386,9,68500
87,32,13,130,10,130,,,8,389,7,6,1296,1,389,9,73730
88,33,13,131,10,131,0.50%,2,8,392,7,6,1306,1,392,9,78980
89,33,13,132,10,132,,,8,395,7,6,1315,1,395,9,84350
90,33,13,132,10,132,,,8,397,7,6,1325,1,397,9,89730
91,33,13,133,10,133,0.50%,3,8,400,7,6,1334,1,400,9,
