变量名,level,extraEffortLevel,feelLevel,contractLevel,chipLevel,gemLevel,heldItemAdvance,advance,star,nvalue,equips,skills,starSkills,effortValues,abilities,abilitiesExtra,fetter,zawake,__version
107,,,,30,120,120,7,28,9,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;0;0;0;0>,
108,,,,30,120,120,7,28,10,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;0;0;0;0;0;0>,
109,,,,30,120,120,7,28,10,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;0;0;0;0>,
110,,,,30,120,120,7,28,11,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;0;0;0;0;0;0>,
111,,,,30,120,120,7,28,11,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;0;0;0;0>,
112,,,,30,120,120,7,28,11,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;0;0>,
113,,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
20010,,,,,20,20,3,,5,,<1;1;1;1>,<119;119;119;119;119;119;119>,,,,{branch=1;level=50},,,
20011,,,,,50,50,3,,6,,<11;11;11;11>,<119;119;119;119;119;119;119>,,,,{branch=1;level=50},,<1;1;0;0;0;0;0;0>,
20012,,,,,80,80,3,23,,,<12;12;12;12>,<119;119;119;119;119;119;119>,,,,{branch=1;level=50},,<1;1;0;0;0;0;0;0>,
20013,,,,,100,100,5,23,12,,<13;13;13;13>,<119;119;119;119;119;119;119>,,,,{branch=1;level=50},,<1;1;1;1;0;0;0;0>,
20014,,,,,100,100,7,23,12,,<13;13;13;13>,<119;119;119;119;119;119;119>,,,,{branch=1;level=50},,<1;1;1;1;1;1;0;0>,
20015,134,,,10,50,80,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<13;13;13;13>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=2;level=50},,<8;8;8;8;8;8;8;8>,
21001,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21002,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21003,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21004,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21005,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21006,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21007,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21008,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21009,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21010,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
21011,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
