变量名,gem3,gem2,gem1,heldItem,templateID,cardID,useSkin,contract6,contract5,contract4,contract3,contract2,contract1,chip6,chip5,chip4,chip3,chip2,chip1,gem9,gem8,gem7,gem6,gem5,gem4,__version
119,40163,40162,40161,30405,,2431,,,81608,81603,81604,81601,81601,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
120,40663,40662,40661,30413,,2441,,,81608,81603,81604,81601,81601,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
121,40663,40662,40661,30413,,2442,,,81608,81603,81604,81601,81601,60866,60865,60764,60763,60762,60761,40763,40762,40761,40666,40665,40664,
122,40163,40162,40161,30427,,2461,,,81601,81603,81605,81604,81602,60866,60865,60964,60963,60962,60961,40863,40862,40861,40166,40165,40164,
123,40563,40562,40561,30415,,3211,,,81602,81604,81603,81602,81601,60866,60865,60964,60963,60962,60961,40963,40962,40961,40566,40565,40564,
124,40163,40162,40161,30416,,3221,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
125,40563,40562,40561,30417,,3241,,,81601,81603,81605,81604,81602,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
126,40163,40162,40161,30418,,3261,,,81608,81603,81604,81601,81601,60866,60865,60764,60763,60762,60761,40863,40862,40861,40166,40165,40164,
127,40163,40162,40161,30424,,3271,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
128,40663,40662,40661,30425,,3601,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
129,40163,40162,40161,30421,,3611,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
130,40563,40562,40561,30431,,3623,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
131,40663,40662,40661,30406,20013,3631,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
132,40663,40662,40661,30406,20013,3632,,81602,81601,81603,81603,81604,81606,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
133,40163,40162,40161,30414,20013,3641,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
134,40163,40162,40161,30414,20013,3642,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
135,40163,40162,40161,30436,20013,3651,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
136,40563,40562,40561,30434,20013,4023,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
137,40563,40562,40561,30437,20013,4024,,,81601,81603,81605,81604,81602,60866,60865,60864,60863,60862,60861,40763,40762,40761,40566,40565,40564,
138,40163,40162,40161,30440,20013,4101,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
139,40563,40562,40561,30435,20013,4111,,,81601,81603,81605,81604,81602,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
140,40163,40162,40161,30432,20013,4121,,,81606,81603,81601,81606,81606,60166,60165,60164,60163,60162,60161,40863,40862,40861,40166,40165,40164,
141,40163,40162,40161,30426,20013,4161,,,81606,81603,81601,81606,81606,60166,60165,60164,60163,60162,60161,40863,40862,40861,40166,40165,40164,
142,40563,40562,40561,30420,20013,4172,,,81602,81604,81603,81602,81601,60866,60865,60964,60963,60962,60961,40963,40962,40961,40566,40565,40564,
143,40163,40162,40161,30446,20013,4591,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
144,40563,40562,40561,30443,20013,4601,,,81602,81604,81603,81602,81601,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
145,40563,40562,40561,30447,,4631,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40566,40565,40564,
146,40563,40562,40561,30452,,4682,,,81601,81603,81605,81604,81602,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
147,40163,40162,40161,30449,,4683,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
148,40163,40162,40161,30401,,7011,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
149,40163,40162,40161,30439,,7021,,,81608,81603,81604,81601,81601,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
150,40163,40162,40161,30440,,7031,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
151,40563,40562,40561,30441,,7041,,,81601,81603,81605,81604,81602,60866,60865,60764,60763,60762,60761,40763,40762,40761,40566,40565,40564,
152,40163,40162,40161,30442,,7051,,,81606,81603,81601,81606,81606,60866,60865,60764,60763,60762,60761,40863,40862,40861,40166,40165,40164,
153,40163,40162,40161,30444,,7061,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
154,40163,40162,40161,30445,,7071,,,81606,81603,81601,81606,81606,60166,60165,60164,60163,60162,60161,40863,40862,40861,40166,40165,40164,
155,40563,40562,40561,30448,,7081,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
156,40163,40162,40161,30450,,7091,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
157,40163,40162,40161,30451,,7111,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
501,40163,40162,40161,30401,20012,761,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
502,40663,40662,40661,30407,20012,1261,,,81602,81604,81603,81602,81601,60566,60565,60664,60663,60662,60661,40963,40962,40961,40666,40665,40664,
503,40663,40662,40661,31301,20012,1271,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
504,40563,40562,40561,30404,20012,1961,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40566,40565,40564,
505,40663,40662,40661,30403,20012,1971,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40666,40665,40664,
506,40163,40162,40161,30408,20012,1981,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
507,40163,40162,40161,30410,20012,2351,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
508,40163,40162,40161,30411,20012,2361,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
509,40163,40162,40161,30409,20012,2381,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
510,40663,40662,40661,30412,20012,2391,,,81602,81604,81603,81602,81601,60566,60565,60564,60563,60562,60561,40963,40962,40961,40666,40665,40664,
511,40163,40162,40161,30405,20012,2431,,,81608,81603,81604,81601,81601,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
512,40663,40662,40661,30413,20012,2441,,,81608,81603,81604,81601,81601,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
513,40563,40562,40561,30415,20012,3211,,,81602,81604,81603,81602,81601,60866,60865,60964,60963,60962,60961,40963,40962,40961,40566,40565,40564,
514,40163,40162,40161,30416,20012,3221,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
515,40563,40562,40561,30417,20012,3241,,,81601,81603,81605,81604,81602,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
516,40663,40662,40661,30406,20012,3631,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
517,40163,40162,40161,30414,20012,3641,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
1001,40163,40162,40161,30413,20016,2441,,,82601,81604,83601,84603,84602,60566,60565,60564,60563,60562,60561,40763,40762,40761,40166,40165,40164,
1002,40163,40162,40161,30413,20016,2442,,,82601,81604,83601,84603,84602,60566,60565,60564,60563,60562,60561,40763,40762,40761,40166,40165,40164,
1003,40163,40162,40161,30453,,7121,,,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40263,40262,40261,40166,40165,40164,
1004,40163,40162,40161,30454,,3242,,,,,,,,60966,60965,60964,60963,60962,60961,40666,40665,40664,40663,40662,40661,
1005,40663,40662,40661,30455,20016,7131,,,81603,81604,81601,84603,84602,60466,60465,60464,60463,60462,60461,40963,40962,40961,40666,40665,40664,
1006,40363,40362,40361,30456,,4611,,,81604,83607,81601,84602,84601,60266,60265,60264,60263,60262,60261,40163,40162,40161,40366,40365,40364,
1007,40363,40362,40361,30457,20016,7141,,,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
2001,40363,40362,40361,30401,21001,761,,,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
2002,40363,40362,40361,30444,21001,762,,84603,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
2003,40363,40362,40361,31101,21001,763,,84603,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
2004,40663,40662,40661,30407,21001,1261,,,83603,82601,83601,84603,84602,60566,60565,60664,60663,60662,60661,40963,40962,40961,40666,40665,40664,
2005,40663,40662,40661,31301,21001,1271,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
2006,40463,40462,40461,30423,21001,1281,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40466,40465,40464,
2007,40563,40562,40561,30404,,1961,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40566,40565,40564,
2008,40563,40562,40561,30404,21001,1962,,81605,81605,81605,81603,81606,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40566,40565,40564,
2009,40663,40662,40661,30403,,1971,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40666,40665,40664,
2010,40663,40662,40661,30403,21001,1972,,81606,81604,81603,81603,81605,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40666,40665,40664,
2011,40163,40162,40161,30408,,1981,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2012,40163,40162,40161,30401,21001,1982,,81604,81604,81604,81608,81602,81605,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2013,40663,40662,40661,30419,21001,1991,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
2014,40163,40162,40161,30410,21001,2351,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2015,40163,40162,40161,30411,21001,2361,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2016,40163,40162,40161,30409,21001,2381,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2017,40663,40662,40661,30412,21001,2391,,,81602,81604,81603,81602,81601,60566,60565,60564,60563,60562,60561,40963,40962,40961,40666,40665,40664,
2018,40463,40462,40461,30433,21001,2421,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40466,40465,40464,
2019,40163,40162,40161,30405,21001,2431,,,81608,81603,81604,81601,81601,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
2020,40163,40162,40161,30413,21001,2441,,,82601,81604,83601,84603,84602,60566,60565,60564,60563,60562,60561,40763,40762,40761,40166,40165,40164,
2021,40163,40162,40161,30413,21001,2442,,,82601,81604,83601,84603,84602,60566,60565,60564,60563,60562,60561,40763,40762,40761,40166,40165,40164,
2022,40163,40162,40161,30427,21001,2461,,,81601,81603,81605,81604,81602,60866,60865,60964,60963,60962,60961,40863,40862,40861,40166,40165,40164,
2023,40563,40562,40561,30415,21001,3211,,,81602,81604,81603,81602,81601,60866,60865,60964,60963,60962,60961,40963,40962,40961,40566,40565,40564,
2024,40163,40162,40161,30416,21001,3221,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2025,40563,40562,40561,30417,21001,3241,,,81601,81603,81605,81604,81602,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
2026,40163,40162,40161,30418,21001,3261,,,81608,81603,81604,81601,81601,60866,60865,60764,60763,60762,60761,40863,40862,40861,40166,40165,40164,
2027,40163,40162,40161,30424,21001,3271,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2028,40663,40662,40661,30425,21001,3601,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
2029,40163,40162,40161,30421,21001,3611,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2030,40563,40562,40561,30431,21001,3623,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
2031,40663,40662,40661,30406,21001,3631,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
2032,40663,40662,40661,30406,21001,3632,,81602,81601,81603,81603,81604,81606,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
2033,40163,40162,40161,30414,21001,3641,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
2034,40163,40162,40161,30414,21001,3642,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
2035,40163,40162,40161,30436,21001,3651,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
2036,40563,40562,40561,30434,21001,4023,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
2037,40563,40562,40561,30437,21001,4024,,,81601,81603,81605,81604,81602,60866,60865,60864,60863,60862,60861,40763,40762,40761,40566,40565,40564,
2038,40163,40162,40161,30440,21001,4101,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2039,40563,40562,40561,30435,21001,4111,,,81601,81603,81605,81604,81602,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
2040,40163,40162,40161,30432,21001,4121,,,81606,81603,81601,81606,81606,60166,60165,60164,60163,60162,60161,40863,40862,40861,40166,40165,40164,
2041,40163,40162,40161,30426,21001,4161,,,81606,81603,81601,81606,81606,60166,60165,60164,60163,60162,60161,40863,40862,40861,40166,40165,40164,
2042,40563,40562,40561,30420,21001,4172,,,81602,81604,81603,81602,81601,60866,60865,60964,60963,60962,60961,40963,40962,40961,40566,40565,40564,
2043,40163,40162,40161,30446,21001,4591,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2044,40563,40562,40561,30443,21001,4601,,,81602,81604,81603,81602,81601,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
2045,40563,40562,40561,30447,21001,4631,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40566,40565,40564,
2046,40563,40562,40561,30452,21001,4682,,,81601,81603,81605,81604,81602,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
2047,40163,40162,40161,30449,21001,4683,,,81606,81603,81601,81606,81606,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
2048,40163,40162,40161,30401,21001,7011,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2049,40163,40162,40161,30439,21001,7021,,,81608,81603,81604,81601,81601,60866,60865,60864,60863,60862,60861,40863,40862,40861,40166,40165,40164,
2050,40163,40162,40161,30440,21001,7031,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2051,40563,40562,40561,30441,21001,7041,,,81601,81603,81605,81604,81602,60866,60865,60764,60763,60762,60761,40763,40762,40761,40566,40565,40564,
2052,40163,40162,40161,30442,21001,7051,,,81606,81603,81601,81606,81606,60866,60865,60764,60763,60762,60761,40863,40862,40861,40166,40165,40164,
2053,40163,40162,40161,30444,21001,7061,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2054,40163,40162,40161,30445,21001,7071,,,81606,81603,81601,81606,81606,60166,60165,60164,60163,60162,60161,40863,40862,40861,40166,40165,40164,
2055,40563,40562,40561,30448,21001,7081,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
2056,40163,40162,40161,30450,21001,7091,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2057,40163,40162,40161,30451,21001,7111,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2058,40163,40162,40161,30453,21001,7121,,,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40263,40262,40261,40166,40165,40164,
2059,40163,40162,40161,30454,21001,3242,,81604,81603,81604,81601,84603,84602,60966,60965,60964,60963,60962,60961,40666,40665,40664,40663,40662,40661,
2060,40663,40662,40661,30455,21001,7131,,,81603,81604,81601,84603,84602,60466,60465,60464,60463,60462,60461,40963,40962,40961,40666,40665,40664,
2061,40363,40362,40361,30456,21001,4611,,,81604,83607,81601,84602,84601,60266,60265,60264,60263,60262,60261,40163,40162,40161,40366,40365,40364,
2062,40363,40362,40361,30457,21001,7141,,,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
2063,40663,40662,40661,30448,21001,7151,,,83603,82601,83601,84603,84602,60566,60565,60564,60563,60562,60561,40763,40762,40761,40666,40665,40664,
2064,40163,40162,40161,30459,21001,5391,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2065,40163,40162,40161,30461,21001,3243,,81604,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2066,40163,40162,40161,30427,21001,7101,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2067,40563,40562,40561,30460,21001,7161,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
2068,40563,40562,40561,30462,21001,7171,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
2069,40163,40162,40161,30418,21001,3262,,,81608,81603,81604,81601,81601,60866,60865,60764,60763,60762,60761,40863,40862,40861,40166,40165,40164,
2070,40163,40162,40161,30463,21001,5381,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
2071,40163,40162,40161,30464,21001,7181,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2072,40363,40362,40361,30465,21001,7191,,,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
2073,40363,40362,40361,30401,21001,4701,,,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
2074,40163,40162,40161,30467,21001,2352,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2075,40563,40562,40561,30466,21001,4103,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
2076,40563,40562,40561,30468,21001,7201,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
2077,40363,40362,40361,30469,21001,7211,,84603,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40863,40862,40861,40366,40365,40364,
2078,40363,40362,40361,30470,21001,7221,,84603,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40863,40862,40861,40366,40365,40364,
2079,40163,40162,40161,30471,21001,2362,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2080,40563,40562,40561,30473,21001,4104,,,81601,81603,81605,81604,81602,60866,60865,60864,60863,60862,60861,40763,40762,40761,40566,40565,40564,
2081,40363,40362,40361,30474,21001,5481,,,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
2082,40663,40662,40661,30472,21001,5561,,,83603,82601,83601,84603,84602,60666,60665,60664,60663,60662,60661,40563,40562,40561,40666,40665,40664,
2083,40163,40162,40161,30475,21001,7231,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
2084,40163,40162,40161,30455,21001,7241,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
3001,40163,40162,40161,30461,21002,3243,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
3002,40163,40162,40161,30459,21002,5391,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
3003,40163,40162,40161,30426,21002,4161,,,81606,81603,81601,81606,81606,60166,60165,60164,60163,60162,60161,40863,40862,40861,40166,40165,40164,
3004,40163,40162,40161,30416,21002,3221,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
3005,40563,40562,40561,30460,21002,7161,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
3006,40163,40162,40161,30457,21002,7181,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
3007,40363,40362,40361,31101,21002,763,,84603,81604,83607,81601,84602,84601,60366,60365,60364,60363,60362,60361,40163,40162,40161,40366,40365,40364,
3101,40563,40562,40561,30435,21003,4111,,,81601,81603,81605,81604,81602,60566,60565,60564,60563,60562,60561,40963,40962,40961,40566,40565,40564,
3102,40163,40162,40161,30410,21003,2351,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
3103,40563,40562,40561,30420,21003,4172,,,81602,81604,81603,81602,81601,60866,60865,60964,60963,60962,60961,40963,40962,40961,40566,40565,40564,
3104,40563,40562,40561,30448,21003,7081,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
3105,40663,40662,40661,30419,21003,1991,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
3106,40563,40562,40561,30434,21003,4023,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
3107,40163,40162,40161,30451,21003,7111,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
3108,40563,40562,40561,30448,21003,7171,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
3109,40163,40162,40161,30450,21003,7091,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
3110,40563,40562,40561,30431,21003,3623,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
3111,40563,40562,40561,30466,21003,4103,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40566,40565,40564,
