变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{},{},{},{},{},{},{},{}
ID,消耗1,消耗2,消耗3,消耗4,消耗5,消耗6,消耗7,消耗8
13,{152=280;gold=3300000},{152=280;gold=3300000},{152=280;gold=3300000},{152=280;gold=3300000},{152=280;gold=3300000},{152=280;gold=3300000},{152=280;gold=3300000},{152=280;gold=3300000}
14,{152=300;gold=3600000},{152=300;gold=3600000},{152=300;gold=3600000},{152=300;gold=3600000},{152=300;gold=3600000},{152=300;gold=3600000},{152=300;gold=3600000},{152=300;gold=3600000}
15,{152=320;gold=3900000},{152=320;gold=3900000},{152=320;gold=3900000},{152=320;gold=3900000},{152=320;gold=3900000},{152=320;gold=3900000},{152=320;gold=3900000},{152=320;gold=3900000}
16,{152=340;gold=4200000},{152=340;gold=4200000},{152=340;gold=4200000},{152=340;gold=4200000},{152=340;gold=4200000},{152=340;gold=4200000},{152=340;gold=4200000},{152=340;gold=4200000}
17,{152=360;gold=4500000},{152=360;gold=4500000},{152=360;gold=4500000},{152=360;gold=4500000},{152=360;gold=4500000},{152=360;gold=4500000},{152=360;gold=4500000},{152=360;gold=4500000}
18,{152=380;gold=4800000},{152=380;gold=4800000},{152=380;gold=4800000},{152=380;gold=4800000},{152=380;gold=4800000},{152=380;gold=4800000},{152=380;gold=4800000},{152=380;gold=4800000}
19,{152=400;gold=5100000},{152=400;gold=5100000},{152=400;gold=5100000},{152=400;gold=5100000},{152=400;gold=5100000},{152=400;gold=5100000},{152=400;gold=5100000},{152=400;gold=5100000}
20,{152=420;gold=5400000},{152=420;gold=5400000},{152=420;gold=5400000},{152=420;gold=5400000},{152=420;gold=5400000},{152=420;gold=5400000},{152=420;gold=5400000},{152=420;gold=5400000}
21,{152=440;gold=5700000},{152=440;gold=5700000},{152=440;gold=5700000},{152=440;gold=5700000},{152=440;gold=5700000},{152=440;gold=5700000},{152=440;gold=5700000},{152=440;gold=5700000}
22,{152=460;gold=6000000},{152=460;gold=6000000},{152=460;gold=6000000},{152=460;gold=6000000},{152=460;gold=6000000},{152=460;gold=6000000},{152=460;gold=6000000},{152=460;gold=6000000}
23,{152=480;gold=6300000},{152=480;gold=6300000},{152=480;gold=6300000},{152=480;gold=6300000},{152=480;gold=6300000},{152=480;gold=6300000},{152=480;gold=6300000},{152=480;gold=6300000}
24,{152=520;gold=6600000},{152=520;gold=6600000},{152=520;gold=6600000},{152=520;gold=6600000},{152=520;gold=6600000},{152=520;gold=6600000},{152=520;gold=6600000},{152=520;gold=6600000}
25,{152=560;gold=6900000},{152=560;gold=6900000},{152=560;gold=6900000},{152=560;gold=6900000},{152=560;gold=6900000},{152=560;gold=6900000},{152=560;gold=6900000},{152=560;gold=6900000}
26,{152=600;gold=7200000},{152=600;gold=7200000},{152=600;gold=7200000},{152=600;gold=7200000},{152=600;gold=7200000},{152=600;gold=7200000},{152=600;gold=7200000},{152=600;gold=7200000}
27,{152=660;gold=7500000},{152=660;gold=7500000},{152=660;gold=7500000},{152=660;gold=7500000},{152=660;gold=7500000},{152=660;gold=7500000},{152=660;gold=7500000},{152=660;gold=7500000}
28,{152=720;gold=7800000},{152=720;gold=7800000},{152=720;gold=7800000},{152=720;gold=7800000},{152=720;gold=7800000},{152=720;gold=7800000},{152=720;gold=7800000},{152=720;gold=7800000}
29,{152=780;gold=8100000},{152=780;gold=8100000},{152=780;gold=8100000},{152=780;gold=8100000},{152=780;gold=8100000},{152=780;gold=8100000},{152=780;gold=8100000},{152=780;gold=8100000}
30,{152=820;gold=8400000},{152=820;gold=8400000},{152=820;gold=8400000},{152=820;gold=8400000},{152=820;gold=8400000},{152=820;gold=8400000},{152=820;gold=8400000},{152=820;gold=8400000}
