变量名,_name,_rarity,level,advance,star,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,speedRate,languages,hp,damage,specialDamage,defence,specialDefence,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,block,breakBlock,cardID,strike
1022,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,464,
1023,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,472,
1024,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,482,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,
1026,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,552,
1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,
1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,
1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,
1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,
1032,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,692,
1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,
1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,
1036,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,,,,,,,,,,,,,731,
1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,
1038,,,,,,<80;80;80;80;80;80;80>,,,,,,,,,,,,,,,,,,,,,,,,,,,753,
1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,
1040,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,783,
1041,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,793,
1042,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,803,
1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863,
1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,
1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,
1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,
1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082,
1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172,
1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221,
1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231,
1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253,
1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293,
1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303,
1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,
1055,,,,,,,,,,,,,,,,95%,,,95%,95%,,,,,,,,,,,,,1393,
1056,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,,,,,,,,,,,,,1394,
1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423,
1058,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,1443,
1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503,
1060,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,1612,
1061,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,1802,
1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813,
1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841,
1064,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,1852,
1065,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,1853,
1066,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,1863,
1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893,
1068,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,,,,,,,,,,,,,1903,
1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,
1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921,
1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931,
1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941,
1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,
1074,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2013,
1075,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2033,
1076,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2073,
1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,
1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242,
1079,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2272,
1080,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2302,
1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2401,
1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473,
1083,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2483,
1084,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2593,
1085,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2612,
1086,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2633,
1087,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2683,
1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2723,
1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2822,
1090,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2843,
1091,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2873,
1092,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2891,
1093,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,2963,
1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993,
1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003,
1096,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3012,
1097,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,,,,,,,,,,,,,3021,
1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3143,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3152,
1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3161,
1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3171,
1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3181,
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3251,
1104,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3283,
1105,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3293,
1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3303,
1107,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3342,
1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3353,
1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3413,
1110,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3432,
1111,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3472,
1112,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3502,
1113,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3511,
1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3543,
1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3592,
1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3663,
1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772,
1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3843,
1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4132,
1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7001,
1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,
1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,
1123,,,,,,,,,,,,,,,,95%,,,95%,95%,,,,,,,,,,,,,972,
1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772,
1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,
1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3191,
1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201,
1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3683,
1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3231,
1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3673,
1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3961,
1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,
1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,
1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,
1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411,
1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4071,
1137,,,,,,,,,,,,,,,,95%,92%,92%,,,,,,,,,,,,,,,4081,
1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2371,
1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493,
1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4031,
1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4151,
1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3832,
1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4141,
1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4061,
1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,
1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,
1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,
1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4431,
1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4193,
1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4041,
1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051,
1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,
1153,,,,,,<80;80;80;80;80;80;80>,,,,,,,,,,,,,,,,,,,,,,,,,,,211,
1154,,,,,,<80;80;80;80;80;80;80>,,,,,,,,,,,,,,,,,,,,,,,,,,,212,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,
1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481,
1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,
1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132,
1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2832,
1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2923,
1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2924,
1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4012,
1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4561,
1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4622,
1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4623,
1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,
1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091,
1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4183,
1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331,
1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4661,
1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4671,
1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3052,
1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3981,
1174,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4651,
1175,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,3941,
1176,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,902,
1177,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,1653,
1178,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,144,
1179,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4583,
1180,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4013,
1181,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4853,
1182,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,432,
1183,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,2121,
1184,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4011,
1185,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,412,
1186,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4641,
1187,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,5241,
1188,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4003,
1189,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4301,
1190,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,5361,
1191,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4773,
1192,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4572,
1193,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4701,
1217,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4993,
1218,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4521,
1219,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,5221,
1220,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,2043,
1221,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,3882,
1222,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4014,
1223,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,2802,
1224,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,5401,
1225,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,5211,
1226,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,1412,
1227,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,3572,
1228,,,,,,,,,,,,,,,<cn>,,,,,,,,,,,,,,,,,,4763,
