变量名,theme,offSetY,scale,offSetX,spine,awardIndex,points,sceneType,floor,teamGroup,buffs
84,,-80,1.8,,guaiwu4_hong_loop,238,500,3,28,<24;26>,
85,,-20,1.5,,guaiwu6_lan_loop,39,100,1,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
86,,-40,1.5,,guaiwu3_zi_loop,139,300,2,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
87,,-80,1.8,,guaiwu2_hong_loop,239,500,3,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
88,,-20,1.5,,guaiwu3_lan_loop,40,200,1,30,<26>,
89,,-40,1.5,,guaiwu1_zi_loop,140,600,2,30,<26>,
90,,-80,1.8,,guaiwu3_hong_loop,240,1000,3,30,<26>,
101,2,-20,1.5,,guaiwu2_lan_loop,11,100,1,1,<1>,
102,2,-40,1.5,,guaiwu3_zi_loop,111,300,2,1,<1>,
103,2,-80,1.8,,guaiwu4_hong_loop,211,500,3,1,<1>,
104,2,-20,1.5,,guaiwu3_lan_loop,12,100,1,2,<1>,
105,2,-40,1.5,,guaiwu6_zi_loop,112,300,2,2,<1>,
106,2,-80,1.8,,guaiwu2_hong_loop,212,500,3,2,<1>,
107,2,-20,1.5,,guaiwu3_lan_loop,13,100,1,3,<1>,<11;12;13;14;15;16>
108,2,-40,1.5,,guaiwu2_zi_loop,113,300,2,3,<1>,<11;12;13;14;15;16>
109,2,-80,1.8,,guaiwu4_hong_loop,213,500,3,3,<1>,<11;12;13;14;15;16>
110,2,-20,1.5,,guaiwu5_lan_loop,14,100,1,4,<1>,
111,2,-40,1.5,,guaiwu4_zi_loop,114,300,2,4,<1>,
112,2,-80,1.8,,guaiwu3_hong_loop,214,500,3,4,<1>,
113,2,-20,1.5,,guaiwu2_lan_loop,15,100,1,5,<1>,
114,2,-40,1.5,,guaiwu4_zi_loop,115,300,2,5,<1>,
115,2,-80,1.8,,guaiwu1_hong_loop,215,500,3,5,<1>,
116,2,-20,1.5,,guaiwu4_lan_loop,16,100,1,6,<11>,<11;12;13;14;15;16>
117,2,-40,1.5,,guaiwu5_zi_loop,116,300,2,6,<11>,<11;12;13;14;15;16>
118,2,-80,1.8,,guaiwu1_hong_loop,216,500,3,6,<11>,<11;12;13;14;15;16>
119,2,-20,1.5,,guaiwu4_lan_loop,17,100,1,7,<11>,
120,2,-40,1.5,,guaiwu3_zi_loop,117,300,2,7,<11>,
121,2,-80,1.8,,guaiwu6_hong_loop,217,500,3,7,<11>,
122,2,-20,1.5,,guaiwu5_lan_loop,18,100,1,8,<11>,
123,2,-40,1.5,,guaiwu6_zi_loop,118,300,2,8,<11>,
124,2,-80,1.8,,guaiwu1_hong_loop,218,500,3,8,<11>,
125,2,-20,1.5,,guaiwu2_lan_loop,19,100,1,9,<11>,<11;12;13;14;15;16>
126,2,-40,1.5,,guaiwu3_zi_loop,119,300,2,9,<11>,<11;12;13;14;15;16>
127,2,-80,1.8,,guaiwu6_hong_loop,219,500,3,9,<11>,<11;12;13;14;15;16>
128,2,-20,1.5,,guaiwu4_lan_loop,20,150,1,10,<21;22>,<11;12;13;14;15;16>
129,2,-40,1.5,,guaiwu5_zi_loop,120,450,2,10,<21;22>,<11;12;13;14;15;16>
130,2,-80,1.8,,guaiwu3_hong_loop,220,750,3,10,<21;22>,<11;12;13;14;15;16>
131,2,-20,1.5,,guaiwu1_lan_loop,21,100,1,11,<21>,
132,2,-40,1.5,,guaiwu5_zi_loop,121,300,2,11,<21>,
133,2,-80,1.8,,guaiwu2_hong_loop,221,500,3,11,<21>,
134,2,-20,1.5,,guaiwu5_lan_loop,22,100,1,12,<21>,
135,2,-40,1.5,,guaiwu2_zi_loop,122,300,2,12,<21>,
136,2,-80,1.8,,guaiwu6_hong_loop,222,500,3,12,<21>,
137,2,-20,1.5,,guaiwu6_lan_loop,23,100,1,13,<21>,<11;12;13;14;15;16>
138,2,-40,1.5,,guaiwu1_zi_loop,123,300,2,13,<21>,<11;12;13;14;15;16>
139,2,-80,1.8,,guaiwu3_hong_loop,223,500,3,13,<21>,<11;12;13;14;15;16>
140,2,-20,1.5,,guaiwu1_lan_loop,24,100,1,14,<21>,
141,2,-40,1.5,,guaiwu5_zi_loop,124,300,2,14,<21>,
142,2,-80,1.8,,guaiwu3_hong_loop,224,500,3,14,<21>,
143,2,-20,1.5,,guaiwu5_lan_loop,25,100,1,15,<22>,
144,2,-40,1.5,,guaiwu2_zi_loop,125,300,2,15,<22>,
145,2,-80,1.8,,guaiwu1_hong_loop,225,500,3,15,<22>,
146,2,-20,1.5,,guaiwu5_lan_loop,26,100,1,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
147,2,-40,1.5,,guaiwu1_zi_loop,126,300,2,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
148,2,-80,1.8,,guaiwu6_hong_loop,226,500,3,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
149,2,-20,1.5,,guaiwu2_lan_loop,27,100,1,17,<22>,
150,2,-40,1.5,,guaiwu3_zi_loop,127,300,2,17,<22>,
151,2,-80,1.8,,guaiwu1_hong_loop,227,500,3,17,<22>,
152,2,-20,1.5,,guaiwu5_lan_loop,28,100,1,18,<23>,
153,2,-40,1.5,,guaiwu1_zi_loop,128,300,2,18,<23>,
154,2,-80,1.8,,guaiwu6_hong_loop,228,500,3,18,<23>,
155,2,-20,1.5,,guaiwu2_lan_loop,29,100,1,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
156,2,-40,1.5,,guaiwu4_zi_loop,129,300,2,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
157,2,-80,1.8,,guaiwu3_hong_loop,229,500,3,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
158,2,-20,1.5,,guaiwu1_lan_loop,30,150,1,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
159,2,-40,1.5,,guaiwu2_zi_loop,130,450,2,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
160,2,-80,1.8,,guaiwu3_hong_loop,230,750,3,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
161,2,-20,1.5,,guaiwu1_lan_loop,31,100,1,21,<23>,
162,2,-40,1.5,,guaiwu5_zi_loop,131,300,2,21,<23>,
163,2,-80,1.8,,guaiwu4_hong_loop,231,500,3,21,<23>,
164,2,-20,1.5,,guaiwu2_lan_loop,32,100,1,22,<23>,
165,2,-40,1.5,,guaiwu3_zi_loop,132,300,2,22,<23>,
166,2,-80,1.8,,guaiwu5_hong_loop,232,500,3,22,<23>,
167,2,-20,1.5,,guaiwu5_lan_loop,33,100,1,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
168,2,-40,1.5,,guaiwu2_zi_loop,133,300,2,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
169,2,-80,1.8,,guaiwu3_hong_loop,233,500,3,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
170,2,-20,1.5,,guaiwu3_lan_loop,34,100,1,24,<23>,
171,2,-40,1.5,,guaiwu4_zi_loop,134,300,2,24,<23>,
172,2,-80,1.8,,guaiwu6_hong_loop,234,500,3,24,<23>,
173,2,-20,1.5,,guaiwu3_lan_loop,35,100,1,25,<24;26>,
174,2,-40,1.5,,guaiwu2_zi_loop,135,300,2,25,<24;26>,
175,2,-80,1.8,,guaiwu5_hong_loop,235,500,3,25,<24;26>,
176,2,-20,1.5,,guaiwu3_lan_loop,36,100,1,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
177,2,-40,1.5,,guaiwu2_zi_loop,136,300,2,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
178,2,-80,1.8,,guaiwu1_hong_loop,236,500,3,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
179,2,-20,1.5,,guaiwu6_lan_loop,37,100,1,27,<24;26>,
180,2,-40,1.5,,guaiwu5_zi_loop,137,300,2,27,<24;26>,
181,2,-80,1.8,,guaiwu5_hong_loop,237,500,3,27,<24;26>,
182,2,-20,1.5,,guaiwu2_lan_loop,38,100,1,28,<24;26>,
183,2,-40,1.5,,guaiwu2_zi_loop,138,300,2,28,<24;26>,
184,2,-80,1.8,,guaiwu4_hong_loop,238,500,3,28,<24;26>,
185,2,-20,1.5,,guaiwu6_lan_loop,39,100,1,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
186,2,-40,1.5,,guaiwu3_zi_loop,139,300,2,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
187,2,-80,1.8,,guaiwu2_hong_loop,239,500,3,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
188,2,-20,1.5,,guaiwu3_lan_loop,40,200,1,30,<26>,
189,2,-40,1.5,,guaiwu1_zi_loop,140,600,2,30,<26>,
190,2,-80,1.8,,guaiwu3_hong_loop,240,1000,3,30,<26>,
1001,101,-20,1.5,,guaiwu2_lan_loop,11,100,1,1,<1>,
1002,101,-40,1.5,,guaiwu3_zi_loop,111,300,2,1,<1>,
1003,101,-80,1.8,,guaiwu4_hong_loop,211,500,3,1,<1>,
1004,101,-20,1.5,,guaiwu3_lan_loop,12,100,1,2,<1>,
1005,101,-40,1.5,,guaiwu6_zi_loop,112,300,2,2,<1>,
1006,101,-80,1.8,,guaiwu2_hong_loop,212,500,3,2,<1>,
1007,101,-20,1.5,,guaiwu3_lan_loop,13,100,1,3,<1>,<11;12;13;14;15;16>
1008,101,-40,1.5,,guaiwu2_zi_loop,113,300,2,3,<1>,<11;12;13;14;15;16>
1009,101,-80,1.8,,guaiwu4_hong_loop,213,500,3,3,<1>,<11;12;13;14;15;16>
1010,101,-20,1.5,,guaiwu5_lan_loop,14,100,1,4,<1>,
1011,101,-40,1.5,,guaiwu4_zi_loop,114,300,2,4,<1>,
1012,101,-80,1.8,,guaiwu3_hong_loop,214,500,3,4,<1>,
1013,101,-20,1.5,,guaiwu2_lan_loop,15,100,1,5,<1>,
1014,101,-40,1.5,,guaiwu4_zi_loop,115,300,2,5,<1>,
1015,101,-80,1.8,,guaiwu1_hong_loop,215,500,3,5,<1>,
1016,101,-20,1.5,,guaiwu4_lan_loop,16,100,1,6,<11>,<11;12;13;14;15;16>
1017,101,-40,1.5,,guaiwu5_zi_loop,116,300,2,6,<11>,<11;12;13;14;15;16>
1018,101,-80,1.8,,guaiwu1_hong_loop,216,500,3,6,<11>,<11;12;13;14;15;16>
1019,101,-20,1.5,,guaiwu4_lan_loop,17,100,1,7,<11>,
1020,101,-40,1.5,,guaiwu3_zi_loop,117,300,2,7,<11>,
1021,101,-80,1.8,,guaiwu6_hong_loop,217,500,3,7,<11>,
1022,101,-20,1.5,,guaiwu5_lan_loop,18,100,1,8,<11>,
1023,101,-40,1.5,,guaiwu6_zi_loop,118,300,2,8,<11>,
1024,101,-80,1.8,,guaiwu1_hong_loop,218,500,3,8,<11>,
1025,101,-20,1.5,,guaiwu2_lan_loop,19,100,1,9,<11>,<11;12;13;14;15;16>
1026,101,-40,1.5,,guaiwu3_zi_loop,119,300,2,9,<11>,<11;12;13;14;15;16>
1027,101,-80,1.8,,guaiwu6_hong_loop,219,500,3,9,<11>,<11;12;13;14;15;16>
1028,101,-20,1.5,,guaiwu4_lan_loop,20,150,1,10,<21;22>,<11;12;13;14;15;16>
1029,101,-40,1.5,,guaiwu5_zi_loop,120,450,2,10,<21;22>,<11;12;13;14;15;16>
1030,101,-80,1.8,,guaiwu3_hong_loop,220,750,3,10,<21;22>,<11;12;13;14;15;16>
1031,101,-20,1.5,,guaiwu1_lan_loop,21,100,1,11,<21>,
1032,101,-40,1.5,,guaiwu5_zi_loop,121,300,2,11,<21>,
1033,101,-80,1.8,,guaiwu2_hong_loop,221,500,3,11,<21>,
1034,101,-20,1.5,,guaiwu5_lan_loop,22,100,1,12,<21>,
1035,101,-40,1.5,,guaiwu2_zi_loop,122,300,2,12,<21>,
1036,101,-80,1.8,,guaiwu6_hong_loop,222,500,3,12,<21>,
1037,101,-20,1.5,,guaiwu6_lan_loop,23,100,1,13,<21>,<11;12;13;14;15;16>
1038,101,-40,1.5,,guaiwu1_zi_loop,123,300,2,13,<21>,<11;12;13;14;15;16>
1039,101,-80,1.8,,guaiwu3_hong_loop,223,500,3,13,<21>,<11;12;13;14;15;16>
1040,101,-20,1.5,,guaiwu1_lan_loop,24,100,1,14,<21>,
1041,101,-40,1.5,,guaiwu5_zi_loop,124,300,2,14,<21>,
1042,101,-80,1.8,,guaiwu3_hong_loop,224,500,3,14,<21>,
1043,101,-20,1.5,,guaiwu5_lan_loop,25,100,1,15,<22>,
1044,101,-40,1.5,,guaiwu2_zi_loop,125,300,2,15,<22>,
1045,101,-80,1.8,,guaiwu1_hong_loop,225,500,3,15,<22>,
1046,101,-20,1.5,,guaiwu5_lan_loop,26,100,1,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
1047,101,-40,1.5,,guaiwu1_zi_loop,126,300,2,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
1048,101,-80,1.8,,guaiwu6_hong_loop,226,500,3,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
1049,101,-20,1.5,,guaiwu2_lan_loop,27,100,1,17,<22>,
1050,101,-40,1.5,,guaiwu3_zi_loop,127,300,2,17,<22>,
1051,101,-80,1.8,,guaiwu1_hong_loop,227,500,3,17,<22>,
1052,101,-20,1.5,,guaiwu5_lan_loop,28,100,1,18,<23>,
1053,101,-40,1.5,,guaiwu1_zi_loop,128,300,2,18,<23>,
1054,101,-80,1.8,,guaiwu6_hong_loop,228,500,3,18,<23>,
1055,101,-20,1.5,,guaiwu2_lan_loop,29,100,1,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
1056,101,-40,1.5,,guaiwu4_zi_loop,129,300,2,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
1057,101,-80,1.8,,guaiwu3_hong_loop,229,500,3,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
1058,101,-20,1.5,,guaiwu1_lan_loop,30,150,1,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
1059,101,-40,1.5,,guaiwu2_zi_loop,130,450,2,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
1060,101,-80,1.8,,guaiwu3_hong_loop,230,750,3,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
1061,101,-20,1.5,,guaiwu1_lan_loop,31,100,1,21,<23>,
1062,101,-40,1.5,,guaiwu5_zi_loop,131,300,2,21,<23>,
1063,101,-80,1.8,,guaiwu4_hong_loop,231,500,3,21,<23>,
1064,101,-20,1.5,,guaiwu2_lan_loop,32,100,1,22,<23>,
1065,101,-40,1.5,,guaiwu3_zi_loop,132,300,2,22,<23>,
1066,101,-80,1.8,,guaiwu5_hong_loop,232,500,3,22,<23>,
1067,101,-20,1.5,,guaiwu5_lan_loop,33,100,1,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
1068,101,-40,1.5,,guaiwu2_zi_loop,133,300,2,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
1069,101,-80,1.8,,guaiwu3_hong_loop,233,500,3,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
1070,101,-20,1.5,,guaiwu3_lan_loop,34,100,1,24,<23>,
1071,101,-40,1.5,,guaiwu4_zi_loop,134,300,2,24,<23>,
1072,101,-80,1.8,,guaiwu6_hong_loop,234,500,3,24,<23>,
1073,101,-20,1.5,,guaiwu3_lan_loop,35,100,1,25,<24;26>,
1074,101,-40,1.5,,guaiwu2_zi_loop,135,300,2,25,<24;26>,
1075,101,-80,1.8,,guaiwu5_hong_loop,235,500,3,25,<24;26>,
1076,101,-20,1.5,,guaiwu3_lan_loop,36,100,1,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
1077,101,-40,1.5,,guaiwu2_zi_loop,136,300,2,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
1078,101,-80,1.8,,guaiwu1_hong_loop,236,500,3,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
1079,101,-20,1.5,,guaiwu6_lan_loop,37,100,1,27,<24;26>,
1080,101,-40,1.5,,guaiwu5_zi_loop,137,300,2,27,<24;26>,
1081,101,-80,1.8,,guaiwu5_hong_loop,237,500,3,27,<24;26>,
1082,101,-20,1.5,,guaiwu2_lan_loop,38,100,1,28,<24;26>,
1083,101,-40,1.5,,guaiwu2_zi_loop,138,300,2,28,<24;26>,
1084,101,-80,1.8,,guaiwu4_hong_loop,238,500,3,28,<24;26>,
1085,101,-20,1.5,,guaiwu6_lan_loop,39,100,1,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
1086,101,-40,1.5,,guaiwu3_zi_loop,139,300,2,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
1087,101,-80,1.8,,guaiwu2_hong_loop,239,500,3,29,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
1088,101,-20,1.5,,guaiwu3_lan_loop,40,200,1,30,<26>,
1089,101,-40,1.5,,guaiwu1_zi_loop,140,600,2,30,<26>,
1090,101,-80,1.8,,guaiwu3_hong_loop,240,1000,3,30,<26>,
2001,102,-20,1.5,,guaiwu2_lan_loop,11,100,1,1,<1>,
2002,102,-40,1.5,,guaiwu3_zi_loop,111,300,2,1,<1>,
2003,102,-80,1.8,,guaiwu4_hong_loop,211,500,3,1,<1>,
2004,102,-20,1.5,,guaiwu3_lan_loop,12,100,1,2,<1>,
2005,102,-40,1.5,,guaiwu6_zi_loop,112,300,2,2,<1>,
2006,102,-80,1.8,,guaiwu2_hong_loop,212,500,3,2,<1>,
2007,102,-20,1.5,,guaiwu3_lan_loop,13,100,1,3,<1>,<11;12;13;14;15;16>
2008,102,-40,1.5,,guaiwu2_zi_loop,113,300,2,3,<1>,<11;12;13;14;15;16>
2009,102,-80,1.8,,guaiwu4_hong_loop,213,500,3,3,<1>,<11;12;13;14;15;16>
2010,102,-20,1.5,,guaiwu5_lan_loop,14,100,1,4,<1>,
2011,102,-40,1.5,,guaiwu4_zi_loop,114,300,2,4,<1>,
2012,102,-80,1.8,,guaiwu3_hong_loop,214,500,3,4,<1>,
2013,102,-20,1.5,,guaiwu2_lan_loop,15,100,1,5,<1>,
2014,102,-40,1.5,,guaiwu4_zi_loop,115,300,2,5,<1>,
2015,102,-80,1.8,,guaiwu1_hong_loop,215,500,3,5,<1>,
2016,102,-20,1.5,,guaiwu4_lan_loop,16,100,1,6,<11>,<11;12;13;14;15;16>
2017,102,-40,1.5,,guaiwu5_zi_loop,116,300,2,6,<11>,<11;12;13;14;15;16>
2018,102,-80,1.8,,guaiwu1_hong_loop,216,500,3,6,<11>,<11;12;13;14;15;16>
2019,102,-20,1.5,,guaiwu4_lan_loop,17,100,1,7,<11>,
2020,102,-40,1.5,,guaiwu3_zi_loop,117,300,2,7,<11>,
2021,102,-80,1.8,,guaiwu6_hong_loop,217,500,3,7,<11>,
2022,102,-20,1.5,,guaiwu5_lan_loop,18,100,1,8,<11>,
2023,102,-40,1.5,,guaiwu6_zi_loop,118,300,2,8,<11>,
2024,102,-80,1.8,,guaiwu1_hong_loop,218,500,3,8,<11>,
2025,102,-20,1.5,,guaiwu2_lan_loop,19,100,1,9,<11>,<11;12;13;14;15;16>
2026,102,-40,1.5,,guaiwu3_zi_loop,119,300,2,9,<11>,<11;12;13;14;15;16>
2027,102,-80,1.8,,guaiwu6_hong_loop,219,500,3,9,<11>,<11;12;13;14;15;16>
2028,102,-20,1.5,,guaiwu4_lan_loop,20,150,1,10,<21;22>,<11;12;13;14;15;16>
2029,102,-40,1.5,,guaiwu5_zi_loop,120,450,2,10,<21;22>,<11;12;13;14;15;16>
