变量名,skillLevel,sceneLevel,showLevel,sceneType,star,speedC,specialDefenceC,defenceC,specialDamageC,damageC,hpC,floor,theme,zawake,extraSkill
73,134,100,100,3,10,2.4,2.5,2.5,2.25,2.25,2.5,13,,<8;8;0;0;0;0;0;0>,<86981>
74,136,100,100,3,10,2.5,2.6,2.6,2.34,2.34,2.6,14,,<8;8;0;0;0;0;0;0>,<86981>
75,138,100,100,3,10,2.6,2.7,2.7,2.43,2.43,2.7,15,,<8;8;0;0;0;0;0;0>,<86981>
76,140,100,100,3,10,2.72,2.82,2.82,2.538,2.538,2.82,16,,<8;8;8;0;0;0;0;0>,<86981>
77,142,100,100,3,11,2.84,2.94,2.94,2.646,2.646,2.94,17,,<8;8;8;0;0;0;0;0>,<86981>
78,144,100,100,3,11,2.96,3.06,3.06,2.754,2.754,3.06,18,,<8;8;8;0;0;0;0;0>,<86981>
79,146,100,100,3,11,3.08,3.18,3.18,2.862,2.862,3.18,19,,<8;8;8;8;0;0;0;0>,<86981>
80,148,100,100,3,11,3.2,3.465,3.465,3.036,3.036,3.63,20,,<8;8;8;8;0;0;0;0>,<86981>
81,151,100,100,3,11,3.38,3.549,3.549,3.1096,3.1096,3.718,21,,<8;8;8;8;0;0;0;0>,<86981>
82,154,100,100,3,11,3.46,3.633,3.633,3.1832,3.1832,3.806,22,,<8;8;8;8;8;8;0;0>,<86981>
83,157,100,100,3,11,3.54,3.717,3.717,3.2568,3.2568,3.894,23,,<8;8;8;8;8;8;0;0>,<86981>
84,160,100,100,3,11,3.62,3.801,3.801,3.3304,3.3304,3.982,24,,<8;8;8;8;8;8;0;0>,<86981>
85,163,100,100,3,11,3.7,4.07,4.07,3.404,3.404,4.44,25,,<8;8;8;8;8;8;0;0>,<86981>
86,166,100,100,3,12,3.84,4.224,4.224,3.648,3.648,4.608,26,,<8;8;8;8;8;8;0;0>,<86981>
87,169,100,100,3,12,3.98,4.378,4.378,3.781,3.781,4.776,27,,<8;8;8;8;8;8;0;0>,<86981>
88,172,100,100,3,12,4.12,4.532,4.532,3.914,3.914,4.944,28,,<8;8;8;8;8;8;8;8>,<86981>
89,175,100,100,3,12,4.26,4.686,4.686,4.047,4.047,5.112,29,,<8;8;8;8;8;8;8;8>,<86981>
90,178,100,100,3,12,4.4,4.84,4.84,4.18,4.18,5.28,30,,<8;8;8;8;8;8;8;8>,<86981>
101,100,100,100,1,,0.8,0.63,0.63,0.72,0.72,0.9,1,2,,<86982>
102,101,100,100,1,,0.85,0.665,0.665,0.76,0.76,0.95,2,2,,<86982>
103,102,100,100,1,,0.9,0.7,0.7,0.8,0.8,,3,2,,<86982>
104,103,100,100,1,,0.95,0.735,0.735,0.84,0.84,1.05,4,2,,<86982>
105,104,100,100,1,5,,0.77,0.77,0.88,0.88,1.1,5,2,,<86982>
106,105,100,100,1,5,1.04,0.798,0.798,0.912,0.912,1.14,6,2,,<86982>
107,106,100,100,1,5,1.08,0.826,0.826,0.944,0.944,1.18,7,2,,<86982>
108,107,100,100,1,6,1.12,0.854,0.854,0.976,0.976,1.22,8,2,,<86982>
109,108,100,100,1,6,1.16,0.882,0.882,1.008,1.008,1.26,9,2,,<86982>
110,109,100,100,1,6,1.2,0.91,0.91,1.04,1.04,1.3,10,2,<8;0;0;0;0;0;0;0>,<86982>
111,110,100,100,1,7,1.24,0.938,0.938,1.072,1.072,1.34,11,2,<8;0;0;0;0;0;0;0>,<86982>
112,111,100,100,1,7,1.28,0.966,0.966,1.104,1.104,1.38,12,2,<8;0;0;0;0;0;0;0>,<86982>
113,112,100,100,1,7,1.32,0.994,0.994,1.136,1.136,1.42,13,2,<8;0;0;0;0;0;0;0>,<86982>
114,113,100,100,1,7,1.36,1.022,1.022,1.168,1.168,1.46,14,2,<8;0;0;0;0;0;0;0>,<86982>
115,114,100,100,1,7,1.4,1.05,1.05,1.2,1.2,1.5,15,2,<8;0;0;0;0;0;0;0>,<86982>
116,115,100,100,1,8,1.46,1.092,1.092,1.248,1.248,1.56,16,2,<8;0;0;0;0;0;0;0>,<86982>
117,116,100,100,1,8,1.52,1.134,1.134,1.296,1.296,1.62,17,2,<8;0;0;0;0;0;0;0>,<86982>
118,117,100,100,1,8,1.58,1.176,1.176,1.344,1.344,1.68,18,2,<8;0;0;0;0;0;0;0>,<86982>
119,118,100,100,1,8,1.64,1.218,1.218,1.392,1.392,1.74,19,2,<8;0;0;0;0;0;0;0>,<86982>
120,119,100,100,1,8,1.7,1.26,1.26,1.44,1.44,1.8,20,2,<8;0;0;0;0;0;0;0>,<86982>
121,120,100,100,1,8,1.78,1.316,1.316,1.504,1.504,1.88,21,2,<8;8;0;0;0;0;0;0>,<86982>
122,121,100,100,1,8,1.86,1.372,1.372,1.568,1.568,1.96,22,2,<8;8;0;0;0;0;0;0>,<86982>
123,122,100,100,1,8,1.94,1.428,1.428,1.632,1.632,2.04,23,2,<8;8;0;0;0;0;0;0>,<86982>
124,123,100,100,1,8,2.02,1.484,1.484,1.696,1.696,2.12,24,2,<8;8;0;0;0;0;0;0>,<86982>
125,124,100,100,1,8,2.1,1.54,1.54,1.76,1.76,2.2,25,2,<8;8;0;0;0;0;0;0>,<86982>
126,125,100,100,1,8,2.14,1.568,1.568,1.792,1.792,2.24,26,2,<8;8;0;0;0;0;0;0>,<86982>
127,126,100,100,1,8,2.18,1.596,1.596,1.824,1.824,2.28,27,2,<8;8;8;0;0;0;0;0>,<86982>
128,127,100,100,1,11,2.22,1.624,1.624,1.856,1.856,2.32,28,2,<8;8;8;0;0;0;0;0>,<86982>
129,128,100,100,1,11,2.26,1.652,1.652,1.888,1.888,2.36,29,2,<8;8;8;8;0;0;0;0>,<86982>
130,129,100,100,1,11,2.3,1.68,1.68,1.92,1.92,2.4,30,2,<8;8;8;8;0;0;0;0>,<86982>
131,110,100,100,2,5,1.16,0.945,0.945,1.134,1.134,1.26,1,2,,<86982>
132,111,100,100,2,5,1.22,0.99,0.99,1.188,1.188,1.32,2,2,,<86982>
133,112,100,100,2,5,1.28,1.035,1.035,1.242,1.242,1.38,3,2,,<86982>
134,113,100,100,2,5,1.34,1.08,1.08,1.296,1.296,1.44,4,2,,<86982>
135,114,100,100,2,6,1.4,1.125,1.125,1.35,1.35,1.5,5,2,,<86982>
136,115,100,100,2,6,1.46,1.17,1.17,1.404,1.404,1.56,6,2,,<86982>
137,116,100,100,2,6,1.52,1.215,1.215,1.458,1.458,1.62,7,2,,<86982>
138,117,100,100,2,7,1.58,1.26,1.26,1.512,1.512,1.68,8,2,,<86982>
139,118,100,100,2,7,1.64,1.305,1.305,1.566,1.566,1.74,9,2,,<86982>
140,119,100,100,2,8,1.7,1.35,1.35,1.62,1.62,1.8,10,2,<8;8;0;0;0;0;0;0>,<86982>
141,120,100,100,2,8,1.78,1.41,1.41,1.692,1.692,1.88,11,2,<8;8;0;0;0;0;0;0>,<86982>
142,121,100,100,2,8,1.86,1.47,1.47,1.764,1.764,1.96,12,2,<8;8;0;0;0;0;0;0>,<86982>
143,122,100,100,2,8,1.94,1.53,1.53,1.836,1.836,2.04,13,2,<8;8;0;0;0;0;0;0>,<86982>
144,123,100,100,2,9,2.02,1.59,1.59,1.908,1.908,2.12,14,2,<8;8;0;0;0;0;0;0>,<86982>
145,124,100,100,2,9,2.1,1.65,1.65,1.98,1.98,2.2,15,2,<8;8;0;0;0;0;0;0>,<86982>
146,125,100,100,2,9,2.22,1.74,1.74,2.088,2.088,2.32,16,2,<8;8;8;0;0;0;0;0>,<86982>
147,126,100,100,2,9,2.34,1.83,1.83,2.196,2.196,2.44,17,2,<8;8;8;0;0;0;0;0>,<86982>
148,127,100,100,2,9,2.46,1.92,1.92,2.304,2.304,2.56,18,2,<8;8;8;0;0;0;0;0>,<86982>
149,128,100,100,2,10,2.58,2.01,2.01,2.412,2.412,2.68,19,2,<8;8;8;0;0;0;0;0>,<86982>
150,129,100,100,2,10,2.7,2.1,2.1,2.52,2.52,2.8,20,2,<8;8;8;8;8;8;0;0>,<86982>
151,130,100,100,2,10,2.68,2.085,2.085,2.502,2.502,2.78,21,2,<8;8;8;8;8;8;0;0>,<86982>
152,131,100,100,2,10,2.76,2.145,2.145,2.574,2.574,2.86,22,2,<8;8;8;8;8;8;0;0>,<86982>
153,132,100,100,2,11,2.84,2.205,2.205,2.646,2.646,2.94,23,2,<8;8;8;8;8;8;0;0>,<86982>
154,133,100,100,2,11,2.92,2.265,2.265,2.718,2.718,3.02,24,2,<8;8;8;8;8;8;8;8>,<86982>
155,134,100,100,2,12,3,2.325,2.325,2.79,2.79,3.1,25,2,<8;8;8;8;8;8;8;8>,<86982>
156,135,100,100,2,12,3.04,2.355,2.355,2.826,2.826,3.14,26,2,<8;8;8;8;8;8;8;8>,<86982>
157,136,100,100,2,12,3.08,2.385,2.385,2.862,2.862,3.18,27,2,<8;8;8;8;8;8;8;8>,<86982>
158,137,100,100,2,12,3.12,2.415,2.415,2.898,2.898,3.22,28,2,<8;8;8;8;8;8;8;8>,<86982>
159,138,100,100,2,12,3.16,2.445,2.445,2.934,2.934,3.26,29,2,<8;8;8;8;8;8;8;8>,<86982>
160,139,100,100,2,12,3.2,2.475,2.475,2.97,2.97,3.3,30,2,<8;8;8;8;8;8;8;8>,<86982>
161,110,100,100,3,6,1.2,1.3,1.3,1.17,1.17,1.3,1,2,<8;8;0;0;0;0;0;0>,<86982>
162,112,100,100,3,6,1.3,1.4,1.4,1.26,1.26,1.4,2,2,<8;8;0;0;0;0;0;0>,<86982>
163,114,100,100,3,6,1.4,1.5,1.5,1.35,1.35,1.5,3,2,<8;8;0;0;0;0;0;0>,<86982>
164,116,100,100,3,6,1.5,1.6,1.6,1.44,1.44,1.6,4,2,<8;8;0;0;0;0;0;0>,<86982>
165,118,100,100,3,7,1.6,1.7,1.7,1.53,1.53,1.7,5,2,<8;8;0;0;0;0;0;0>,<86982>
166,120,100,100,3,7,1.7,1.8,1.8,1.62,1.62,1.8,6,2,<8;8;0;0;0;0;0;0>,<86982>
167,122,100,100,3,7,1.8,1.9,1.9,1.71,1.71,1.9,7,2,<8;8;0;0;0;0;0;0>,<86982>
168,124,100,100,3,8,1.9,2,2,1.8,1.8,2,8,2,<8;8;0;0;0;0;0;0>,<86982>
169,126,100,100,3,8,2,2.1,2.1,1.89,1.89,2.1,9,2,<8;8;0;0;0;0;0;0>,<86982>
170,128,100,100,3,8,2.1,2.2,2.2,1.98,1.98,2.2,10,2,<8;8;0;0;0;0;0;0>,<86982>
171,130,100,100,3,9,2.2,2.3,2.3,2.07,2.07,2.3,11,2,<8;8;0;0;0;0;0;0>,<86982>
172,132,100,100,3,9,2.3,2.4,2.4,2.16,2.16,2.4,12,2,<8;8;0;0;0;0;0;0>,<86982>
173,134,100,100,3,10,2.4,2.5,2.5,2.25,2.25,2.5,13,2,<8;8;0;0;0;0;0;0>,<86982>
174,136,100,100,3,10,2.5,2.6,2.6,2.34,2.34,2.6,14,2,<8;8;0;0;0;0;0;0>,<86982>
175,138,100,100,3,10,2.6,2.7,2.7,2.43,2.43,2.7,15,2,<8;8;0;0;0;0;0;0>,<86982>
176,140,100,100,3,10,2.72,2.82,2.82,2.538,2.538,2.82,16,2,<8;8;8;0;0;0;0;0>,<86982>
177,142,100,100,3,11,2.84,2.94,2.94,2.646,2.646,2.94,17,2,<8;8;8;0;0;0;0;0>,<86982>
178,144,100,100,3,11,2.96,3.06,3.06,2.754,2.754,3.06,18,2,<8;8;8;0;0;0;0;0>,<86982>
179,146,100,100,3,11,3.08,3.18,3.18,2.862,2.862,3.18,19,2,<8;8;8;8;0;0;0;0>,<86982>
180,148,100,100,3,11,3.2,3.465,3.465,3.036,3.036,3.63,20,2,<8;8;8;8;0;0;0;0>,<86982>
181,151,100,100,3,11,3.38,3.549,3.549,3.1096,3.1096,3.718,21,2,<8;8;8;8;0;0;0;0>,<86982>
182,154,100,100,3,11,3.46,3.633,3.633,3.1832,3.1832,3.806,22,2,<8;8;8;8;8;8;0;0>,<86982>
183,157,100,100,3,11,3.54,3.717,3.717,3.2568,3.2568,3.894,23,2,<8;8;8;8;8;8;0;0>,<86982>
184,160,100,100,3,11,3.62,3.801,3.801,3.3304,3.3304,3.982,24,2,<8;8;8;8;8;8;0;0>,<86982>
185,163,100,100,3,11,3.7,4.07,4.07,3.404,3.404,4.44,25,2,<8;8;8;8;8;8;0;0>,<86982>
186,166,100,100,3,12,3.84,4.224,4.224,3.648,3.648,4.608,26,2,<8;8;8;8;8;8;0;0>,<86982>
187,169,100,100,3,12,3.98,4.378,4.378,3.781,3.781,4.776,27,2,<8;8;8;8;8;8;0;0>,<86982>
188,172,100,100,3,12,4.12,4.532,4.532,3.914,3.914,4.944,28,2,<8;8;8;8;8;8;8;8>,<86982>
189,175,100,100,3,12,4.26,4.686,4.686,4.047,4.047,5.112,29,2,<8;8;8;8;8;8;8;8>,<86982>
190,178,100,100,3,12,4.4,4.84,4.84,4.18,4.18,5.28,30,2,<8;8;8;8;8;8;8;8>,<86982>
1001,100,100,100,1,,0.8,0.63,0.63,0.72,0.72,0.9,1,101,,<86981>
1002,101,100,100,1,,0.85,0.665,0.665,0.76,0.76,0.95,2,101,,<86981>
1003,102,100,100,1,,0.9,0.7,0.7,0.8,0.8,,3,101,,<86981>
1004,103,100,100,1,,0.95,0.735,0.735,0.84,0.84,1.05,4,101,,<86981>
1005,104,100,100,1,5,,0.77,0.77,0.88,0.88,1.1,5,101,,<86981>
1006,105,100,100,1,5,1.04,0.798,0.798,0.912,0.912,1.14,6,101,,<86981>
1007,106,100,100,1,5,1.08,0.826,0.826,0.944,0.944,1.18,7,101,,<86981>
1008,107,100,100,1,6,1.12,0.854,0.854,0.976,0.976,1.22,8,101,,<86981>
1009,108,100,100,1,6,1.16,0.882,0.882,1.008,1.008,1.26,9,101,,<86981>
1010,109,100,100,1,6,1.2,0.91,0.91,1.04,1.04,1.3,10,101,<8;0;0;0;0;0;0;0>,<86981>
1011,110,100,100,1,7,1.24,0.938,0.938,1.072,1.072,1.34,11,101,<8;0;0;0;0;0;0;0>,<86981>
1012,111,100,100,1,7,1.28,0.966,0.966,1.104,1.104,1.38,12,101,<8;0;0;0;0;0;0;0>,<86981>
1013,112,100,100,1,7,1.32,0.994,0.994,1.136,1.136,1.42,13,101,<8;0;0;0;0;0;0;0>,<86981>
1014,113,100,100,1,7,1.36,1.022,1.022,1.168,1.168,1.46,14,101,<8;0;0;0;0;0;0;0>,<86981>
1015,114,100,100,1,7,1.4,1.05,1.05,1.2,1.2,1.5,15,101,<8;0;0;0;0;0;0;0>,<86981>
1016,115,100,100,1,8,1.46,1.092,1.092,1.248,1.248,1.56,16,101,<8;0;0;0;0;0;0;0>,<86981>
1017,116,100,100,1,8,1.52,1.134,1.134,1.296,1.296,1.62,17,101,<8;0;0;0;0;0;0;0>,<86981>
1018,117,100,100,1,8,1.58,1.176,1.176,1.344,1.344,1.68,18,101,<8;0;0;0;0;0;0;0>,<86981>
1019,118,100,100,1,8,1.64,1.218,1.218,1.392,1.392,1.74,19,101,<8;0;0;0;0;0;0;0>,<86981>
1020,119,100,100,1,8,1.7,1.26,1.26,1.44,1.44,1.8,20,101,<8;0;0;0;0;0;0;0>,<86981>
1021,120,100,100,1,8,1.78,1.316,1.316,1.504,1.504,1.88,21,101,<8;8;0;0;0;0;0;0>,<86981>
1022,121,100,100,1,8,1.86,1.372,1.372,1.568,1.568,1.96,22,101,<8;8;0;0;0;0;0;0>,<86981>
1023,122,100,100,1,8,1.94,1.428,1.428,1.632,1.632,2.04,23,101,<8;8;0;0;0;0;0;0>,<86981>
1024,123,100,100,1,8,2.02,1.484,1.484,1.696,1.696,2.12,24,101,<8;8;0;0;0;0;0;0>,<86981>
1025,124,100,100,1,8,2.1,1.54,1.54,1.76,1.76,2.2,25,101,<8;8;0;0;0;0;0;0>,<86981>
1026,125,100,100,1,8,2.14,1.568,1.568,1.792,1.792,2.24,26,101,<8;8;0;0;0;0;0;0>,<86981>
1027,126,100,100,1,8,2.18,1.596,1.596,1.824,1.824,2.28,27,101,<8;8;8;0;0;0;0;0>,<86981>
1028,127,100,100,1,11,2.22,1.624,1.624,1.856,1.856,2.32,28,101,<8;8;8;0;0;0;0;0>,<86981>
1029,128,100,100,1,11,2.26,1.652,1.652,1.888,1.888,2.36,29,101,<8;8;8;8;0;0;0;0>,<86981>
1030,129,100,100,1,11,2.3,1.68,1.68,1.92,1.92,2.4,30,101,<8;8;8;8;0;0;0;0>,<86981>
1031,110,100,100,2,5,1.16,0.945,0.945,1.134,1.134,1.26,1,101,,<86981>
1032,111,100,100,2,5,1.22,0.99,0.99,1.188,1.188,1.32,2,101,,<86981>
1033,112,100,100,2,5,1.28,1.035,1.035,1.242,1.242,1.38,3,101,,<86981>
1034,113,100,100,2,5,1.34,1.08,1.08,1.296,1.296,1.44,4,101,,<86981>
1035,114,100,100,2,6,1.4,1.125,1.125,1.35,1.35,1.5,5,101,,<86981>
1036,115,100,100,2,6,1.46,1.17,1.17,1.404,1.404,1.56,6,101,,<86981>
1037,116,100,100,2,6,1.52,1.215,1.215,1.458,1.458,1.62,7,101,,<86981>
1038,117,100,100,2,7,1.58,1.26,1.26,1.512,1.512,1.68,8,101,,<86981>
1039,118,100,100,2,7,1.64,1.305,1.305,1.566,1.566,1.74,9,101,,<86981>
1040,119,100,100,2,8,1.7,1.35,1.35,1.62,1.62,1.8,10,101,<8;8;0;0;0;0;0;0>,<86981>
1041,120,100,100,2,8,1.78,1.41,1.41,1.692,1.692,1.88,11,101,<8;8;0;0;0;0;0;0>,<86981>
1042,121,100,100,2,8,1.86,1.47,1.47,1.764,1.764,1.96,12,101,<8;8;0;0;0;0;0;0>,<86981>
1043,122,100,100,2,8,1.94,1.53,1.53,1.836,1.836,2.04,13,101,<8;8;0;0;0;0;0;0>,<86981>
1044,123,100,100,2,9,2.02,1.59,1.59,1.908,1.908,2.12,14,101,<8;8;0;0;0;0;0;0>,<86981>
1045,124,100,100,2,9,2.1,1.65,1.65,1.98,1.98,2.2,15,101,<8;8;0;0;0;0;0;0>,<86981>
1046,125,100,100,2,9,2.22,1.74,1.74,2.088,2.088,2.32,16,101,<8;8;8;0;0;0;0;0>,<86981>
1047,126,100,100,2,9,2.34,1.83,1.83,2.196,2.196,2.44,17,101,<8;8;8;0;0;0;0;0>,<86981>
1048,127,100,100,2,9,2.46,1.92,1.92,2.304,2.304,2.56,18,101,<8;8;8;0;0;0;0;0>,<86981>
1049,128,100,100,2,10,2.58,2.01,2.01,2.412,2.412,2.68,19,101,<8;8;8;0;0;0;0;0>,<86981>
1050,129,100,100,2,10,2.7,2.1,2.1,2.52,2.52,2.8,20,101,<8;8;8;8;8;8;0;0>,<86981>
1051,130,100,100,2,10,2.68,2.085,2.085,2.502,2.502,2.78,21,101,<8;8;8;8;8;8;0;0>,<86981>
1052,131,100,100,2,10,2.76,2.145,2.145,2.574,2.574,2.86,22,101,<8;8;8;8;8;8;0;0>,<86981>
1053,132,100,100,2,11,2.84,2.205,2.205,2.646,2.646,2.94,23,101,<8;8;8;8;8;8;0;0>,<86981>
