变量名,mainSkillSub,mainSkillAdd,damageSub,damageAdd,blockPower,breakBlock,block,strikeResistance,strikeDamage,strike,speedRate,equipAwake,equipLevel,equipStar,equipAdvance,fetters,specialDefence,specialDamage,hp,defence,damage,star,advance,level,theme,cardID,starUnlock,starAddAttributes,zawake,zawakeUnlock,zawakeAddAttributes,skillLevels,abilities,nvalue,languages
1026,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,,,,,,403,,,,,,,,,
1028,,,,,,,,,,,,,,,,,,,,,,,,,,462,,,,,,,,,
1029,,,,,,,,,,,,,,,,,,,,,,,,,,463,,,,,,,,,
1030,,,,,,,,,,,,,,,,,,,,,,,,,,464,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,
1032,,,,,,,,,,,,,,,,,,,,,,,,,,482,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,,,,,,
1034,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,572,,,,,,,,,
1036,,,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,603,,,,,,,,,
1039,,,,,,,,,,,,,,,,,,,,,,,,,,631,,,,,,,,,
1040,,,,,,,,,,,,,,,,,,,,,,,,,,632,,,,,,,,,
1041,,,,,,,,,,,,,,,,,,,,,,,,,,641,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,,,,,,,,,692,,,,,,,,,
1043,,,,,,,,,,,,,,,,,,,,,,,,,,701,,,,,,,,,
1044,,,,,,,,,,,,,,,,,,,,,,,,,,712,,,,,,,,,
1045,,,,,,,,,,,,,,,,,,,,,,,,,,721,,,,,,,,,
1046,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,,,,,,
1047,,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,,,,,
1048,,,,,,,,,,,,,,,,,,,,,,,,,,753,,,,,,<100;100;100;100;100;100;100>,,,
1049,,,,,,,,,,,,,,,,,,,,,,,,,,771,,,,,,,,,
1050,,,,,,,,,,,,,,,,,,,,,,,,,,783,,,,,,,,,
1051,,,,,,,,,,,,,,,,,,,,,,,,,,793,,,,,,,,,
1052,,,,,,,,,,,,,,,,,,,,,,,,,,803,,,,,,,,,
1053,,,,,,,,,,,,,,,,,,,,,,,,,,863,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,,,,,,,883,,,,,,,,,
1055,,,,,,,,,,,,,,,,,,,,,,,,,,884,,,,,,,,,
1056,,,,,,,,,,,,,,,,,,,,,,,,,,1071,,,,,,,,,
1057,,,,,,,,,,,,,,,,,,,,,,,,,,1072,,,,,,,,,
1058,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,
1059,,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,1172,,,,,,,,,
1061,,,,,,,,,,,,,,,,,,,,,,,,,,1173,,,,,,,,,
1062,,,,,,,,,,,,,,,,,,,,,,,,,,1221,,,,,,,,,
1063,,,,,,,,,,,,,,,,,,,,,,,,,,1231,,,,,,,,,
1064,,,,,,,,,,,,,,,,,,,,,,,,,,1241,,,,,,,,,
1065,,,,,,,,,,,,,,,,,,,,,,,,,,1253,,,,,,,,,
1066,,,,,,,,,,,,,,,,,,,,,,,,,,1293,,,,,,,,,
1067,,,,,,,,,,,,,,,,,,,,,,,,,,1294,,,,,,,,,
1068,,,,,,,,,,,,,,,,,,,,,,,,,,1303,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,,,,,,,1304,,,,,,,,,
1070,,,,,,,,,,,,,,,,,,,,,,,,,,1313,,,,,,,,,
1071,,,,,,,,,,,,,,,,,,,,,,,,,,1314,,,,,,,,,
1072,,,,,,,,,,,,,,,,,,,,,,,,,,1393,,,,,,,,,
1073,,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,
1074,,,,,,,,,,,,,,,,,,,,,,,,,,1394,,,,,,,,,
1075,,,,,,,,,,,,,,,,,,,,,,,,,,1397,,,,,,,,,
1076,,,,,,,,,,,,,,,,,,,,,,,,,,1423,,,,,,,,,
1077,,,,,,,,,,,,,,,,,,,,,,,,,,1443,,,,,,,,,
1078,,,,,,,,,,,,,,,,,,,,,,,,,,1503,,,,,,,,,
1079,,,,,,,,,,,,,,,,,,,,,,,,,,1504,,,,,,,,,
1080,,,,,,,,,,,,,,,,,,,,,,,,,,1612,,,,,,,,,
1081,,,,,,,,,,,,,,,,,,,,,,,,,,1802,,,,,,,,,
1082,,,,,,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,
1083,,,,,,,,,,,,,,,,,,,,,,,,,,1813,,,,,,,,,
1084,,,,,,,,,,,,,,,,,,,,,,,,,,1841,,,,,,,,,
1085,,,,,,,,,,,,,,,,,,,,,,,,,,1852,,,,,,,,,
1086,,,,,,,,,,,,,,,,,,,,,,,,,,1853,,,,,,,,,
1087,,,,,,,,,,,,,,,,,,,,,,,,,,1863,,,,,,,,,
1088,,,,,,,,,,,,,,,,,,,,,,,,,,1893,,,,,,,,,
1089,,,,,,,,,,,,,,,,,,,,,,,,,,1903,,,,,,,,,
1090,,,,,,,,,,,,,,,,,,,,,,,,,,1911,,,,,,,,,
1091,,,,,,,,,,,,,,,,,,,,,,,,,,1921,,,,,,,,,
1092,,,,,,,,,,,,,,,,,,,,,,,,,,1931,,,,,,,,,
1093,,,,,,,,,,,,,,,,,,,,,,,,,,1941,,,,,,,,,
1094,,,,,,,,,,,,,,,,,,,,,,,,,,1951,,,,,,,,,
1095,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,
1096,,,,,,,,,,,,,,,,,,,,,,,,,,2033,,,,,,,,,
1097,,,,,,,,,,,,,,,,,,,,,,,,,,2073,,,,,,,,,
1098,,,,,,,,,,,,,,,,,,,,,,,,,,2233,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,2242,,,,,,,,,
1100,,,,,,,,,,,,,,,,,,,,,,,,,,2243,,,,,,,,,
1101,,,,,,,,,,,,,,,,,,,,,,,,,,2272,,,,,,,,,
1102,,,,,,,,,,,,,,,,,,,,,,,,,,2302,,,,,,,,,
1103,,,,,,,,,,,,,,,,,,,,,,,,,,2303,,,,,,,,,
1104,,,,,,,,,,,,,,,,,,,,,,,,,,2401,,,,,,,,,
1105,,,,,,,,,,,,,,,,,,,,,,,,,,2473,,,,,,,,,
1106,,,,,,,,,,,,,,,,,,,,,,,,,,2483,,,,,,,,,
1107,,,,,,,,,,,,,,,,,,,,,,,,,,2593,,,,,,,,,
1108,,,,,,,,,,,,,,,,,,,,,,,,,,2612,,,,,,,,,
1109,,,,,,,,,,,,,,,,,,,,,,,,,,2633,,,,,,,,,
1110,,,,,,,,,,,,,,,,,,,,,,,,,,2683,,,,,,,,,
1111,,,,,,,,,,,,,,,,,,,,,,,,,,2723,,,,,,,,,
1112,,,,,,,,,,,,,,,,,,,,,,,,,,2822,,,,,,,,,
1113,,,,,,,,,,,,,,,,,,,,,,,,,,2843,,,,,,,,,
1114,,,,,,,,,,,,,,,,,,,,,,,,,,2873,,,,,,,,,
1115,,,,,,,,,,,,,,,,,,,,,,,,,,2891,,,,,,,,,
1116,,,,,,,,,,,,,,,,,,,,,,,,,,2963,,,,,,,,,
1117,,,,,,,,,,,,,,,,,,,,,,,,,,2993,,,,,,,,,
1118,,,,,,,,,,,,,,,,,,,,,,,,,,3003,,,,,,,,,
1119,,,,,,,,,,,,,,,,,,,,,,,,,,3012,,,,,,,,,
1120,,,,,,,,,,,,,,,,,,,,,,,,,,3021,,,,,,,,,
1121,,,,,,,,,,,,,,,,,,,,,,,,,,3143,,,,,,,,,
1122,,,,,,,,,,,,,,,,,,,,,,,,,,3152,,,,,,,,,
1123,,,,,,,,,,,,,,,,,,,,,,,,,,3161,,,,,,,,,
1124,,,,,,,,,,,,,,,,,,,,,,,,,,3171,,,,,,,,,
1125,,,,,,,,,,,,,,,,,,,,,,,,,,3181,,,,,,,,,
1126,,,,,,,,,,,,,,,,,,,,,,,,,,3251,,,,,,,,,
1127,,,,,,,,,,,,,,,,,,,,,,,,,,3283,,,,,,,,,
1128,,,,,,,,,,,,,,,,,,,,,,,,,,3293,,,,,,,,,
1129,,,,,,,,,,,,,,,,,,,,,,,,,,3303,,,,,,,,,
1130,,,,,,,,,,,,,,,,,,,,,,,,,,3342,,,,,,,,,
1131,,,,,,,,,,,,,,,,,,,,,,,,,,3353,,,,,,,,,
1132,,,,,,,,,,,,,,,,,,,,,,,,,,3413,,,,,,,,,
1133,,,,,,,,,,,,,,,,,,,,,,,,,,3432,,,,,,,,,
1134,,,,,,,,,,,,,,,,,,,,,,,,,,3472,,,,,,,,,
1135,,,,,,,,,,,,,,,,,,,,,,,,,,3502,,,,,,,,,
1136,,,,,,,,,,,,,,,,,,,,,,,,,,3511,,,,,,,,,
1137,,,,,,,,,,,,,,,,,,,,,,,,,,3543,,,,,,,,,
1138,,,,,,,,,,,,,,,,,,,,,,,,,,3592,,,,,,,,,
1139,,,,,,,,,,,,,,,,,,,,,,,,,,3663,,,,,,,,,
1140,,,,,,,,,,,,,,,,,,,,,,,,,,3772,,,,,,,,,
1141,,,,,,,,,,,,,,,,,,,,,,,,,,3843,,,,,,,,,
1142,,,,,,,,,,,,,,,,,,,,,,,,,,4132,,,,,,,,,
1143,,,,,,,,,,,,,,,,,,,,,,,,,,7001,,,,,,,,,
1144,,,,,,,,,,,,,,,,,,,,,,,,,,503,,,,,,,,,
1145,,,,,,,,,,,,,,,,,,,,,,,,,,611,,,,,,,,,
1146,,,,,,,,,,,,,,,,,,,,,,,,,,972,,,,,,,,,
1147,,,,,,,,,,,,,,,,,,,,,,,,,,1772,,,,,,,,,
1148,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,
1149,,,,,,,,,,,,,,,,,,,,,,,,,,3191,,,,,,,,,
1150,,,,,,,,,,,,,,,,,,,,,,,,,,3201,,,,,,,,,
1151,,,,,,,,,,,,,,,,,,,,,,,,,,3683,,,,,,,,,
1152,,,,,,,,,,,,,,,,,,,,,,,,,,3231,,,,,,,,,
1153,,,,,,,,,,,,,,,,,,,,,,,,,,3673,,,,,,,,,
1154,,,,,,,,,,,,,,,,,,,,,,,,,,3961,,,,,,,,,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,442,,,,,,,,,
1156,,,,,,,,,,,,,,,,,,,,,,,,,,323,,,,,,,,,
1157,,,,,,,,,,,,,,,,,,,,,,,,,,562,,,,,,,,,
1158,,,,,,,,,,,,,,,,,,,,,,,,,,2411,,,,,,,,,
1159,,,,,,,,,,,,,,,,,,,,,,,,,,4071,,,,,,,,,
1160,,,,,,,,,,,,,,,,,,,,,,,,,,4081,,,,,,,,,
1161,,,,,,,,,,,,,,,,,,,,,,,,,,2371,,,,,,,,,
1162,,,,,,,,,,,,,,,,,,,,,,,,,,2493,,,,,,,,,
1163,,,,,,,,,,,,,,,,,,,,,,,,,,4031,,,,,,,,,
1164,,,,,,,,,,,,,,,,,,,,,,,,,,4151,,,,,,,,,
1165,,,,,,,,,,,,,,,,,,,,,,,,,,3832,,,,,,,,,
1166,,,,,,,,,,,,,,,,,,,,,,,,,,4141,,,,,,,,,
1167,,,,,,,,,,,,,,,,,,,,,,,,,,4061,,,,,,,,,
1168,,,,,,,,,,,,,,,,,,,,,,,,,,992,,,,,,,,,
1169,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,,,,,,
1170,,,,,,,,,,,,,,,,,,,,,,,,,,254,,,,,,,,,
1171,,,,,,,,,,,,,,,,,,,,,,,,,,4431,,,,,,,,,
1172,,,,,,,,,,,,,,,,,,,,,,,,,,4193,,,,,,,,,
1173,,,,,,,,,,,,,,,,,,,,,,,,,,4041,,,,,,,,,
1174,,,,,,,,,,,,,,,,,,,,,,,,,,4051,,,,,,,,,
1175,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,
1176,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,<100;100;100;100;100;100;100>,,,
1177,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,<100;100;100;100;100;100;100>,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,
1179,,,,,,,,,,,,,,,,,,,,,,,,,,1481,,,,,,,,,
1180,,,,,,,,,,,,,,,,,,,,,,,,,,1641,,,,,,,,,
1181,,,,,,,,,,,,,,,,,,,,,,,,,,2132,,,,,,,,,
1182,,,,,,,,,,,,,,,,,,,,,,,,,,2832,,,,,,,,,
1183,,,,,,,,,,,,,,,,,,,,,,,,,,2923,,,,,,,,,
1184,,,,,,,,,,,,,,,,,,,,,,,,,,2924,,,,,,,,,
1185,,,,,,,,,,,,,,,,,,,,,,,,,,4012,,,,,,,,,
1186,,,,,,,,,,,,,,,,,,,,,,,,,,4561,,,,,,,,,
1187,,,,,,,,,,,,,,,,,,,,,,,,,,4622,,,,,,,,,
1188,,,,,,,,,,,,,,,,,,,,,,,,,,4623,,,,,,,,,
1189,,,,,,,,,,,,,,,,,,,,,,,,,,1672,,,,,,,,,
1190,,,,,,,,,,,,,,,,,,,,,,,,,,4091,,,,,,,,,
1191,,,,,,,,,,,,,,,,,,,,,,,,,,4183,,,,,,,,,
1192,,,,,,,,,,,,,,,,,,,,,,,,,,2331,,,,,,,,,
1193,,,,,,,,,,,,,,,,,,,,,,,,,,4661,,,,,,,,,
1194,,,,,,,,,,,,,,,,,,,,,,,,,,4671,,,,,,,,,
1195,,,,,,,,,,,,,,,,,,,,,,,,,,3052,,,,,,,,,
1196,,,,,,,,,,,,,,,,,,,,,,,,,,3981,,,,,,,,,
1197,,,,,,,,,,,,,,,,,,,,,,,,,,4651,,,,,,,,,
1198,,,,,,,,,,,,,,,,,,,,,,,,,,3941,,,,,,,,,
1199,,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,
1200,,,,,,,,,,,,,,,,,,,,,,,,,,1653,,,,,,,,,
1201,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,
1202,,,,,,,,,,,,,,,,,,,,,,,,,,4583,,,,,,,,,
1203,,,,,,,,,,,,,,,,,,,,,,,,,,4013,,,,,,,,,
1204,,,,,,,,,,,,,,,,,,,,,,,,,,4853,,,,,,,,,
1205,,,,,,,,,,,,,,,,,,,,,,,,,,432,,,,,,,,,
1206,,,,,,,,,,,,,,,,,,,,,,,,,,2121,,,,,,,,,
1207,,,,,,,,,,,,,,,,,,,,,,,,,,4011,,,,,,,,,
1208,,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,
1209,,,,,,,,,,,,,,,,,,,,,,,,,,4641,,,,,,,,,
1210,,,,,,,,,,,,,,,,,,,,,,,,,,5241,,,,,,,,,
1211,,,,,,,,,,,,,,,,,,,,,,,,,,4003,,,,,,,,,
1212,,,,,,,,,,,,,,,,,,,,,,,,,,4301,,,,,,,,,
1213,,,,,,,,,,,,,,,,,,,,,,,,,,5361,,,,,,,,,
1214,,,,,,,,,,,,,,,,,,,,,,,,,,4773,,,,,,,,,
1215,,,,,,,,,,,,,,,,,,,,,,,,,,4701,,,,,,,,,
1216,,,,,,,,,,,,,,,,,,,,,,,,,,4572,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,4993,,,,,,,,,
1218,,,,,,,,,,,,,,,,,,,,,,,,,,4521,,,,,,,,,
1219,,,,,,,,,,,,,,,,,,,,,,,,,,5221,,,,,,,,,
1220,,,,,,,,,,,,,,,,,,,,,,,,,,2043,,,,,,,,,
1221,,,,,,,,,,,,,,,,,,,,,,,,,,3882,,,,,,,,,
1222,,,,,,,,,,,,,,,,,,,,,,,,,,4014,,,,,,,,,
1223,,,,,,,,,,,,,,,,,,,,,,,,,,2802,,,,,,,,,
1224,,,,,,,,,,,,,,,,,,,,,,,,,,5401,,,,,,,,,
1225,,,,,,,,,,,,,,,,,,,,,,,,,,5211,,,,,,,,,
1226,,,,,,,,,,,,,,,,,,,,,,,,,,1412,,,,,,,,,
1227,,,,,,,,,,,,,,,,,,,,,,,,,,3572,,,,,,,,,
1228,,,,,,,,,,,,,,,,,,,,,,,,,,4763,,,,,,,,,
1229,,,,,,,,,,,,,,,,,,,,,,,,,,4393,,,,,,,,,
1230,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,,,
1231,,,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,,,,,,
1232,,,,,,,,,,,,,,,,,,,,,,,,,,4441,,,,,,,,,
1233,,,,,,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,
1234,,,,,,,,,,,,,,,,,,,,,,,,,,5331,,,,,,,,,
1235,,,,,,,,,,,,,,,,,,,,,,,,,,702,,,,,,,,,
1236,,,,,,,,,,,,,,,,,,,,,,,,,,1254,,,,,,,,,
1238,,,,,,,,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,
1239,,,,,,,,,,,,,,,,,,,,,,,,,,4203,,,,,,,,,
