变量名,date,hp1,hp2,hp3,hp4,hp5,hp6,hp7,damage1,damage2,damage3,damage4,damage5,damage6,damage7
51,20201207,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
52,20201208,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
,,,,,,,,,,,,,,,
53,20201211,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
54,20201212,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
,,,,,,,,,,,,,,,
55,20201214,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
56,20201215,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
,,,,,,,,,,,,,,,
57,20201218,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
58,20201219,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
,,,,,,,,,,,,,,,
59,20201221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,20201222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
