变量名,firstMonters,repeatMonters,name,monsterDesc,desc,scene,hpFix,damageFix,defenceFix,speedFix,floor,firstAward,repeatAward,extraAward,singleDamageMax,damageMax,historyCanPass,jumpRound,lastCanPass,recoverMp
103,<113>,<113;13>,第3关,,暴风雪中会遇到什么呢,,0.73,0.73,0.73,0.73,3,{951=10;gold=100000;talent_point=1},{gold=50000},,,,,2,,
104,<114>,<114;14>,第4关,,彩虹的彼端,,0.85,0.85,0.85,0.85,4,{452=50;502=1;gold=100000},{gold=50000},,,,,2,,
105,<115>,<115;15>,第5关,,变身对战,,0.97,0.97,0.97,0.97,5,{gold=100000;stamina=100;talent_point=1},{gold=50000},,,,,2,,
106,<116>,<116;16>,第6关,,皮卡丘之歌,,1.09,1.09,1.09,1.09,6,{501=1;502=1;gold=100000},{gold=50000},,,,3,3,3,
107,<117>,<117;17>,第7关,,超梦，我就在这里,,1.24,1.24,1.24,1.24,7,{4000=200;gold=100000;talent_point=1},{gold=50000},,,,3,3,3,
108,<118>,<118;18>,第8关,,来自异世界的勇者,,1.39,1.39,1.39,1.39,8,{502=1;529=1000;gold=100000},{gold=50000},,,,4,,4,
109,<119>,<119;19>,第9关,,迈向最强之路,,1.56,1.56,1.56,1.56,9,{111=200;gold=100000;talent_point=1},{gold=50000},,,,4,,5,
110,<120>,<120;20>,第10关,,友谊象征：最初的精灵,,1.73,1.73,1.73,1.73,10,{502=1;527=2;gold=100000},{gold=50000},,,,4,,6,
111,<121>,<121;21>,第11关,,最后的战斗,,1.79,1.79,1.79,1.79,11,{501=1;521=1;gold=100000},{gold=50000},,,,5,,7,
201,<111>,<111;11>,第1关,,幻之宝可梦集结,,0.69,0.69,0.69,0.69,,{5000=50;gold=100000;talent_point=1},{gold=50000},,,,,1,,
202,<112>,<112;12>,第2关,,幻之宝可梦集结,,0.76,0.76,0.76,0.76,2,{502=1;930=50;gold=100000},{gold=50000},,,,,1,,
203,<113>,<113;13>,第3关,,幻之宝可梦集结,,0.84,0.84,0.84,0.84,3,{951=10;gold=100000;talent_point=1},{gold=50000},,,,,2,,
204,<114>,<114;14>,第4关,,幻之宝可梦集结,,0.98,0.98,0.98,0.98,4,{452=50;502=1;gold=100000},{gold=50000},,,,,2,,
205,<115>,<115;15>,第5关,,幻之宝可梦集结,,1.12,1.12,1.12,1.12,5,{gold=100000;stamina=100;talent_point=1},{gold=50000},,,,,2,,
206,<116>,<116;16>,第6关,,幻之宝可梦集结,,1.25,1.25,1.25,1.25,6,{501=1;502=1;gold=100000},{gold=50000},,,,3,3,3,
207,<117>,<117;17>,第7关,,幻之宝可梦集结,,1.43,1.43,1.43,1.43,7,{4000=200;gold=100000;talent_point=1},{gold=50000},,,,3,3,3,
208,<118>,<118;18>,第8关,,幻之宝可梦集结,,1.6,1.6,1.6,1.6,8,{502=1;529=1000;gold=100000},{gold=50000},,,,4,,4,
209,<119>,<119;19>,第9关,,幻之宝可梦集结,,1.79,1.79,1.79,1.79,9,{111=200;gold=100000;talent_point=1},{gold=50000},,,,4,,5,
210,<120>,<120;20>,第10关,,幻之宝可梦集结,,1.99,1.99,1.99,1.99,10,{502=1;527=2;gold=100000},{gold=50000},,,,4,,6,
211,<121>,<121;21>,第11关,,幻之宝可梦集结,,2.06,2.06,2.06,2.06,11,{501=1;521=1;gold=100000},{gold=50000},,,,5,,7,
301,<111>,<111;11>,第1关,,龙族集结,,0.69,0.69,0.69,0.69,,{5000=50;gold=100000;talent_point=1},{gold=50000},,,,,1,,
302,<112>,<112;12>,第2关,,龙族集结,,0.76,0.76,0.76,0.76,2,{502=1;930=50;gold=100000},{gold=50000},,,,,1,,
303,<113>,<113;13>,第3关,,龙族集结,,0.84,0.84,0.84,0.84,3,{951=10;gold=100000;talent_point=1},{gold=50000},,,,,2,,
304,<114>,<114;14>,第4关,,龙族集结,,0.98,0.98,0.98,0.98,4,{452=50;502=1;gold=100000},{gold=50000},,,,,2,,
305,<115>,<115;15>,第5关,,龙族集结,,1.12,1.12,1.12,1.12,5,{gold=100000;stamina=100;talent_point=1},{gold=50000},,,,,2,,
306,<116>,<116;16>,第6关,,龙族集结,,1.25,1.25,1.25,1.25,6,{501=1;502=1;gold=100000},{gold=50000},,,,3,3,3,
307,<117>,<117;17>,第7关,,龙族集结,,1.43,1.43,1.43,1.43,7,{4000=200;gold=100000;talent_point=1},{gold=50000},,,,3,3,3,
308,<118>,<118;18>,第8关,,龙族集结,,1.6,1.6,1.6,1.6,8,{502=1;529=1000;gold=100000},{gold=50000},,,,4,,4,
309,<119>,<119;19>,第9关,,龙族集结,,1.79,1.79,1.79,1.79,9,{111=200;gold=100000;talent_point=1},{gold=50000},,,,4,,5,
310,<120>,<120;20>,第10关,,龙族集结,,1.99,1.99,1.99,1.99,10,{502=1;527=2;gold=100000},{gold=50000},,,,4,,6,
311,<121>,<121;21>,第11关,,龙族集结,,2.06,2.06,2.06,2.06,11,{501=1;521=1;gold=100000},{gold=50000},,,,5,,7,
401,<111>,<111;11>,第1关,,斗战集结,,0.69,0.69,0.69,0.69,,{5000=50;gold=100000;talent_point=1},{gold=50000},,,,,1,,
402,<112>,<112;12>,第2关,,斗战集结,,0.76,0.76,0.76,0.76,2,{502=1;930=50;gold=100000},{gold=50000},,,,,1,,
403,<113>,<113;13>,第3关,,斗战集结,,0.84,0.84,0.84,0.84,3,{951=10;gold=100000;talent_point=1},{gold=50000},,,,,2,,
404,<114>,<114;14>,第4关,,斗战集结,,0.98,0.98,0.98,0.98,4,{452=50;502=1;gold=100000},{gold=50000},,,,,2,,
405,<115>,<115;15>,第5关,,斗战集结,,1.12,1.12,1.12,1.12,5,{gold=100000;stamina=100;talent_point=1},{gold=50000},,,,,2,,
406,<116>,<116;16>,第6关,,斗战集结,,1.25,1.25,1.25,1.25,6,{501=1;502=1;gold=100000},{gold=50000},,,,3,3,3,
407,<117>,<117;17>,第7关,,斗战集结,,1.43,1.43,1.43,1.43,7,{4000=200;gold=100000;talent_point=1},{gold=50000},,,,3,3,3,
408,<118>,<118;18>,第8关,,斗战集结,,1.6,1.6,1.6,1.6,8,{502=1;529=1000;gold=100000},{gold=50000},,,,4,,4,
409,<119>,<119;19>,第9关,,斗战集结,,1.79,1.79,1.79,1.79,9,{111=200;gold=100000;talent_point=1},{gold=50000},,,,4,,5,
410,<120>,<120;20>,第10关,,斗战集结,,1.99,1.99,1.99,1.99,10,{502=1;527=2;gold=100000},{gold=50000},,,,4,,6,
411,<121>,<121;21>,第11关,,斗战集结,,2.06,2.06,2.06,2.06,11,{501=1;521=1;gold=100000},{gold=50000},,,,5,,7,
