变量名,name,_beizhu,type,activeType,desc,rarity,groupID,addAttrs,addType,skillIDs,cardIDs,unlockType,unlockTarget,unlockCount,weight,timesLimit,iconResPath
1011,抗暴强化,,1,,该玩法内己方前排抗爆率提升10%,1,1,{16=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1012,必杀抗性强化,,1,,该玩法内己方前排必杀抗性提升10%,1,1,{25=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1013,双防强化(强),,1,,该玩法内己方前排双防提升20%,1,2,{9=20%;10=20%},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1014,免伤强化(强),,1,,该玩法内己方前排伤害减免提升20%,1,2,{23=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1015,抗暴强化(强),,1,,该玩法内己方前排抗爆率提升20%,1,2,{16=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1016,必杀抗性强化(强),,1,,该玩法内己方前排必杀抗性提升20%,1,2,{25=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2001,攻击强化,,1,,该玩法内己方后排双攻提升10%,1,2001,{7=10%;8=10%},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2002,必杀强化,,1,,该玩法内己方后排必杀伤害加成10%,1,2001,{24=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2003,免伤强化,,1,,该玩法内己方前排伤害减免提升10%,1,2001,{23=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2004,双防强化(强),,1,,该玩法内己方前排双防提升20%,1,2001,{9=20%;10=20%},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2005,吸血强化,,1,,该玩法内己方全体吸血率提升5%,1,2001,{26=500},,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2006,回怒强化,,1,,该玩法内己方全体回怒速度提升5%,1,2001,{5=500},,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
2007,攻击强化,,1,,该玩法内己方后排双攻提升10%,1,2001,{7=10%;8=10%},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2008,必杀强化,,1,,该玩法内己方后排必杀伤害加成10%,1,2001,{24=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2009,免伤强化,,1,,该玩法内己方前排伤害减免提升10%,1,2001,{23=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2010,双防强化(强),,1,,该玩法内己方前排双防提升20%,1,2001,{9=20%;10=20%},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2011,吸血强化,,1,,该玩法内己方全体吸血率提升5%,1,2001,{26=500},,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2012,回怒强化,,1,,该玩法内己方全体回怒速度提升5%,1,2001,{5=500},,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3001,控制强化,,1,,该玩法内己方全体控制率提升5%,1,3,{90=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
3002,反弹强化,,1,,该玩法内己方全体反弹率提升5%,1,3,{27=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3003,吸血强化,,1,,该玩法内己方全体吸血率提升5%,1,3,{26=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
3004,治疗强化,,1,,该玩法内己方全体治疗效果提升5%,1,3,{28=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
3005,速度强化,,1,,该玩法内己方全体速度提升5%,1,3,{13=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3006,回怒强化,,1,,该玩法内己方全体回怒速度提升5%,1,3,{5=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3007,控制强化(强),,1,,该玩法内己方全体控制率提升15%,2,4,{90=1500},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
3008,反弹强化(强),,1,,该玩法内己方全体反弹率提升20%,2,4,{27=2000},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3009,吸血强化(强),,1,,该玩法内己方全体吸血率提升20%,2,4,{26=2000},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
3010,治疗强化(强),,1,,该玩法内己方全体治疗效果提升40%,2,4,{28=4000},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
3011,速度强化(强),,1,,该玩法内己方全体速度提升25%,2,4,{13=25%},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3012,回怒强化(强),,1,,该玩法内己方全体回怒速度提升30%,2,4,{5=3000},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4001,攻击通用,,2,,每次攻击前有30%概率使自身暴击率加倍1回合,1,101,,,<4001001>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4002,攻击通用,,2,,全队第一个行动的目标额外提升20%双攻,1,101,,,<4001002>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4003,攻击通用,,2,,每个大回合首个释放必杀技的己方精灵临时提升20%必杀伤害,1,101,,,<4001003>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4004,攻击通用,,2,,每个大回合结束对敌方随机单位造成己方双攻最高精灵30%双攻之和的真实伤害,1,101,,,<4001004>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4005,攻击通用(强),,2,,自身血量比例越低伤害越高，最高提升20%,2,1001,,,<4001005>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4006,攻击通用(强),,2,,自身血量比例越高伤害越高，最高提升20%,2,1001,,,<4001006>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4007,攻击通用(强),,2,,造成暴击伤害时使目标10%易伤2回合（可叠加3次）,2,1001,,,<4001007>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4008,攻击通用(强),,2,,降低敌方全体10%真实伤害抗性,2,1001,,,<4001008>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4101,防御通用,,2,,受伤后提升自身50%的双防1回合,1,101,,,<4001009>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4102,防御通用,,2,,受伤后提升自身20%伤害减免1回合,1,101,,,<4001010>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4103,防御通用,,2,,血量越低必杀抗性越高，最高提升40%,1,101,,,<4001011>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4104,防御通用,,2,,己方前排提升20%的抗暴率,1,101,,,<4001012>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4105,防御通用(强),,2,,获得自身双防100%的双攻提升,2,1001,,,<4001013>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4106,防御通用(强),,2,,大回合结束时使自身伤害加成或伤害减免持平，以高者为准,2,1001,,,<4001014>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4107,防御通用(强),,2,,受到必杀伤害后额外恢复自身500点怒气,2,1001,,,<4001015>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4108,防御通用(强),,2,,触发抵御时恢复自身20%的血量,2,1001,,,<4001016>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4201,控制通用,,2,,自身血量越低控制率越高，最高提升30%,1,101,,,<4001017>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4202,控制通用,,2,,战斗中首次释放技能的控制率提升30%,1,101,,,<4001018>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4203,控制通用,,2,,入场时麻痹敌方随机一个后排单位2回合,1,101,,,<4001019>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4204,控制通用,,2,,入场前3回合降低敌方20%免控率,1,101,,,<4001020>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4205,控制通用(强),,2,,对控制中的目标额外造成20%的伤害,2,1001,,,<4001021>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4206,控制通用(强),,2,,主动技能可吸收控制中目标200点怒气,2,1001,,,<4001022>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4207,控制通用(强),,2,,攻击受控制目标时无视其20%伤害减免,2,1001,,,<4001023>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4208,控制通用(强),,2,,自身血量越高控制率越高，最高提升30%,2,1001,,,<4001024>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4301,辅助通用,,2,,战斗第4回合开始全体提升20%吸血率,1,101,,,<4001025>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4302,辅助通用,,2,,战斗前3回合全体提升20%反弹率,1,101,,,<4001026>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4303,辅助通用,,2,,攻击时50%概率附带灼烧效果3回合（可叠加5层）（每层造成20%双攻和的伤害）,1,101,,,<4001027>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4304,辅助通用,,2,,对血量低于50%的目标额外造成20%的伤害,1,101,,,<4001028>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4305,辅助通用(强),,2,,精灵自身每1%吸血提升5%的伤害加成,2,1001,,,<4001029>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4306,辅助通用(强),,2,,若攻击后自身血量高于70%，则给自己添加护盾1回合，护盾量为本次伤害的50%,2,1001,,,<4001030>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4307,辅助通用(强),,2,,攻击带有持续伤害效果的敌人时，每层效果会使其受到的伤害提升5%,2,1001,,,<4001031>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4308,辅助通用(强),,2,,精灵自身每1%反弹提升5%的血量上限,2,1001,,,<4001032>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4401,恢复通用,,2,,受伤时恢复5%的血量,1,101,,,<4001033>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4402,恢复通用,,2,,每次行动后恢复5%的血量,1,101,,,<4001034>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4403,恢复通用,,2,,偶数回合提升全体50%的治疗效果,1,101,,,<4001035>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4404,恢复通用,,2,,每个大回合结束恢复己方血量最低单位10%的血量,1,101,,,<4001036>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4405,恢复通用(强),,2,,回血时永久提升15%双攻，最高叠加5次,2,1001,,,<4001037>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4406,恢复通用(强),,2,,回血时永久提升15%回怒速度提升，最高叠加5次,2,1001,,,<4001038>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4407,恢复通用(强),,2,,回血时永久提升15%暴击率，最高叠加5次,2,1001,,,<4001039>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4408,恢复通用(强),,2,,回血时永久15%速度，最高叠加5次,2,1001,,,<4001040>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5001,永久徽章,,2,2,#C0xF76B45##L10#【永久徽章】#L0##C0x5B545B#战斗中随机一个己方精灵获得携带道具【现形镜】效果,2,5001,,,<4002001>,,2,,3,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5002,永久徽章,,2,2,#C0xF76B45##L10#【永久徽章】#L0##C0x5B545B#战斗中随机一个己方精灵获得携带道具【苹果】效果,2,5001,,,<4002002>,,2,,6,5,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5003,永久徽章,,2,2,#C0xF76B45##L10#【永久徽章】#L0##C0x5B545B#战斗中随机一个己方精灵获得携带道具【博士面具】效果,2,5001,,,<4002003>,,2,,9,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5004,永久徽章,,2,2,#C0xF76B45##L10#【永久徽章】#L0##C0x5B545B#战斗中随机一个己方精灵获得携带道具【强力手环】效果,2,5001,,,<4002004>,,2,,12,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5005,永久徽章,,2,2,#C0xF76B45##L10#【永久徽章】#L0##C0x5B545B#战斗中己方随机一个精灵的小技能冷却为1回合,2,5001,,,<4002005>,,2,,2,5,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5006,永久徽章,,2,2,#C0xF76B45##L10#【永久徽章】#L0##C0x5B545B#战斗中己方随机一个精灵满怒气,2,5001,,,<4002006>,,2,,4,5,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5007,永久徽章,,2,2,#C0xF76B45##L10#【永久徽章】#L0##C0x5B545B#战斗中己方随机一个精灵开局即可获得凤王的祝福效果,2,5001,,,<4002007>,,2,,6,5,1,activity/brave_challenge/xz_icon/icon_yztz_fy.png
5008,永久徽章,,2,2,#C0xF76B45##L10#【永久徽章】#L0##C0x5B545B#战斗中己方随机一个精灵获得免控,2,5001,,,<4002008>,,2,,8,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5051,强力恢复,,2,,首回合全体恢复50%血量,2,5051,,,<4002051>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5052,强力恢复,,2,,每个大回合结束全体恢复10%血量,2,5051,,,<4002052>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5053,强力恢复,,2,,首回合全体恢复30%血量和300点怒气,2,5051,,,<4002053>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5054,强力恢复,,2,,己方所有单位在死亡后有30%概率立刻复活,2,5051,,,<4002054>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5061,强力恢复,,2,,首回合全体恢复50%血量,2,5051,,,<4002061>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5062,强力恢复,,2,,每个大回合结束全体恢复10%血量,2,5051,,,<4002062>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5063,强力恢复,,2,,首回合全体恢复30%血量和300点怒气,2,5051,,,<4002063>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5064,强力恢复,,2,,己方所有单位在死亡后有30%概率立刻复活,2,5051,,,<4002064>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5071,强力恢复,,2,,首回合全体恢复50%血量,2,5051,,,<4002071>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5072,强力恢复,,2,,每个大回合结束全体恢复10%血量,2,5051,,,<4002072>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5073,强力恢复,,2,,首回合全体恢复30%血量和300点怒气,2,5051,,,<4002073>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5074,强力恢复,,2,,己方所有单位在死亡后有30%概率立刻复活,2,5051,,,<4002074>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5101,合体之谜I,,1,,激活开局上锁精灵：拉帝亚斯,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5102,合体之谜II,,1,,激活开局上锁精灵：拉帝欧斯,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5103,大地之怒,,1,,激活开局上锁精灵：固拉多,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5111,超级幸运,,1,,激活开局上锁精灵：基拉祈,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5112,感恩之心,,1,,激活开局上锁精灵：谢米,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5113,扭转空间,,1,,激活开局上锁精灵：惩戒胡帕,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5121,时间轮回,,1,,激活开局上锁精灵：帝牙卢卡,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5122,隐匿空间,,1,,激活开局上锁精灵：帕路奇亚,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5123,超频模式,,1,,激活开局上锁精灵：莱希拉姆,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5131,奇迹之眼,,1,,激活开局上锁精灵：超梦,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5132,远古血脉,,1,,激活开局上锁精灵：固拉多,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5133,冰封世界,,1,,激活开局上锁精灵：酋雷姆,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
10001,精神强念,,2,,胡地在场时有一定概率触发：入场必然石化对面随机一个目标持续2回合,1,10001,,,<4011001>,,1,10263,1,10,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
10002,螳螂在后,,2,,巨钳螳螂在场时有一定概率触发：小技能未击杀单位也能获得一次额外行动,1,10001,,,<4011002>,,1,10572,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10003,高压电,,2,,电击魔兽在场时有一定概率触发：前排队友（除自身以外）受击或者攻击给电击魔兽蓄电,1,10001,,,<4011003>,,1,10593,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10004,钢甲,,2,,波士可多拉在场时有一定概率触发：每个大回合开始前为会为另外一个随机单位添加钢铁护盾,1,10001,,,<4011004>,,1,11503,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10005,冰霜封印,,2,,几何雪花在场时有一定概率触发：入场必然冰冻对面随机一个目标持续2回合,1,10001,,,<4011005>,,1,13021,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10006,花之舞者,,2,,花洁夫人在场时有一定概率触发：花洁夫人在场时，友方行动时恢复来自花洁夫人35%特攻的生命值,1,10001,,,<4011006>,,1,13353,1,10,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
10007,剑·盾,,2,,坚盾剑怪·盾牌在场时有一定概率触发：盾形态时：全体获得20%伤害减免；剑形态时，友方全体提升20%伤害加成,1,10001,,,<4011007>,,1,13413,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10008,正义之心,,2,,路卡利欧在场时有一定概率触发：友方使用小技能时40%有概率触发小技能；友方使用必杀技时有20%概率触发必杀技,1,10001,,,<4011008>,,1,12242,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10009,龙之威压,,2,,暴飞龙在场时有一定概率触发：攻击时撕裂效果变为3层,1,10001,,,<4011009>,,1,11893,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10010,不动如山,,2,,巨金怪在场时有一定概率触发：攻击时50%随机嘲讽1个单位，持续1回合,1,10001,,,<4011010>,,1,11903,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10011,虫之共鸣,,2,,火神蛾在场时有一定概率触发：友方前排永久拥有【太阳羽衣】,1,10001,,,<4011011>,,1,13152,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10012,毒刺碉堡,,2,,超坏星在场时有一定概率触发：攻击时50%随机嘲讽1个单位，持续1回合,1,10001,,,<4011012>,,1,13772,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10013,叶刃,,2,,蜥蜴王在场时有一定概率触发：自身行动后有35%的概率进入隐身状态，若已处于隐身状态，则添加冷血1回合,1,10001,,,<4011013>,,1,11293,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10014,唱反调,,2,,君主蛇在场时有一定概率触发：入场必然缠绕对面随机1个目标持续2回合,1,10001,,,<4011014>,,1,12473,1,10,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
10015,狙射,,2,,狙射树枭在场时有一定概率触发：击杀目标后自身必然满怒气,1,10001,,,<4011015>,,1,13663,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10016,猛火,,2,,火焰鸡在场时有一定概率触发：入场前3回合额外获得35%的暴击率,1,10001,,,<4011016>,,1,11303,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10017,浊流,,2,,巨沼怪在场时有一定概率触发：攻击时附带致盲效果,1,10001,,,<4011017>,,1,11313,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10018,水影分身之术,,2,,甲贺忍蛙在场时有一定概率触发：小技能冷却缩减-1，且必定眩晕攻击目标,1,10001,,,<4011018>,,1,13303,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10019,山崩地裂,,2,,班基拉斯在场时有一定概率触发：使用必杀技后的后两个大回合结束后回复自身15%最大生命值的血量和200点怒气,1,10001,,,<4011019>,,1,11253,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10020,电磁力,,2,,自爆磁怪在场时有一定概率触发：每次必杀技额外再获得1到2层自爆伤害层数,1,10001,,,<4011020>,,1,10333,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
10021,屠龙,,2,,玛力露丽在场时有一定概率触发：敌方存在龙系精灵时，自身每个大回合都额外一次额外行动,1,10001,,,<4011021>,,1,10893,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10022,逃跑,,2,,绿毛虫在场时有一定概率触发：入场时敌方全体束缚1回合，且每次行动时有50%概率束缚随机1个单位,1,10001,,,<4011022>,,1,10031,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
10023,生芽,,2,,妙蛙花在场时有一定概率触发：自身每次行动为友方随机2个单位添加【寄生种子】，持续3回合,1,10001,,,<4011023>,,1,10003,1,10,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
10024,治愈芬芳,,2,,大竺葵在场时有一定概率触发：每个大回合开始前，抗暴率与抵御率提升50%,1,10001,,,<4011024>,,1,10783,1,10,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
10025,藤蔓守护,,2,,土台龟在场时有一定概率触发：每个大回合开始前，抗暴率与抵御率提升50%,1,10001,,,<4011025>,,1,12013,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10026,刺铠,,2,,布里卡隆在场时有一定概率触发：每个大回合开始前，抗暴率与抵御率提升50%,1,10001,,,<4011026>,,1,13283,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10027,引燃,,2,,喷火龙在场时有一定概率触发：行动回合开始前，对敌方随机单位添加灼烧效果，大回合结束时对灼烧单位造成来自自身80%特攻的特殊伤害,1,10001,,,<4011027>,,1,10013,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10028,火暴,,2,,火暴兽在场时有一定概率触发：自身100%触发连击效果,1,10001,,,<4011028>,,1,10793,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10029,火焰穿透,,2,,炎武王在场时有一定概率触发：击杀单位时额外获得行动回合，且获得10%伤害加成（可叠加5层）,1,10001,,,<4011029>,,1,12483,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10030,魔之心,,2,,妖火红狐在场时有一定概率触发：每次行动后将敌方特攻最高的两个单位的20%特攻转移给我方两个特攻最高的单位,1,10001,,,<4011030>,,1,13293,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
10031,激流,,2,,水箭龟在场时有一定概率触发：封锁目标怒气1回合,1,10001,,,<4011031>,,1,10023,1,5,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10032,撕裂,,2,,大力鳄在场时有一定概率触发：每个大回合结束给敌方添加随机debuff,1,10001,,,<4011032>,,1,10803,1,5,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10033,忍耐,,2,,帝王拿波在场时有一定概率触发：回怒飞速加快,1,10001,,,<4011033>,,1,12033,1,5,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10034,寒冰身躯,,2,,冰雪巨龙在场时有一定概率触发：每回合降低目标10%血量,1,10001,,,<4011034>,,1,13502,1,5,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10035,噪声,,2,,爆音怪在场时有一定概率触发：必杀技伤害巨高,1,10001,,,<4011035>,,1,11443,1,5,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10036,宝石之心,,2,,宝石海星在场时有一定概率触发：治疗量提升,1,10001,,,<4011036>,,1,10552,1,5,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
10037,光隐,,2,,拉帝亚斯在场时有一定概率触发：血量最低伤害越高,1,10001,,,<4011037>,,1,11941,1,5,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
10038,光隐,,2,,拉帝欧斯在场时有一定概率触发：死亡回复怒气,1,10001,,,<4011038>,,1,11951,1,5,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10039,超梦,,2,,超梦在场时有一定概率触发：控制率提升,1,10001,,,<4011039>,,1,10761,1,5,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
