变量名,name,_beizhu,name_tw,name_en,name_vn,name_kr,showType,res,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,scale,type,probability,point,length,big,operateTimePointUp,award,bait,needLv,scene,randType,weight,crossFishingWeight,weightMin,weightMax,weekMax,priority,maxWinTimes,overDeal,rare,speed,escape,randMove,deadTime,time,bookId,competitionSpeed,competitionEscape,competitionRandMove
107,Lumineon,,霓虹魚,Lumineon,404404,?????,,config/big_hero/standby/img_457_nhy@.png,config/portrait/jinglingtouxiang/img_457_nhy@.png,"When rainbow appears, it will use its body to reflect rainbow, and it often decorates the sea very beautifully.",彩虹出現時它會用身體與彩虹輝映，經常把海面裝點的格外漂亮。,"When rainbow appears, it will use its body to reflect rainbow, and it often decorates the sea very beautifully.",,???? ??? ?? ?? ??? ???? ??? ??? ??? ???? ??? ??.,1,,0.5,300,<110;130>,125,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<608;612;622>},,,<3>,,80,,,,,,,,2,13,9,<33;39>,0,<8;12>,1,13,10,<37;76>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Wailmer,,吼吼鯨,Wailmer,404404,????,,config/big_hero/standby/img_320_hhj@.png,config/portrait/jinglingtouxiang/img_320_hhj@.png,"Although it usually live in the sea, it can live on land for a short time. If its body is dry, it will become very weak.",雖然平時是住在海裡的寶可夢，不過只是短時間的話也可以在陸地生活。如果身體乾燥的話就會很沒有精神。,"Although it usually live in the sea, it can live on land for a short time. If its body is dry, it will become very weak.",,?? ???? ?? ?????? ?? ????? ???? ??? ? ??. ?? ???? ??? ????.,1,,0.6,1000,<190;220>,215,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<603;613;623>},,,<1;999>,,30,100,,,,,,,3,12,9,<57;67>,0,<10;15>,1,12,10,<42;82>
202,Relicanth,,古空棘魚,Relicanth,404404,???,,config/big_hero/standby/img_369_gkjy@.png,config/portrait/jinglingtouxiang/img_369_gkjy@.png,"Its appearance has not changed much in 100 million years. It is a living fossil among Pokémons, mainly eating microorganisms.",一億年來外形都沒大的改變，是精靈中的活化石，以吃微生物為主。,"Its appearance has not changed much in 100 million years. It is a living fossil among Pokémons, mainly eating microorganisms.",,1? ? ?? ??? ?? ??? ??? ???? ???? ????. ???? ?? ???.,1,,0.6,1000,<90;110>,105,<<2;11;0.5>;<11;14;0.2>;<14;19;0.1>>,{libs=<603;613;623>},,,<1>,,30,,,,,,,,3,7,5,<32;37>,0,<10;15>,1,7,6,<46;74>
203,Whiscash,,鯰魚王,Whiscash,404404,??,,config/big_hero/standby/img_340_nyw@.png,config/portrait/jinglingtouxiang/img_340_nyw@.png,"It can cause earthquakes within 5km of the surrounding area, and it also has the magical power to predict the real earthquake.",可以引發周圍五公里範圍內的地震，同時它也有著能預知真正地震的神奇力量。,"It can cause earthquakes within 5km of the surrounding area, and it also has the magical power to predict the real earthquake.",,5km ??? ??? ???? ??? ?? ??? ??? ? ?? ??? ?? ?? ??.,1,,0.54,1000,<80;120>,110,<<2;10;0.5>;<10;13;0.2>;<13;18;0.1>>,{libs=<606;616;623>},,,<2;999>,,30,100,,,,,,,3,8,7,<43;75>,0,<10;15>,1,8,8,<41;80>
204,Arctovish,,鯰魚海獸,Arctovish,,?????,,config/big_hero/standby/img_883_syhs@.png,config/portrait/jinglingtouxiang/img_883_syhs@.png,"It will freeze the surroundings to catch prey by releasing cold air, and the skin of its face will not be injured no matter what attack it receives.",會通過釋放冷氣來凍結四周捕捉獵物，面部的皮膚無論受到什麼攻擊都不會受傷。,"It will freeze the surroundings to catch prey by releasing cold air, and the skin of its face will not be injured no matter what attack it receives.",,??? ??? ??? ??? ???? ???? ??? ??? ?? ??? ???? ??? ???.,1,,0.54,1000,<190;220>,215,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<606;616;623>},,,<2>,,30,,,,,,,,3,11,9,<54;80>,0,<10;15>,1,11,10,<47;85>
205,Tentacool,,瑪瑙水母,Tentacool,404404,???,,config/big_hero/standby/img_72_mnsm@.png,config/portrait/jinglingtouxiang/img_72_mnsm@.png,The water in the body refracts sunlight and converts it into beam energy. Emitted from the eyes that looked like crystals.,用身體內的水折射太陽光，將其轉化成光束的能量。從像是水晶的眼睛中發射出來。,The water in the body refracts sunlight and converts it into beam energy. Emitted from the eyes that looked like crystals.,,? ?? ?? ???? ???? ?? ???? ??? ???? ??? ??? ????.,1,,0.5,1000,<80;120>,110,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<609;613;623>},,,<3>,,30,,,,,,,,3,10,8,<46;54>,0,<10;15>,1,10,9,<46;87>
206,Octillery,,章魚桶,Octillery,404404,????,,config/big_hero/standby/img_224_zyt@.png,config/portrait/jinglingtouxiang/img_224_zyt@.png,Has the habit of drilling holes. Will snatch other Pokémon's lair and sleep in it.,有著愛鑽洞的習性。會搶奪別人的巢穴，在裡面睡覺。,Has the habit of drilling holes. Will snatch other Pokémon's lair and sleep in it.,,?? ?? ??? ??. ?? ??? ??? ? ??? ??.,1,,0.5,1000,<80;120>,110,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<609;613;623>},,,<3;999>,,30,100,,,,,,,3,10,8,<46;54>,0,<10;15>,1,10,9,<46;87>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Clauncher,铁臂枪虾-一次性触发-30次左右,鐵臂槍蝦,Clauncher,404404,???,spine,koudai_tiebiqiangxia/hero_tiebiqiangxia.skel,config/portrait/speedranktouxiang/img_692_tbqx@.png,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,從巨大的鉗子裡壓縮的水能像槍彈一樣擊出並且擊落飛行中的獵物,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,,"??? ???? ??? ?? ???? ??, ?? ?? ???? ?????.",3.2,2,0.7,100,,,,{card={id=3471}},,,<1;2;3>,2,-1,,0.001,0.0123,3,1,1,3,2,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1012,Clauncher,铁臂枪虾-150次左右,鐵臂槍蝦,Clauncher,404404,???,spine,koudai_tiebiqiangxia/hero_tiebiqiangxia.skel,config/portrait/speedranktouxiang/img_692_tbqx@.png,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,從巨大的鉗子裡壓縮的水能像槍彈一樣擊出並且擊落飛行中的獵物,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,,"??? ???? ??? ?? ???? ??, ?? ?? ???? ?????.",3.2,2,0.7,100,,,,{card={id=3471}},,,<1;2;3>,2,-1,,0.02,0.0066,2,1,,3,2,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1021,Rare Goldeen,稀有角金鱼-一次性触发-10次左右,稀有角金魚,Rare Goldeen,,?? ??,spine,koudai_jiaojinyu/hero_jiaojinyu.skel,config/portrait/jinglingtouxiang/img_118_jjy@.png,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",被放入水箱的話，就算是厚厚的玻璃也要用角撞破逃走。,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",,????????????????????????????????????.,3.2,2,0.7,300,,,,{card={id=541}},,,<1;2;3>,2,-1,,0.01,0.19,3,1,1,3,1,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1022,Rare Goldeen,稀有角金鱼-100次左右,稀有角金魚,Rare Goldeen,,?? ??,spine,koudai_jiaojinyu/hero_jiaojinyu.skel,config/portrait/jinglingtouxiang/img_118_jjy@.png,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",被放入水箱的話，就算是厚厚的玻璃也要用角撞破逃走。,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",,????????????????????????????????????.,3.2,2,0.7,300,,,,{card={id=541}},,,<1;2;3>,2,-1,,0.001,0.019,2,1,,3,1,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1031,Gyarados,暴鲤龙-一次性触发-150次左右,暴鯉龍,Gyarados,404404,????,spine,koudai_baolilong/hero_baolilong.skel,config/portrait/jinglingtouxiang/img_130_bll@.png,It seems like to have a low chance to get Pokémon on hook,好像有極低概率直接釣到精靈哦,It seems like to have a low chance to get Pokémon on hook,,??? ?? ??? ???? ?? ? ??.,3.2,2,0.7,1000,,,,{card={id=631}},,,<1;2;3>,2,-1,,0.00333,0.01,2,3,1,3,3,11,5,<0;100>,1,<10;15>,0,11,6,<0;0>
1032,Gyarados,暴鲤龙-500次左右,暴鯉龍,Gyarados,404404,????,spine,koudai_baolilong/hero_baolilong.skel,config/portrait/jinglingtouxiang/img_130_bll@.png,It seems like to have a low chance to get Pokémon on hook,好像有極低概率直接釣到精靈哦,It seems like to have a low chance to get Pokémon on hook,,??? ?? ??? ???? ?? ? ??.,3.2,2,0.7,1000,,,,{card={id=631}},,,<1;2;3>,2,-1,,0.0005,0.0035,1,3,,3,3,11,5,<0;100>,1,<10;15>,0,11,6,<0;0>
1041,Mudkip,水跃鱼-一次性触发-250次左右,水躍魚,Mudkip,404404,???,spine,koudai_shuiyueyu/hero_shuiyueyu.skel,config/portrait/jinglingtouxiang/img_258_syy@.png,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions",在水中依靠臉頰的腮呼吸，遇險時發揮的力量足以粉碎比自己還大的岩石。 頭上的鰭有雷達的作用，可以判別周圍的狀況,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions",,???? ?? ???? ??? ??? ??? ??? ? ???? ?? ???? ? ??? ????? ??. ?? ?? ????? ????? ??? ?? ?? ??? ??? ? ??.,3.2,2,0.7,1000,,,,{card={id=1311}},,,<1;2;3>,2,-1,,0.002,0.006,2,3,1,3,3,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1042,Mudkip,水跃鱼-600次左右,水躍魚,Mudkip,404404,???,spine,koudai_shuiyueyu/hero_shuiyueyu.skel,config/portrait/jinglingtouxiang/img_258_syy@.png,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions",在水中依靠臉頰的腮呼吸，遇險時發揮的力量足以粉碎比自己還大的岩石。 頭上的鰭有雷達的作用，可以判別周圍的狀況,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions",,???? ?? ???? ??? ??? ??? ??? ? ???? ?? ???? ? ??? ????? ??. ?? ?? ????? ????? ??? ?? ?? ??? ??? ? ??.,3.2,2,0.7,1000,,,,{card={id=1311}},,,<1;2;3>,2,-1,,0.0004,0.0028,1,3,,3,3,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Gyarados Shard,暴鲤龙碎片,暴鯉龍碎片,Gyarados Shard,,???? ??,,config/big_hero/standby/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,???? ?? ???? ??.,1.3,,0.7,500,,,,{20631=1},,,,,15,,,,,,,,3,11,5,<0;100>,1,<15;20>,0,11,6,<0;0>
1102,Gyarados Shard,暴鲤龙碎片,暴鯉龍碎片,Gyarados Shard,,???? ??,,config/big_hero/standby/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,???? ?? ???? ??.,1.3,,0.7,500,,,,{20631=2},,,,,15,,,,,,,,3,11,5,<0;100>,1,<15;20>,0,11,6,<0;0>
1111,Mudkip Shard,水跃鱼碎片,水躍魚碎片,Mudkip Shard,,??? ??,,config/big_hero/standby/img_258_syy@.png,config/portrait/jinglingtouxiang/img_258_syy@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,???? ?? ???? ??.,1.6,,0.7,500,,,,{21311=1},,,,,15,,,,,,,,3,11,5,<19;24>,1,<15;20>,0,11,6,<27;44>
1112,Mudkip Shard,水跃鱼碎片,水躍魚碎片,Mudkip Shard,,??? ??,,config/big_hero/standby/img_258_syy@.png,config/portrait/jinglingtouxiang/img_258_syy@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,???? ?? ???? ??.,1.6,,0.7,500,,,,{21311=2},,,,,15,,,,,,,,3,11,5,<19;24>,1,<15;20>,0,11,6,<27;44>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Dratini Shard,迷你龙碎片,迷你龍碎片,Dratini Shard,,?? ??,,config/big_hero/standby/img_147_mnl@.png,config/portrait/jinglingtouxiang/img_147_mnl@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,???? ?? ???? ??.,2,,0.65,1000,,,,{20751=1},,,<2;3;999>,,8,,,,,,,,3,11,5,<20;50>,1,<15;20>,0,11,6,<28;46>
1202,Dratini Shard,迷你龙碎片,迷你龍碎片,Dratini Shard,,?? ??,,config/big_hero/standby/img_147_mnl@.png,config/portrait/jinglingtouxiang/img_147_mnl@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,???? ?? ???? ??.,2,,0.65,1000,,,,{20751=2},,,<2;3;999>,,8,,,,,,,,3,11,5,<20;50>,1,<15;20>,0,11,6,<28;46>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Old bag,陈旧的袋子-随机,陳舊的袋子,Old bag,,?? ??,,city/adventure/fishing/pjdz.png,config/item/fishing/icon_box_dz.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,?? ??? ?? ?? ?? ? ??.,3,3,1,500,,,,{gold=20000;libs=<631;631>},,,<1;2;3>,,30,,,,,,,,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
