变量名,point,rank,themeType
2123,285,310,3
2124,280,320,3
2125,275,330,3
2126,270,340,3
2127,265,350,3
2128,260,360,3
2129,255,370,3
2130,250,380,3
2131,245,390,3
2132,240,400,3
2133,235,410,3
2134,230,420,3
2135,225,430,3
2136,220,440,3
2137,215,460,3
2138,210,480,3
2139,205,500,3
2140,200,600,3
2141,195,700,3
2142,190,800,3
2143,185,900,3
2144,180,1000,3
2145,175,1500,3
2146,170,2000,3
2147,165,2500,3
2148,160,3000,3
2149,155,3500,3
2150,150,99999,3
