变量名,levelEnd,levelStart,themeCsvID,rangeFixs,monsters3,monsters2,monsters1
1014,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<1853;2993;884;393;1394;2993>,<3012;1314;1951;2633;23;3303>,<13;372;2822;24;303;2993>
1015,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<771;3152;2993;464;883;1503>,<133;3161;2923;472;1071;462>,<2593;3143;1813;1253;2993;884>
1016,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<1931;2483;2612;1314;402;641>,<1903;1303;133;631;2993;603>,<2633;242;23;341;163;552>
1017,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<1032;3303;2993;303;3843;1313>,<1863;3413;393;464;1951;753>,<1172;44;1314;23;552;402>
1018,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<1931;884;641;283;303;3353>,<2233;1172;2242;771;701;4>,<13;741;1903;2272;2683;3663>
1019,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<462;163;2483;641;731;783>,<552;863;1853;4;1903;3>,<1253;222;2303;3413;44;1221>
1020,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<402;2013;341;2993;2993;3413>,<2683;692;1032;1172;3143;23>,<3021;464;1423;3293;2993;472>
1021,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<1921;2993;1032;2242;4;2993>,<1841;2993;771;2473;1394;2033>,<3171;3663;1071;3152;3413;242>
1022,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<3152;1071;883;731;242;1394>,<1293;1503;1423;1941;2401;1241>,<14;2993;753;3143;333;1221>
1023,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<3171;2993;1082;2822;2993;2993>,<393;1893;2401;883;163;3161>,<712;1423;1172;1393;493;2993>
1024,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<3152;574;2993;1393;24;1071>,<593;264;1931;753;2993;1423>,<1082;3161;1503;263;1841;14>
1025,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<493;2993;15;3003;382;2993>,<1082;1503;1931;2822;163;1941>,<1393;1903;593;3303;2033;603>
1026,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<1921;493;1241;1293;863;1931>,<2993;2242;3171;1313;731;2993>,<3843;2033;3021;503;2993;3353>
1027,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<394;1921;1394;1941;264;1303>,<3161;2033;641;2401;3152;712>,<572;1082;1172;4;2993;1293>
1028,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<771;1841;2993;1241;1303;1231>,<3171;1893;574;2993;863;1951>,<3152;1393;1172;493;631;753>
1029,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<2993;2993;2993;3021;3003;753>,<731;1293;2033;493;394;2993>,<1423;263;883;741;2822;242>
1030,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<1813;3021;731;242;1903;1221>,<2242;382;1931;3152;1293;503>,<263;2993;1313;1032;402;1951>
1031,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<2993;1903;1314;731;1231;333>,<1221;2993;393;3021;14;1253>,<574;493;394;2993;1931;1032>
1032,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<382;1841;574;2993;2993;1221>,<884;24;3251;3171;402;2993>,<3181;741;753;1071;3413;2233>
1033,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<2822;2233;1032;1253;1082;1231>,<15;4;2242;1303;701;1911>,<883;721;3152;574;333;1921>
1034,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<242;163;1293;2993;1931;863>,<1314;15;701;712;1903;2822>,<3171;3161;264;1893;3152;333>
1035,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<2473;1841;1314;574;863;1393>,<1394;2993;1503;3143;741;884>,<264;2723;2033;1951;603;2993>
1036,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<2242;1293;1241;1253;2993;2993>,<3303;641;2233;1841;263;1313>,<503;2822;1423;3143;863;3003>
1037,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<3021;163;1921;1931;721;2993>,<24;2993;2993;2993;4;1172>,<1841;1221;701;1911;1813;712>
1038,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<393;2993;1393;884;2993;402>,<1394;2233;14;3161;1841;2993>,<2033;2401;2993;493;603;1032>
1039,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<863;1071;1503;264;2993;1903>,<503;574;2993;771;731;1841>,<883;1313;3181;3152;2233;1931>
1040,110,1,<1;2;3;4;5;6;7;8;9>,<10;11;12;13;14;15;16;17;18>,<15;1293;2993;1253;712;2993>,<503;741;731;1032;2723;2993>,<4;2993;1082;863;263;1813>
1041,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<3003;24;1253;3601;771;15>,<1423;1293;2233;2381;1961;1841>,<3772;1241;393;753;4;883>
1042,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<3611;574;382;1253;2033;1253>,<242;1903;3631;1841;503;1931>,<2723;863;3663;753;701;1253>
1043,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<603;1281;3003;1314;2993;1253>,<1893;3601;1394;883;242;1271>,<1813;3251;1082;2391;382;1303>
1044,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1394;1893;1261;1253;382;2242>,<15;1941;884;2381;1231;1172>,<394;3772;1314;3021;3592;1303>
1045,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<264;382;1221;701;1172;333>,<1253;1082;863;2401;163;1951>,<712;263;1921;3611;3592;1911>
1046,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<3211;1253;3143;593;15;1253>,<1423;1271;1961;1841;2351;3003>,<1293;393;2361;3021;1281;2033>
1047,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1893;4161;3271;1253;1313;1253>,<24;1503;3181;1971;1253;1903>,<3143;1261;884;2822;3221;333>
1048,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<2351;731;1941;1253;1813;1293>,<753;2441;603;3211;3601;242>,<3143;1303;493;1911;3663;264>
1049,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<593;3611;2391;1253;1981;2723>,<3543;1911;3271;1931;1221;1281>,<3181;333;1941;631;641;1921>
1050,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1903;574;1253;1931;771;4171>,<3181;14;1921;3601;641;884>,<731;1393;753;24;1813;1071>
1051,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<721;1253;1503;771;1991;2431>,<1221;1082;641;2242;3601;263>,<1293;1313;3303;1393;1951;1423>
1052,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1253;884;3261;883;1253;1221>,<2033;2233;753;1931;333;242>,<2361;393;493;641;1813;3251>
1053,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<3261;1281;1293;1221;1941;393>,<641;3143;1931;3271;1393;741>,<3221;2441;3592;631;3642;1271>
1054,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<3003;1991;503;3211;2381;1261>,<1314;761;1293;593;2431;1253>,<1221;2233;2361;641;1241;163>
1055,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1253;1303;603;1991;1271;493>,<3181;3161;593;3211;863;1032>,<1241;1082;3271;2233;1253;4161>
1056,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1911;1393;1813;2391;1253;333>,<3003;1314;2993;2233;4161;1253>,<3543;1423;1921;393;3143;884>
1057,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1032;2391;3003;1253;574;721>,<1903;593;3161;3021;1293;603>,<631;3353;572;1981;24;884>
1058,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1313;631;24;1931;14;2381>,<3143;382;771;264;1314;503>,<1231;721;1971;394;2993;493>
1059,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<4161;4171;1253;731;1253;1253>,<1303;1231;2242;1314;15;1941>,<574;394;593;1503;1071;761>
1060,110,1,<1;2;3;4;5;6;7;8;9>,<1;2;3;4;5;6;7;8;9>,<1991;1253;712;1253;631;863>,<1314;242;333;3241;503;2473>,<2993;2401;3543;1921;3152;753>
2001,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<721;1172;603;2483;712;3012>,<2891;1423;393;593;1813;731>
2002,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2633;1394;3021;883;242;1903>,<3143;2233;753;2873;3413;3012>
2003,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<242;3143;572;2891;1313;333>,<2924;593;603;631;2683;1241>
2004,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1313;3413;593;1231;3003;3303>,<242;3283;1172;493;2891;393>
2005,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<572;1241;263;2723;3283;883>,<3003;1394;1082;333;2924;493>
2006,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1503;3543;2233;2633;741;631>,<3432;731;1903;3502;3003;1303>
2007,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1293;493;1503;2822;3012;3543>,<1841;631;1071;1241;3511;741>
2008,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3353;3432;1253;631;2593;393>,<572;333;1903;2924;1071;771>
2009,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1393;593;1172;3021;2963;2723>,<1221;1241;3303;1231;753;1303>
2010,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2302;2483;603;393;883;2073>,<1221;1841;1503;2612;2683;3592>
2011,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<753;593;3413;3021;3511;1423>,<2723;1393;2891;3303;1082;1813>
2012,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1841;1503;3592;1241;3012;1423>,<593;1172;3502;631;2923;1813>
2013,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1253;603;3511;2923;1423;2822>,<3502;1071;3353;1841;883;2723>
2014,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<631;753;2272;2612;1172;242>,<1231;3353;2073;771;3342;333>
2015,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2593;2923;1813;1253;2891;1303>,<1231;572;2723;731;3592;3283>
2016,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3353;2073;3543;2873;2963;741>,<572;593;883;3283;2233;3413>
2017,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1221;3003;1423;3012;1313;2923>,<263;3472;1303;3511;593;1841>
2018,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2924;2683;1813;2891;1293;1423>,<1071;493;1503;1393;3293;2633>
2019,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<493;3413;1293;1813;3502;2822>,<3303;731;2683;2272;572;1394>
2020,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3143;3413;771;393;1221;3502>,<2683;333;2593;2891;3543;883>
2021,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3502;2873;1393;493;2633;1082>,<263;3283;1813;3303;1071;2963>
2022,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1293;1813;2822;2683;2302;2924>,<333;2923;2073;712;3303;2233>
2023,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<883;242;3432;2483;3511;3342>,<2923;2612;1253;2633;1082;712>
2024,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1813;3012;1503;3003;741;3021>,<1841;1393;3472;1253;2873;2923>
2025,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2633;631;2924;263;1313;2483>,<1071;1893;2233;1394;393;731>
2026,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<883;242;753;493;2683;3543>,<2891;3003;3303;631;2633;2612>
2027,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1221;263;1393;1423;3303;593>,<2873;731;3293;3143;1253;2233>
2028,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1253;333;2593;603;3472;2923>,<3413;263;3003;1893;731;1393>
2029,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2683;1423;731;1313;1893;3293>,<3143;631;3012;712;1303;2923>
2030,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<572;2593;1393;3502;593;603>,<2612;1172;3353;3543;3021;242>
2031,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3432;3511;3143;1903;1313;3012>,<741;1841;771;1893;3592;2873>
2032,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1082;3283;2723;263;712;3003>,<242;1241;1313;1841;3293;572>
2033,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1813;263;3592;3432;3413;731>,<1172;1253;1841;3293;3003;1893>
2034,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2302;1893;3283;3293;3342;3303>,<3021;3012;3472;741;2233;603>
2035,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<883;631;333;3342;741;1241>,<572;2272;2963;1813;3303;3021>
2036,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1503;2272;2683;3592;3511;1293>,<393;3353;242;2233;3303;572>
2037,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2683;1813;2272;3511;333;1071>,<2924;263;631;3012;1313;1423>
2038,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3472;1893;393;2593;731;1253>,<2683;603;1231;1082;3303;2233>
2039,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3012;3293;1241;263;3432;2593>,<2873;771;3511;393;631;1423>
2040,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1503;242;3413;3021;721;3283>,<3432;2233;1241;3303;1423;2683>
2041,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<393;2593;3592;2723;2233;1393>,<572;3472;1313;1303;1903;1241>
2042,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3293;3472;2683;2612;1253;1241>,<3283;1231;1071;333;2963;1293>
2043,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3143;1303;603;3472;1841;2683>,<1253;2073;1172;3012;3003;741>
2044,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<721;603;2483;1813;1172;2923>,<1841;2822;753;1241;572;712>
2045,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3021;2963;1221;3432;1231;883>,<1293;3413;1841;2683;2272;1903>
2046,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<883;3021;3293;3472;1082;2923>,<3432;1313;3592;333;2924;1241>
2047,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1893;3543;1423;3283;3303;2272>,<3342;2073;2483;3353;2593;2723>
2048,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3592;3353;3511;1313;1293;593>,<3293;1903;1172;2633;712;3021>
2049,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2924;1172;712;242;2593;3543>,<1221;1253;771;3342;493;3143>
2050,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2963;1221;1393;3342;2822;1394>,<493;1503;1423;333;3592;2073>
2051,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1303;1394;263;3342;242;2963>,<1231;2822;1241;741;2633;1313>
2052,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2683;493;2633;1231;2302;3342>,<2822;1172;3012;771;883;1503>
2053,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1903;2633;3293;3303;631;593>,<1253;1241;3342;1503;3592;3003>
2054,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1253;2822;3283;721;263;603>,<1394;3342;731;1231;631;3012>
2055,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1423;493;2302;2612;3003;593>,<1241;333;1293;731;1221;1893>
2056,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3283;721;593;2963;1241;3293>,<263;603;572;3592;242;3143>
2057,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1393;593;1082;3143;1172;1313>,<603;3303;1293;2683;712;1221>
2058,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1303;1841;1253;2233;1241;1423>,<3003;2073;1293;3012;721;1394>
2059,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2593;1231;2723;1903;593;493>,<883;1293;263;333;3303;2483>
2060,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3472;2873;1503;1394;3511;3353>,<2233;2822;3413;1231;2593;3283>
2061,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<3502;2683;2633;1423;1231;712>,<3353;2233;3432;3472;1221;3283>
2062,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2633;883;1841;3283;2891;771>,<3543;1394;2073;3432;3021;721>
2063,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<593;2233;1231;393;1893;1393>,<333;1303;731;1082;3511;2924>
2064,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<393;3143;1253;1394;2873;3293>,<3413;1813;2073;3592;603;2891>
2065,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1071;2924;3543;3432;3283;753>,<2233;1253;2683;3003;3511;631>
2066,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<572;631;2272;3303;2612;3021>,<3012;3353;1221;1253;1071;3472>
2067,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<2073;883;1241;263;3012;3342>,<1313;1221;731;3353;493;603>
2068,110,1,<16;17;18;19;20;21;22>,<19;20;21;22;23;24;25;26;27>,,<1841;1813;712;1253;2302;333>,<753;3432;3592;1503;242;3012>
2069,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1253;3511;3502;1503;712;1293>,<3021;572;3342;1303;2923;731>
2070,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<393;2483;493;1172;2923;2963>,<2683;3342;1071;2272;263;3472>
2071,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<3592;1082;1503;593;1313;3293>,<2612;3303;2891;2483;393;1172>
2072,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1313;1293;493;2923;3342;572>,<2302;1841;1071;1231;2073;712>
2073,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1231;3021;2873;2923;1253;631>,<1071;2272;3003;1503;1903;2683>
2074,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1841;3511;3472;2612;2873;2963>,<263;572;753;1423;1393;1231>
2075,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<3432;2073;3543;1813;2593;1082>,<1172;3511;603;3021;3353;3472>
2076,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1903;1293;3413;3283;593;753>,<2923;493;3592;2723;333;2873>
2077,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<2612;753;3342;333;2272;712>,<1082;2233;1221;603;2683;1172>
2078,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<3353;2923;721;1394;2723;1303>,<1423;1241;2233;3592;2633;3342>
2079,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<263;3012;771;3342;3021;3413>,<603;2483;3472;3283;1423;393>
2080,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1241;572;2612;1813;2233;1231>,<603;3293;731;2963;1893;3432>
2081,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<2593;2612;2683;3342;712;3283>,<2923;1253;3543;2233;2873;2924>
2082,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<3592;493;3511;2612;2923;1082>,<741;3283;2272;393;3021;2873>
2083,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1221;3012;1503;1903;3293;2683>,<883;3432;731;1253;2723;1231>
2084,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<721;731;1253;3353;3283;883>,<2891;2924;2822;2483;2723;3511>
2085,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1303;493;593;2822;1241;3003>,<2593;2073;1293;1221;2612;753>
2086,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<3143;572;1071;3543;2923;1893>,<3592;3003;1503;2073;393;2873>
2087,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1893;3472;1172;393;1221;3413>,<1303;3283;721;2073;3342;1903>
2088,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<3012;1241;2873;1253;572;2302>,<3592;2891;3021;3502;2963;1841>
2089,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<731;753;1293;2683;3021;1903>,<1394;1393;2923;883;3413;1172>
2090,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<741;2923;1903;631;1172;2924>,<1253;3592;333;493;3303;731>
2091,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<2873;3143;883;1841;3293;393>,<1303;572;3511;3003;1293;2923>
2092,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<3353;1903;1393;2633;771;1841>,<3012;572;2723;3502;493;721>
2093,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<2073;2233;1903;1293;393;2272>,<2923;1253;333;1231;3502;603>
2094,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1082;3511;1423;493;3543;2073>,<2612;3293;3283;1172;1231;1393>
2095,110,1,<16;17;18;19;20;21;22>,<10;11;12;13;14;15;16;17;18>,,<1253;3432;2483;3413;1313;3143>,<731;1221;3502;2723;1841;1394>
