变量名,hpC,skillLevel,starEnd,starStart,advanceEnd,advanceStart,fightEnd,fightStart,level,speedC,specialDefenceC,specialDamageC,defenceC,damageC
49,,69,9,8,13,12,540000,520000,69,1,1.3,1.3,1.3,1.3
50,,70,9,8,13,12,560000,540000,70,1,1.3,1.3,1.3,1.3
51,,71,9,8,14,13,580000,560000,71,1,1.3,1.3,1.3,1.3
52,,72,9,8,14,13,600000,580000,72,1,1.3,1.3,1.3,1.3
53,,73,9,8,14,13,620000,600000,73,1,1.3,1.3,1.3,1.3
54,,74,9,8,14,13,640000,620000,74,1,1.3,1.3,1.3,1.3
55,,75,9,8,14,13,660000,640000,75,1,1.3,1.3,1.3,1.3
56,,76,10,9,15,14,680000,660000,76,1,1.3,1.3,1.3,1.3
57,,77,10,9,15,14,700000,680000,77,1,1.3,1.3,1.3,1.3
58,,78,10,9,15,14,720000,700000,78,1,1.3,1.3,1.3,1.3
59,,79,10,9,15,14,740000,720000,79,1,1.3,1.3,1.3,1.3
60,,80,10,9,15,14,760000,740000,80,1,1.3,1.3,1.3,1.3
61,,81,10,9,16,15,780000,760000,81,1,1.3,1.3,1.3,1.3
62,,82,10,9,16,15,800000,780000,82,1,1.3,1.3,1.3,1.3
63,,83,10,9,16,15,820000,800000,83,1,1.3,1.3,1.3,1.3
64,,84,10,9,16,15,840000,820000,84,1,1.3,1.3,1.3,1.3
65,,85,10,9,16,15,860000,840000,85,1,1.3,1.3,1.3,1.3
66,,86,11,10,17,16,880000,860000,86,1,1.3,1.3,1.3,1.3
67,,87,11,10,17,16,900000,880000,87,1,1.3,1.3,1.3,1.3
68,,88,11,10,17,16,920000,900000,88,1,1.3,1.3,1.3,1.3
69,,89,11,10,17,16,940000,920000,89,1,1.3,1.3,1.3,1.3
70,,90,11,10,17,16,960000,940000,90,1,1.3,1.3,1.3,1.3
71,,91,11,10,18,17,980000,960000,91,1,1.3,1.3,1.3,1.3
72,,92,11,10,18,17,1000000,980000,92,1,1.3,1.3,1.3,1.3
73,,93,11,10,18,17,1020000,1000000,93,1,1.3,1.3,1.3,1.3
74,,94,11,10,18,17,1040000,1020000,94,1,1.3,1.3,1.3,1.3
75,,95,11,10,18,17,1060000,1040000,95,1,1.3,1.3,1.3,1.3
76,,96,12,11,19,18,1080000,1060000,96,1,1.3,1.3,1.3,1.3
77,,97,12,11,19,18,1100000,1080000,97,1,1.3,1.3,1.3,1.3
78,,98,12,11,19,18,1120000,1100000,98,1,1.3,1.3,1.3,1.3
79,,99,12,11,19,18,1140000,1120000,99,1,1.3,1.3,1.3,1.3
80,,100,12,11,19,18,1160000,1140000,100,1,1.3,1.3,1.3,1.3
81,,101,12,11,20,19,1200000,1160000,101,1,1.3,1.3,1.3,1.3
82,,102,12,11,20,19,1250000,1200000,102,1,1.3,1.3,1.3,1.3
83,,103,12,11,20,19,1300000,1250000,103,1,1.3,1.3,1.3,1.3
84,,104,12,11,20,19,1350000,1300000,104,1,1.3,1.3,1.3,1.3
85,,105,12,11,20,19,1400000,1350000,105,1,1.3,1.3,1.3,1.3
86,,106,12,11,20,19,1450000,1400000,106,1,1.3,1.3,1.3,1.3
87,,107,12,11,20,19,1500000,1450000,107,1,1.3,1.3,1.3,1.3
88,,108,12,11,20,19,1550000,1500000,108,1,1.3,1.3,1.3,1.3
89,,109,12,11,20,19,1600000,1550000,109,1,1.3,1.3,1.3,1.3
90,,109,12,11,20,19,9900000,1600000,109,1,1.3,1.3,1.3,1.3
