变量名,name,type,targetArg,isHidden,desc,targetType,languages,targetArg2,clientTaskArg,award
2004,,2,20,,Play 20 Grass-type Pokemon cards in total.,,,,{multiPlayCardN=<3;<4>>;sum=TRUE},{133=2;gold=100000;rmb=10}
2005,,2,20,,Play 20 equipment cards in total.,,,,{multiPlayCardN=<1;<2>>;sum=TRUE},{133=2;gold=100000;rmb=10}
2006,,2,20,,Play 20 event cards in total.,,,,{multiPlayCardN=<1;<3>>;sum=TRUE},{133=2;gold=100000;rmb=10}
2007,,2,2,,Take 1st place once.,2,,<1>,,{133=2;gold=100000;rmb=10}
2008,,2,3,,Earn 3 wins in total (top 3).,2,,<1;2;3>,,{133=2;gold=100000;rmb=10}
2009,,2,5,,Play 5 matches in total.,1,,,,{133=2;gold=100000;rmb=10}
2010,,2,2,,Earn 2 wins in a row (top 3).,3,,<1;2;3>,,{133=2;gold=100000;rmb=10}
2011,,2,10,,Actively use Trainer skills 10 times.,,,,{multiSkillN=1;sum=TRUE},{133=2;gold=100000;rmb=10}
2012,,2,20,,Buy 20 cards from the shop.,,,,{multiShopBuyN=<1;<1;2;3>>;sum=TRUE},{133=2;gold=100000;rmb=10}
2013,,2,100,,Spend 100 Coins in total.,,,,{sum=TRUE;useGoldN=1},{133=2;gold=100000;rmb=10}
2014,,2,70,,Deal 70 damage to opposing Trainers in total.,,,,{multiTotalDmgN=1;sum=TRUE},{133=2;gold=100000;rmb=10}
2015,,2,5,,Defeat opponents 5 times during rounds in total.,,,,{multiFightResultN=<<1>>;sum=TRUE},{133=2;gold=100000;rmb=10}
2016,,2,20,,Promote Pokemon 20 times in total.,,,,{riseStarN=<<2;4>>;sum=TRUE},{133=2;gold=100000;rmb=10}
2017,,2,30,,Defeat 30 opposing Pokemon in total.,,,,{multiKillObjN=1;sum=TRUE},{133=2;gold=100000;rmb=10}
