变量名,spineRes,unlockType2,unlockType1,levelUpCostTime,name,res,open,desc,level,buildType,buildID,levelUpCost,unlockParams1,unlockParams2,relicTabPos,touchSize,languages
20,,1,1,680000,市中心,city/town/map/building/6_2.png,,一座超级城市已经赫然成形了，这里海纳百川，人们和有着千奇百怪性格的精灵们在这里融洽的相处，共同生活与工作；这里物价不高，金融银行稳健发展保证了经济稳定；这里仍然在继续高速发展着,20,1,1,{8202=3960000;8203=3960000;gold=5400000},<3;19>,<4;19>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;99>>,
101,,,1,,我的小屋,city/town/map/building/11.png,,,,2,2,,<1;4>,,,<<108;-28>;<311;71>;<229;140>;<116;276>;<23;246>;<-19;152>;<-117;70>>,
102,,2,1,36000,我的小屋,city/town/map/building/11.png,,,2,2,2,{8202=18900;8203=15100;coin16=100},<1;6>,<5>,,<<108;-28>;<311;71>;<229;140>;<116;276>;<23;246>;<-19;152>;<-117;70>>,
103,,2,1,48000,我的小屋,city/town/map/building/11.png,,,3,2,2,{8202=40900;8203=32700;coin16=200},<1;8>,<10>,,<<108;-28>;<311;71>;<229;140>;<116;276>;<23;246>;<-19;152>;<-117;70>>,
104,,2,1,60000,我的小屋,city/town/map/building/11.png,,,4,2,2,{8202=88300;8203=70600;coin16=300},<1;10>,<15>,,<<108;-28>;<311;71>;<229;140>;<116;276>;<23;246>;<-19;152>;<-117;70>>,
105,,2,1,72000,我的小屋,city/town/map/building/11.png,,,5,2,2,{8202=124700;8203=99800;coin16=500},<1;12>,<20>,,<<108;-28>;<311;71>;<229;140>;<116;276>;<23;246>;<-19;152>;<-117;70>>,
106,,2,1,96000,我的小屋,city/town/map/building/11.png,,,6,2,2,{8202=222100;8203=177700;coin16=700},<1;14>,<25>,,<<108;-28>;<311;71>;<229;140>;<116;276>;<23;246>;<-19;152>;<-117;70>>,
301,townbuilding/1gongchang.skel,,,,炼金厂,city/town/map/building/18.png,,,,3,3,,,,,<<87;-22>;<249;66>;<198;133>;<117;177>;<-59;87>;<-64;56>>,
302,townbuilding/1gongchang.skel,,1,10,炼金厂,city/town/map/building/18.png,,,2,3,3,{8202=30;gold=100000},<1;2>,,,<<87;-22>;<249;66>;<198;133>;<117;177>;<-59;87>;<-64;56>>,
303,townbuilding/1gongchang.skel,,1,30,炼金厂,city/town/map/building/18.png,,,3,3,3,{8202=63;gold=200000},<1;3>,,,<<87;-22>;<249;66>;<198;133>;<117;177>;<-59;87>;<-64;56>>,
304,townbuilding/1gongchang.skel,,1,120,炼金厂,city/town/map/building/18.png,,,4,3,3,{8202=80;gold=300000},<1;4>,,,<<87;-22>;<249;66>;<198;133>;<117;177>;<-59;87>;<-64;56>>,
305,townbuilding/1gongchang.skel,,1,540,炼金厂,city/town/map/building/18.png,,,5,3,3,{8202=150;gold=400000},<1;5>,,,<<87;-22>;<249;66>;<198;133>;<117;177>;<-59;87>;<-64;56>>,
306,townbuilding/2gongchang.skel,,1,1320,炼金厂,city/town/map/building/18_1.png,,,6,3,3,{8202=1095;gold=500000},<1;6>,,,<<-72;56>;<-53;102>;<112;191>;<222;146>;<228;89>;<272;60>;<92;-32>>,
307,townbuilding/2gongchang.skel,,1,2860,炼金厂,city/town/map/building/18_1.png,,,7,3,3,{8202=3810;gold=600000},<1;7>,,,<<-72;56>;<-53;102>;<112;191>;<222;146>;<228;89>;<272;60>;<92;-32>>,
308,townbuilding/2gongchang.skel,,1,4800,炼金厂,city/town/map/building/18_1.png,,,8,3,3,{8202=14400;gold=700000},<1;8>,,,<<-72;56>;<-53;102>;<112;191>;<222;146>;<228;89>;<272;60>;<92;-32>>,
309,townbuilding/2gongchang.skel,,1,6500,炼金厂,city/town/map/building/18_1.png,,,9,3,3,{8202=16650;gold=800000},<1;9>,,,<<-72;56>;<-53;102>;<112;191>;<222;146>;<228;89>;<272;60>;<92;-32>>,
310,townbuilding/2gongchang.skel,,1,8120,炼金厂,city/town/map/building/18_1.png,,,10,3,3,{8202=19800;gold=900000},<1;10>,,,<<-72;56>;<-53;102>;<112;191>;<222;146>;<228;89>;<272;60>;<92;-32>>,
311,townbuilding/3gongchang.skel,,1,9600,炼金厂,city/town/map/building/18_2.png,,,11,3,3,{8202=27900;gold=1000000},<1;11>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
312,townbuilding/3gongchang.skel,,1,10800,炼金厂,city/town/map/building/18_2.png,,,12,3,3,{8202=32400;gold=1100000},<1;12>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
313,townbuilding/3gongchang.skel,,1,12000,炼金厂,city/town/map/building/18_2.png,,,13,3,3,{8202=52650;gold=1200000},<1;13>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
314,townbuilding/3gongchang.skel,,1,13200,炼金厂,city/town/map/building/18_2.png,,,14,3,3,{8202=67500;gold=1300000},<1;14>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
315,townbuilding/3gongchang.skel,,1,14400,炼金厂,city/town/map/building/18_2.png,,,15,3,3,{8202=83250;gold=1400000},<1;15>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
316,townbuilding/3gongchang.skel,,1,15600,炼金厂,city/town/map/building/18_2.png,,,16,3,3,{8202=99000;gold=1500000},<1;16>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
317,townbuilding/3gongchang.skel,,1,16800,炼金厂,city/town/map/building/18_2.png,,,17,3,3,{8202=153000;gold=1600000},<1;17>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
318,townbuilding/3gongchang.skel,,1,18000,炼金厂,city/town/map/building/18_2.png,,,18,3,3,{8202=389250;gold=1700000},<1;18>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
319,townbuilding/3gongchang.skel,,1,19200,炼金厂,city/town/map/building/18_2.png,,,19,3,3,{8202=742500;gold=1800000},<1;19>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
320,townbuilding/3gongchang.skel,,1,20400,炼金厂,city/town/map/building/18_2.png,,,20,3,3,{8202=990000;gold=1800000},<1;20>,,,<<95;-45>;<292;67>;<213;142>;<126;200>;<-122;59>>,
401,townbuilding/1famuchang.skel,,,,伐木场,city/town/map/building/2.png,,,,4,4,,,,,<<91;-28>;<221;40>;<145;127>;<98;145>;<-24;60>>,
402,townbuilding/1famuchang.skel,,1,10,伐木场,city/town/map/building/2.png,,,2,4,4,{8203=30;gold=100000},<1;2>,,,<<91;-28>;<221;40>;<145;127>;<98;145>;<-24;60>>,
403,townbuilding/1famuchang.skel,,1,30,伐木场,city/town/map/building/2.png,,,3,4,4,{8203=63;gold=200000},<1;3>,,,<<91;-28>;<221;40>;<145;127>;<98;145>;<-24;60>>,
404,townbuilding/1famuchang.skel,,1,120,伐木场,city/town/map/building/2.png,,,4,4,4,{8203=80;gold=300000},<1;4>,,,<<91;-28>;<221;40>;<145;127>;<98;145>;<-24;60>>,
405,townbuilding/1famuchang.skel,,1,540,伐木场,city/town/map/building/2.png,,,5,4,4,{8203=150;gold=400000},<1;5>,,,<<91;-28>;<221;40>;<145;127>;<98;145>;<-24;60>>,
406,townbuilding/2fmc.skel,,1,1320,伐木场,city/town/map/building/2_1.png,,,6,4,4,{8203=1095;gold=500000},<1;6>,,,<<-10;34>;<14;59>;<2;89>;<77;145>;<123;140>;<167;94>;<174;125>;<219;105>;<221;43>;<115;-26>>,
407,townbuilding/2fmc.skel,,1,2860,伐木场,city/town/map/building/2_1.png,,,7,4,4,{8203=3810;gold=600000},<1;7>,,,<<-10;34>;<14;59>;<2;89>;<77;145>;<123;140>;<167;94>;<174;125>;<219;105>;<221;43>;<115;-26>>,
408,townbuilding/2fmc.skel,,1,4800,伐木场,city/town/map/building/2_1.png,,,8,4,4,{8203=14400;gold=700000},<1;8>,,,<<-10;34>;<14;59>;<2;89>;<77;145>;<123;140>;<167;94>;<174;125>;<219;105>;<221;43>;<115;-26>>,
409,townbuilding/2fmc.skel,,1,6500,伐木场,city/town/map/building/2_1.png,,,9,4,4,{8203=16650;gold=800000},<1;9>,,,<<-10;34>;<14;59>;<2;89>;<77;145>;<123;140>;<167;94>;<174;125>;<219;105>;<221;43>;<115;-26>>,
410,townbuilding/2fmc.skel,,1,8120,伐木场,city/town/map/building/2_1.png,,,10,4,4,{8203=19800;gold=900000},<1;10>,,,<<-10;34>;<14;59>;<2;89>;<77;145>;<123;140>;<167;94>;<174;125>;<219;105>;<221;43>;<115;-26>>,
411,townbuilding/3famuchang.skel,,1,9600,伐木场,city/town/map/building/2_2.png,,,11,4,4,{8203=27900;gold=1000000},<1;11>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
412,townbuilding/3famuchang.skel,,1,10800,伐木场,city/town/map/building/2_2.png,,,12,4,4,{8203=32400;gold=1100000},<1;12>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
413,townbuilding/3famuchang.skel,,1,12000,伐木场,city/town/map/building/2_2.png,,,13,4,4,{8203=52650;gold=1200000},<1;13>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
414,townbuilding/3famuchang.skel,,1,13200,伐木场,city/town/map/building/2_2.png,,,14,4,4,{8203=67500;gold=1300000},<1;14>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
415,townbuilding/3famuchang.skel,,1,14400,伐木场,city/town/map/building/2_2.png,,,15,4,4,{8203=83250;gold=1400000},<1;15>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
416,townbuilding/3famuchang.skel,,1,15600,伐木场,city/town/map/building/2_2.png,,,16,4,4,{8203=99000;gold=1500000},<1;16>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
417,townbuilding/3famuchang.skel,,1,16800,伐木场,city/town/map/building/2_2.png,,,17,4,4,{8203=153000;gold=1600000},<1;17>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
418,townbuilding/3famuchang.skel,,1,18000,伐木场,city/town/map/building/2_2.png,,,18,4,4,{8203=389250;gold=1700000},<1;18>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
419,townbuilding/3famuchang.skel,,1,19200,伐木场,city/town/map/building/2_2.png,,,19,4,4,{8203=742500;gold=1800000},<1;19>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
420,townbuilding/3famuchang.skel,,1,20400,伐木场,city/town/map/building/2_2.png,,,20,4,4,{8203=990000;gold=1800000},<1;20>,,,<<87;-38>;<263;50>;<248;100>;<178;139>;<124;177>;<105;207>;<32;153>;<-8;110>;<-92;68>>,
501,townbuilding/tangguowu1.skel,,1,,甜品站,city/town/map/building/7.png,,,,5,5,,<1;7>,,,<<124;-43>;<272;31>;<261;75>;<191;148>;<104;125>;<90;182>;<45;168>;<43;74>;<-11;25>>,
502,townbuilding/tangguowu1.skel,,1,9600,甜品站,city/town/map/building/7.png,,,2,5,5,{8202=21600;8203=21600;gold=500000},<1;8>,,,<<124;-43>;<272;31>;<261;75>;<191;148>;<104;125>;<90;182>;<45;168>;<43;74>;<-11;25>>,
503,townbuilding/tangguowu1.skel,,1,13000,甜品站,city/town/map/building/7.png,,,3,5,5,{8202=37500;8203=37500;gold=650000},<1;9>,,,<<124;-43>;<272;31>;<261;75>;<191;148>;<104;125>;<90;182>;<45;168>;<43;74>;<-11;25>>,
504,townbuilding/tangguowu1.skel,,1,16240,甜品站,city/town/map/building/7.png,,,4,5,5,{8202=43100;8203=43100;gold=800000},<1;10>,,,<<124;-43>;<272;31>;<261;75>;<191;148>;<104;125>;<90;182>;<45;168>;<43;74>;<-11;25>>,
505,townbuilding/tangguowu1.skel,,1,19200,甜品站,city/town/map/building/7.png,,,5,5,5,{8202=58600;8203=58600;gold=950000},<1;11>,,,<<124;-43>;<272;31>;<261;75>;<191;148>;<104;125>;<90;182>;<45;168>;<43;74>;<-11;25>>,
506,townbuilding/2tangguowu.skel,,1,21600,甜品站,city/town/map/building/7_1.png,,,6,5,5,{8202=65600;8203=65600;gold=1100000},<1;12>,,,<<123;-44>;<256;23>;<237;89>;<161;150>;<122;165>;<54;116>;<25;93>;<20;60>;<-14;28>>,
507,townbuilding/2tangguowu.skel,,1,24000,甜品站,city/town/map/building/7_1.png,,,7,5,5,{8202=102700;8203=102700;gold=1250000},<1;13>,,,<<123;-44>;<256;23>;<237;89>;<161;150>;<122;165>;<54;116>;<25;93>;<20;60>;<-14;28>>,
508,townbuilding/2tangguowu.skel,,1,26400,甜品站,city/town/map/building/7_1.png,,,8,5,5,{8202=126600;8203=126600;gold=1400000},<1;14>,,,<<123;-44>;<256;23>;<237;89>;<161;150>;<122;165>;<54;116>;<25;93>;<20;60>;<-14;28>>,
509,townbuilding/2tangguowu.skel,,1,28800,甜品站,city/town/map/building/7_1.png,,,9,5,5,{8202=149900;8203=149900;gold=1550000},<1;15>,,,<<123;-44>;<256;23>;<237;89>;<161;150>;<122;165>;<54;116>;<25;93>;<20;60>;<-14;28>>,
510,townbuilding/2tangguowu.skel,,1,31200,甜品站,city/town/map/building/7_1.png,,,10,5,5,{8202=170800;8203=170800;gold=1700000},<1;16>,,,<<123;-44>;<256;23>;<237;89>;<161;150>;<122;165>;<54;116>;<25;93>;<20;60>;<-14;28>>,
511,townbuilding/tangguowu3.skel,,1,33600,甜品站,city/town/map/building/7_2.png,,,11,5,5,{8202=252500;8203=252500;gold=1850000},<1;17>,,,<<80;-57>;<252;26>;<203;111>;<141;141>;<90;212>;<4;153>;<-48;82>;<-100;31>>,
512,townbuilding/tangguowu3.skel,,1,36000,甜品站,city/town/map/building/7_2.png,,,12,5,5,{8202=613100;8203=613100;gold=2000000},<1;18>,,,<<80;-57>;<252;26>;<203;111>;<141;141>;<90;212>;<4;153>;<-48;82>;<-100;31>>,
513,townbuilding/tangguowu3.skel,,1,38400,甜品站,city/town/map/building/7_2.png,,,13,5,5,{8202=1113800;8203=1113800;gold=2150000},<1;19>,,,<<80;-57>;<252;26>;<203;111>;<141;141>;<90;212>;<4;153>;<-48;82>;<-100;31>>,
514,townbuilding/tangguowu3.skel,,1,40800,甜品站,city/town/map/building/7_2.png,,,14,5,5,{8202=1410800;8203=1410800;gold=2300000},<1;20>,,,<<80;-57>;<252;26>;<203;111>;<141;141>;<90;212>;<4;153>;<-48;82>;<-100;31>>,
601,townbuilding/yinghang1.skel,,1,,金融银行,city/town/map/building/14.png,,,,6,6,,<1;4>,,,<<36;48>;<12;129>;<102;181>;<229;102>;<227;28>;<143;-11>>,
602,townbuilding/yinghang1.skel,,,30,金融银行,city/town/map/building/14.png,,,2,6,6,{8202=35;8203=55;gold=100000},,,,<<36;48>;<12;129>;<102;181>;<229;102>;<227;28>;<143;-11>>,
603,townbuilding/yinghang1.skel,,,90,金融银行,city/town/map/building/14.png,,,3,6,6,{8202=65;8203=100;gold=200000},,,,<<36;48>;<12;129>;<102;181>;<229;102>;<227;28>;<143;-11>>,
604,townbuilding/yinghang1.skel,,,360,金融银行,city/town/map/building/14.png,,,4,6,6,{8202=705;8203=1060;gold=300000},,,,<<36;48>;<12;129>;<102;181>;<229;102>;<227;28>;<143;-11>>,
605,townbuilding/yinghang1.skel,,1,1620,金融银行,city/town/map/building/14.png,,,5,6,6,{8202=2230;8203=3350;gold=400000},<1;5>,,,<<36;48>;<12;129>;<102;181>;<229;102>;<227;28>;<143;-11>>,
606,townbuilding/2yinhang.skel,,1,3960,金融银行,city/town/map/building/14_1.png,,,6,6,6,{8202=7120;8203=10680;gold=500000},<1;6>,,,<<175;-24>;<272;22>;<264;195>;<115;275>;<10;183>;<34;51>>,
607,townbuilding/2yinhang.skel,,1,8580,金融银行,city/town/map/building/14_1.png,,,7,6,6,{8202=17300;8203=25900;gold=600000},<1;7>,,,<<175;-24>;<272;22>;<264;195>;<115;275>;<10;183>;<34;51>>,
608,townbuilding/2yinhang.skel,,1,14400,金融银行,city/town/map/building/14_1.png,,,8,6,6,{8202=33000;8203=49500;gold=700000},<1;8>,,,<<175;-24>;<272;22>;<264;195>;<115;275>;<10;183>;<34;51>>,
609,townbuilding/2yinhang.skel,,1,19500,金融银行,city/town/map/building/14_1.png,,,9,6,6,{8202=38300;8203=57400;gold=800000},<1;9>,,,<<175;-24>;<272;22>;<264;195>;<115;275>;<10;183>;<34;51>>,
610,townbuilding/2yinhang.skel,,1,24360,金融银行,city/town/map/building/14_1.png,,,10,6,6,{8202=52500;8203=78800;gold=900000},<1;10>,,,<<175;-24>;<272;22>;<264;195>;<115;275>;<10;183>;<34;51>>,
611,townbuilding/3yinhang.skel,,1,28800,金融银行,city/town/map/building/14_2.png,,,11,6,6,{8202=59300;8203=89000;gold=1000000},<1;11>,,,<<8;73>;<210;-12>;<259;6>;<267;61>;<228;107>;<215;162>;<115;243>;<65;178>;<0;148>>,
612,townbuilding/3yinhang.skel,,1,32400,金融银行,city/town/map/building/14_2.png,,,12,6,6,{8202=93700;8203=140500;gold=1100000},<1;12>,,,<<8;73>;<210;-12>;<259;6>;<267;61>;<228;107>;<215;162>;<115;243>;<65;178>;<0;148>>,
613,townbuilding/3yinhang.skel,,1,36000,金融银行,city/town/map/building/14_2.png,,,13,6,6,{8202=116500;8203=174700;gold=1200000},<1;13>,,,<<8;73>;<210;-12>;<259;6>;<267;61>;<228;107>;<215;162>;<115;243>;<65;178>;<0;148>>,
614,townbuilding/3yinhang.skel,,1,39600,金融银行,city/town/map/building/14_2.png,,,14,6,6,{8202=139100;8203=208700;gold=1300000},<1;14>,,,<<8;73>;<210;-12>;<259;6>;<267;61>;<228;107>;<215;162>;<115;243>;<65;178>;<0;148>>,
