变量名,energyExpend,efficient,item,inventory,slotCapacityAdd,slotTimeAdd,showRes,orderCostTime,slotStockAdd,baseID,unlockSeat,level,orderCostItem
904,21,180,8202,2600,3.6,,city/town/basebuilding/img_td.png,,52,9,1,4,
905,22,220,8202,3100,4.4,,city/town/basebuilding/img_td.png,,62,9,1,5,
906,22,260,8202,3600,5.2,,city/town/basebuilding/img_td.png,,72,9,2,6,
907,23,340,8202,4700,6.8,,city/town/basebuilding/img_td.png,,94,9,2,7,
908,23,420,8202,5700,8.4,,city/town/basebuilding/img_td.png,,114,9,2,8,
909,24,500,8202,6700,10,,city/town/basebuilding/img_td.png,,134,9,2,9,
910,24,580,8202,7700,11.6,,city/town/basebuilding/img_td.png,,154,9,,10,
911,25,660,8202,8600,13.2,,city/town/basebuilding/img_td.png,,172,9,,11,
912,25,820,8202,10500,16.4,,city/town/basebuilding/img_td.png,,210,9,,12,
913,26,980,8202,12300,19.6,,city/town/basebuilding/img_td.png,,246,9,,13,
914,26,1140,8202,14100,22.8,,city/town/basebuilding/img_td.png,,282,9,,14,
915,27,1300,8202,15900,26,,city/town/basebuilding/img_td.png,,318,9,,15,
916,27,1460,8202,17500,29.2,,city/town/basebuilding/img_td.png,,350,9,,16,
917,28,1780,8202,21000,35.6,,city/town/basebuilding/img_td.png,,420,9,,17,
918,28,2100,8202,24400,42,,city/town/basebuilding/img_td.png,,488,9,,18,
919,29,2420,8202,27600,48.4,,city/town/basebuilding/img_td.png,,552,9,,19,
920,29,2740,8202,30700,54.8,,city/town/basebuilding/img_td.png,,614,9,,20,
