变量名,res2,expAdd,icon,repeatExpAdd,desc,spineRes,startResScale,quality,type,position,series,currentNum,res,showTest,decorativeness,floorStackMax,stackMax,spineRes2,name,repeatDecorateProp,spineData,attr,size,startPos,touchSize,startPos2,touchSize2,treadArea,relSize,languages
70510,,310,config/item/furniture/icon_ditan5.png,150,它已经厚实到掉了东西在毯子上的时候，可能会被长长的绒毛淹没以致于一时半会找不到的程度了,,1.9,1,,,124,,city/town/furniture/ditan/img_ditan5.png,,54,1,3,,厚绒格子方毯,,,{flip=TRUE},{height=4;width=6},{x=-426;y=10},<<215;5>;<367;84>;<147;198>;<2;118>>,,,,,
70511,,375,config/item/furniture/icon_hailangditan.png,180,夏日·季节限定哦！把美好夏日的朵朵浪花定格在一瞬间摆设在家里~,,,1,,,126,,city/town/furniture/ditan/img_hailangditan.png,,54,1,3,,浪花朵朵,,,{flip=TRUE},{height=9;width=3},{x=-202;y=98},<<1;14>;<341;185>;<351;137>;<331;95>;<213;26>;<133;3>>,,,,,<cn;tw;en;en_eu;en_us;kr>
70512,,200,config/item/furniture/icon_ditan8.png,,好像是能闻到一阵阵花香呢~[吸鼻子],,1.8,,,,135,,city/town/furniture/ditan/img_ditan8.png,,37,1,1,,大季花绒毯,,,{flip=TRUE},{height=4;width=6},{x=-458;y=-4},<<256;3>;<426;94>;<164;223>;<0;135>>,,,,,<cn;en;tw;kr;en_us>
70513,,80,config/item/furniture/icon_ditan6.png,40,地毯样式一点不出挑，简单直接的设计与任何风格的家居都能融合的很好,,,,,,137,,city/town/furniture/ditan/img_ditan6.png,,19,1,3,,极简线与面,,,{flip=TRUE},{height=4;width=7},{x=-537;y=9},<<267;2>;<416;77>;<149;209>;<-1;135>>,,,,,
70514,,95,config/item/furniture/icon_didian.png,45,别担心别担心，不会发生每购买一张毯子就会有一只爱心鱼被烙在上边这种事情的,,2.15,,,,139,,city/town/furniture/ditan/img_didian.png,,27,1,3,,爱心毯,,,{flip=TRUE},{height=3;width=3},{x=-140;y=31},<<1;28>;<46;3>;<105;7>;<127;48>;<90;75>;<18;68>>,,,,,
70515,,25,config/item/furniture/icon_ditan7.png,10,毯子很有厚度，绵软的麻线紧密的缠绕在一起，坐上去很舒服，嗯……魔法！一定是魔法的缘故！,,1.91,,,,,,city/town/furniture/ditan/img_ditan7.png,,42,1,3,,手工厚织毯,,,{flip=TRUE},{height=6;width=7},{x=-498;y=14},<<264;10>;<477;120>;<210;260>;<4;143>>,,,,,
71001,,,config/item/furniture/icon_qiangzhi.png,,平日里最稀松平常的样式，充满了生活气息,,,,201,,,,town/wall71001.tmx,,7,1,1,,湖蓝墙纸,,,,{height=5;width=12},,,,,,,
71002,,175,config/item/furniture/icon_qiangzhi1.png,,像住在夜空繁星的怀抱里,,,1,201,,125,,town/wall71002.tmx,,20,1,1,,星空壁纸,,,,{height=5;width=12},,,,,,,
71003,,160,config/item/furniture/icon_qiangzhi2.png,,夏日·季节限定哦！好像在海边隔着一道一望无际的海平面遥望着太阳升起一样,,,,201,,,,town/wall71003.tmx,,11,1,1,,旭日初升,,,,{height=5;width=12},,,,,,,<cn;tw;en;en_eu;en_us;kr>
71004,,80,config/item/furniture/icon_qiangzhi3.png,,这南瓜诡异咧开的嘴巴倒很符合节日的气氛，要是…哼哼，墙面印花是荧光的就好啦！,,,,201,,128,,town/wall71004.tmx,,41,1,1,,南瓜笑脸,,,,{height=5;width=12},,,,,,,<cn;tw;en;en_us;en_eu;kr>
71005,,65,config/item/furniture/icon_qiangzhi4.png,,整间屋子好像是被装扮好的超大礼物盒一样，闪闪亮的可真好看啊！,townfurniture/shengdanjiayuan_xiaowu.skel,,1,201,,,,town/wall71005.tmx,,23,1,1,,绚丽墙纸,,{effect_loop=<effect_loop>;size={width=300;height=200}},,{height=5;width=12},,,,,,,<cn;tw;en;en_us;en_eu;kr>
71006,,240,config/item/furniture/icon_qiangzhi5.png,,蓝蓝的天上白云挂，就像是童年每次郊游时的天气一样，总是令人陷入回忆,,,,201,,,,town/wall71006.tmx,,17,1,1,,蓝天白云,,,,{height=5;width=12},,,,,,,
71501,,210,config/item/furniture/icon_chugui2.png,100,采用壁挂的方式，更方便拿取，也节省了空间,,,,202,,103,,city/town/furniture/gongnengsheshi/img_chugui2.png,,23,1,3,,碗碟放置柜,,,{flip=TRUE;right=TRUE},{height=5;width=4},{x=-384;y=180},<<5;68>;<0;114>;<42;128>;<158;91>;<182;51>;<164;4>>,,,,,
71502,,90,config/item/furniture/icon_chugui3.png,40,小小的柜子，可是能容纳不少东西的,,,,202,,103,,city/town/furniture/gongnengsheshi/img_chugui3.png,,16,2,5,,杂物壁挂柜,<1;0.2>,,{flip=TRUE;right=TRUE},{height=5;width=2},{x=-218;y=218},<<3;27>;<66;1>;<100;10>;<103;56>;<37;88>;<0;65>>,,,,,
71503,,145,config/item/furniture/icon_shuji.png,65,原木的颜色，仔细看还能看见架子上木头的年轮，很有大自然的感觉,,,,202,,107,,city/town/furniture/gongnengsheshi/img_shuji.png,,17,2,5,,壁挂简约木架,<1;0.2>,,{flip=TRUE;right=TRUE},{height=5;width=3},{x=-260;y=179},<<0;50>;<15;120>;<114;72>;<100;6>>,,,,,
71504,,120,config/item/furniture/icon_shujia.png,55,错落有致的位置搭配，加上柜子的多色彩，让整个墙面都明亮了起来,,,,202,,106,,city/town/furniture/gongnengsheshi/img_shujia.png,,18,2,5,,多彩吊柜,<1;0.2>,,{flip=TRUE;right=TRUE},{height=5;width=3},{x=-255;y=186},<<0;34>;<3;79>;<72;107>;<120;43>;<92;3>>,,,,,
71505,,435,config/item/furniture/icon_bilu.png,210,在冬天的时候使用，可以让人寸步不离的乖乖呆在旁边,,1.98,1,202,,109,,city/town/furniture/gongnengsheshi/img_bilu.png,,56,1,3,,温暖壁炉,,,{flip=TRUE;right=TRUE},{height=5;width=4},{x=-359;y=-18},<<21;58>;<2;175>;<65;236>;<160;182>;<164;17>;<97;4>>,,,,,
71506,,55,config/item/furniture/icon_deng.png,25,像一颗在深蓝天空中一闪一闪的启明星一样,,,,202,,125,,city/town/furniture/gongnengsheshi/img_deng.png,,15,2,6,,壁挂星星灯,<1;0.2>,,{flip=TRUE;right=TRUE},{height=5;width=1},{x=-125;y=255},<<54;10>;<32;2>;<0;3>;<1;43>;<48;44>>,,,,,
71507,,310,config/item/furniture/icon_bichu1.png,150,墙面里的神奇收纳空间，各式衣物按颜色整齐的摆放，看着都觉得赏心悦目的,,1.97,1,202,,121,,city/town/furniture/gongnengsheshi/img_bichu1.png,,20,1,3,,嵌入式衣橱,,,{flip=TRUE;right=TRUE},{height=5;width=2},{x=-172;y=-7},<<2;42>;<85;4>;<88;143>;<52;184>;<1;174>>,,,,,
71508,,210,config/item/furniture/icon_guizi4.png,100,植物架上不再是只有青葱的绿色，还有各种深潜不一的黄色植物，与外面秋景很是呼应,,,,202,,137,,city/town/furniture/gongnengsheshi/img_guizi.png,,23,1,3,,壁挂植物架,,,{flip=TRUE;right=TRUE},{height=5;width=2},{x=-215;y=220},<<81;3>;<107;14>;<106;49>;<28;88>;<1;72>;<1;34>>,,,,,
71509,,95,config/item/furniture/icon_chufanggui.png,45,虽然柜子层层叠叠的又很深，取放东西不是十分方便，但是可以放下很多东西，囤物星人的福音,,,,202,,137,,city/town/furniture/gongnengsheshi/img_chufanggui.png,,17,1,3,,多层收纳橱柜,,,{flip=TRUE;right=TRUE},{height=5;width=3},{x=-263;y=226},<<92;2>;<119;15>;<117;53>;<26;99>;<-1;86>;<3;41>>,,,,,
71510,,155,config/item/furniture/icon_zhong.png,75,从造型上看，应该是一个在万圣节狂吃糖果后变得胖胖的猫头鹰,,1.85,,202,,130,,city/town/furniture/gongnengsheshi/img_zhong.png,,38,1,3,,猫头鹰摆钟,,,{flip=TRUE;right=TRUE},{height=5;width=2},{x=-158;y=167},<<43;0>;<72;41>;<81;61>;<44;117>;<1;102>;<32;13>>,,,,,<cn;tw;en;en_us;en_eu;kr>
71511,,310,config/item/furniture/icon_bigui.png,150,书柜的原木被涂上了深夜黑与静谧蓝，中间还煞有其事的放了一个南瓜笑脸，诡异的风格很适合万圣节使用,,1.98,1,202,,128,,city/town/furniture/gongnengsheshi/img_bigui.png,,41,1,3,,南瓜灯展柜,,,{flip=TRUE;right=TRUE},{height=5;width=7},{x=-555;y=5},<<262;-1>;<280;212>;<3;342>;<4;126>>,,,,,<cn;tw;en;en_us;en_eu;kr>
71512,,70,config/item/furniture/icon_denglong.png,30,大大的灯笼高高挂，呼朋唤友过新年啦！,,,,202,,133,,city/town/furniture/gongnengsheshi/img_denglong.png,,11,2,5,,仿古式灯笼,<1;0.2>,,{flip=TRUE;right=TRUE},{height=5;width=1},{x=-102;y=99},<<0;2>;<20;1>;<24;67>;<34;67>;<34;110>;<1;111>>,,,,,<cn;tw;en;en_us;en_eu;kr>
71513,,95,config/item/furniture/icon_zhongbiao.png,45,布谷布谷的钟声可比叮叮叮的闹铃悦耳多了,,,,202,,,,city/town/furniture/gongnengsheshi/img_zhongbiao.png,,17,1,3,,布谷鸟挂钟,,,{flip=TRUE;right=TRUE},{height=5;width=1},{x=-89;y=182},<<25;6>;<41;30>;<44;56>;<30;82>;<3;67>;<3;39>>,,,,,
72001,,205,config/item/furniture/icon_chuanghu1.png,80,皮卡丘表示很喜欢站在这里晒太阳,,,1,203,,105,,city/town/furniture/menchuang/img_chuanghu1.png,,21,,8,,阳光窗台,<1;0.4;0.2>,,{flip=TRUE;right=TRUE},{height=5;width=3},{x=-240;y=12},<<0;50>;<108;7>;<114;178>;<2;232>>,,,,,
72002,,45,config/item/furniture/icon_damen.png,20,非常厚实的铁质大门，门上还用了精灵贴纸进行装饰,,,,203,,,,city/town/furniture/menchuang/img_damen.png,,7,1,3,,铁质大门,,,{flip=TRUE;right=TRUE},{height=5;width=3},{x=-222;y=17},<<4;43>;<86;3>;<87;180>;<24;216>;<0;200>>,,,,,
72003,,25,config/item/furniture/icon_chuanghu.png,10,一扇小窗户，不带窗帘的设计可以使阳光更好的透进小屋内,,,,203,,115,,city/town/furniture/menchuang/img_chuanghu.png,,7,,8,,木质窗户,<1;0.2;0.1>,,{flip=TRUE;right=TRUE},{height=5;width=2},{x=-140;y=137},<<0;28>;<56;3>;<55;122>;<1;132>>,,,,,
72004,,290,config/item/furniture/icon_qiangti.png,140,在冬日有太阳的时候坐在窗台的软垫上，边看书边喝茶，真实惬意极了！,,1.95,1,203,,112,,city/town/furniture/menchuang/img_qiangti.png,,24,1,3,,超大飘窗,,,{flip=TRUE;right=TRUE},{height=5;width=8},{x=-633;y=3},<<3;148>;<299;2>;<308;221>;<6;368>>,,,,,
72005,,375,config/item/furniture/icon_chuanghu2.png,180,按照大门的样式做的窗户，透光率特别好，但是……千万不能当做门哦,,1.85,1,203,,122,,city/town/furniture/menchuang/img_chuanghu2.png,,38,1,3,,全明复古窗门,,,{flip=TRUE;right=TRUE},{height=5;width=6},{x=-491;y=-14},<<254;218>;<26;331>;<0;127>;<252;3>>,,,,,
72006,,310,config/item/furniture/icon_yangtai.png,150,枕着窗外美景入梦,,,,203,,122,,city/town/furniture/menchuang/img_yangtai.png,,44,1,3,,舒适飘窗,,,{flip=TRUE;right=TRUE},{height=5;width=5},{x=-393;y=6},<<2;88>;<164;2>;<186;11>;<169;179>;<43;239>;<13;207>>,,,,,
72007,,25,config/item/furniture/icon_chuanghu3.png,10,黑色的实木拼接而成一个个菱形的窗格，虽然有一些遮挡光线，但是微微的眼光从格子中透出很好看，适合安装在卧室中,,1.65,,203,,129,,city/town/furniture/menchuang/img_chuang.png,,16,,8,,菱形窗格,<1;0.3;0.1>,,{flip=TRUE;right=TRUE},{height=5;width=2},{x=-160;y=142},<<94;4>;<94;117>;<8;158>;<-1;43>>,,,,,<cn;tw;en;en_us;en_eu;kr>
72008,,125,config/item/furniture/icon_yangtaimen.png,60,从屋顶到地面的全明窗台，为你全方位展示小屋外热闹的节日氛围,,1.8,,203,,130,,city/town/furniture/menchuang/img_yangtaimen.png,,39,1,3,,猫猫落地窗,,,{flip=TRUE;right=TRUE},{height=5;width=6},{x=-472;y=1},<<254;3>;<251;48>;<222;94>;<199;209>;<74;267>;<35;207>;<35;171>;<1;159>;<1;119>>,,,,,<cn;tw;en;en_us;en_eu;kr>
72009,,435,config/item/furniture/icon_piaochuang.png,210,在巨大的南瓜灯旁边睡着的话，梦里一定能从窗台看见天上扑簌簌的在下好吃的糖果！,,1.78,1,203,,128,,city/town/furniture/menchuang/img_piaochuang.png,,48,1,3,,节日的窗台,,,{flip=TRUE;right=TRUE},{height=5;width=4},{x=-467;y=-79},<<254;45>;<259;181>;<190;270>;<138;291>;<84;254>;<83;121>;<1;55>;<71;7>;<156;4>>,,,,,<cn;tw;en;en_us;en_eu;kr>
72010,,105,config/item/furniture/icon_damen1.png,50,对联不仅对的工整，和福字一样贴的也很整齐！,,,,203,,133,,city/town/furniture/menchuang/img_damen1.png,,15,1,3,,福到家门,,,{flip=TRUE;right=TRUE},{height=5;width=4},{x=-290;y=19},<<0;48>;<98;1>;<126;9>;<124;174>;<36;210>;<1;195>>,,,,,<cn;tw;en;en_us;en_eu;kr>
72011,,310,config/item/furniture/icon_chuanghu4.png,150,在暖洋洋的窗台上看着外面厚厚的雪吃着小蛋糕拆着礼物，幸福超标了吧！,townfurniture/chuanghu.skel,1.69,,203,,142,,,,34,1,3,,落雪飘窗,,{effect_loop=<idle_loop>;size={width=300;height=320}},{flip=TRUE;right=TRUE},{height=5;width=5},{x=-484;y=16},<<54;94>;<51;258>;<143;297>;<272;165>;<275;9>;<223;12>>,,,,,
72012,,60,config/item/furniture/icon_xiaochuanghu.png,25,枣红色的木漆让木窗看上去十分稳固，冬天的家装上有一抹红色会使房间看起来更加温馨,,,,203,,,,city/town/furniture/menchuang/img_xiaochuanghu.png,,10,,8,,旧木窗台,<1;0.2;0.1>,,{flip=TRUE;right=TRUE},{height=5;width=2},{x=-141;y=132},<<1;30>;<60;3>;<60;111>;<2;137>>,,,,,
72013,,335,config/item/furniture/icon_chuanghu5.png,145,蓝天白云下，海浪轻轻拍打着沙滩，躺椅被晒得暖香，在这里的夏日时光变得异常缓慢悠闲,townfurniture/xiajijiaju_ch.skel,,1,203,,144,,,,39,1,3,,椰风海岸,,{effect_loop=<chuanghu_loop>;size={width=240;height=280}},{flip=TRUE;right=TRUE},{height=5;width=6},{x=-504;y=12},<<9;278>;<9;99>;<234;2>;<237;187>>,,,,,<cn;tw>
72501,,75,config/item/furniture/icon_xiangkuang.png,30,这可能是小智实现梦想之后笑容满面的样子吧,,2.3,,204,,119,,city/town/furniture/yishu/img_xiangkuang.png,,12,,8,,手绘小智挂像,<1;0.2;0.1>,,{flip=TRUE;right=TRUE},{height=5;width=1},{x=-77;y=226},<<1;50>;<26;50>;<28;2>;<1;1>>,,,,,
72502,,110,config/item/furniture/icon_haibao.png,50,印着皮卡丘大大笑脸的海报，好不容易抢购到的，上面胡乱画的那几笔应该是皮卡丘的签名,,,,204,,105,,city/town/furniture/yishu/img_haibao.png,,13,2,5,,皮卡丘限量海报,<1;0.2>,,{flip=TRUE;right=TRUE},{height=5;width=2},{x=-130;y=152},<<0;25>;<46;3>;<46;89>;<0;113>>,,,,,
72503,,235,config/item/furniture/icon_zhanban.png,115,涂鸦绘制的精灵都透露着一点点可爱，虽然不记得是从哪里获得了的，但却用画框仔细装裱起来,,1.7,,204,,116,,city/town/furniture/yishu/img_zhanban.png,,19,1,3,,涂鸦海报,,,{flip=TRUE;right=TRUE},{height=5;width=3},{x=-227;y=178},<<2;60>;<119;3>;<121;93>;<2;150>>,,,,,
72504,,435,config/item/furniture/icon_zhaopianqiang.png,210,这应该是某一次旅行的时候拍的吧，看着照片里精灵们，仿佛思绪又回到了旅行的时光中了…,,2.2,1,204,,119,,city/town/furniture/yishu/img_zhaopianqiang.png,,52,1,3,,温馨照片墙,,,{flip=TRUE;right=TRUE},{height=5;width=4},{x=-311;y=149},<<1;65>;<26;140>;<131;57>;<127;4>>,,,,,
72505,,25,config/item/furniture/icon_xiangkuang1.png,10,照片中记录着某次道馆挑战赛中皮卡丘和小火龙的英姿,,1.85,,204,,119,,city/town/furniture/yishu/img_xiangkuang1.png,,10,,8,,抓拍时机,<1;0.2;0.1>,,{flip=TRUE;right=TRUE},{height=5;width=1},{x=-83;y=199},<<28;1>;<40;41>;<5;69>;<3;26>>,,,,,
72506,,160,config/item/furniture/icon_bihua.png,70,搬动的时候可得要轻手轻脚的，千万不能磕碰了珍珠装饰的画框,,,1,204,,124,,city/town/furniture/yishu/img_bihua.png,,24,2,5,,轻奢装饰油画,<1;0.4>,,{flip=TRUE;right=TRUE},{height=5;width=4},{x=-312;y=204},<<2;70>;<62;4>;<117;0>;<146;26>;<78;111>;<6;103>>,,,,,
72507,,310,config/item/furniture/icon_xiangkuang2.png,150,在万圣派对上抓拍的正在参加游戏的精灵们，是的，你没看错，可达鸭有在做鬼脸,,,1,204,,,,city/town/furniture/yishu/img_xiangkuang2.png,,45,1,3,,派对抓拍照,,,{flip=TRUE;right=TRUE},{height=5;width=4},{x=-316;y=153},<<149;-1>;<151;87>;<2;150>;<-1;85>>,,,,,
74001,,50,config/item/furniture/icon_zhuozi.png,25,是一张很长长长的餐桌，可以容纳你的所有好友,,,,301,,113,,city/town/furniture/zhuozi/img_zhuozi.png,,18,1,3,,聚餐长桌,,,{flip=TRUE},{height=2;width=4},{x=-280;y=27},<<168;9>;<187;81>;<121;130>;<34;139>;<2;67>;<112;10>>,,,<<0;1>;<0;2>;<5;1>;<5;2>>,,
74002,,310,config/item/furniture/icon_chugui.png,150,款式非常大气，适合大区域的小屋摆放使用,,1.82,,301,,109,,city/town/furniture/zhuozi/img_chugui.png,,32,1,3,,实木茶几,,,{flip=TRUE},{height=2;width=4},{x=-291;y=19},<<64;159>;<194;103>;<242;49>;<171;3>;<5;118>>,,,<<3;0>;<2;0>;<1;0>;<4;0>>,,
74003,,110,config/item/furniture/icon_chaji.png,50,围着圆桌吃火锅，大概是最幸福的事情了,,1.8,,301,,102,,city/town/furniture/zhuozi/img_chaji.png,,19,2,5,,实木圆桌,<1;0.4>,,{flip=TRUE},{height=2;width=2},{x=-82;y=28},<<8;18>;<1;62>;<45;101>;<88;59>;<81;10>>,,,,,
74004,,240,config/item/furniture/icon_tuoyuanzhuo.png,105,大概是觉得桌子的样式平平无奇，所以免费赠送一只可爱的精灵小玩偶作为摆设~,,1.8,1,301,,106,,city/town/furniture/zhuozi/img_tuoyuanzhuo.png,,34,2,5,,椭圆书桌,<1;0.6>,,{flip=TRUE},{height=4;width=2},{x=-76;y=33},<<62;26>;<151;68>;<168;144>;<70;155>;<1;86>>,,,<<0;1>;<0;2>;<0;3>;<0;4>>,,
74005,,270,config/item/furniture/icon_zhuozi1.png,135,宽大的转角书桌，上面堆堆放了手办、电脑、手绘板等工具，看来是需要忙上一会了,,1.9,1,301,,106,,city/town/furniture/zhuozi/img_zhuozi1.png,,39,1,2,,转角书桌,,,{flip=TRUE},{height=4;width=6},{x=-453;y=94},<<70;65>;<186;110>;<350;3>;<419;99>;<187;272>;<0;155>>,,,<<0;2>;<0;1>;<1;0>;<2;0>;<3;0>;<4;0>>,,
74006,,70,config/item/furniture/icon_chaji1.png,30,茶几几乎没有什么设计感，反倒是这样，它似乎和什么风格的装修都可完美融合,,,,301,,107,,city/town/furniture/zhuozi/img_chaji1.png,,17,2,5,,现代极简风茶几,<1;0.4>,,{flip=TRUE},{height=1;width=4},{x=-284;y=18},<<0;64>;<0;95>;<34;108>;<160;43>;<157;14>;<129;4>>,,,<<5;1>;<0;1>>,,
74007,,35,config/item/furniture/icon_dalishichaji.png,15,桌面采用天然大理石制作而成，纹理舒展而自然，只是它的重量…,,2.1,,301,,102,,city/town/furniture/zhuozi/img_dalishichaji.png,,16,2,5,,大理石茶几,<1;0.4>,,{flip=TRUE},{height=3;width=2},{x=-110;y=33},<<129;55>;<70;98>;<0;53>;<52;2>>,,,<<0;1>;<0;2>;<0;3>>,,
74008,,215,config/item/furniture/icon_xiaochaji.png,95,很适合放置在窗边，陪伴你在每一个下午静静的端茶细品,,2.1,,301,,112,,city/town/furniture/zhuozi/img_xiaochaji.png,,30,2,5,,下午茶茶几,<1;0.5>,,{flip=TRUE},{height=2;width=2},{x=-78;y=38},<<13;12>;<59;10>;<74;71>;<3;75>>,,,,,
74009,,365,config/item/furniture/icon_canzhuo.png,175,这是从哪里可以获得的烛光灵造型的蜡烛，在用餐的时候点上，氛围感十足！,,,1,301,,124,,city/town/furniture/zhuozi/img_canzhuo.png,,49,1,3,,西餐长桌,,,{flip=TRUE},{height=3;width=4},{x=-287;y=20},<<148;3>;<241;53>;<193;114>;<179;152>;<125;190>;<38;135>;<1;77>>,,,<<0;1>;<0;3>;<5;1>;<5;3>>,,
74010,,95,config/item/furniture/icon_shuzhuo.png,40,桌子做了一个隔断，独立出一个小空间，感觉在这里不管做什么专注度都能UPUP,,,,301,,,,city/town/furniture/zhuozi/img_shuzhuo.png,,22,2,5,,沉浸式读书桌,<1;0.4>,,{flip=TRUE},{height=2;width=3},{x=-186;y=28},<<112;3>;<161;29>;<161;103>;<61;155>;<2;97>;<10;48>>,,,<<0;1>;<0;2>;<4;1>;<4;2>>,,
