变量名,type,skill,effect2,name,icon,needStar,desc,needAdvance,effect1,level,params1,params2,cost
10414,4,1041,,初级伐木效率,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得生产速度增加4%/小时,15,1,4,<4.0%>,,
10415,4,1041,,初级伐木效率,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得生产速度增加5%/小时,18,1,5,<5.0%>,,
10421,4,1042,,中级伐木效率,config/town_skill/icon_fmc.png,5,在伐木场中生效，使得生产速度增加1.5%/小时,6,1,1,<1.5%>,,
10422,4,1042,,中级伐木效率,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得生产速度增加3%/小时,9,1,2,<3.0%>,,
10423,4,1042,,中级伐木效率,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得生产速度增加4.5%/小时,12,1,3,<4.5%>,,
10424,4,1042,,中级伐木效率,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得生产速度增加6%/小时,15,1,4,<6.0%>,,
10425,4,1042,,中级伐木效率,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得生产速度增加7.5%/小时,18,1,5,<7.5%>,,
10431,4,1043,,高级伐木效率,config/town_skill/icon_fmc.png,4,在伐木场中生效，使得生产速度增加2%/小时,6,1,1,<2.0%>,,
10432,4,1043,,高级伐木效率,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得生产速度增加4%/小时,9,1,2,<4.0%>,,
10433,4,1043,,高级伐木效率,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得生产速度增加6%/小时,12,1,3,<6.0%>,,
10434,4,1043,,高级伐木效率,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得生产速度增加8%/小时,15,1,4,<8.0%>,,
10435,4,1043,,高级伐木效率,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得生产速度增加10%/小时,18,1,5,<10.0%>,,
10511,5,1051,,初级加工效率,config/town_skill/icon_tgw.png,5,在甜品站中生效，使得生产速度增加1%/小时,6,1,1,<1.0%>,,
10512,5,1051,,初级加工效率,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得生产速度增加2%/小时,9,1,2,<2.0%>,,
10513,5,1051,,初级加工效率,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得生产速度增加3%/小时,12,1,3,<3.0%>,,
10514,5,1051,,初级加工效率,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得生产速度增加4%/小时,15,1,4,<4.0%>,,
10515,5,1051,,初级加工效率,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得生产速度增加5%/小时,18,1,5,<5.0%>,,
10521,5,1052,,中级加工效率,config/town_skill/icon_tgw.png,5,在甜品站中生效，使得生产速度增加1.5%/小时,6,1,1,<1.5%>,,
10522,5,1052,,中级加工效率,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得生产速度增加3%/小时,9,1,2,<3.0%>,,
10523,5,1052,,中级加工效率,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得生产速度增加4.5%/小时,12,1,3,<4.5%>,,
10524,5,1052,,中级加工效率,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得生产速度增加6%/小时,15,1,4,<6.0%>,,
10525,5,1052,,中级加工效率,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得生产速度增加7.5%/小时,18,1,5,<7.5%>,,
10531,5,1053,,高级加工效率,config/town_skill/icon_tgw.png,4,在甜品站中生效，使得生产速度增加2%/小时,6,1,1,<2.0%>,,
10532,5,1053,,高级加工效率,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得生产速度增加4%/小时,9,1,2,<4.0%>,,
10533,5,1053,,高级加工效率,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得生产速度增加6%/小时,12,1,3,<6.0%>,,
10534,5,1053,,高级加工效率,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得生产速度增加8%/小时,15,1,4,<8.0%>,,
10535,5,1053,,高级加工效率,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得生产速度增加10%/小时,18,1,5,<10.0%>,,
10611,3,1061,,初级炼金库存,config/town_skill/icon_ylc.png,5,在炼金厂中生效，使得库存上限增加30,6,2,1,<30>,,
10612,3,1061,,初级炼金库存,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得库存上限增加60,9,2,2,<60>,,
10613,3,1061,,初级炼金库存,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得库存上限增加90,12,2,3,<90>,,
10614,3,1061,,初级炼金库存,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得库存上限增加120,15,2,4,<120>,,
10615,3,1061,,初级炼金库存,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得库存上限增加150,18,2,5,<150>,,
10621,3,1062,,中级炼金库存,config/town_skill/icon_ylc.png,5,在炼金厂中生效，使得库存上限增加60,6,2,1,<60>,,
10622,3,1062,,中级炼金库存,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得库存上限增加120,9,2,2,<120>,,
10623,3,1062,,中级炼金库存,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得库存上限增加180,12,2,3,<180>,,
10624,3,1062,,中级炼金库存,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得库存上限增加240,15,2,4,<240>,,
10625,3,1062,,中级炼金库存,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得库存上限增加300,18,2,5,<300>,,
10631,3,1063,,高级炼金库存,config/town_skill/icon_ylc.png,4,在炼金厂中生效，使得库存上限增加90,6,2,1,<90>,,
10632,3,1063,,高级炼金库存,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得库存上限增加180,9,2,2,<180>,,
10633,3,1063,,高级炼金库存,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得库存上限增加270,12,2,3,<270>,,
10634,3,1063,,高级炼金库存,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得库存上限增加360,15,2,4,<360>,,
10635,3,1063,,高级炼金库存,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得库存上限增加450,18,2,5,<450>,,
10711,4,1071,,初级伐木库存,config/town_skill/icon_fmc.png,5,在伐木场中生效，使得库存上限增加30,6,2,1,<30>,,
10712,4,1071,,初级伐木库存,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得库存上限增加60,9,2,2,<60>,,
10713,4,1071,,初级伐木库存,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得库存上限增加90,12,2,3,<90>,,
10714,4,1071,,初级伐木库存,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得库存上限增加120,15,2,4,<120>,,
10715,4,1071,,初级伐木库存,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得库存上限增加150,18,2,5,<150>,,
10721,4,1072,,中级伐木库存,config/town_skill/icon_fmc.png,5,在伐木场中生效，使得库存上限增加60,6,2,1,<60>,,
10722,4,1072,,中级伐木库存,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得库存上限增加120,9,2,2,<120>,,
10723,4,1072,,中级伐木库存,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得库存上限增加180,12,2,3,<180>,,
10724,4,1072,,中级伐木库存,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得库存上限增加240,15,2,4,<240>,,
10725,4,1072,,中级伐木库存,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得库存上限增加300,18,2,5,<300>,,
10731,4,1073,,高级伐木库存,config/town_skill/icon_fmc.png,4,在伐木场中生效，使得库存上限增加90,6,2,1,<90>,,
10732,4,1073,,高级伐木库存,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得库存上限增加180,9,2,2,<180>,,
10733,4,1073,,高级伐木库存,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得库存上限增加270,12,2,3,<270>,,
10734,4,1073,,高级伐木库存,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得库存上限增加360,15,2,4,<360>,,
10735,4,1073,,高级伐木库存,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得库存上限增加450,18,2,5,<450>,,
10811,5,1081,,初级加工库存,config/town_skill/icon_tgw.png,5,在甜品站中生效，使得库存上限增加10,6,2,1,<10>,,
10812,5,1081,,初级加工库存,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得库存上限增加20,9,2,2,<20>,,
10813,5,1081,,初级加工库存,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得库存上限增加30,12,2,3,<30>,,
10814,5,1081,,初级加工库存,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得库存上限增加40,15,2,4,<40>,,
10815,5,1081,,初级加工库存,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得库存上限增加50,18,2,5,<50>,,
10821,5,1082,,中级加工库存,config/town_skill/icon_tgw.png,5,在甜品站中生效，使得库存上限增加20,6,2,1,<20>,,
10822,5,1082,,中级加工库存,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得库存上限增加40,9,2,2,<40>,,
10823,5,1082,,中级加工库存,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得库存上限增加60,12,2,3,<60>,,
10824,5,1082,,中级加工库存,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得库存上限增加80,15,2,4,<80>,,
10825,5,1082,,中级加工库存,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得库存上限增加100,18,2,5,<100>,,
10831,5,1083,,高级加工库存,config/town_skill/icon_tgw.png,4,在甜品站中生效，使得库存上限增加30,6,2,1,<30>,,
10832,5,1083,,高级加工库存,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得库存上限增加60,9,2,2,<60>,,
10833,5,1083,,高级加工库存,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得库存上限增加90,12,2,3,<90>,,
10834,5,1083,,高级加工库存,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得库存上限增加120,15,2,4,<120>,,
10835,5,1083,,高级加工库存,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得库存上限增加150,18,2,5,<150>,,
10911,3,1091,,初级炼金库存,config/town_skill/icon_ylc.png,5,在炼金厂中生效，使得库存上限增加1%,6,2,1,<1.0%>,,
10912,3,1091,,初级炼金库存,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得库存上限增加2%,9,2,2,<2.0%>,,
10913,3,1091,,初级炼金库存,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得库存上限增加3%,12,2,3,<3.0%>,,
10914,3,1091,,初级炼金库存,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得库存上限增加4%,15,2,4,<4.0%>,,
10915,3,1091,,初级炼金库存,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得库存上限增加5%,18,2,5,<5.0%>,,
10921,3,1092,,中级炼金库存,config/town_skill/icon_ylc.png,5,在炼金厂中生效，使得库存上限增加1.5%,6,2,1,<1.5%>,,
10922,3,1092,,中级炼金库存,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得库存上限增加3%,9,2,2,<3.0%>,,
10923,3,1092,,中级炼金库存,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得库存上限增加4.5%,12,2,3,<4.5%>,,
10924,3,1092,,中级炼金库存,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得库存上限增加6%,15,2,4,<6.0%>,,
10925,3,1092,,中级炼金库存,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得库存上限增加7.5%,18,2,5,<7.5%>,,
10931,3,1093,,高级炼金库存,config/town_skill/icon_ylc.png,4,在炼金厂中生效，使得库存上限增加2%,6,2,1,<2.0%>,,
10932,3,1093,,高级炼金库存,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得库存上限增加4%,9,2,2,<4.0%>,,
10933,3,1093,,高级炼金库存,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得库存上限增加6%,12,2,3,<6.0%>,,
10934,3,1093,,高级炼金库存,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得库存上限增加8%,15,2,4,<8.0%>,,
10935,3,1093,,高级炼金库存,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得库存上限增加10%,18,2,5,<10.0%>,,
11011,4,1101,,初级伐木库存,config/town_skill/icon_fmc.png,5,在伐木场中生效，使得库存上限增加1%,6,2,1,<1.0%>,,
11012,4,1101,,初级伐木库存,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得库存上限增加2%,9,2,2,<2.0%>,,
11013,4,1101,,初级伐木库存,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得库存上限增加3%,12,2,3,<3.0%>,,
11014,4,1101,,初级伐木库存,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得库存上限增加4%,15,2,4,<4.0%>,,
11015,4,1101,,初级伐木库存,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得库存上限增加5%,18,2,5,<5.0%>,,
11021,4,1102,,中级伐木库存,config/town_skill/icon_fmc.png,5,在伐木场中生效，使得库存上限增加1.5%,6,2,1,<1.5%>,,
11022,4,1102,,中级伐木库存,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得库存上限增加3%,9,2,2,<3.0%>,,
11023,4,1102,,中级伐木库存,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得库存上限增加4.5%,12,2,3,<4.5%>,,
11024,4,1102,,中级伐木库存,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得库存上限增加6%,15,2,4,<6.0%>,,
11025,4,1102,,中级伐木库存,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得库存上限增加7.5%,18,2,5,<7.5%>,,
11031,4,1103,,高级伐木库存,config/town_skill/icon_fmc.png,4,在伐木场中生效，使得库存上限增加2%,6,2,1,<2.0%>,,
11032,4,1103,,高级伐木库存,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得库存上限增加4%,9,2,2,<4.0%>,,
11033,4,1103,,高级伐木库存,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得库存上限增加6%,12,2,3,<6.0%>,,
11034,4,1103,,高级伐木库存,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得库存上限增加8%,15,2,4,<8.0%>,,
11035,4,1103,,高级伐木库存,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得库存上限增加10%,18,2,5,<10.0%>,,
11111,5,1111,,初级加工库存,config/town_skill/icon_tgw.png,5,在甜品站中生效，使得库存上限增加1%,6,2,1,<1.0%>,,
11112,5,1111,,初级加工库存,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得库存上限增加2%,9,2,2,<2.0%>,,
11113,5,1111,,初级加工库存,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得库存上限增加3%,12,2,3,<3.0%>,,
11114,5,1111,,初级加工库存,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得库存上限增加4%,15,2,4,<4.0%>,,
11115,5,1111,,初级加工库存,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得库存上限增加5%,18,2,5,<5.0%>,,
11121,5,1112,,中级加工库存,config/town_skill/icon_tgw.png,5,在甜品站中生效，使得库存上限增加1.5%,6,2,1,<1.5%>,,
11122,5,1112,,中级加工库存,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得库存上限增加3%,9,2,2,<3.0%>,,
11123,5,1112,,中级加工库存,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得库存上限增加4.5%,12,2,3,<4.5%>,,
11124,5,1112,,中级加工库存,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得库存上限增加6%,15,2,4,<6.0%>,,
11125,5,1112,,中级加工库存,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得库存上限增加7.5%,18,2,5,<7.5%>,,
