变量名,relicID,resScale,level,award,attrMap
默认值,0,1.5,0,{},{}
ID,遗迹ID,资源缩放,等级,奖励{物品=数量},属性{属性ID=值}
1,14,,1,{930=20;5000=20;gold=100000},{1=300;9=30;10=20;17=0;19=0}
1031,15,,31,{930=40;5000=40;gold=700000},{1=14880;7=4464;8=4464;24=110;25=110}
1032,15,,32,{930=40;5000=40;gold=720000},{1=15552;7=4666;8=4666;24=110;25=110}
1033,15,,33,{930=40;5000=40;gold=740000},{1=16236;7=4871;8=4871;24=110;25=110}
1034,15,,34,{930=42;5000=42;gold=760000},{1=16932;7=5080;8=5080;24=120;25=120}
1035,15,,35,{930=42;5000=42;gold=780000},{1=17640;7=5292;8=5292;24=120;25=120}
1036,15,,36,{930=42;5000=42;gold=800000},{1=18360;7=5508;8=5508;24=120;25=120}
1037,15,,37,{930=44;5000=44;gold=820000},{1=19092;7=5728;8=5728;24=130;25=130}
1038,15,,38,{930=44;5000=44;gold=840000},{1=19836;7=5951;8=5951;24=130;25=130}
1039,15,,39,{930=44;5000=44;gold=860000},{1=20592;7=6178;8=6178;24=130;25=130}
1040,15,,40,{930=46;5000=46;gold=880000},{1=21360;7=6408;8=6408;24=140;25=140}
1041,15,,41,{930=46;5000=46;gold=900000},{1=22140;7=6642;8=6642;24=140;25=140}
1042,15,,42,{930=46;5000=46;gold=920000},{1=22932;7=6880;8=6880;24=140;25=140}
1043,15,,43,{930=48;5000=48;gold=940000},{1=23736;7=7121;8=7121;24=150;25=150}
1044,15,,44,{930=48;5000=48;gold=960000},{1=24552;7=7366;8=7366;24=150;25=150}
1045,15,,45,{930=48;5000=48;gold=980000},{1=25380;7=7614;8=7614;24=150;25=150}
1046,15,,46,{930=50;5000=50;gold=1000000},{1=26220;7=7866;8=7866;24=160;25=160}
1047,15,,47,{930=50;5000=50;gold=1020000},{1=27072;7=8122;8=8122;24=160;25=160}
1048,15,,48,{930=50;5000=50;gold=1040000},{1=27936;7=8381;8=8381;24=160;25=160}
1049,15,,49,{930=52;5000=52;gold=1060000},{1=28812;7=8644;8=8644;24=170;25=170}
1050,15,,50,{930=52;5000=52;gold=1080000},{1=29700;7=8910;8=8910;24=170;25=170}
2001,16,,1,{930=20;5000=20;gold=100000},{9=38;10=38;13=3;15=0;16=0}
2002,16,,2,{930=20;5000=20;gold=120000},{9=77;10=77;13=6;15=10;16=10}
2003,16,,3,{930=20;5000=20;gold=140000},{9=117;10=117;13=9;15=10;16=10}
2004,16,,4,{930=22;5000=22;gold=160000},{9=159;10=159;13=12;15=20;16=20}
2005,16,,5,{930=22;5000=22;gold=180000},{9=203;10=203;13=15;15=20;16=20}
2006,16,,6,{930=22;5000=22;gold=200000},{9=248;10=248;13=18;15=20;16=20}
2007,16,,7,{930=24;5000=24;gold=220000},{9=294;10=294;13=21;15=30;16=30}
2008,16,,8,{930=24;5000=24;gold=240000},{9=342;10=342;13=24;15=30;16=30}
2009,16,,9,{930=24;5000=24;gold=260000},{9=392;10=392;13=27;15=30;16=30}
2010,16,,10,{930=26;5000=26;gold=280000},{9=443;10=443;13=30;15=40;16=40}
2011,16,,11,{930=26;5000=26;gold=300000},{9=495;10=495;13=33;15=40;16=40}
2012,16,,12,{930=26;5000=26;gold=320000},{9=549;10=549;13=36;15=40;16=40}
2013,16,,13,{930=28;5000=28;gold=340000},{9=605;10=605;13=39;15=50;16=50}
2014,16,,14,{930=28;5000=28;gold=360000},{9=662;10=662;13=42;15=50;16=50}
2015,16,,15,{930=28;5000=28;gold=380000},{9=720;10=720;13=45;15=50;16=50}
2016,16,,16,{930=30;5000=30;gold=400000},{9=780;10=780;13=48;15=60;16=60}
2017,16,,17,{930=30;5000=30;gold=420000},{9=842;10=842;13=51;15=60;16=60}
2018,16,,18,{930=30;5000=30;gold=440000},{9=905;10=905;13=54;15=60;16=60}
2019,16,,19,{930=32;5000=32;gold=460000},{9=969;10=969;13=57;15=70;16=70}
2020,16,,20,{930=32;5000=32;gold=480000},{9=1035;10=1035;13=60;15=70;16=70}
2021,16,,21,{930=32;5000=32;gold=500000},{9=1103;10=1103;13=63;15=70;16=70}
2022,16,,22,{930=34;5000=34;gold=520000},{9=1172;10=1172;13=66;15=80;16=80}
2023,16,,23,{930=34;5000=34;gold=540000},{9=1242;10=1242;13=69;15=80;16=80}
2024,16,,24,{930=34;5000=34;gold=560000},{9=1314;10=1314;13=72;15=80;16=80}
2025,16,,25,{930=36;5000=36;gold=580000},{9=1388;10=1388;13=75;15=90;16=90}
2026,16,,26,{930=36;5000=36;gold=600000},{9=1463;10=1463;13=78;15=90;16=90}
2027,16,,27,{930=36;5000=36;gold=620000},{9=1539;10=1539;13=81;15=90;16=90}
2028,16,,28,{930=38;5000=38;gold=640000},{9=1617;10=1617;13=84;15=100;16=100}
2029,16,,29,{930=38;5000=38;gold=660000},{9=1697;10=1697;13=87;15=100;16=100}
2030,16,,30,{930=38;5000=38;gold=680000},{9=1778;10=1778;13=90;15=100;16=100}
2031,16,,31,{930=40;5000=40;gold=700000},{9=1860;10=1860;13=93;15=110;16=110}
2032,16,,32,{930=40;5000=40;gold=720000},{9=1944;10=1944;13=96;15=110;16=110}
2033,16,,33,{930=40;5000=40;gold=740000},{9=2030;10=2030;13=99;15=110;16=110}
2034,16,,34,{930=42;5000=42;gold=760000},{9=2117;10=2117;13=102;15=120;16=120}
2035,16,,35,{930=42;5000=42;gold=780000},{9=2205;10=2205;13=105;15=120;16=120}
2036,16,,36,{930=42;5000=42;gold=800000},{9=2295;10=2295;13=108;15=120;16=120}
2037,16,,37,{930=44;5000=44;gold=820000},{9=2387;10=2387;13=111;15=130;16=130}
2038,16,,38,{930=44;5000=44;gold=840000},{9=2480;10=2480;13=114;15=130;16=130}
2039,16,,39,{930=44;5000=44;gold=860000},{9=2574;10=2574;13=117;15=130;16=130}
2040,16,,40,{930=46;5000=46;gold=880000},{9=2670;10=2670;13=120;15=140;16=140}
2041,16,,41,{930=46;5000=46;gold=900000},{9=2768;10=2768;13=123;15=140;16=140}
2042,16,,42,{930=46;5000=46;gold=920000},{9=2867;10=2867;13=126;15=140;16=140}
2043,16,,43,{930=48;5000=48;gold=940000},{9=2967;10=2967;13=129;15=150;16=150}
2044,16,,44,{930=48;5000=48;gold=960000},{9=3069;10=3069;13=132;15=150;16=150}
2045,16,,45,{930=48;5000=48;gold=980000},{9=3173;10=3173;13=135;15=150;16=150}
2046,16,,46,{930=50;5000=50;gold=1000000},{9=3278;10=3278;13=138;15=160;16=160}
2047,16,,47,{930=50;5000=50;gold=1020000},{9=3384;10=3384;13=141;15=160;16=160}
2048,16,,48,{930=50;5000=50;gold=1040000},{9=3492;10=3492;13=144;15=160;16=160}
2049,16,,49,{930=52;5000=52;gold=1060000},{9=3602;10=3602;13=147;15=170;16=170}
2050,16,,50,{930=52;5000=52;gold=1080000},{9=3713;10=3713;13=150;15=170;16=170}
3001,17,,1,{930=20;5000=20;gold=100000},{1=375;7=113;8=113;92=0;93=0}
3002,17,,2,{930=20;5000=20;gold=120000},{1=765;7=230;8=230;92=10;93=10}
3003,17,,3,{930=20;5000=20;gold=140000},{1=1170;7=351;8=351;92=10;93=10}
3004,17,,4,{930=22;5000=22;gold=160000},{1=1590;7=477;8=477;92=20;93=20}
3005,17,,5,{930=22;5000=22;gold=180000},{1=2025;7=608;8=608;92=20;93=20}
3006,17,,6,{930=22;5000=22;gold=200000},{1=2475;7=743;8=743;92=20;93=20}
3007,17,,7,{930=24;5000=24;gold=220000},{1=2940;7=882;8=882;92=30;93=30}
3008,17,,8,{930=24;5000=24;gold=240000},{1=3420;7=1026;8=1026;92=30;93=30}
3009,17,,9,{930=24;5000=24;gold=260000},{1=3915;7=1175;8=1175;92=30;93=30}
3010,17,,10,{930=26;5000=26;gold=280000},{1=4425;7=1328;8=1328;92=40;93=40}
3011,17,,11,{930=26;5000=26;gold=300000},{1=4950;7=1485;8=1485;92=40;93=40}
3012,17,,12,{930=26;5000=26;gold=320000},{1=5490;7=1647;8=1647;92=40;93=40}
3013,17,,13,{930=28;5000=28;gold=340000},{1=6045;7=1814;8=1814;92=50;93=50}
3014,17,,14,{930=28;5000=28;gold=360000},{1=6615;7=1985;8=1985;92=50;93=50}
3015,17,,15,{930=28;5000=28;gold=380000},{1=7200;7=2160;8=2160;92=50;93=50}
3016,17,,16,{930=30;5000=30;gold=400000},{1=7800;7=2340;8=2340;92=60;93=60}
3017,17,,17,{930=30;5000=30;gold=420000},{1=8415;7=2525;8=2525;92=60;93=60}
3018,17,,18,{930=30;5000=30;gold=440000},{1=9045;7=2714;8=2714;92=60;93=60}
3019,17,,19,{930=32;5000=32;gold=460000},{1=9690;7=2907;8=2907;92=70;93=70}
3020,17,,20,{930=32;5000=32;gold=480000},{1=10350;7=3105;8=3105;92=70;93=70}
3021,17,,21,{930=32;5000=32;gold=500000},{1=11025;7=3308;8=3308;92=70;93=70}
3022,17,,22,{930=34;5000=34;gold=520000},{1=11715;7=3515;8=3515;92=80;93=80}
3023,17,,23,{930=34;5000=34;gold=540000},{1=12420;7=3726;8=3726;92=80;93=80}
3024,17,,24,{930=34;5000=34;gold=560000},{1=13140;7=3942;8=3942;92=80;93=80}
3025,17,,25,{930=36;5000=36;gold=580000},{1=13875;7=4163;8=4163;92=90;93=90}
3026,17,,26,{930=36;5000=36;gold=600000},{1=14625;7=4388;8=4388;92=90;93=90}
3027,17,,27,{930=36;5000=36;gold=620000},{1=15390;7=4617;8=4617;92=90;93=90}
3028,17,,28,{930=38;5000=38;gold=640000},{1=16170;7=4851;8=4851;92=100;93=100}
3029,17,,29,{930=38;5000=38;gold=660000},{1=16965;7=5090;8=5090;92=100;93=100}
3030,17,,30,{930=38;5000=38;gold=680000},{1=17775;7=5333;8=5333;92=100;93=100}
3031,17,,31,{930=40;5000=40;gold=700000},{1=18600;7=5580;8=5580;92=110;93=110}
3032,17,,32,{930=40;5000=40;gold=720000},{1=19440;7=5832;8=5832;92=110;93=110}
3033,17,,33,{930=40;5000=40;gold=740000},{1=20295;7=6089;8=6089;92=110;93=110}
3034,17,,34,{930=42;5000=42;gold=760000},{1=21165;7=6350;8=6350;92=120;93=120}
3035,17,,35,{930=42;5000=42;gold=780000},{1=22050;7=6615;8=6615;92=120;93=120}
3036,17,,36,{930=42;5000=42;gold=800000},{1=22950;7=6885;8=6885;92=120;93=120}
3037,17,,37,{930=44;5000=44;gold=820000},{1=23865;7=7160;8=7160;92=130;93=130}
3038,17,,38,{930=44;5000=44;gold=840000},{1=24795;7=7439;8=7439;92=130;93=130}
3039,17,,39,{930=44;5000=44;gold=860000},{1=25740;7=7722;8=7722;92=130;93=130}
3040,17,,40,{930=46;5000=46;gold=880000},{1=26700;7=8010;8=8010;92=140;93=140}
3041,17,,41,{930=46;5000=46;gold=900000},{1=27675;7=8303;8=8303;92=140;93=140}
3042,17,,42,{930=46;5000=46;gold=920000},{1=28665;7=8600;8=8600;92=140;93=140}
3043,17,,43,{930=48;5000=48;gold=940000},{1=29670;7=8901;8=8901;92=150;93=150}
3044,17,,44,{930=48;5000=48;gold=960000},{1=30690;7=9207;8=9207;92=150;93=150}
3045,17,,45,{930=48;5000=48;gold=980000},{1=31725;7=9518;8=9518;92=150;93=150}
3046,17,,46,{930=50;5000=50;gold=1000000},{1=32775;7=9833;8=9833;92=160;93=160}
3047,17,,47,{930=50;5000=50;gold=1020000},{1=33840;7=10152;8=10152;92=160;93=160}
3048,17,,48,{930=50;5000=50;gold=1040000},{1=34920;7=10476;8=10476;92=160;93=160}
3049,17,,49,{930=52;5000=52;gold=1060000},{1=36015;7=10805;8=10805;92=170;93=170}
3050,17,,50,{930=52;5000=52;gold=1080000},{1=37125;7=11138;8=11138;92=170;93=170}
