变量名,type,name,attr,size,languages
100210,502,基本普通小客厅,{data=<{z=501;x=2;y=7;rotateParam=0;id=75505};{z=513;x=3;y=1;rotateParam=0;id=74003};{z=509;x=1;y=5;rotateParam=0;id=76501};{z=505;x=6;y=4;rotateParam=0;id=75014};{z=507;x=2;y=4;rotateParam=0;id=74504};{z=511;x=6;y=2;rotateParam=1;id=74508};{z=503;x=1;y=7;rotateParam=0;id=77054};{z=515;x=1;y=2;rotateParam=2;id=74508}>;flip=TRUE},{height=7;width=6},
100211,502,夏日为主,{data=<{z=22;x=1;y=5;rotateParam=1;id=70511};{z=513;x=3;y=2;rotateParam=0;id=75002};{z=511;x=9;y=2;rotateParam=0;id=76501};{z=505;x=9;y=3;rotateParam=1;id=75502};{z=503;x=2;y=7;rotateParam=0;id=74510};{z=507;x=7;y=4;rotateParam=1;id=74508};{z=501;x=8;y=6;rotateParam=1;id=76510};{z=509;x=3;y=4;rotateParam=1;id=74011}>;flip=TRUE},{height=7;width=9},<cn;tw;en;en_eu;kr>
100212,502,夏日为主,{data=<{z=501;x=6;y=6;rotateParam=0;id=76510};{z=513;x=7;y=1;rotateParam=0;id=75006};{z=505;x=2;y=7;rotateParam=0;id=75507};{z=509;x=3;y=3;rotateParam=0;id=74502};{z=503;x=3;y=6;rotateParam=1;id=75501};{z=507;x=4;y=2;rotateParam=0;id=75011};{z=511;x=2;y=2;rotateParam=1;id=75001}>;flip=TRUE},{height=7;width=7},<cn;tw;en;en_eu;kr>
100213,502,周年庆,{data=<{z=511;x=6;y=2;rotateParam=1;id=76512};{z=517;x=1;y=2;rotateParam=1;id=76512};{z=503;x=2;y=6;rotateParam=1;id=77064};{z=507;x=4;y=3;rotateParam=3;id=74518};{z=505;x=1;y=8;rotateParam=1;id=76511};{z=513;x=5;y=2;rotateParam=3;id=74518};{z=515;x=2;y=2;rotateParam=3;id=74518};{z=22;x=2;y=2;rotateParam=1;id=70512};{z=501;x=6;y=8;rotateParam=1;id=76511};{z=509;x=3;y=3;rotateParam=3;id=74518}>;flip=TRUE},{height=8;width=6},
100214,502,七夕节,{data=<{z=509;x=7;y=1;rotateParam=0;id=76513};{z=503;x=2;y=6;rotateParam=1;id=75016};{z=507;x=5;y=2;rotateParam=0;id=76010};{z=511;x=2;y=1;rotateParam=1;id=75016};{z=505;x=2;y=5;rotateParam=0;id=76513};{z=501;x=4;y=6;rotateParam=0;id=76011}>;flip=TRUE},{height=9;width=7},<cn;tw>
100215,502,万圣节客厅吃饭,{data=<{z=23;x=1;y=2;rotateParam=0;id=70513};{z=513;x=2;y=3;rotateParam=0;id=74014};{z=511;x=3;y=5;rotateParam=0;id=74511};{z=509;x=4;y=5;rotateParam=0;id=74511};{z=517;x=4;y=2;rotateParam=3;id=74511};{z=519;x=3;y=2;rotateParam=3;id=74511};{z=515;x=5;y=2;rotateParam=3;id=74511};{z=503;x=3;y=7;rotateParam=0;id=75509};{z=505;x=2;y=7;rotateParam=1;id=77054};{z=501;x=7;y=7;rotateParam=0;id=76008};{z=507;x=5;y=5;rotateParam=0;id=74511}>;flip=TRUE},{height=7;width=7},
100216,502,万圣节餐厅,{data=<{z=511;x=1;y=1;rotateParam=0;id=76506};{z=509;x=1;y=2;rotateParam=0;id=77060};{z=503;x=4;y=4;rotateParam=0;id=75013};{z=501;x=1;y=7;rotateParam=0;id=76007};{z=507;x=5;y=1;rotateParam=0;id=74013};{z=505;x=7;y=1;rotateParam=0;id=74507}>;flip=TRUE},{height=7;width=7},
100217,502,万圣节客厅聊天,{data=<{z=507;x=2;y=3;rotateParam=0;id=76514};{z=505;x=3;y=4;rotateParam=0;id=74514};{z=509;x=5;y=2;rotateParam=0;id=75012};{z=501;x=7;y=7;rotateParam=0;id=74513};{z=503;x=7;y=4;rotateParam=0;id=74012}>;flip=TRUE},{height=7;width=9},<cn>
100218,502,六一学习区,{data=<{z=19;x=2;y=4;rotateParam=0;id=70514};{z=507;x=6;y=1;rotateParam=1;id=77050};{z=503;x=1;y=6;rotateParam=0;id=74519};{z=509;x=2;y=3;rotateParam=0;id=76503};{z=511;x=4;y=2;rotateParam=1;id=76502};{z=501;x=5;y=4;rotateParam=0;id=75510};{z=505;x=3;y=5;rotateParam=0;id=74016}>;flip=TRUE},{height=7;width=6},
100219,502,圣诞炉火,{data=<{z=503;x=3;y=5;rotateParam=0;id=77063};{z=507;x=1;y=4;rotateParam=0;id=75004};{z=23;x=1;y=1;rotateParam=1;id=70504};{z=511;x=2;y=1;rotateParam=1;id=74015};{z=509;x=5;y=1;rotateParam=0;id=77061};{z=505;x=2;y=6;rotateParam=0;id=75014};{z=501;x=7;y=6;rotateParam=0;id=77053}>;flip=TRUE},{height=6;width=7},
100220,502,新年餐吧,{data=<{z=503;x=3;y=2;rotateParam=0;id=76009};{z=507;x=2;y=1;rotateParam=3;id=74516};{z=505;x=1;y=3;rotateParam=2;id=74516};{z=501;x=2;y=7;rotateParam=0;id=75015}>;flip=TRUE},{height=7;width=6},
100221,502,欣赏音乐,{data=<{z=505;x=7;y=3;rotateParam=0;id=74008};{z=511;x=7;y=1;rotateParam=3;id=74508};{z=501;x=7;y=6;rotateParam=0;id=74508};{z=507;x=6;y=2;rotateParam=1;id=75005};{z=503;x=6;y=6;rotateParam=0;id=76513};{z=32;x=2;y=2;rotateParam=0;id=70507};{z=509;x=1;y=2;rotateParam=0;id=77052};{z=513;x=6;y=1;rotateParam=0;id=76513}>;flip=TRUE},{height=6;width=8},<cn;tw>
100222,502,深夜聊八卦,{data=<{z=505;x=1;y=4;rotateParam=1;id=77061};{z=509;x=1;y=1;rotateParam=0;id=74003};{z=503;x=4;y=5;rotateParam=0;id=74507};{z=501;x=6;y=4;rotateParam=1;id=75509};{z=507;x=4;y=1;rotateParam=0;id=77051}>;flip=TRUE},{height=6;width=6},
100223,502,温馨宿舍,{data=<{z=501;x=5;y=9;rotateParam=0;id=74507};{z=25;x=1;y=1;rotateParam=0;id=70511};{z=509;x=6;y=1;rotateParam=1;id=75507};{z=507;x=3;y=2;rotateParam=0;id=75011};{z=503;x=3;y=6;rotateParam=0;id=75003};{z=505;x=6;y=5;rotateParam=0;id=75014}>;flip=TRUE},{height=9;width=6},<cn;tw;en;en_eu;kr>
100224,502,沉浸式读书区,{data=<{z=501;x=6;y=4;rotateParam=1;id=75506};{z=509;x=2;y=3;rotateParam=1;id=77050};{z=503;x=2;y=6;rotateParam=0;id=75006};{z=507;x=4;y=2;rotateParam=1;id=74006};{z=511;x=2;y=1;rotateParam=1;id=76504};{z=505;x=7;y=1;rotateParam=1;id=75509};{z=23;x=1;y=1;rotateParam=1;id=70502}>;flip=TRUE},{height=6;width=7},
100225,502,吊椅躺一天,{data=<{z=505;x=3;y=7;rotateParam=0;id=76506};{z=509;x=4;y=2;rotateParam=0;id=74514};{z=501;x=8;y=7;rotateParam=0;id=76506};{z=503;x=4;y=7;rotateParam=0;id=75013};{z=513;x=2;y=2;rotateParam=1;id=76503};{z=25;x=2;y=2;rotateParam=0;id=70513};{z=511;x=2;y=4;rotateParam=1;id=75501};{z=507;x=8;y=3;rotateParam=0;id=77060}>;flip=TRUE},{height=7;width=8},
100226,502,悠闲一隅,{data=<{z=501;x=7;y=2;rotateParam=1;id=75505};{z=513;x=7;y=1;rotateParam=0;id=76501};{z=503;x=2;y=5;rotateParam=0;id=77063};{z=509;x=5;y=2;rotateParam=1;id=74506};{z=511;x=2;y=2;rotateParam=0;id=74502};{z=507;x=2;y=3;rotateParam=0;id=74006};{z=23;x=1;y=1;rotateParam=1;id=70504};{z=505;x=1;y=6;rotateParam=0;id=77053}>;flip=TRUE},{height=6;width=7},
100227,502,万圣节BGM,{data=<{z=23;x=3;y=1;rotateParam=0;id=70515};{z=501;x=8;y=5;rotateParam=1;id=75511};{z=511;x=4;y=1;rotateParam=3;id=74512};{z=505;x=8;y=1;rotateParam=1;id=77059};{z=509;x=2;y=2;rotateParam=1;id=75013};{z=503;x=5;y=6;rotateParam=0;id=74512};{z=507;x=4;y=3;rotateParam=0;id=74012}>;flip=TRUE},{height=6;width=9},<cn>
100228,502,梦幻卧室,{data=<{z=507;x=3;y=3;rotateParam=0;id=74509};{z=22;x=1;y=4;rotateParam=1;id=70510};{z=503;x=2;y=5;rotateParam=0;id=75007};{z=509;x=1;y=3;rotateParam=1;id=76509};{z=501;x=3;y=9;rotateParam=0;id=75009};{z=505;x=4;y=2;rotateParam=0;id=75008}>;flip=TRUE},{height=9;width=4},
100229,502,温暖汤泉,{data=<{z=511;x=2;y=1;rotateParam=0;id=76507};{z=24;x=2;y=1;rotateParam=0;id=70509};{z=509;x=2;y=2;rotateParam=0;id=76003};{z=507;x=3;y=2;rotateParam=0;id=76004};{z=503;x=2;y=6;rotateParam=0;id=76006};{z=501;x=5;y=2;rotateParam=0;id=75010};{z=513;x=1;y=1;rotateParam=0;id=76005};{z=505;x=1;y=7;rotateParam=0;id=75508}>;flip=TRUE},{height=8;width=7},
100230,502,双人浪漫晚餐,{data=<{z=511;x=4;y=2;rotateParam=3;id=74503};{z=501;x=2;y=6;rotateParam=1;id=75010};{z=505;x=1;y=4;rotateParam=0;id=76508};{z=24;x=2;y=2;rotateParam=0;id=70510};{z=507;x=7;y=2;rotateParam=0;id=76507};{z=515;x=7;y=1;rotateParam=0;id=76509};{z=509;x=5;y=2;rotateParam=3;id=74503};{z=513;x=2;y=2;rotateParam=0;id=76507};{z=503;x=3;y=3;rotateParam=0;id=74009}>;flip=TRUE},{height=8;width=8},
100231,502,畅聊一夜,{data=<{z=509;x=3;y=3;rotateParam=0;id=75003};{z=19;x=2;y=6;rotateParam=0;id=70509};{z=503;x=2;y=7;rotateParam=1;id=75007};{z=501;x=6;y=9;rotateParam=0;id=75508};{z=22;x=2;y=3;rotateParam=0;id=70507};{z=505;x=6;y=6;rotateParam=0;id=76506};{z=511;x=2;y=4;rotateParam=0;id=74502};{z=513;x=6;y=1;rotateParam=0;id=75504};{z=507;x=2;y=6;rotateParam=1;id=76509}>;flip=TRUE},{height=9;width=6},
100232,502,努力学习,{data=<{z=503;x=5;y=1;rotateParam=1;id=77050};{z=501;x=2;y=4;rotateParam=0;id=74010};{z=507;x=1;y=1;rotateParam=0;id=77057};{z=17;x=2;y=3;rotateParam=0;id=70508};{z=505;x=3;y=3;rotateParam=0;id=74509}>;flip=TRUE},{height=5;width=5},
100233,502,吃饺子啦！,{data=<{z=501;x=3;y=8;rotateParam=0;id=76516};{z=509;x=3;y=3;rotateParam=0;id=74017};{z=511;x=2;y=4;rotateParam=2;id=74520};{z=513;x=4;y=2;rotateParam=3;id=74520};{z=503;x=1;y=8;rotateParam=0;id=76505};{z=507;x=6;y=4;rotateParam=1;id=74520};{z=505;x=4;y=6;rotateParam=0;id=74520}>;flip=TRUE},{height=9;width=7},<cn>
100234,502,夏天吃冰啦！,{data=<{z=509;x=3;y=3;rotateParam=0;id=77066};{z=503;x=5;y=4;rotateParam=0;id=76012};{z=501;x=6;y=7;rotateParam=0;id=76001};{z=507;x=5;y=2;rotateParam=1;id=76510};{z=505;x=2;y=4;rotateParam=1;id=76013}>;flip=TRUE},{height=7;width=6},<cn;tw>
100301,503,万圣节演唱会,{data=<{z=509;x=2;y=6;rotateParam=0;id=78018};{z=507;x=6;y=6;rotateParam=0;id=78018};{z=505;x=2;y=9;rotateParam=1;id=78003};{z=503;x=5;y=8;rotateParam=1;id=78009};{z=511;x=8;y=2;rotateParam=1;id=78023};{z=513;x=3;y=2;rotateParam=0;id=78024};{z=501;x=6;y=9;rotateParam=1;id=78003};{z=515;x=1;y=2;rotateParam=1;id=78023}>;flip=TRUE},{height=9;width=8},
100302,503,圣诞树下,{data=<{z=501;x=5;y=5;rotateParam=0;id=78025};{z=511;x=1;y=1;rotateParam=0;id=78026};{z=507;x=5;y=4;rotateParam=1;id=78005};{z=503;x=4;y=5;rotateParam=0;id=78005};{z=505;x=3;y=5;rotateParam=0;id=78002};{z=509;x=5;y=3;rotateParam=1;id=78002}>;flip=TRUE},{height=7;width=7},
100303,503,看花灯,{data=<{z=505;x=5;y=3;rotateParam=0;id=78028};{z=507;x=4;y=1;rotateParam=0;id=78008};{z=509;x=2;y=2;rotateParam=0;id=78029};{z=501;x=4;y=5;rotateParam=0;id=78008};{z=511;x=2;y=1;rotateParam=0;id=78027};{z=503;x=2;y=6;rotateParam=0;id=78027}>;flip=TRUE},{height=6;width=7},
100304,503,六一摩天轮,{data=<{z=511;x=1;y=5;rotateParam=0;id=78010};{z=501;x=2;y=7;rotateParam=1;id=78031};{z=513;x=7;y=1;rotateParam=1;id=78010};{z=503;x=5;y=6;rotateParam=1;id=78005};{z=509;x=3;y=5;rotateParam=1;id=78001};{z=505;x=2;y=6;rotateParam=1;id=78005};{z=507;x=7;y=3;rotateParam=0;id=78001};{z=515;x=3;y=2;rotateParam=0;id=78012}>;flip=TRUE},{height=9;width=8},
100305,503,夏日小吃街,{data=<{z=505;x=2;y=6;rotateParam=1;id=78012};{z=507;x=6;y=1;rotateParam=0;id=78013};{z=509;x=2;y=1;rotateParam=0;id=78013};{z=503;x=4;y=6;rotateParam=1;id=78021};{z=501;x=7;y=7;rotateParam=1;id=78018}>;flip=TRUE},{height=8;width=8},<cn;tw;en;en_eu;kr>
100306,503,夏日池塘,{data=<{z=507;x=6;y=1;rotateParam=0;id=78003};{z=505;x=2;y=4;rotateParam=1;id=78002};{z=503;x=5;y=4;rotateParam=0;id=78019};{z=501;x=2;y=6;rotateParam=0;id=78020}>;flip=TRUE},{height=9;width=6},<cn;tw;en;en_eu;kr>
100307,503,普通泳池,{data=<{z=507;x=7;y=2;rotateParam=0;id=78011};{z=501;x=6;y=6;rotateParam=0;id=78018};{z=505;x=1;y=7;rotateParam=1;id=78010};{z=509;x=7;y=1;rotateParam=0;id=78010};{z=511;x=1;y=1;rotateParam=0;id=78016};{z=503;x=2;y=7;rotateParam=1;id=78011}>;flip=TRUE},{height=8;width=8},
100308,503,普通许愿池,{data=<{z=511;x=8;y=1;rotateParam=0;id=78005};{z=513;x=5;y=1;rotateParam=0;id=78005};{z=501;x=4;y=4;rotateParam=0;id=78004};{z=505;x=1;y=5;rotateParam=1;id=78005};{z=507;x=2;y=4;rotateParam=0;id=78009};{z=509;x=1;y=4;rotateParam=1;id=78006};{z=503;x=1;y=8;rotateParam=1;id=78005};{z=517;x=2;y=2;rotateParam=0;id=78019};{z=519;x=4;y=1;rotateParam=0;id=78006};{z=515;x=4;y=2;rotateParam=1;id=78009}>;flip=TRUE},{height=9;width=9},
100309,503,普通零食聚会,{data=<{z=505;x=7;y=2;rotateParam=0;id=78015};{z=507;x=4;y=2;rotateParam=0;id=78018};{z=509;x=2;y=1;rotateParam=1;id=78012};{z=503;x=2;y=5;rotateParam=1;id=78006};{z=501;x=4;y=5;rotateParam=1;id=78015}>;flip=TRUE},{height=5;width=7},
100310,503,普通读书角万能,{data=<{z=505;x=5;y=1;rotateParam=0;id=78002};{z=503;x=1;y=5;rotateParam=1;id=78003};{z=507;x=1;y=1;rotateParam=0;id=78019};{z=501;x=4;y=4;rotateParam=0;id=78007}>;flip=TRUE},{height=5;width=5},
100311,503,普通秋千椅,{data=<{z=513;x=7;y=1;rotateParam=0;id=78007};{z=509;x=3;y=4;rotateParam=0;id=78012};{z=511;x=1;y=3;rotateParam=0;id=78005};{z=503;x=7;y=3;rotateParam=0;id=78014};{z=505;x=3;y=7;rotateParam=1;id=78017};{z=515;x=3;y=1;rotateParam=1;id=78005};{z=507;x=1;y=8;rotateParam=0;id=78007};{z=501;x=7;y=8;rotateParam=0;id=78007}>;flip=TRUE},{height=9;width=8},
100312,503,普通茶吧位,{data=<{z=501;x=3;y=6;rotateParam=1;id=78001};{z=511;x=1;y=2;rotateParam=0;id=78005};{z=503;x=1;y=6;rotateParam=0;id=78010};{z=513;x=2;y=1;rotateParam=1;id=78005};{z=505;x=6;y=3;rotateParam=0;id=78001};{z=507;x=3;y=3;rotateParam=0;id=78007};{z=509;x=6;y=1;rotateParam=1;id=78010}>;flip=TRUE},{height=6;width=6},
