变量名,homeLevel,showUnable,limitTimes,limitType,centerLevel,vipStart,regainHour,exchangeLimit,sortValue,endDate,beginDate,itemMap,costMap,levelRange,languages
7002,1,,,,,,,,,,,{76005=1},{coin16=25},,<cn;tw;en;en_us;en_eu;kr>
7003,1,,,,,,,,,,,{76003=1},{coin16=25},,<cn;tw;en;en_us;en_eu;kr>
7004,1,,,,,,,,,,,{76509=1},{coin16=30},,<cn;tw;en;en_us;en_eu;kr>
7005,1,,,,,,,,,,,{70002=1},{coin16=65},,<cn;tw;en;en_us;en_eu;kr>
7006,2,,,,,,,,,,,{71002=1},{coin16=440},,<cn;tw;en;en_us;en_eu;kr>
7007,2,,,,,,,,,,,{71506=1},{coin16=105},,<cn;tw;en;en_us;en_eu;kr>
7008,2,,,,,,,,,,,{76508=1},{coin16=140},,<cn;tw;en;en_us;en_eu;kr>
7009,2,,,,,,,,,,,{74010=1},{coin16=215},,<cn;tw;en;en_us;en_eu;kr>
7010,3,,,,,,,,,,,{74509=1},{coin16=340},,<cn;tw;en;en_us;en_eu;kr>
7011,3,,,,,,,,,,,{75008=1},{coin16=360},,<cn;tw;en;en_us;en_eu;kr>
7012,3,,,,,,,,,,,{76507=1},{coin16=210},,<cn;tw;en;en_us;en_eu;kr>
7013,3,,,,,,,,,,,{75508=1},{coin16=230},,<cn;tw;en;en_us;en_eu;kr>
7014,3,,,,,,,,,,,{70509=1},{coin16=360},,<cn;tw;en;en_us;en_eu;kr>
7015,4,,,,,,,,,,,{72506=1},{coin16=575},,<cn;tw;en;en_us;en_eu;kr>
7016,4,,,,,,,,,,,{77057=1},{rmb=320},,<cn;tw;en;en_us;en_eu;kr>
7017,4,,,,,,,,,,,{75009=1},{coin16=545},,<cn;tw;en;en_us;en_eu;kr>
7018,4,,,,,,,,,,,{76006=1},{coin16=750},,<cn;tw;en;en_us;en_eu;kr>
7019,5,,,,,,,,,,,{74009=1},{rmb=490},,<cn;tw;en;en_us;en_eu;kr>
7020,5,,,,,,,,,,,{70510=1},{coin16=1350},,<cn;tw;en;en_us;en_eu;kr>
7021,5,,,,,,,,,,,{71507=1},{coin16=1350},,<cn;tw;en;en_us;en_eu;kr>
7022,5,,,,,,,,,,,{72006=1},{coin16=1500},,<cn;tw;en;en_us;en_eu;kr>
7023,6,,,,,,,,,,,{72005=1},{rmb=625},,<cn;tw;en;en_us;en_eu;kr>
7024,6,,,,,,,,,,,{75010=1},{coin16=2910},,<cn;tw;en;en_us;en_eu;kr>
7025,6,,,,,,,,,,,{75007=1},{rmb=895},,<cn;tw;en;en_us;en_eu;kr>
7026,6,,,,,,,,,,,{76004=1},{rmb=730},,<cn;tw;en;en_us;en_eu;kr>
7027,2,,,,,,,,210,20251018,20250718,{70003=1},{coin16=165},,<cn;tw;en>
7028,1,,,,,,,,211,20251018,20250718,{74011=1},{6394=30},,<cn;tw;en>
7029,1,,,,,,,,212,20251018,20250718,{71003=1},{6394=10},,<cn;tw;en>
7030,3,,,,,,,,213,20251018,20250718,{75011=1},{coin16=320},,<cn;tw;en>
7031,5,,,,,,,,214,20251018,20250718,{76510=1},{rmb=280},,<cn;tw;en>
7032,3,,,,,,,,215,20251018,20250718,{74510=1},{coin16=200},,<cn;tw;en>
7033,4,,,,,,,,216,20251018,20250718,{78020=1},{coin16=500},,<cn;tw;en>
7034,1,,,,,,,,217,20251018,20250718,{78021=1},{6394=60},,<cn;tw;en>
7035,6,,,,,,,,218,20251018,20250718,{70511=1},{coin16=1250},,<cn;tw;en>
7036,4,,,,,,,,219,20251018,20250718,{77058=1},{rmb=480},,<cn;tw;en>
7037,6,,,,,,,,220,20251018,20250718,{78022=1},{rmb=680},,<cn;tw;en>
