变量名,townScale,res,relicScale,spine,pos
默认值,1,"""""",1,{},{x=0;y=0}
119,2.3,city/town/map/building/25_7.png,2.5,{name=effect_loop;res=townyiji/zuanshiyusanjia2.skel},{x=471;y=149}
120,2.3,city/town/map/building/25_7.png,2.7,{name=effect_loop;res=townyiji/michunjie2.skel},{x=394;y=364}
201,0.6,city/town/map/building/24_2.png,0.5,{name=effect_loop;res=townyiji/zls.skel},{x=220;y=287}
202,0.6,city/town/map/building/24_3.png,0.5,{name=effect_loop;res=townyiji/zls.skel},{x=245;y=293}
203,0.6,city/town/map/building/24_4.png,0.6,{name=effect_loop;res=townyiji/xueyuan.skel},{x=425;y=220}
204,0.5,city/town/map/building/24_4.png,0.5,{name=effect_loop;res=townyiji/zls.skel},{x=134;y=360}
205,0.7,city/town/map/building/24_5.png,0.6,{name=effect_loop;res=townyiji/xueyuan.skel},{x=425;y=220}
206,0.6,city/town/map/building/24_5.png,0.5,{name=effect_loop;res=townyiji/zls.skel},{x=145;y=400}
207,0.8,city/town/map/building/24_5.png,0.7,{name=effect_loop;res=townyiji/xueyaonv.skel},{x=214;y=260}
208,0.8,city/town/map/building/24_6.png,0.8,{name=effect_loop;res=townyiji/guisi.skel},{x=408;y=465}
209,0.7,city/town/map/building/24_6.png,0.6,{name=effect_loop;res=townyiji/xueyuan.skel},{x=438;y=230}
210,0.6,city/town/map/building/24_6.png,0.5,{name=effect_loop;res=townyiji/zls.skel},{x=145;y=400}
211,0.8,city/town/map/building/24_6.png,0.7,{name=effect_loop;res=townyiji/xueyaonv.skel},{x=214;y=260}
212,0.8,city/town/map/building/24_7.png,0.8,{name=effect_loop;res=townyiji/guisi.skel},{x=408;y=515}
213,0.7,city/town/map/building/24_7.png,0.6,{name=effect_loop;res=townyiji/xueyuan.skel},{x=455;y=232}
214,0.6,city/town/map/building/24_7.png,0.5,{name=effect_loop;res=townyiji/zls.skel},{x=145;y=400}
215,0.8,city/town/map/building/24_7.png,0.7,{name=effect_loop;res=townyiji/xueyaonv.skel},{x=214;y=260}
301,0.7,city/town/map/building/23_2.png,0.7,{name=effect_loop;res=townyiji/xiaoxuanfeng.skel},{x=273;y=121}
302,0.5,city/town/map/building/23_2.png,0.5,{name=effect_loop;res=townyiji/damo.skel},{x=410;y=155}
303,0.7,city/town/map/building/23_3.png,0.7,{name=effect_loop;res=townyiji/xiaoxuanfeng.skel},{x=273;y=225}
304,0.5,city/town/map/building/23_3.png,0.5,{name=effect_loop;res=townyiji/damo.skel},{x=444;y=200}
305,0.6,city/town/map/building/23_3.png,0.6,{name=effect_loop;res=townyiji/cq1.skel},{x=347;y=400}
306,0.7,city/town/map/building/23_4.png,0.7,{name=effect_loop;res=townyiji/xiaoxuanfeng.skel},{x=273;y=260}
307,0.5,city/town/map/building/23_4.png,0.5,{name=effect_loop;res=townyiji/damo.skel},{x=380;y=200}
308,0.6,city/town/map/building/23_4.png,0.6,{name=effect_loop;res=townyiji/cq1.skel},{x=415;y=430}
309,0.3,city/town/map/building/23_4.png,0.3,{name=effect_loop;res=townyiji/cq2.skel},{x=308;y=590}
310,0.7,city/town/map/building/23_5.png,0.7,{name=effect_loop;res=townyiji/xiaoxuanfeng.skel},{x=260;y=228}
311,0.5,city/town/map/building/23_5.png,0.5,{name=effect_loop;res=townyiji/damo.skel},{x=385;y=200}
312,0.5,city/town/map/building/23_5.png,0.5,{name=effect_loop;res=townyiji/cq1.skel},{x=380;y=457}
313,0.3,city/town/map/building/23_5.png,0.4,{name=effect_loop;res=townyiji/cq2.skel},{x=295;y=616}
314,0.6,city/town/map/building/23_5.png,0.6,{name=effect_loop;res=townyiji/zhilu.skel},{x=428;y=355}
315,0.7,city/town/map/building/23_6.png,0.7,{name=effect_loop;res=townyiji/xiaoxuanfeng.skel},{x=265;y=245}
316,0.5,city/town/map/building/23_6.png,0.5,{name=effect_loop;res=townyiji/damo.skel},{x=385;y=200}
317,0.5,city/town/map/building/23_6.png,0.5,{name=effect_loop;res=townyiji/cq1.skel},{x=419;y=460}
318,0.3,city/town/map/building/23_6.png,0.3,{name=effect_loop;res=townyiji/cq2.skel},{x=349;y=552}
319,0.6,city/town/map/building/23_6.png,0.6,{name=effect_loop;res=townyiji/zhilu.skel},{x=384;y=363}
320,,city/town/map/building/23_6.png,,{name=effect_loop;res=townyiji/dayanshe.skel},{x=609;y=438}
321,0.7,city/town/map/building/23_7.png,0.7,{name=effect_loop;res=townyiji/xiaoxuanfeng.skel},{x=290;y=235}
322,0.5,city/town/map/building/23_7.png,0.5,{name=effect_loop;res=townyiji/damo.skel},{x=458;y=215}
323,0.5,city/town/map/building/23_7.png,0.5,{name=effect_loop;res=townyiji/cq1.skel},{x=428;y=454}
324,0.4,city/town/map/building/23_7.png,0.4,{name=effect_loop;res=townyiji/cq2.skel},{x=322;y=555}
325,0.6,city/town/map/building/23_7.png,0.6,{name=effect_loop;res=townyiji/zhilu.skel},{x=491;y=363}
326,,city/town/map/building/23_7.png,,{name=effect_loop;res=townyiji/dayanshe.skel},{x=595;y=468}
401,0.4,city/town/map/building/26_2.png,0.3,{name=effect_loop;res=townyiji/kalakala.skel},{x=180;y=152}
402,0.4,city/town/map/building/26_3.png,0.3,{name=effect_loop;res=townyiji/kalakala.skel},{x=281;y=138}
403,0.4,city/town/map/building/26_4.png,0.3,{name=effect_loop;res=townyiji/kalakala.skel},{x=317;y=178}
404,1.4,city/town/map/building/26_4.png,1.3,{name=effect_loop;res=townyiji/hsjl_hyh.skel},{x=350;y=310}
405,0.4,city/town/map/building/26_5.png,0.35,{name=effect_loop;res=townyiji/kalakala.skel},{x=320;y=295}
406,0.5,city/town/map/building/26_5.png,0.5,{name=effect_loop;res=townyiji/dishu.skel},{x=421;y=335}
407,1.4,city/town/map/building/26_5.png,1.3,{name=effect_loop;res=townyiji/hsjl_hyh.skel},{x=450;y=170}
408,0.4,city/town/map/building/26_6.png,0.35,{name=effect_loop;res=townyiji/kalakala.skel},{x=317;y=295}
409,0.5,city/town/map/building/26_6.png,0.5,{name=effect_loop;res=townyiji/dishu.skel},{x=418;y=340}
410,1.4,city/town/map/building/26_6.png,1.3,{name=effect_loop;res=townyiji/hsjl_hyh.skel},{x=380;y=180}
411,1.33,city/town/map/building/26_6.png,1.3,{name=effect_loop;res=townyiji/hsjl_gld.skel},{x=481;y=187}
412,0.4,city/town/map/building/26_7.png,0.35,{name=effect_loop;res=townyiji/kalakala.skel},{x=317;y=295}
413,0.5,city/town/map/building/26_7.png,0.5,{name=effect_loop;res=townyiji/dishu.skel},{x=418;y=340}
414,1.4,city/town/map/building/26_7.png,1.3,{name=effect_loop;res=townyiji/hsjl_hyh.skel},{x=389;y=195}
415,1.33,city/town/map/building/26_7.png,1.3,{name=effect_loop;res=townyiji/hsjl_gld.skel},{x=462;y=181}
