变量名,param,effectiveTimes,type,desc,lotteryType,duration,weight,relicLevelLimit,award
603,1,3,6,#C0xF76B45#冒险-派遣#C0x5B545B#中，对获得该祝福后进行的派遣任务获得奖励翻倍，持续%d次,12,,60,{15=<30;51>},
604,1,4,6,#C0xF76B45#冒险-派遣#C0x5B545B#中，对获得该祝福后进行的派遣任务获得奖励翻倍，持续%d次,12,,40,{15=<40;51>},
701,0.2,1,7,#C0xF76B45#购买体力#C0x5B545B#时，可多获得%s的体力值，持续%d次,12,,100,{16=<10;51>},
702,0.2,2,7,#C0xF76B45#购买体力#C0x5B545B#时，可多获得%s的体力值，持续%d次,12,,80,{16=<20;51>},
703,0.2,3,7,#C0xF76B45#购买体力#C0x5B545B#时，可多获得%s的体力值，持续%d次,12,,60,{16=<30;51>},
704,0.2,4,7,#C0xF76B45#购买体力#C0x5B545B#时，可多获得%s的体力值，持续%d次,12,,40,{16=<40;51>},
801,0.3,1,8,#C0xF76B45#聚宝#C0x5B545B#时，可多获得%s（在单次聚宝获得金币的基础上）的金币奖励，持续%d次,12,,100,{17=<10;51>},
802,0.3,2,8,#C0xF76B45#聚宝#C0x5B545B#时，可多获得%s（在单次聚宝获得金币的基础上）的金币奖励，持续%d次,12,,80,{17=<20;51>},
803,0.3,3,8,#C0xF76B45#聚宝#C0x5B545B#时，可多获得%s（在单次聚宝获得金币的基础上）的金币奖励，持续%d次,12,,60,{17=<30;51>},
804,0.3,4,8,#C0xF76B45#聚宝#C0x5B545B#时，可多获得%s（在单次聚宝获得金币的基础上）的金币奖励，持续%d次,12,,40,{17=<40;51>},
901,0.1,1,9,#C0xF76B45#家园未知探险#C0x5B545B#中，探险消耗甜点减少%s（在初始值的基础上减少），持续%d次（提前召回祝福不予返还）,13,,100,{14=<10;51>},
902,0.15,2,9,#C0xF76B45#家园未知探险#C0x5B545B#中，探险消耗甜点减少%s（在初始值的基础上减少），持续%d次（提前召回祝福不予返还）,13,,80,{14=<20;51>},
903,0.2,3,9,#C0xF76B45#家园未知探险#C0x5B545B#中，探险消耗甜点减少%s（在初始值的基础上减少），持续%d次（提前召回祝福不予返还）,13,,60,{14=<30;51>},
904,0.25,4,9,#C0xF76B45#家园未知探险#C0x5B545B#中，探险消耗甜点减少%s（在初始值的基础上减少），持续%d次（提前召回祝福不予返还）,13,,40,{14=<40;51>},
905,,,,,13,,1,,
1001,0.1,,10,#C0xF76B45#家园伐木场#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,100,{15=<10;51>},
1002,0.15,,10,#C0xF76B45#家园伐木场#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,80,{15=<20;51>},
1003,0.2,,10,#C0xF76B45#家园伐木场#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,60,{15=<30;51>},
1004,0.25,,10,#C0xF76B45#家园伐木场#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,40,{15=<40;51>},
1101,0.1,,11,#C0xF76B45#家园炼金厂#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,100,{16=<10;51>},
1102,0.15,,11,#C0xF76B45#家园炼金厂#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,80,{16=<20;51>},
1103,0.2,,11,#C0xF76B45#家园炼金厂#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,60,{16=<30;51>},
1104,0.25,,11,#C0xF76B45#家园炼金厂#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,40,{16=<40;51>},
1201,0.1,,12,#C0xF76B45#家园甜品站#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,100,{17=<10;51>},
1202,0.15,,12,#C0xF76B45#家园甜品站#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,80,{17=<20;51>},
1203,0.2,,12,#C0xF76B45#家园甜品站#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,60,{17=<30;51>},
1204,0.25,,12,#C0xF76B45#家园甜品站#C0x5B545B#中，生产速度增加%s/小时（在初始速度的基础上），持续%d小时,13,6,40,{17=<40;51>},
2001,,,,,14,,100,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{502=2}
2002,,,,,14,,50,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{521=1}
2011,,,,,14,,100,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{gold=500000}
2012,,,,,14,,30,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{gold=1000000}
2021,,,,,14,,100,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{rmb=88}
2022,,,,,14,,30,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{rmb=188}
2031,,,,,14,,30,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{stamina=60}
2032,,,,,14,,15,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{stamina=100}
2041,,,,,14,,1,,
2051,,,,,14,,80,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{519=1;527=1;531=1;537=1;541=1}
2052,,,,,14,,30,{14=<10;51>;15=<10;51>;16=<10;51>;17=<10;51>},{519=2;527=2;531=2;537=2;541=2}
