变量名,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,desc,jumpTo,languages
1016,1,3,3,300,,,30,{453=10;rmb=100},,4,Professional training,Total privilege type point reaches level 300,trainer,
1017,1,4,401,60,1,,20,{rmb=20;talent_point=5},,,Start from the basics,Assign 60 talent points to base talent,talent,
1018,1,4,401,120,1,,20,{rmb=20;talent_point=5},,2,Start from the basics,Assign 120 talent points to base talent,talent,
1019,1,4,401,240,1,,30,{rmb=20;talent_point=5},,3,Start from the basics,Assign 240 talent points to base talent,talent,
1020,1,4,402,100,2,,10,{rmb=20;talent_point=5},,,The Proficient,Assign 100 talent points to upgrade talent,talent,
1021,1,4,402,200,2,,20,{rmb=20;talent_point=5},,2,The Proficient,Assign 200 talent points to upgrade talent,talent,
1022,1,4,402,400,2,,30,{rmb=20;talent_point=5},,3,The Proficient,Assign 400 talent points to upgrade talent,talent,
1023,1,4,403,100,3,,10,{rmb=30;talent_point=5},,,Element ambassador,Assign 100 talent points from the elemental talent,talent,
1024,1,4,403,200,3,,20,{rmb=30;talent_point=5},,2,Element ambassador,Assign 200 talent points to the elemental talent,talent,
1025,1,4,403,400,3,,30,{rmb=30;talent_point=5},,3,Element ambassador,Assign 400 talent points to the elemental talent,talent,
1026,1,4,403,800,3,,30,{rmb=50;talent_point=10},,4,Element ambassador,Assign 800 talent points to the elemental talent,talent,
1027,1,4,403,1600,3,,30,{2501=1;rmb=150},FALSE,5,Element ambassador,Assign 1600 talent points to the elemental talent,talent,
1028,1,5,5,200,,,20,{rmb=20;talent_point=5},,,Talent Expert,Assign 200 talent points from the total,talent,
1029,1,5,5,500,,,30,{rmb=30;talent_point=5},,2,Talent Expert,Assign 500 talent points from the total,talent,
1030,1,5,5,1000,,,30,{rmb=50;talent_point=10},,3,Talent Expert,Assign 1000 talent points from the total,talent,
1031,1,5,5,2000,,,50,{rmb=100;talent_point=10},,4,Talent Expert,Assign 2000 talent points from the total,talent,
1032,1,6,6,3,,,10,{4000=30;rmb=30},,,Mecha Rookie,Activate 3 Explorer Device,explorer,
1033,1,6,6,6,,,20,{4000=30;rmb=30},,2,Mecha Expert,Activate 6 Explorer Device,explorer,
1034,1,6,6,9,,,30,{4000=30;rmb=30},,3,Mecha Master,Activate 9 Explorer Device,explorer,
1035,1,6,6,12,,,30,{4000=30;rmb=30},FALSE,4,Device,Activate 12 Explorer Device,explorer,
1036,1,7,706,1,6,,20,{4000=30;rmb=100},,,Doduo's Scanner,Activate Doduo's Scanner,explorer,
1037,1,7,707,1,7,,20,{4000=30;rmb=100},,,Poliwhirl Explorer Device,Activate Poliwhirl Explorer Device,explorer,
1038,1,7,708,1,8,,30,{4000=50;rmb=200},,,Pseudo-legendary Aircraft,Activate Pseudo-legendary Aircraft,explorer,
1039,1,7,709,1,9,,30,{4000=50;rmb=200},,,Volcanion Airship,Activate Volcanion Airship,explorer,
1040,1,8,8,3,,,15,{4000=50;rmb=30},,,Rookie Assembler,Attain level 3for any Explorer Device,explorer,
1041,1,8,8,6,,,20,{4000=50;rmb=50},,2,Beginner Assembler,Attain level 6for any Explorer Device,explorer,
1042,1,8,8,9,,,20,{4000=50;rmb=50},,3,Senior Assembler,Attain level 9for any Explorer Device,explorer,
1043,1,8,8,12,,,30,{4000=100;rmb=100},,4,Advanced Assembler,Attain level 12for any Explorer Device,explorer,
1044,1,8,8,15,,,30,{4000=100;rmb=100},,5,Assembling Master,Attain level 15for any Explorer Device,explorer,
1045,1,8,8,20,,,30,{4000=200;rmb=200},FALSE,6,Explorer Device level,Attain level 20for any Explorer Device,explorer,
1046,1,9,9,100000,,,20,{gold=20000;rmb=50},,,Little Achiever,Trainer's combat power reaches 100000,strengthen-1,
1047,1,9,9,200000,,,20,{gold=20000;rmb=50},,2,You have the ability to fight!,Trainer's combat power reaches 200000,strengthen-1,
1048,1,9,9,500000,,,30,{gold=20000;rmb=50},,3,Try me if you're not convinced,Trainer's combat power reaches 500000,strengthen-1,
1049,1,9,9,1000000,,,50,{gold=20000;rmb=100},,4,Anyone else,Trainer's combat power reaches 1000000,strengthen-1,
1050,1,9,9,1500000,,,50,{gold=20000;rmb=200},,5,Unbeatable loneliness,Trainer's combat power reaches 1500000,strengthen-1,
1051,1,9,9,2000000,,,50,{gold=20000;rmb=300},,6,The Informidable,Trainer's combat power reaches 2000000,strengthen-1,
1052,1,10,10,3000000,,,10,{gold=20000;rmb=30},,,Entrepreneur,Own 3000000 coins in total,gainGold,
1053,1,10,10,6000000,,,10,{gold=20000;rmb=30},,2,The First Bucket of Gold,Own 6000000 coins in total,gainGold,
1054,1,10,10,15000000,,,10,{gold=20000;rmb=30},,3,Financial Rookie,Own 15000000 coins in total,gainGold,
1055,1,10,10,30000000,,,20,{gold=20000;rmb=30},,4,Financial Leader,Own 30000000 coins in total,gainGold,
1056,1,10,10,60000000,,,20,{gold=20000;rmb=30},,5,Money Saving Expert,Own 60000000 coins in total,gainGold,
1057,1,10,10,150000000,,,30,{gold=20000;rmb=50},,6,Financial Giant,Own 150000000 coins in total,gainGold,
1058,1,10,10,300000000,,,50,{gold=20000;rmb=50},,7,Entering the Wealthy ranking,Own 300000000 coins in total,gainGold,
1059,1,10,10,600000000,,,50,{gold=20000;rmb=50},,8,World's Richest,Own 600000000 coins in total,gainGold,
1060,1,10,10,1500000000,,,50,{gold=20000;rmb=50},,9,Infinite amount of money,Own 1500000000 coins in total,gainGold,
1061,1,11,11,3000000,,,10,{gold=20000;rmb=30},,,Easy-peasy,Spend 3000000 coins in total,,
1062,1,11,11,6000000,,,10,{gold=20000;rmb=30},,2,Don't feel bad for spilling it,Spend 6000000 coins in total,,
1063,1,11,11,15000000,,,10,{gold=20000;rmb=30},,3,Few packets of money,Spend 15000000 coins in total,,
1064,1,11,11,30000000,,,20,{gold=20000;rmb=50},,4,Take the Mercedes Sportscar for a spin,Spend 30000000 coins in total,,
1065,1,11,11,60000000,,,20,{gold=20000;rmb=50},,5,Live in bangalows and mansions,Spend 60000000 coins in total,,
1066,1,11,11,150000000,,,30,{gold=20000;rmb=50},,6,Buy yachtes and mansions,Spend 150000000 coins in total,,
1067,1,11,11,300000000,,,50,{gold=20000;rmb=100},,7,Not in short of money,Spend 300000000 coins in total,,
1068,1,11,11,600000000,,,50,{gold=20000;rmb=200},,8,Clumsy,Spend 600000000 coins in total,,
1069,1,11,11,1500000000,,,50,{gold=20000;rmb=200},,9,Spendthrift,Spend 1500000000 coins in total,,
1070,1,12,12,5000,,,20,{gold=20000;rmb=30},,,Earn the nickels and dimes,Owns diamond 5000in total,,
1071,1,12,12,10000,,,20,{gold=20000;rmb=30},,2,Earning big money,Owns diamond 10000in total,,
1072,1,12,12,20000,,,20,{gold=20000;rmb=30},,3,You're welcome,Owns diamond 20000in total,,
1073,1,12,12,50000,,,30,{gold=20000;rmb=50},,4,Wise Investor,Owns diamond 50000in total,,
1074,1,12,12,100000,,,30,{gold=20000;rmb=50},,5,Golden Pig,Owns diamond 100000in total,,
1075,1,12,12,200000,,,30,{gold=20000;rmb=50},,6,Wealthy Butterfly,Owns diamond 200000in total,,
1076,1,12,12,500000,,,50,{gold=20000;rmb=50},,7,Tycoon,Owns diamond 500000in total,,
1077,1,12,12,1000000,,,50,{gold=20000;rmb=100},,8,Tycoon,Owns diamond 1000000in total,,
1078,1,12,12,5000000,,,50,{gold=20000;rmb=100},,9,Tycoon,Owns diamond 5000000in total,,
1079,1,13,13,5000,,,20,{gold=20000;rmb=30},,,Eat and drink well,Spends 5000 diamonds in total,,
1080,1,13,13,10000,,,20,{gold=20000;rmb=30},,2,Buy whatever you feel like buying,Spends 10000 diamonds in total,,
1081,1,13,13,20000,,,20,{gold=20000;rmb=50},,3,Blind Shopping,Spends 20000 diamonds in total,,
1082,1,13,13,50000,,,30,{gold=20000;rmb=50},,4,Only choose what you like,Spends 50000 diamonds in total,,
1083,1,13,13,100000,,,30,{gold=20000;rmb=50},,5,Only choose the most expensive,Spends 100000 diamonds in total,,
1084,1,13,13,200000,,,30,{gold=20000;rmb=100},,6,"Do anything you want, you're rich",Spends 200000 diamonds in total,,
1085,1,13,13,500000,,,50,{gold=20000;rmb=100},,7,Mysterious Rich Man,Spends 500000 diamonds in total,,
1086,1,13,13,1000000,,,50,{gold=20000;rmb=200},,8,Mysterious Rich Man,Spends 1000000 diamonds in total,,
1087,1,13,13,5000000,,,50,{gold=20000;rmb=300},,9,Mysterious Rich Man,Spends 5000000 diamonds in total,,
1088,1,3,3,600,,,50,{453=20;rmb=200},FALSE,5,Grand training,Total privilege type point reaches level 600,trainer,
1089,1,3,3,1000,,,50,{453=50;rmb=300},FALSE,6,Master training,Total privilege type point reaches level 1000,trainer,
1090,1,,,124,,,30,{14=30;rmb=100},FALSE,9,Adamant Trainer,Reach Trainer Level 124,10000,
1091,1,,,129,,,30,{14=30;rmb=100},FALSE,10,Adamant Trainer,Reach Trainer Level 129,10000,
1092,1,,,134,,,30,{14=30;rmb=100},FALSE,11,不屈的训练家,人物等级达到134,10000,
1093,1,,,139,,,30,{14=30;rmb=100},FALSE,12,不屈的训练家,人物等级达到139,10000,
1094,1,,,144,,,30,{14=30;rmb=100},FALSE,13,不屈的训练家,人物等级达到144,10000,
1095,1,,,149,,,30,{14=30;rmb=100},FALSE,14,不屈的训练家,人物等级达到149,10000,
1101,1,82,82,1,31,,50,{gold=20000;rmb=50},,,perfect!,The individual value of any Pokémon is refined to all perfection,,
1102,1,82,82,10,31,,50,{gold=20000;rmb=500},,2,perfect!,Have a total of 10 geniuses all perfect,,
1103,1,83,83,300,,,30,{gold=20000;rmb=30},FALSE,,I am all,A total of 300 pieces of fragments were given away in the Wishing Center,,
1104,1,84,84,1000,,,30,{gold=20000;rmb=50},FALSE,,Normal refresh,"Selected stores have been manually refreshed 1,000 times in total",,
1105,1,85,85,300,,,30,{gold=20000;rmb=100},FALSE,,Mystery refresh,The Mystery Store has been manually refreshed 300 times in total,,
1106,1,88,88,1,2200,,50,{gold=20000;rmb=200},,,Index 2200!,The quality index of any Pokémon's runestone reaches 2200,,<cn;kr;tw;en;en_us;en_eu>
1107,1,87,87,100,6,,50,{gold=20000;rmb=200},FALSE,,Red gem,Acquired a total of 100 red quality gems,,<cn;kr;tw;en;en_us;en_eu>
2001,2,14,14,10,,,10,{13=10;rmb=30},,,Did you just get the Pokédex?,Unlock 10 Pokémons in Pokédex,handbook,
2002,2,14,14,25,,,10,{13=10;rmb=30},,2,Begin the Pokémon Adventure,Unlock 25 Pokémons in Pokédex,handbook,
2003,2,14,14,50,,,10,{13=10;rmb=50},,3,Go for an adventure for some time,Unlock 50 Pokémons in Pokédex,handbook,
2004,2,14,14,100,,,20,{13=10;rmb=50},,4,Collect more than a hundred,Unlock 100 Pokémons in Pokédex,handbook,
2005,2,14,14,150,,,30,{13=20;rmb=50},,5,You've caught many Pokémons,Unlock 150 Pokémons in Pokédex,handbook,
2006,2,14,14,200,,,40,{13=20;rmb=50},,6,Unstoppable,Unlock 200 Pokémons in Pokédex,handbook,
2007,2,14,14,250,,,50,{13=20;2003=1;rmb=50},,7,Pokedex250,Unlock 250 Pokémons in Pokédex,handbook,
2008,2,14,14,300,,,50,{13=20;rmb=50},,8,Complete all Pokédex entries!,Unlock 300 Pokémons in Pokédex,handbook,
2009,2,15,1501,5,1,,10,{13=10;rmb=30},,,Normal-type Collector,Collect 5 Normal-type Pokémons,handbook,
2010,2,15,1501,10,1,,15,{13=10;rmb=30},,2,Normal-type Collector,Collect 10 Normal-type Pokémons,handbook,
2011,2,15,1501,15,1,,20,{13=10;rmb=30},,3,Normal-type Collector,Collect 15 Normal-type Pokémons,handbook,
2012,2,15,1501,20,1,,20,{13=10;rmb=30},,4,Normal-type Collector,Collect 20 Normal-type Pokémons,handbook,
2013,2,15,1501,30,1,,30,{13=10;rmb=30},,5,Normal-type Collector,Collect 30 Normal-type Pokémons,handbook,
2014,2,15,1502,5,2,,10,{13=10;rmb=30},,,Fire-type Collector,Collect 5 Fire-type Pokémons,handbook,
2015,2,15,1502,10,2,,15,{13=10;rmb=30},,2,Fire-type Collector,Collect 10 Fire-type Pokémons,handbook,
2016,2,15,1502,15,2,,20,{13=10;rmb=30},,3,Fire-type Collector,Collect 15 Fire-type Pokémons,handbook,
2017,2,15,1502,20,2,,20,{13=10;rmb=30},,4,Fire-type Collector,Collect 20 Fire-type Pokémons,handbook,
2018,2,15,1502,30,2,,30,{13=10;rmb=30},,5,Fire-type Collector,Collect 30 Fire-type Pokémons,handbook,
2019,2,15,1503,5,3,,10,{13=10;rmb=30},,,Water-type Collector,Collect 5 Water-type Pokémons,handbook,
2020,2,15,1503,10,3,,15,{13=10;rmb=30},,2,Water-type Collector,Collect 10 Water-type Pokémons,handbook,
2021,2,15,1503,15,3,,20,{13=10;rmb=30},,3,Water-type Collector,Collect 15 Water-type Pokémons,handbook,
2022,2,15,1503,20,3,,20,{13=10;rmb=30},,4,Water-type Collector,Collect 20 Water-type Pokémons,handbook,
2023,2,15,1503,30,3,,30,{13=10;rmb=30},,5,Water-type Collector,Collect 30 Water-type Pokémons,handbook,
2024,2,15,1504,5,4,,10,{13=10;rmb=30},,,Grass-type Collector,Collect 5 Grass-type Pokémons,handbook,
2025,2,15,1504,10,4,,15,{13=10;rmb=30},,2,Grass-type Collector,Collect 10 Grass-type Pokémons,handbook,
2026,2,15,1504,15,4,,20,{13=10;rmb=30},,3,Grass-type Collector,Collect 15 Grass-type Pokémons,handbook,
2027,2,15,1504,20,4,,20,{13=10;rmb=30},,4,Grass-type Collector,Collect 20 Grass-type Pokémons,handbook,
2028,2,15,1504,30,4,,30,{13=10;rmb=30},,5,Grass-type Collector,Collect 30 Grass-type Pokémons,handbook,
2029,2,15,1505,5,5,,10,{13=10;rmb=30},,,Electric-type Collector,Collect 5 Electric-type Pokémons,handbook,
2030,2,15,1505,10,5,,15,{13=10;rmb=30},,2,Electric-type Collector,Collect 10 Electric-type Pokémons,handbook,
2031,2,15,1505,15,5,,20,{13=10;rmb=30},,3,Electric-type Collector,Collect 15 Electric-type Pokémons,handbook,
2032,2,15,1505,20,5,,20,{13=10;rmb=30},,4,Electric-type Collector,Collect 20 Electric-type Pokémons,handbook,
2033,2,15,1505,30,5,,30,{13=10;rmb=30},,5,Electric-type Collector,Collect 30 Electric-type Pokémons,handbook,
2034,2,15,1506,5,6,,10,{13=10;rmb=30},,,Ice-type Collector,Collect 5 Ice-type Pokémons,handbook,
2035,2,15,1506,10,6,,15,{13=10;rmb=30},,2,Ice-type Collector,Collect 10 Ice-type Pokémons,handbook,
2036,2,15,1506,15,6,,20,{13=10;rmb=30},,3,Ice-type Collector,Collect 15 Ice-type Pokémons,handbook,
2037,2,15,1506,20,6,,20,{13=10;rmb=30},,4,Ice-type Collector,Collect 20 Ice-type Pokémons,handbook,
2038,2,15,1506,30,6,,30,{13=10;rmb=30},,5,Ice-type Collector,Collect 30 Ice-type Pokémons,handbook,
2039,2,15,1507,5,7,,10,{13=10;rmb=30},,,Fighting-type Collector,Collect 5 Fighting-type Pokémons,handbook,
2040,2,15,1507,10,7,,15,{13=10;rmb=30},,2,Fighting-type Collector,Collect 10 Fighting-type Pokémons,handbook,
2041,2,15,1507,15,7,,20,{13=10;rmb=30},,3,Fighting-type Collector,Collect 15 Fighting-type Pokémons,handbook,
2042,2,15,1507,20,7,,20,{13=10;rmb=30},,4,Fighting-type Collector,Collect 20 Fighting-type Pokémons,handbook,
2043,2,15,1507,30,7,,30,{13=10;rmb=30},,5,Fighting-type Collector,Collect 30 Fighting-type Pokémons,handbook,
2044,2,15,1508,5,8,,10,{13=10;rmb=30},,,Poison-type Collector,Collect 5 Poison-type Pokémons,handbook,
2045,2,15,1508,10,8,,15,{13=10;rmb=30},,2,Poison-type Collector,Collect 10 Poison-type Pokémons,handbook,
2046,2,15,1508,15,8,,20,{13=10;rmb=30},,3,Poison-type Collector,Collect 15 Poison-type Pokémons,handbook,
2047,2,15,1508,20,8,,20,{13=10;rmb=30},,4,Poison-type Collector,Collect 20 Poison-type Pokémons,handbook,
2048,2,15,1508,30,8,,30,{13=10;rmb=30},,5,Poison-type Collector,Collect 30 Poison-type Pokémons,handbook,
2049,2,15,1509,5,9,,10,{13=10;rmb=30},,,Ground-type Collector,Collect 5 Ground-type Pokémons,handbook,
2050,2,15,1509,10,9,,15,{13=10;rmb=30},,2,Ground-type Collector,Collect 10 Ground-type Pokémons,handbook,
2051,2,15,1509,15,9,,20,{13=10;rmb=30},,3,Ground-type Collector,Collect 15 Ground-type Pokémons,handbook,
2052,2,15,1509,20,9,,20,{13=10;rmb=30},,4,Ground-type Collector,Collect 20 Ground-type Pokémons,handbook,
2053,2,15,1509,30,9,,30,{13=10;rmb=30},,5,Ground-type Collector,Collect 30 Ground-type Pokémons,handbook,
2054,2,15,1510,5,10,,10,{13=10;rmb=30},,,Flying-type Collector,Collect 5 Flying-type Pokémons,handbook,
2055,2,15,1510,10,10,,15,{13=10;rmb=30},,2,Flying-type Collector,Collect 10 Flying-type Pokémons,handbook,
2056,2,15,1510,15,10,,20,{13=10;rmb=30},,3,Flying-type Collector,Collect 15 Flying-type Pokémons,handbook,
2057,2,15,1510,20,10,,20,{13=10;rmb=30},,4,Flying-type Collector,Collect 20 Flying-type Pokémons,handbook,
2058,2,15,1510,30,10,,30,{13=10;rmb=30},,5,Flying-type Collector,Collect 30 Flying-type Pokémons,handbook,
2059,2,15,1511,5,11,,10,{13=10;rmb=30},,,Psychic-type Collector,Collect 5 Psychic-type Pokémons,handbook,
2060,2,15,1511,10,11,,15,{13=10;rmb=30},,2,Psychic-type Collector,Collect 10 Psychic-type Pokémons,handbook,
2061,2,15,1511,15,11,,20,{13=10;rmb=30},,3,Psychic-type Collector,Collect 15 Psychic-type Pokémons,handbook,
2062,2,15,1511,20,11,,20,{13=10;rmb=30},,4,Psychic-type Collector,Collect 20 Psychic-type Pokémons,handbook,
2063,2,15,1511,30,11,,30,{13=10;rmb=30},,5,Psychic-type Collector,Collect 30 Psychic-type Pokémons,handbook,
2064,2,15,1512,5,12,,10,{13=10;rmb=30},,,Bug-type Collector,Collect 5 Bug-type Pokémons,handbook,
2065,2,15,1512,10,12,,15,{13=10;rmb=30},,2,Bug-type Collector,Collect 10 Bug-type Pokémons,handbook,
2066,2,15,1512,15,12,,20,{13=10;rmb=30},,3,Bug-type Collector,Collect 15 Bug-type Pokémons,handbook,
2067,2,15,1512,20,12,,20,{13=10;rmb=30},,4,Bug-type Collector,Collect 20 Bug-type Pokémons,handbook,
2068,2,15,1512,30,12,,30,{13=10;rmb=30},,5,Bug-type Collector,Collect 30 Bug-type Pokémons,handbook,
2069,2,15,1513,5,13,,10,{13=10;rmb=30},,,Stone-type Collector,Collect 5 Rock-type Pokémons,handbook,
2070,2,15,1513,10,13,,15,{13=10;rmb=30},,2,Stone-type Collector,Collect 10 Rock-type Pokémons,handbook,
2071,2,15,1513,15,13,,20,{13=10;rmb=30},,3,Stone-type Collector,Collect 15 Rock-type Pokémons,handbook,
2072,2,15,1513,20,13,,20,{13=10;rmb=30},,4,Stone-type Collector,Collect 20 Rock-type Pokémons,handbook,
2073,2,15,1513,30,13,,30,{13=10;rmb=30},,5,Stone-type Collector,Collect 30 Rock-type Pokémons,handbook,
2074,2,15,1514,5,14,,10,{13=10;rmb=30},,,Ghost-type Collector,Collect 5 Ghost-type Pokémons,handbook,
2075,2,15,1514,10,14,,15,{13=10;rmb=30},,2,Ghost-type Collector,Collect 10 Ghost-type Pokémons,handbook,
2076,2,15,1514,15,14,,20,{13=10;rmb=30},,3,Ghost-type Collector,Collect 15 Ghost-type Pokémons,handbook,
2077,2,15,1514,20,14,,20,{13=10;rmb=30},,4,Ghost-type Collector,Collect 20 Ghost-type Pokémons,handbook,
2078,2,15,1514,30,14,,30,{13=10;rmb=30},,5,Ghost-type Collector,Collect 30 Ghost-type Pokémons,handbook,
2079,2,15,1515,5,15,,10,{13=10;rmb=30},,,Dragon-type Collector,Collect 5 Dragon-type Pokémons,handbook,
2080,2,15,1515,10,15,,15,{13=10;rmb=30},,2,Dragon-type Collector,Collect 10 Dragon-type Pokémons,handbook,
2081,2,15,1515,15,15,,20,{13=10;rmb=30},,3,Dragon-type Collector,Collect 15 Dragon-type Pokémons,handbook,
2082,2,15,1515,20,15,,20,{13=10;rmb=30},,4,Dragon-type Collector,Collect 20 Dragon-type Pokémons,handbook,
2083,2,15,1515,30,15,,30,{13=10;rmb=30},,5,Dragon-type Collector,Collect 30 Dragon-type Pokémons,handbook,
2084,2,15,1516,5,16,,10,{13=10;rmb=30},,,Dark-type Collector,Collect 5 Dark-type Pokémons,handbook,
2085,2,15,1516,10,16,,15,{13=10;rmb=30},,2,Dark-type Collector,Collect 10 Dark-type Pokémons,handbook,
2086,2,15,1516,15,16,,20,{13=10;rmb=30},,3,Dark-type Collector,Collect 15 Dark-type Pokémons,handbook,
2087,2,15,1516,20,16,,20,{13=10;rmb=30},,4,Dark-type Collector,Collect 20 Dark-type Pokémons,handbook,
2088,2,15,1516,30,16,,30,{13=10;rmb=30},,5,Dark-type Collector,Collect 30 Dark-type Pokémons,handbook,
2089,2,15,1517,5,17,,10,{13=10;rmb=30},,,Steel-type Collector,Collect 5 Steel-type Pokémons,handbook,
2090,2,15,1517,10,17,,15,{13=10;rmb=30},,2,Steel-type Collector,Collect 10 Steel-type Pokémons,handbook,
2091,2,15,1517,15,17,,20,{13=10;rmb=30},,3,Steel-type Collector,Collect 15 Steel-type Pokémons,handbook,
2092,2,15,1517,20,17,,20,{13=10;rmb=30},,4,Steel-type Collector,Collect 20 Steel-type Pokémons,handbook,
2093,2,15,1517,30,17,,30,{13=10;rmb=30},,5,Steel-type Collector,Collect 30 Steel-type Pokémons,handbook,
2094,2,15,1518,5,18,,10,{13=10;rmb=30},,,Fairy-type Collector,Collect 5 Fairy-type Pokémons,handbook,
2095,2,15,1518,10,18,,15,{13=10;rmb=30},,2,Fairy-type Collector,Collect 10 Fairy-type Pokémons,handbook,
2096,2,15,1518,15,18,,20,{13=10;rmb=30},,3,Fairy-type Collector,Collect 15 Fairy-type Pokémons,handbook,
2097,2,15,1518,20,18,,20,{13=10;rmb=30},,4,Fairy-type Collector,Collect 20 Fairy-type Pokémons,handbook,
2098,2,15,1518,30,18,,30,{13=10;rmb=30},,5,Fairy-type Collector,Collect 30 Fairy-type Pokémons,handbook,
2099,2,14,14,350,,,50,{13=20;rmb=50},,9,Complete all Pokédex entries!,350 activation Pokémons,handbook,
2100,2,14,14,400,,,50,{13=20;rmb=50},,10,Complete all Pokédex entries!,400 activation Pokémons,handbook,
2101,2,14,14,450,,,50,{14=10;rmb=100},FALSE,11,Complete all Pokédex entries!,450 activation Pokémons,handbook,
2102,2,14,14,500,,,50,{14=15;rmb=150},FALSE,12,Complete all Pokédex entries!,500 activation Pokémons,handbook,
2103,2,14,14,550,,,50,{14=20;rmb=200},FALSE,13,Complete all Pokédex entries!,550 activation Pokémons,handbook,
2104,2,14,14,600,,,50,{14=30;rmb=300},FALSE,14,Complete all Pokédex entries!,600 activation Pokémons,handbook,
2105,2,15,1501,40,1,,30,{14=5;rmb=30},FALSE,6,Normal-type Collector,Collect 40 general Pokémon,handbook,
2106,2,15,1501,60,1,,30,{14=5;rmb=50},FALSE,7,Normal-type Collector,Collect 60 general Pokémon,handbook,
2107,2,15,1501,80,1,,30,{14=5;rmb=50},FALSE,8,Normal-type Collector,Collect 80 general Pokémon,handbook,
2108,2,15,1502,40,2,,30,{14=5;rmb=30},FALSE,6,Fire-type Collector,Collect 40 fire Pokémon,handbook,
2109,2,15,1502,60,2,,30,{14=5;rmb=50},FALSE,7,Fire-type Collector,Collect 60 Fire Pokémon,handbook,
2110,2,15,1502,80,2,,30,{14=5;rmb=50},FALSE,8,Fire-type Collector,Collect 80 fire Pokémon,handbook,
2111,2,15,1503,40,3,,30,{14=5;rmb=30},FALSE,6,Water-type Collector,Collect 40 water spirits,handbook,
2112,2,15,1503,60,3,,30,{14=5;rmb=50},FALSE,7,Water-type Collector,Collect 60 water Pokémon,handbook,
2113,2,15,1503,80,3,,30,{14=5;rmb=50},FALSE,8,Water-type Collector,Collect 80 water spirits,handbook,
2114,2,15,1504,40,4,,30,{14=5;rmb=30},FALSE,6,Grass-type Collector,Collect 40 Grass Pokémon,handbook,
2115,2,15,1504,60,4,,30,{14=5;rmb=50},FALSE,7,Grass-type Collector,Collect 60 Grass Pokémon,handbook,
2116,2,15,1504,80,4,,30,{14=5;rmb=50},FALSE,8,Grass-type Collector,Collect 80 Grass Pokémon,handbook,
2117,2,15,1505,40,5,,30,{14=5;rmb=30},FALSE,6,Electric-type Collector,Collect 40 electric Pokémon,handbook,
2118,2,15,1505,60,5,,30,{14=5;rmb=50},FALSE,7,Electric-type Collector,Collect 60 electric Pokémon,handbook,
2119,2,15,1506,40,6,,30,{14=5;rmb=30},FALSE,6,Ice-type Collector,Collect 40 ice Pokémon,handbook,
2120,2,15,1507,40,7,,30,{14=5;rmb=30},FALSE,6,Fighting-type Collector,Collection of 40 fighting spirits,handbook,
2121,2,15,1507,50,7,,30,{14=5;rmb=50},FALSE,7,Fighting-type Collector,Collect 50 fighting Pokémon,handbook,
2122,2,15,1508,40,8,,30,{14=5;rmb=30},FALSE,6,Poison-type Collector,Collect 40 poison Pokémon,handbook,
2123,2,15,1508,60,8,,30,{14=5;rmb=50},FALSE,7,Poison-type Collector,Collect 60 poison Pokémon,handbook,
2124,2,15,1509,40,9,,30,{14=5;rmb=30},FALSE,6,Ground-type Collector,Collect 40 ground Pokémon,handbook,
