变量名,level,type,point,award,icon,boxIcon,spine
41,40,,17000,{gold=198000;rmb=450},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
42,41,,17500,{gold=198000;rmb=450},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie4_effect
43,42,,18000,{gold=198000;rmb=450},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie4_effect
44,43,,18500,{gold=198000;rmb=450},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie5_effect
45,44,,19000,{gold=198000;rmb=450},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie5_effect
46,45,,19500,{gold=220000;rmb=500},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie5_effect
47,46,,20000,{gold=220000;rmb=500},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie5_effect
48,47,,20500,{gold=220000;rmb=500},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie5_effect
49,48,,21000,{gold=220000;rmb=500},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie5_effect
50,49,,21500,{gold=220000;rmb=500},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie5_effect
51,50,,22000,{gold=242000;rmb=550},city/task/achievement/icon_cjdw5.png,config/item/box/box_4_5.png,jinjie5_effect
1001,,1,,,,config/item/box/box_13_1.png,
1002,1,1,200,{520=2;gold=40000;talent_point=5},,config/item/box/box_13_1.png,
1003,2,1,500,{520=2;gold=40000;talent_point=5},,config/item/box/box_13_1.png,
1004,3,1,1000,{520=2;gold=40000;talent_point=5},,config/item/box/box_13_1.png,
1005,4,1,1500,{520=2;gold=40000;talent_point=5},,config/item/box/box_13_1.png,
1006,5,1,2000,{520=2;gold=40000;talent_point=5},,config/item/box/box_13_1.png,
1007,6,1,2500,{520=2;gold=70000;talent_point=5},,config/item/box/box_13_2.png,
1008,7,1,3000,{520=2;gold=70000;talent_point=5},,config/item/box/box_13_2.png,
2001,,2,,,,config/item/box/box_13_1.png,
2002,1,2,200,{14=20;gold=40000},,config/item/box/box_13_1.png,
2003,2,2,400,{14=20;gold=40000},,config/item/box/box_13_1.png,
2004,3,2,800,{14=20;gold=40000},,config/item/box/box_13_1.png,
2005,4,2,1200,{14=20;gold=70000},,config/item/box/box_13_1.png,
2006,5,2,1800,{14=20;gold=70000},,config/item/box/box_13_1.png,
2007,6,2,2400,{14=30;gold=70000},,config/item/box/box_13_1.png,
2008,7,2,3000,{14=30;gold=100000},,config/item/box/box_13_2.png,
3001,,3,,,,config/item/box/box_13_1.png,
3002,1,3,100,{930=20;gold=40000},,config/item/box/box_13_1.png,
3003,2,3,300,{930=20;gold=40000},,config/item/box/box_13_1.png,
3004,3,3,500,{930=20;gold=40000},,config/item/box/box_13_1.png,
3005,4,3,800,{930=20;gold=70000},,config/item/box/box_13_1.png,
3006,5,3,1200,{930=20;gold=70000},,config/item/box/box_13_1.png,
3007,6,3,1600,{930=30;gold=70000},,config/item/box/box_13_2.png,
3008,7,3,2000,{930=30;gold=100000},,config/item/box/box_13_2.png,
3009,8,3,2500,{930=30;gold=100000},,config/item/box/box_13_2.png,
3010,9,3,2000,{930=30;gold=100000},,config/item/box/box_13_2.png,
4001,,4,,,,config/item/box/box_13_1.png,
4002,1,4,100,{524=5;gold=70000},,config/item/box/box_13_1.png,
4003,2,4,200,{524=5;gold=70000},,config/item/box/box_13_1.png,
4004,3,4,300,{524=5;gold=70000},,config/item/box/box_13_1.png,
4005,4,4,400,{524=5;gold=70000},,config/item/box/box_13_1.png,
4006,5,4,500,{524=5;gold=70000},,config/item/box/box_13_1.png,
4007,6,4,600,{525=3;gold=100000},,config/item/box/box_13_2.png,
4008,7,4,700,{525=3;gold=100000},,config/item/box/box_13_2.png,
4009,8,4,800,{525=3;gold=100000},,config/item/box/box_13_2.png,
4010,9,4,1000,{525=5;gold=150000},,config/item/box/box_13_2.png,
4011,10,4,1200,{525=5;gold=150000},,config/item/box/box_13_2.png,
4012,11,4,1500,{525=5;gold=150000},,config/item/box/box_13_2.png,
4013,12,4,2000,{525=5;gold=150000},,config/item/box/box_13_2.png,
4014,13,4,2500,{525=5;gold=150000;rmb=500},,config/item/box/box_13_2.png,
5001,,5,,,,config/item/box/box_13_1.png,
5002,1,5,100,{coin6=1500;gold=70000},,config/item/box/box_13_1.png,
5003,2,5,200,{coin6=2000;gold=70000},,config/item/box/box_13_1.png,
5004,3,5,300,{coin6=2500;gold=70000},,config/item/box/box_13_1.png,
5005,4,5,400,{coin6=3500;gold=70000},,config/item/box/box_13_1.png,
5006,5,5,500,{coin6=4500;gold=70000},,config/item/box/box_13_1.png,
6001,,6,,,,config/item/box/box_13_1.png,
6002,1,6,100,{932=20;gold=70000},,config/item/box/box_13_1.png,
6003,2,6,200,{932=25;gold=70000},,config/item/box/box_13_1.png,
6004,3,6,300,{932=30;gold=70000},,config/item/box/box_13_1.png,
6005,4,6,400,{932=50;gold=70000},,config/item/box/box_13_1.png,
6006,5,6,500,{932=70;gold=70000},,config/item/box/box_13_1.png,
6007,6,6,600,{932=100;gold=100000},,config/item/box/box_13_1.png,
