变量名,name,languages,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,unlock,unlockDesc,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,overture,offPos,chattext1,chattext2,chattext3,crossArenaPos,__version
9,西子伊,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_9@.png,config/big_role/show/img_role_9@.png,config/big_role/act/img_role_9@.png,figure/xiziyi/xiziyi.skel,,config/portrait/qbanrenwu/img_role_9.png,qbanrole/qbxzy.skel,,personal/img_bjt1.png,2,750,,,青海波道馆中的道馆馆主，专长为水属性宝可梦。,{1=1},特殊活动投放,,{2209=1},,9,1%,,10,1%,,,,<70007>,<1>,,,,大海！哦，这片海滩真棒啊！,我的强大就像是大海一样广阔。你一定会吓一跳的！事实胜于雄辩！我们开始吧！,你很强，但在大海面前还是太过渺小！,{x=-30;y=0},
10,杜娟,,config/portrait/toptouxiang/img_role_10@.png,config/big_role/show/img_role_10@.png,config/big_role/act/img_role_10@.png,figure/dujuan/dujuan.skel,,config/portrait/qbanrenwu/img_role_10.png,qbanrole/q_dujuan.skel,,personal/img_bjt.png,,300,,,卡那兹道馆的道馆馆主，学者，专长为岩石属性宝可梦,{1=65},等级到达65级后可解锁,,{rmb=880},,1,1%,,,,,,,<>,<>,,,,你问我什么属性的精灵最好，那还用问么？当然是岩石系啊！,好像有人叫我“醉心于岩石的高材生！”，其实我也没有那么夸张啦,你要使用哪种宝可梦，如何对战，可以告诉我吗？,{x=-40;y=0},
11,阿克罗玛,<cn;kr;en;tw;en_eu;en_us>,config/portrait/toptouxiang/img_role_11@.png,config/big_role/show/img_role_11@.png,config/big_role/show/img_role_11@.png,figure/aklm/aklm.skel,,config/portrait/qbanrenwu/img_role_11.png,qbanrole/aklm.skel,,personal/img_bjt1.png,2,160,,,专注于研究宝可梦隐藏的力量和才能，是个神秘的男人。,{1=1},特殊活动投放,,{2211=1},,1,1%,,,,,,,<70019>,<1>,,,,卫星头?  我挺喜欢别人这样叫我的，因为我是位科学家,据说10号道路上的石头会释放神秘的能量,训练家和精灵之间的羁绊可是非常重要的,{x=-160;y=0},
12,亚莎,,config/portrait/toptouxiang/img_role_12@.png,config/big_role/show/img_role_12@.png,config/big_role/show/img_role_12@.png,figure/yasha/yasha.skel,,config/portrait/qbanrenwu/img_role_12.png,qbanrole/yasha.skel,,personal/img_bjt.png,2,550,,,"釜炎镇的官方道馆，釜炎道馆的道馆馆主,专长为火属性精灵",{1=1},公会内兑换获得,,{2212=1},,10,1%,,,,,,,<70013>,<1>,,,,虽然我是新人道馆馆主，别小看我哦,强行用严厉口气说话，还真不太适合我,一天劳累之后，去泡个温泉吧,{x=-30;y=0},
13,修,,config/portrait/toptouxiang/img_role_13@.png,config/big_role/show/img_role_13@.png,config/big_role/act/img_role_13@.png,figure/xiu/xiu.skel,,config/portrait/qbanrenwu/img_role_13.png,qbanrole/q_xiu.skel,,personal/img_bjt1.png,2,900,,{x=-200;y=0},热衷于宝可梦对战和变强，是个疼爱妹妹的好哥哥。,{5=15},贵族15级可解锁,,{2213=1},,7,2%,,8,2%,,,,<70006>,<1>,,,,除了变强，还有什么别的东西需要在意么！,有时间在意那些女生的话不如去特训啊！,别来烦我！,{x=0;y=0},
14,霍米加,,config/portrait/toptouxiang/img_role_14@.png,config/big_role/show/img_role_14@.png,config/big_role/show/img_role_14@.png,figure/huomijia/huomijia.skel,,config/portrait/qbanrenwu/img_role_14.png,qbanrole/q_huomijia.skel,,personal/img_bjt.png,2,450,,,立涌道馆的道馆馆主，专长为毒属性宝可梦,{1=1},石英大会内兑换获得,,{2214=1},,13,24,,,,,,,<70009>,<1>,,,,毒奏吾命，毒奏舞台！,上吧！！我要打爆你的理性！！,等一下！还在调音！,{x=-100;y=170},
15,白露,,config/portrait/toptouxiang/img_role_15@.png,config/big_role/show/img_role_15@.png,config/big_role/act/img_role_15@.png,figure/bailu/bailu.skel,,config/portrait/qbanrenwu/img_role_15.png,qbanrole/q_bailu.skel,,personal/img_bjt.png,2,730,,,一个我行我素的女孩，有时会因为看不清自己的梦想而烦恼。,{1=1},特殊活动投放,,{2215=1},,1,1%,,8,1%,,,,<70015>,<1>,,,,来吧，对战吧！,下次道馆赛能不能赢呢，不安,要为自己的精灵穿上亲手织的毛衣不是常识么！,{x=0;y=0},
16,可尔妮,,config/portrait/toptouxiang/img_role_16@.png,config/big_role/show/img_role_16@.png,config/big_role/act/img_role_16@.png,figure/keerni/keerni.skel,,config/portrait/qbanrenwu/img_role_16.png,qbanrole/q_keerni.skel,,personal/img_bjt.png,2,850,,,卡洛斯地区娑罗市道馆的道馆馆主，专长为格斗属性宝可梦,{5=11},贵族11级可解锁,,{2216=1},,1,2%,,,,,,,<70005>,<1>,,,,开玩笑的啦！,你们的羁绊，可以发挥空前绝后的力量！,互相给予勇气，互相关心对方，只要有这样的善良，就一定能展现出笑脸！,{x=-80;y=50},
17,兰昼妮,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_17@.png,config/big_role/show/img_role_17@.png,config/big_role/act/img_role_17@.png,figure/lanzhouni/lanzhouni.skel,,config/portrait/qbanrenwu/img_role_17.png,qbanrole/qblcn.skel,,personal/img_bjt.png,2,280,,,对战宅第的对战女城主之一，四姊妹中的次女,{1=1},对战竞技场内获得,,{2217=1},,8,1%,,,,,,,<70016>,<1>,,,,心火被点燃了呢,妹妹太腼腆了，一起打双打对决都没什么话,对战宅第女城主是不会输的,{x=20;y=50},
18,露夕华,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_18@.png,config/big_role/show/img_role_18@.png,config/big_role/act/img_role_18@.png,figure/luxihua/hero_luxihua.skel,,config/portrait/qbanrenwu/img_role_18.png,qbanrole/luxihua.skel,,personal/img_bjt.png,2,260,,{x=-160;y=0},对战宅第的对战女城主之一，四姊妹中的三女,{1=1},对战竞技场内获得,,{2218=1},,10,1%,,,,,,,<70017>,<1>,,,,听说有人用小帕奇赢了冠军赛，你知道详情么,小帕奇那么可爱，怎么会被叫成恶魔嘛,交流的事情还是交给姐姐们吧,{x=-40;y=50},
19,兰妞夜,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_19@.png,config/big_role/show/img_role_19@.png,config/big_role/act/img_role_19@.png,figure/lanniuye/lanniuye.skel,,config/portrait/qbanrenwu/img_role_19.png,qbanrole/q_lanniuye.skel,,personal/img_bjt.png,2,710,,{x=-150;y=0},对战宅第的对战女城主之一，四姊妹中的幺女。,{1=1},特殊活动投放,,{2219=1},,8,1%,,,,,,,<70021>,<1>,,,,那么接下来要让拉我的尽兴哟！做好觉悟吧！哈呀！！,诶 嘿,我实力可不比姐姐们弱哦,{x=60;y=50},
20,芦荟,,config/portrait/toptouxiang/img_role_20@.png,config/big_role/show/img_role_20@.png,config/big_role/act/img_role_20@.png,figure/luhui/luhui.skel,,config/portrait/qbanrenwu/img_role_20.png,qbanrole/luhui.skel,,personal/img_bjt.png,2,650,,,七宝道馆的道馆馆主。专长为一般属性宝可梦。,{79=5},冒险执照等级达到5级后可解锁,,{rmb=280},,1,1200,,10,60,,,,<70004>,<1>,,,,挑战者，我即将向你那里研究你在挑战中到底有多疼爱你的宝可梦！,你的作战方式真是迷人！,真是了不起，得好好表扬你才行啊！,{x=70;y=20},
21,斗子,,config/portrait/toptouxiang/img_role_21@.png,config/big_role/show/img_role_21@.png,config/big_role/act/img_role_21@.png,figure/douzi/douzi.skel,,config/portrait/qbanrenwu/img_role_21.png,qbanrole/q_douzi.skel,,personal/img_bjt.png,2,800,,,是《黑／白》的女性主角，儿时伙伴为黑连和白露,{5=7},贵族7级可解锁,,{2221=1},,7,1%,,8,1%,,,,<70003>,<1>,,,,玩得好爽啊！下次我们再来一场哦！,开始得晚不代表一定会弱哦！,一起去成为英雄吧！,{x=0;y=0},
22,芽衣,,config/portrait/toptouxiang/img_role_22@.png,config/big_role/act/img_role_22@.png,config/big_role/act/img_role_22@.png,figure/yayi/yayi.skel,,config/portrait/qbanrenwu/img_role_22.png,qbanrole/yy.skel,,personal/img_bjt.png,2,500,,,来自桧扇市的少女，在游戏的开始中会跟童年好友兼劲敌修一起从此开展旅程。,{1=1},公会战内兑换获得,,{2222=1},,1,1%,,,,,,,<70008>,<1>,,,,咱们来成为无敌的组合吧！,对战真是个好棒的感觉哦！,我要变得更强，希望有一天跟别的训练家尽力战斗！,{x=60;y=30},
23,弥莉丝,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_23@.png,config/big_role/act/img_role_23@.png,config/big_role/act/img_role_23@.png,figure/milisi/milisi.skel,,config/portrait/qbanrenwu/img_role_23.png,qbanrole/nls.skel,,personal/img_bjt.png,2,705,,,双人组大盗贼之一，企图抓蒂安希来获得到她的钻石；后改邪归正，开了一家巧克力店。,{1=1},特殊活动投放,,{2223=1},,10,1%,,,,,,,<70022>,<1>,,,,火箭队，来一次正面的较量吧！,布里卡隆似乎很喜欢我的披肩emmm,可惜 ，原来蒂安希是没有办法制造钻石的！,{x=40;y=0},
24,芙蓉,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_24@.png,config/big_role/act/img_role_24@.png,config/big_role/act/img_role_24@.png,figure/furong/furong.skel,,config/portrait/qbanrenwu/img_role_24.png,qbanrole/q_furong.skel,,personal/img_bjt.png,2,720,,{x=-180;y=0},丰缘四天王的一员，也是幽灵属性专家,{1=10},特殊活动投放,,{2224=1},,7,1%,,,,,,,<70010>,<1>,,,,你和你的精灵之间也会有着很强的牵绊吗？,过去我在送神山修行时得到了能与幽灵宝系精灵亲密交流的能力,迷惑对手作战，干扰再干扰。,{x=-100;y=20},
25,水莲,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_25@.png,config/big_role/act/img_role_25@.png,config/big_role/act/img_role_25@.png,figure/shuilian/shuilian.skel,,config/portrait/qbanrenwu/img_role_25.png,qbanrole/qbsl.skel,,personal/img_bjt.png,2,300,,,阿罗拉地区中阿卡拉岛的队长，精通水属性,{1=1},钓鱼商店内兑换获得,,{2225=1},,9,1%,,,,,,,<70011>,<1>,,,,只要是水里的精灵我都很喜欢哦,有空一起去钓鱼吧,潮汐海岸能钓到盖欧卡哦（笑）,{x=-100;y=80},
26,碧蓝,,config/portrait/toptouxiang/img_role_26@.png,config/big_role/act/img_role_26@.png,config/big_role/act/img_role_26@.png,figure/bilan/bilan.skel,,config/portrait/qbanrenwu/img_role_26.png,qbanrole/qbxl.skel,,personal/img_bjt.png,,200,,,《火红／叶绿》中的女性主角,{1=75},等级到达75级后可解锁,,{rmb=1080},,9,1%,,10,1%,,,,<>,<>,,,,算了算了！就让我再确认一次你的实力吧！,真是的！怎么回事嘛……,我是不会放弃的！,{x=0;y=60},
27,小刚,,config/portrait/toptouxiang/img_role_27@.png,config/big_role/show/img_role_27@.png,config/big_role/show/img_role_27@.png,figure/xiaogang/xiaogang.skel,,config/portrait/qbanrenwu/img_role_27.png,qbanrole/qbxg.skel,,personal/img_bjt.png,,700,,,尼比道馆道馆训练家，擅长岩石系精灵,{1=20},等级到达20级后可解锁,,{gold=100000},,7,100,,9,48,,,,<>,<>,,,,我的意志坚如磐石！,那边似乎有漂亮的大姐姐， 去打个招呼吧~,好！是时候履行我们的诺言了！,{x=0;y=0},
28,碧珂,,config/portrait/toptouxiang/img_role_28@.png,config/big_role/show/img_role_28@.png,config/big_role/show/img_role_28@.png,figure/bike/bike.skel,,config/portrait/qbanrenwu/img_role_28.png,qbanrole/q_bike.skel,,personal/img_bjt1.png,2,350,,,以太乐园的副分部长。性格非常体贴的缘故，被员工们仰慕着。,{1=1},以太乐园内兑换获得,,{2228=1},,9,1%,,,,,,,<70012>,<1>,,,,战斗数据不太理想的样子呢，看来还需要训练,如果你以后想加入研究所，可以来找我哦,比起对战，我更喜欢研究呢,{x=-40;y=0},
29,达帕,,config/portrait/toptouxiang/img_role_29@.png,config/big_role/show/img_role_29@.png,config/big_role/act/img_role_29@.png,figure/dapa/dapa.skel,,config/portrait/qbanrenwu/img_role_29.png,qbanrole/dp.skel,,personal/img_bjt1.png,,400,,,"骷髅队手下,常跟同伴吉普和拉普出现",{1=55},等级到达55级后可解锁,,{rmb=380},,7,580,,8,580,,,,<>,<>,,,,我就大发慈悲地告诉你...…哦，不好意思，看我也错台词了,我才不想去做诸岛巡礼这种麻烦的事情呢~,即便实力不足，只要气势够，就足够了~,{x=0;y=0},
30,库库伊,,config/portrait/toptouxiang/img_role_30@.png,config/big_role/show/img_role_30@.png,config/big_role/act/img_role_30@.png,figure/kukuyi/kukuyi.skel,,config/portrait/qbanrenwu/img_role_30.png,qbanrole/kky.skel,,personal/img_bjt.png,2,,,{x=-230;y=0},阿罗拉地区的宝可梦博士，专长为研究宝可梦的招式，隐藏身份是职业摔角手皇家蒙面人。,{1=10},特殊活动投放,,{2253=1},,1,1%,,,,,,,<70041>,<1>,,,,我是宝可梦博士库库伊！我在研究宝可梦的招式。当然，我也非常喜欢宝可梦对战！,阿罗拉地区的冠军跟你差不多年纪呢！,没错！有时我会用自己的身体去承受招式的攻击，以此来确认它的威力！！,{x=-200;y=20},
31,艾岚,,config/portrait/toptouxiang/img_role_31@.png,config/big_role/show/img_role_31@.png,config/big_role/show/img_role_31@.png,figure/ailan/ailan.skel,,config/portrait/qbanrenwu/img_role_31.png,qbanrole/qbaf.skel,,personal/img_bjt.png,2,,,,原为布拉塔诺博士的研究员，为了探究超进化的秘密和迈向最强超进化的训练家之路，带小火龙一同离开研究院踏上旅程。在卡洛斯联盟决赛中，以超级喷火龙X打败了小智版甲贺忍蛙，获得了冠军,{1=10},竞技场内兑换获得,,{2231=1},,,,,,,,,,<>,<>,1,,,想要保护对自己重要的人，就要成为最强！,喷火龙，回应我的心吧，进化钥匙！超越进化吧，超进化！,目标是最强超进化！喷火龙，我们一起站到最强的巅峰吧！,{x=0;y=40},
32,大木博士,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_32@.png,config/big_role/show/img_role_32@.png,config/big_role/show/img_role_32@.png,figure/damuboshi/damuboshi.skel,,config/portrait/qbanrenwu/img_role_32.png,qbanrole/qbdmbs.skel,,personal/img_bjt2.png,2,,,,关东地区非常具有威望的精灵研究专家，并且是图鉴的创作人之一，主要研究方向为精灵行为。,{1=1},特殊活动投放,,{2232=1},,7,580,,8,580,,,,<70039>,<1>,,,,为何如此努力呢？,感受精灵的信赖与爱，不要忘记这一点哦！,向着充满梦想与冒险的世界出发吧！,{x=-40;y=0},
33,朗日,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_33@.png,config/big_role/show/img_role_33@.png,config/big_role/show/img_role_33@.png,figure/langri/langri.skel,,config/portrait/qbanrenwu/img_role_33.png,qbanrole/qblq.skel,,personal/img_bjt.png,2,100,,,阿罗拉地区的少年训练家，在打败了四天王后成为了初代阿罗拉联盟冠军，也是阿罗拉图鉴的大师，后受邀加入国际警察,{1=1},特殊活动投放,,{2239=1},,9,1%,,9,120,,,,<70030>,<1>,,,,只要尽情地呼吸新鲜空气，我就觉得自己好像重生了呢！,我非常期待和你一起去探索未知的地方喔！,你知道吗，阿罗拉是「午安」或「你好」的意思喔！,{x=0;y=0},
34,美月,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_34@.png,config/big_role/show/img_role_34@.png,config/big_role/show/img_role_34@.png,figure/meiyue/my.skel,,config/portrait/qbanrenwu/img_role_34.png,qbanrole/meiyue.skel,,personal/img_bjt.png,2,695,,,天才少女训练家，曾拿过阿罗拉联盟冠军，阿罗拉图鉴的大师，后受邀加入国际警察,{1=1},特殊活动投放,,{2240=1},,10,1%,,10,120,,,,<70029>,<1>,,,,美乐美乐岛，我来了!,谢谢大家为我准备的宴会，我会继续加油的,我相信一定会再次遇到卡璞・鸣鸣的,{x=-70;y=0},
35,小次郎,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_35@.png,config/big_role/show/img_role_35@.png,config/big_role/act/img_role_35@.png,figure/xiaocilang/xiaocilang.skel,,config/portrait/qbanrenwu/img_role_35.png,qbanrole/q_xiaocilang.skel,,personal/img_bjt3.png,2,175,,,火箭队成员，性格温和，出生于上流社会，后叛逆离家出走，认识了现在的同伴武藏、喵喵两人；三人总是跟着小智一行，企图抢走小智的皮卡丘，但从没成功过。,{1=1},特殊活动投放,,{2241=1},,7,1%,,7,240,,,,<70026>,<1>,,,,既然你诚心诚意的发问了，我们就大发慈悲的告诉你！,为了防止世界被破坏，为了守护世界的和平；贯彻爱与真实的邪恶，可爱又迷人的反派角色。,"武藏！小次郎！ 我们是穿梭在银河的火箭队！白洞，白色的明天在等着我们！ (就是这样, 喵!)",{x=0;y=0},
36,武藏,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_36@.png,config/big_role/show/img_role_36@.png,config/big_role/act/img_role_36@.png,figure/wuzang/wuzang.skel,,config/portrait/qbanrenwu/img_role_36.png,qbanrole/q_wuzang.skel,,personal/img_bjt.png,2,170,,,火箭队成员，性格直率、泼辣，后在火箭队学院认识了现在的同伴小次郎、喵喵两人；三人总是跟着小智一行，企图抢走小智的皮卡丘，但从没成功过。,{1=1},特殊活动投放,,{2242=1},,8,1%,,8,240,,,,<70025>,<1>,,,,既然你诚心诚意的发问了，我们就大发慈悲的告诉你！,为了防止世界被破坏，为了守护世界的和平；贯彻爱与真实的邪恶，可爱又迷人的反派角色。,"武藏！小次郎！ 我们是穿梭在银河的火箭队！白洞，白色的明天在等着我们！ (就是这样, 喵!)",{x=-90;y=0},
37,小智(圣诞限定),<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_37@.png,config/big_role/show/img_role_37@.png,config/big_role/show/img_role_37@.png,figure/xiaozhi_shengdan/shengdan_xiaozhi.skel,,config/portrait/qbanrenwu/img_role_37.png,qbanrole/xzsdj.skel,,personal/img_bjt.png,2,200,,,"一身圣诞时装的真新镇训练家, 梦想成为宝可梦大师的十岁少年",{1=10},特殊活动投放,,{2237=1},,9,120,,10,120,,,,<70020>,<1>,,,,圣诞~~快乐！,糟糕，圣诞蛋糕忘买了！,皮卡丘，我们去找圣诞老人和信使鸟一起送礼物吧！,{x=-50;y=0},
38,小霞(圣诞限定),<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_38@.png,config/big_role/show/img_role_38@.png,config/big_role/show/img_role_38@.png,figure/xiaoxia_shengdan/shengdan_xiaoxia.skel,,config/portrait/qbanrenwu/img_role_38.png,qbanrole/xxsdj.skel,,personal/img_bjt4.png,2,180,,,"一身圣诞时装的华蓝道馆馆主, 性格活泼, 非常向往强大的训练家",{1=10},特殊活动投放,,{2238=1},,1,2400,,,,,,,<70018>,<1>,,,,你能在圣诞节陪我一起去趟海角小屋吗，拜托了！,好期待下雪的圣诞节，波克比一定会很喜欢的！,趁着节日，出门旅行吧！,{x=-20;y=0},
39,水莲(夏日限定),<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_39@.png,config/big_role/show/img_role_39@.png,config/big_role/show/img_role_39@.png,figure/shuilian_yongzhuang/yongzhuang_shuilian.skel,,config/portrait/qbanrenwu/img_role_39.png,qbanrole/slyz.skel,,personal/img_bjt.png,2,150,,,夏日着装的水莲，喜欢骑着拉普拉斯在海中钓鱼,{1=10},特殊活动投放,,{2243=1},,10,1%,,,,,,,<70032>,<1>,,,,一起去海滩玩耍吧~,你想要钓鱼的心情，我完全可以理解！,是来自大海的呼唤~（笑）,{x=70;y=-40},
40,格拉吉欧,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_40@.png,config/big_role/show/img_role_40@.png,config/big_role/show/img_role_40@.png,figure/gelajiou/gelajiou.skel,,config/portrait/qbanrenwu/img_role_40.png,qbanrole/gljo.skel,,personal/img_bjt.png,2,120,,,苍月的贵公子，骷髅队的保镖，亦是以太基金会理事长露莎米奈的儿子，莉莉艾的哥哥,{1=10},特殊活动投放,,{2245=1},,7,1%,,7,240,,,,<70036>,<1>,,,,骷髅队……那时候我觉得只要能让我们变强，做什么都无所谓,银伴战兽，他以前叫做属性：空，是过去为了某个目的而被制造出来的。,我有个妹妹，她的个性很温和，以前连让宝可梦战斗都不愿意，是个温柔的家伙……实在太过温柔，到了让人担心的地步啊,{x=0;y=0},
41,玛奥,<cn;kr;en;en_us;en_eu;tw>,config/portrait/toptouxiang/img_role_41@.png,config/big_role/show/img_role_41@.png,config/big_role/show/img_role_41@.png,figure/maao/maao.skel,,config/portrait/qbanrenwu/img_role_41.png,qbanrole/ma.skel,,personal/img_bjt4.png,2,110,,,《太阳／月亮》系列动画的女主之一，系列游戏的诸岛巡礼队长之一，艾纳餐馆一名热情开朗的厨师，她喜欢烹饪而且水平不错，但是有些时候她烹饪的品味会变得十分奇特,{1=10},特殊活动投放,,{2246=1},,9,1%,,10,1%,,,,<70033>,<1>,,,,来尝尝我的真本事！,金色花蜜！一切都是为了让幻之料理称为艾纳餐馆的招牌菜！,我的梦想就是让艾纳餐馆成为阿罗拉最好的餐馆！,{x=-40;y=-20},
