变量名,feelType,level,needExp,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,__version
47,1,46,80,,396,,396,,1267,,121,,121,,36,
48,1,47,80,,396,,396,,1267,,132,,132,,36,
49,1,48,80,,396,,396,,1267,,132,,132,,40,
50,1,49,80,,429,,429,,1267,,132,,132,,40,
51,1,50,88,,429,,429,,1373,,132,,132,,40,
52,1,51,88,,429,,429,,1373,,143,,143,,40,
53,1,52,88,,429,,429,,1373,,143,,143,,43,
54,1,53,88,,462,,462,,1373,,143,,143,,43,
55,1,54,88,,462,,462,,1478,,143,,143,,43,
56,1,55,88,,462,,462,,1478,,154,,154,,43,
57,1,56,88,,462,,462,,1478,,154,,154,,46,
58,1,57,88,,495,,495,,1478,,154,,154,,46,
59,1,58,88,,495,,495,,1584,,154,,154,,46,
60,1,59,88,,495,,495,,1584,,165,,165,,46,
61,1,60,96,,540,,540,,1728,,180,,180,,54,
62,1,61,96,,576,,576,,1728,,180,,180,,54,
63,1,62,96,,576,,576,,1843,,180,,180,,54,
64,1,63,96,,576,,576,,1843,,192,,192,,54,
65,1,64,96,,576,,576,,1843,,192,,192,,58,
66,1,65,96,,612,,612,,1843,,192,,192,,58,
67,1,66,96,,612,,612,,1958,,192,,192,,58,
68,1,67,96,,612,,612,,1958,,204,,204,,58,
69,1,68,96,,612,,612,,1958,,204,,204,,61,
70,1,69,96,,648,,648,,1958,,204,,204,,61,
71,1,70,104,,648,,648,,2074,,204,,204,,61,
72,1,71,104,,648,,648,,2074,,216,,216,,61,
73,1,72,104,,648,,648,,2074,,216,,216,,65,
74,1,73,104,,684,,684,,2074,,216,,216,,65,
75,1,74,104,,684,,684,,2189,,216,,216,,65,
76,1,75,104,,684,,684,,2189,,228,,228,,65,
77,1,76,104,,684,,684,,2189,,228,,228,,68,
78,1,77,104,,720,,720,,2189,,228,,228,,68,
79,1,78,104,,720,,720,,2304,,228,,228,,68,
80,1,79,104,,720,,720,,2304,,240,,240,,68,
81,1,80,112,,720,,720,,2304,,240,,240,,72,
82,1,81,112,,756,,756,,2304,,240,,240,,72,
83,1,82,112,,756,,756,,2419,,240,,240,,72,
84,1,83,112,,756,,756,,2419,,252,,252,,72,
85,1,84,112,,756,,756,,2419,,252,,252,,76,
86,1,85,112,,792,,792,,2419,,252,,252,,76,
87,1,86,112,,792,,792,,2534,,252,,252,,76,
88,1,87,112,,792,,792,,2534,,264,,264,,76,
89,1,88,112,,792,,792,,2534,,264,,264,,79,
90,1,89,112,,828,,828,,2534,,264,,264,,79,
91,1,90,120,,828,,828,,2650,,264,,264,,79,
92,1,91,120,,828,,828,,2650,,276,,276,,79,
93,1,92,120,,828,,828,,2650,,276,,276,,83,
94,1,93,120,,864,,864,,2650,,276,,276,,83,
95,1,94,120,,864,,864,,2765,,276,,276,,83,
96,1,95,120,,864,,864,,2765,,288,,288,,83,
97,1,96,120,,864,,864,,2765,,288,,288,,86,
98,1,97,120,,900,,900,,2765,,288,,288,,86,
99,1,98,120,,900,,900,,2880,,288,,288,,86,
100,1,99,120,,900,,900,,2880,,300,,300,,86,
101,1,100,128,,900,,900,,2880,,300,,300,,90,
102,1,101,128,,936,,936,,2880,,300,,300,,90,
103,1,102,128,,936,,936,,2995,,300,,300,,90,
104,1,103,128,,936,,936,,2995,,312,,312,,90,
105,1,104,128,,936,,936,,2995,,312,,312,,94,
106,1,105,128,,972,,972,,2995,,312,,312,,94,
107,1,106,128,,972,,972,,3110,,312,,312,,94,
108,1,107,128,,972,,972,,3110,,324,,324,,94,
109,1,108,128,,972,,972,,3110,,324,,324,,97,
110,1,109,128,,1008,,1008,,3110,,324,,324,,97,
111,1,110,136,,1008,,1008,,3226,,324,,324,,97,
112,1,111,136,,1008,,1008,,3226,,336,,336,,97,
113,1,112,136,,1008,,1008,,3226,,336,,336,,101,
114,1,113,136,,1044,,1044,,3226,,336,,336,,101,
115,1,114,136,,1044,,1044,,3341,,336,,336,,101,
116,1,115,136,,1044,,1044,,3341,,348,,348,,101,
117,1,116,136,,1044,,1044,,3341,,348,,348,,104,
118,1,117,136,,1080,,1080,,3341,,348,,348,,104,
119,1,118,136,,1080,,1080,,3456,,348,,348,,104,
120,1,119,136,,1080,,1080,,3456,,360,,360,,104,
121,1,120,144,,1170,,1170,,3744,,390,,390,,117,
122,1,121,144,,1209,,1209,,3744,,390,,390,,117,
123,1,122,144,,1209,,1209,,3869,,390,,390,,117,
124,1,123,144,,1209,,1209,,3869,,403,,403,,117,
125,1,124,144,,1209,,1209,,3869,,403,,403,,121,
126,1,125,144,,1248,,1248,,3869,,403,,403,,121,
127,1,126,144,,1248,,1248,,3994,,403,,403,,121,
128,1,127,144,,1248,,1248,,3994,,416,,416,,121,
129,1,128,144,,1248,,1248,,3994,,416,,416,,125,
130,1,129,144,,1287,,1287,,3994,,416,,416,,125,
131,1,130,152,,1287,,1287,,4118,,416,,416,,125,
132,1,131,152,,1287,,1287,,4118,,429,,429,,125,
133,1,132,152,,1287,,1287,,4118,,429,,429,,129,
134,1,133,152,,1326,,1326,,4118,,429,,429,,129,
135,1,134,152,,1326,,1326,,4243,,429,,429,,129,
136,1,135,152,,1326,,1326,,4243,,442,,442,,129,
137,1,136,152,,1326,,1326,,4243,,442,,442,,133,
138,1,137,152,,1365,,1365,,4243,,442,,442,,133,
139,1,138,152,,1365,,1365,,4368,,442,,442,,133,
140,1,139,152,,1365,,1365,,4368,,455,,455,,133,
141,1,140,160,,1365,,1365,,4368,,455,,455,,137,
142,1,141,160,,1404,,1404,,4368,,455,,455,,137,
143,1,142,160,,1404,,1404,,4493,,455,,455,,137,
144,1,143,160,,1404,,1404,,4493,,468,,468,,137,
145,1,144,160,,1404,,1404,,4493,,468,,468,,140,
146,1,145,160,,1443,,1443,,4493,,468,,468,,140,
147,1,146,160,,1443,,1443,,4618,,468,,468,,140,
148,1,147,160,,1443,,1443,,4618,,481,,481,,140,
149,1,148,160,,1443,,1443,,4618,,481,,481,,144,
150,1,149,160,,1482,,1482,,4618,,481,,481,,144,
151,1,150,160,,1482,,1482,,4742,,481,,481,,144,
152,1,151,160,,1482,,1482,,4742,,494,,494,,144,
153,1,152,160,,1482,,1482,,4742,,494,,494,,148,
154,1,153,160,,1521,,1521,,4742,,494,,494,,148,
155,1,154,160,,1521,,1521,,4867,,494,,494,,148,
156,1,155,168,,1521,,1521,,4867,,507,,507,,148,
157,1,156,168,,1521,,1521,,4867,,507,,507,,152,
158,1,157,168,,1560,,1560,,4867,,507,,507,,152,
159,1,158,168,,1560,,1560,,4992,,507,,507,,152,
160,1,159,168,,1560,,1560,,4992,,520,,520,,152,
161,1,160,168,,1560,,1560,,4992,,520,,520,,156,
162,1,161,168,,1599,,1599,,4992,,520,,520,,156,
163,1,162,168,,1599,,1599,,5117,,520,,520,,156,
164,1,163,168,,1599,,1599,,5117,,533,,533,,156,
165,1,164,168,,1599,,1599,,5117,,533,,533,,160,
166,1,165,168,,1638,,1638,,5117,,533,,533,,160,
167,1,166,168,,1638,,1638,,5242,,533,,533,,160,
168,1,167,168,,1638,,1638,,5242,,546,,546,,160,
169,1,168,168,,1638,,1638,,5242,,546,,546,,164,
170,1,169,168,,1677,,1677,,5242,,546,,546,,164,
171,1,170,176,,1677,,1677,,5366,,546,,546,,164,
172,1,171,176,,1677,,1677,,5366,,559,,559,,164,
173,1,172,176,,1677,,1677,,5366,,559,,559,,168,
174,1,173,176,,1716,,1716,,5366,,559,,559,,168,
175,1,174,176,,1716,,1716,,5491,,559,,559,,168,
176,1,175,176,,1716,,1716,,5491,,572,,572,,168,
177,1,176,176,,1716,,1716,,5491,,572,,572,,172,
178,1,177,176,,1755,,1755,,5491,,572,,572,,172,
179,1,178,176,,1755,,1755,,5616,,572,,572,,172,
180,1,179,176,,1755,,1755,,5616,,585,,585,,172,
181,1,180,176,,1890,,1890,,6048,,630,,630,,189,
182,1,181,176,,1932,,1932,,6048,,630,,630,,189,
183,1,182,176,,1932,,1932,,6182,,630,,630,,189,
184,1,183,176,,1932,,1932,,6182,,644,,644,,189,
185,1,184,176,,1932,,1932,,6182,,644,,644,,193,
186,1,185,184,,1974,,1974,,6182,,644,,644,,193,
187,1,186,184,,1974,,1974,,6317,,644,,644,,193,
188,1,187,184,,1974,,1974,,6317,,658,,658,,193,
189,1,188,184,,1974,,1974,,6317,,658,,658,,197,
190,1,189,184,,2016,,2016,,6317,,658,,658,,197,
191,1,190,184,,2016,,2016,,6451,,658,,658,,197,
192,1,191,184,,2016,,2016,,6451,,672,,672,,197,
193,1,192,184,,2016,,2016,,6451,,672,,672,,202,
194,1,193,184,,2058,,2058,,6451,,672,,672,,202,
195,1,194,184,,2058,,2058,,6586,,672,,672,,202,
196,1,195,184,,2058,,2058,,6586,,686,,686,,202,
197,1,196,184,,2058,,2058,,6586,,686,,686,,206,
198,1,197,184,,2100,,2100,,6586,,686,,686,,206,
199,1,198,184,,2100,,2100,,6720,,686,,686,,206,
200,1,199,184,,2100,,2100,,6720,,700,,700,,206,
201,1,200,192,,2100,,2100,,6720,,700,,700,,210,
202,1,201,192,,2142,,2142,,6720,,700,,700,,210,
203,1,202,192,,2142,,2142,,6854,,700,,700,,210,
204,1,203,192,,2142,,2142,,6854,,714,,714,,210,
205,1,204,192,,2142,,2142,,6854,,714,,714,,214,
206,1,205,192,,2184,,2184,,6854,,714,,714,,214,
207,1,206,192,,2184,,2184,,6989,,714,,714,,214,
208,1,207,192,,2184,,2184,,6989,,728,,728,,214,
209,1,208,192,,2184,,2184,,6989,,728,,728,,218,
210,1,209,192,,2226,,2226,,6989,,728,,728,,218,
211,1,210,192,,2226,,2226,,7123,,728,,728,,218,
212,1,211,192,,2226,,2226,,7123,,742,,742,,218,
213,1,212,192,,2226,,2226,,7123,,742,,742,,223,
214,1,213,192,,2268,,2268,,7123,,742,,742,,223,
215,1,214,192,,2268,,2268,,7258,,742,,742,,223,
216,1,215,200,,2268,,2268,,7258,,756,,756,,223,
217,1,216,200,,2268,,2268,,7258,,756,,756,,227,
218,1,217,200,,2310,,2310,,7258,,756,,756,,227,
219,1,218,200,,2310,,2310,,7392,,756,,756,,227,
220,1,219,200,,2310,,2310,,7392,,770,,770,,227,
221,1,220,200,,2310,,2310,,7392,,770,,770,,231,
222,1,221,200,,2352,,2352,,7392,,770,,770,,231,
223,1,222,200,,2352,,2352,,7526,,770,,770,,231,
224,1,223,200,,2352,,2352,,7526,,784,,784,,231,
225,1,224,200,,2352,,2352,,7526,,784,,784,,235,
226,1,225,200,,2394,,2394,,7526,,784,,784,,235,
227,1,226,200,,2394,,2394,,7661,,784,,784,,235,
228,1,227,200,,2394,,2394,,7661,,798,,798,,235,
229,1,228,200,,2394,,2394,,7661,,798,,798,,239,
230,1,229,200,,2436,,2436,,7661,,798,,798,,239,
231,1,230,208,,2436,,2436,,7795,,798,,798,,239,
232,1,231,208,,2436,,2436,,7795,,812,,812,,239,
233,1,232,208,,2436,,2436,,7795,,812,,812,,244,
234,1,233,208,,2478,,2478,,7795,,812,,812,,244,
235,1,234,208,,2478,,2478,,7930,,812,,812,,244,
236,1,235,208,,2478,,2478,,7930,,826,,826,,244,
237,1,236,208,,2478,,2478,,7930,,826,,826,,248,
238,1,237,208,,2520,,2520,,7930,,826,,826,,248,
239,1,238,208,,2520,,2520,,8064,,826,,826,,248,
240,1,239,208,,2520,,2520,,8064,,840,,840,,248,
241,1,240,208,,2700,,2700,,8640,,900,,900,,270,
242,1,241,208,,2745,,2745,,8640,,900,,900,,270,
243,1,242,208,,2745,,2745,,8784,,900,,900,,270,
244,1,243,208,,2745,,2745,,8784,,915,,915,,270,
245,1,244,208,,2745,,2745,,8784,,915,,915,,275,
246,1,245,216,,2790,,2790,,8784,,915,,915,,275,
247,1,246,216,,2790,,2790,,8928,,915,,915,,275,
248,1,247,216,,2790,,2790,,8928,,930,,930,,275,
249,1,248,216,,2790,,2790,,8928,,930,,930,,279,
250,1,249,216,,2835,,2835,,8928,,930,,930,,279,
251,1,250,216,,2835,,2835,,9072,,930,,930,,279,
252,1,251,216,,2835,,2835,,9072,,945,,945,,279,
253,1,252,216,,2835,,2835,,9072,,945,,945,,284,
254,1,253,216,,2880,,2880,,9072,,945,,945,,284,
255,1,254,216,,2880,,2880,,9216,,945,,945,,284,
256,1,255,216,,2880,,2880,,9216,,960,,960,,284,
257,1,256,216,,2880,,2880,,9216,,960,,960,,288,
258,1,257,216,,2925,,2925,,9216,,960,,960,,288,
259,1,258,216,,2925,,2925,,9360,,960,,960,,288,
260,1,259,216,,2925,,2925,,9360,,975,,975,,288,
261,1,260,224,,2925,,2925,,9360,,975,,975,,293,
262,1,261,224,,2970,,2970,,9360,,975,,975,,293,
263,1,262,224,,2970,,2970,,9504,,975,,975,,293,
264,1,263,224,,2970,,2970,,9504,,990,,990,,293,
265,1,264,224,,2970,,2970,,9504,,990,,990,,297,
266,1,265,224,,3015,,3015,,9504,,990,,990,,297,
267,1,266,224,,3015,,3015,,9648,,990,,990,,297,
268,1,267,224,,3015,,3015,,9648,,1005,,1005,,297,
269,1,268,224,,3015,,3015,,9648,,1005,,1005,,302,
270,1,269,224,,3060,,3060,,9648,,1005,,1005,,302,
271,1,270,224,,3060,,3060,,9792,,1005,,1005,,302,
272,1,271,224,,3060,,3060,,9792,,1020,,1020,,302,
273,1,272,224,,3060,,3060,,9792,,1020,,1020,,306,
274,1,273,224,,3105,,3105,,9792,,1020,,1020,,306,
275,1,274,224,,3105,,3105,,9936,,1020,,1020,,306,
276,1,275,232,,3105,,3105,,9936,,1035,,1035,,306,
277,1,276,232,,3105,,3105,,9936,,1035,,1035,,311,
278,1,277,232,,3150,,3150,,9936,,1035,,1035,,311,
279,1,278,232,,3150,,3150,,10080,,1035,,1035,,311,
280,1,279,232,,3150,,3150,,10080,,1050,,1050,,311,
281,1,280,232,,3150,,3150,,10080,,1050,,1050,,315,
282,1,281,232,,3195,,3195,,10080,,1050,,1050,,315,
283,1,282,232,,3195,,3195,,10224,,1050,,1050,,315,
284,1,283,232,,3195,,3195,,10224,,1065,,1065,,315,
285,1,284,232,,3195,,3195,,10224,,1065,,1065,,320,
286,1,285,232,,3240,,3240,,10224,,1065,,1065,,320,
287,1,286,232,,3240,,3240,,10368,,1065,,1065,,320,
288,1,287,232,,3240,,3240,,10368,,1080,,1080,,320,
289,1,288,232,,3240,,3240,,10368,,1080,,1080,,324,
290,1,289,232,,3285,,3285,,10368,,1080,,1080,,324,
291,1,290,240,,3285,,3285,,10512,,1080,,1080,,324,
292,1,291,240,,3285,,3285,,10512,,1095,,1095,,324,
293,1,292,240,,3285,,3285,,10512,,1095,,1095,,329,
294,1,293,240,,3330,,3330,,10512,,1095,,1095,,329,
295,1,294,240,,3330,,3330,,10656,,1095,,1095,,329,
296,1,295,240,,3330,,3330,,10656,,1110,,1110,,329,
297,1,296,240,,3330,,3330,,10656,,1110,,1110,,333,
298,1,297,240,,3375,,3375,,10656,,1110,,1110,,333,
299,1,298,240,,3375,,3375,,10800,,1110,,1110,,333,
300,1,299,240,,3375,,3375,,10800,,1125,,1125,,333,
301,1,300,240,,3600,,3600,,11520,,1200,,1200,,360,
302,1,301,248,,3648,,3648,,11520,,1200,,1200,,360,
303,1,302,248,,3648,,3648,,11674,,1200,,1200,,360,
304,1,303,248,,3648,,3648,,11674,,1216,,1216,,360,
305,1,304,248,,3648,,3648,,11674,,1216,,1216,,365,
306,1,305,248,,3696,,3696,,11674,,1216,,1216,,365,
307,1,306,248,,3696,,3696,,11827,,1216,,1216,,365,
308,1,307,248,,3696,,3696,,11827,,1232,,1232,,365,
309,1,308,248,,3696,,3696,,11827,,1232,,1232,,370,
310,1,309,248,,3744,,3744,,11827,,1232,,1232,,370,
311,1,310,248,,3744,,3744,,11981,,1232,,1232,,370,
312,1,311,248,,3744,,3744,,11981,,1248,,1248,,370,
313,1,312,256,,3744,,3744,,11981,,1248,,1248,,374,
314,1,313,256,,3792,,3792,,11981,,1248,,1248,,374,
315,1,314,256,,3792,,3792,,12134,,1248,,1248,,374,
316,1,315,256,,3792,,3792,,12134,,1264,,1264,,374,
317,1,316,256,,3792,,3792,,12134,,1264,,1264,,379,
318,1,317,256,,3840,,3840,,12134,,1264,,1264,,379,
319,1,318,256,,3840,,3840,,12288,,1264,,1264,,379,
320,1,319,256,,3840,,3840,,12288,,1280,,1280,,379,
321,1,320,256,,3840,,3840,,12288,,1280,,1280,,384,
322,1,321,256,,3888,,3888,,12288,,1280,,1280,,384,
323,1,322,256,,3888,,3888,,12442,,1280,,1280,,384,
324,1,323,264,,3888,,3888,,12442,,1296,,1296,,384,
325,1,324,264,,3888,,3888,,12442,,1296,,1296,,389,
326,1,325,264,,3936,,3936,,12442,,1296,,1296,,389,
327,1,326,264,,3936,,3936,,12595,,1296,,1296,,389,
328,1,327,264,,3936,,3936,,12595,,1312,,1312,,389,
329,1,328,264,,3936,,3936,,12595,,1312,,1312,,394,
330,1,329,264,,3984,,3984,,12595,,1312,,1312,,394,
331,1,330,264,,3984,,3984,,12749,,1312,,1312,,394,
332,1,331,264,,3984,,3984,,12749,,1328,,1328,,394,
333,1,332,264,,3984,,3984,,12749,,1328,,1328,,398,
334,1,333,264,,4032,,4032,,12749,,1328,,1328,,398,
335,1,334,272,,4032,,4032,,12902,,1328,,1328,,398,
336,1,335,272,,4032,,4032,,12902,,1344,,1344,,398,
337,1,336,272,,4032,,4032,,12902,,1344,,1344,,403,
338,1,337,272,,4080,,4080,,12902,,1344,,1344,,403,
339,1,338,272,,4080,,4080,,13056,,1344,,1344,,403,
340,1,339,272,,4080,,4080,,13056,,1360,,1360,,403,
341,1,340,272,,4080,,4080,,13056,,1360,,1360,,408,
342,1,341,272,,4128,,4128,,13056,,1360,,1360,,408,
343,1,342,272,,4128,,4128,,13210,,1360,,1360,,408,
344,1,343,272,,4128,,4128,,13210,,1376,,1376,,408,
345,1,344,272,,4128,,4128,,13210,,1376,,1376,,413,
346,1,345,280,,4176,,4176,,13210,,1376,,1376,,413,
347,1,346,280,,4176,,4176,,13363,,1376,,1376,,413,
348,1,347,280,,4176,,4176,,13363,,1392,,1392,,413,
349,1,348,280,,4176,,4176,,13363,,1392,,1392,,418,
350,1,349,280,,4224,,4224,,13363,,1392,,1392,,418,
351,1,350,280,,4224,,4224,,13517,,1392,,1392,,418,
352,1,351,280,,4224,,4224,,13517,,1408,,1408,,418,
353,1,352,280,,4224,,4224,,13517,,1408,,1408,,422,
354,1,353,280,,4272,,4272,,13517,,1408,,1408,,422,
355,1,354,280,,4272,,4272,,13670,,1408,,1408,,422,
356,1,355,280,,4272,,4272,,13670,,1424,,1424,,422,
357,1,356,288,,4272,,4272,,13670,,1424,,1424,,427,
358,1,357,288,,4320,,4320,,13670,,1424,,1424,,427,
359,1,358,288,,4320,,4320,,13824,,1424,,1424,,427,
360,1,359,288,,4320,,4320,,13824,,1440,,1440,,427,
361,1,360,288,,4590,,4590,,14688,,1530,,1530,,459,
362,1,361,288,,4641,,4641,,14688,,1530,,1530,,459,
363,1,362,288,,4641,,4641,,14851,,1530,,1530,,459,
364,1,363,288,,4641,,4641,,14851,,1547,,1547,,459,
365,1,364,288,,4641,,4641,,14851,,1547,,1547,,464,
366,1,365,288,,4692,,4692,,14851,,1547,,1547,,464,
367,1,366,288,,4692,,4692,,15014,,1547,,1547,,464,
368,1,367,296,,4692,,4692,,15014,,1564,,1564,,464,
369,1,368,296,,4692,,4692,,15014,,1564,,1564,,469,
370,1,369,296,,4743,,4743,,15014,,1564,,1564,,469,
371,1,370,296,,4743,,4743,,15178,,1564,,1564,,469,
372,1,371,296,,4743,,4743,,15178,,1581,,1581,,469,
373,1,372,296,,4743,,4743,,15178,,1581,,1581,,474,
374,1,373,296,,4794,,4794,,15178,,1581,,1581,,474,
375,1,374,296,,4794,,4794,,15341,,1581,,1581,,474,
376,1,375,296,,4794,,4794,,15341,,1598,,1598,,474,
377,1,376,296,,4794,,4794,,15341,,1598,,1598,,479,
378,1,377,296,,4845,,4845,,15341,,1598,,1598,,479,
379,1,378,304,,4845,,4845,,15504,,1598,,1598,,479,
380,1,379,304,,4845,,4845,,15504,,1615,,1615,,479,
381,1,380,304,,4845,,4845,,15504,,1615,,1615,,485,
382,1,381,304,,4896,,4896,,15504,,1615,,1615,,485,
383,1,382,304,,4896,,4896,,15667,,1615,,1615,,485,
384,1,383,304,,4896,,4896,,15667,,1632,,1632,,485,
385,1,384,304,,4896,,4896,,15667,,1632,,1632,,490,
386,1,385,304,,4947,,4947,,15667,,1632,,1632,,490,
387,1,386,304,,4947,,4947,,15830,,1632,,1632,,490,
388,1,387,304,,4947,,4947,,15830,,1649,,1649,,490,
389,1,388,304,,4947,,4947,,15830,,1649,,1649,,495,
390,1,389,312,,4998,,4998,,15830,,1649,,1649,,495,
391,1,390,312,,4998,,4998,,15994,,1649,,1649,,495,
392,1,391,312,,4998,,4998,,15994,,1666,,1666,,495,
393,1,392,312,,4998,,4998,,15994,,1666,,1666,,500,
394,1,393,312,,5049,,5049,,15994,,1666,,1666,,500,
395,1,394,312,,5049,,5049,,16157,,1666,,1666,,500,
396,1,395,312,,5049,,5049,,16157,,1683,,1683,,500,
397,1,396,312,,5049,,5049,,16157,,1683,,1683,,505,
398,1,397,312,,5100,,5100,,16157,,1683,,1683,,505,
399,1,398,312,,5100,,5100,,16320,,1683,,1683,,505,
400,1,399,312,,5100,,5100,,16320,,1700,,1700,,505,
401,1,400,320,,5100,,5100,,16320,,1700,,1700,,510,
402,1,401,320,,5151,,5151,,16320,,1700,,1700,,510,
403,1,402,320,,5151,,5151,,16483,,1700,,1700,,510,
404,1,403,320,,5151,,5151,,16483,,1717,,1717,,510,
405,1,404,320,,5151,,5151,,16483,,1717,,1717,,515,
406,1,405,320,,5202,,5202,,16483,,1717,,1717,,515,
407,1,406,320,,5202,,5202,,16646,,1717,,1717,,515,
408,1,407,320,,5202,,5202,,16646,,1734,,1734,,515,
409,1,408,320,,5202,,5202,,16646,,1734,,1734,,520,
410,1,409,320,,5253,,5253,,16646,,1734,,1734,,520,
411,1,410,320,,5253,,5253,,16810,,1734,,1734,,520,
412,1,411,328,,5253,,5253,,16810,,1751,,1751,,520,
413,1,412,328,,5253,,5253,,16810,,1751,,1751,,525,
414,1,413,328,,5304,,5304,,16810,,1751,,1751,,525,
415,1,414,328,,5304,,5304,,16973,,1751,,1751,,525,
416,1,415,328,,5304,,5304,,16973,,1768,,1768,,525,
417,1,416,328,,5304,,5304,,16973,,1768,,1768,,530,
418,1,417,328,,5355,,5355,,16973,,1768,,1768,,530,
419,1,418,328,,5355,,5355,,17136,,1768,,1768,,530,
420,1,419,328,,5355,,5355,,17136,,1785,,1785,,530,
421,1,420,328,,5670,,5670,,18144,,1890,,1890,,567,
422,1,421,328,,5724,,5724,,18144,,1890,,1890,,567,
423,1,422,336,,5724,,5724,,18317,,1890,,1890,,567,
424,1,423,336,,5724,,5724,,18317,,1908,,1908,,567,
425,1,424,336,,5724,,5724,,18317,,1908,,1908,,572,
426,1,425,336,,5778,,5778,,18317,,1908,,1908,,572,
427,1,426,336,,5778,,5778,,18490,,1908,,1908,,572,
428,1,427,336,,5778,,5778,,18490,,1926,,1926,,572,
429,1,428,336,,5778,,5778,,18490,,1926,,1926,,578,
430,1,429,336,,5832,,5832,,18490,,1926,,1926,,578,
431,1,430,336,,5832,,5832,,18662,,1926,,1926,,578,
432,1,431,336,,5832,,5832,,18662,,1944,,1944,,578,
433,1,432,336,,5832,,5832,,18662,,1944,,1944,,583,
434,1,433,344,,5886,,5886,,18662,,1944,,1944,,583,
435,1,434,344,,5886,,5886,,18835,,1944,,1944,,583,
436,1,435,344,,5886,,5886,,18835,,1962,,1962,,583,
437,1,436,344,,5886,,5886,,18835,,1962,,1962,,589,
438,1,437,344,,5940,,5940,,18835,,1962,,1962,,589,
439,1,438,344,,5940,,5940,,19008,,1962,,1962,,589,
440,1,439,344,,5940,,5940,,19008,,1980,,1980,,589,
441,1,440,344,,5940,,5940,,19008,,1980,,1980,,594,
442,1,441,344,,5994,,5994,,19008,,1980,,1980,,594,
443,1,442,344,,5994,,5994,,19181,,1980,,1980,,594,
444,1,443,344,,5994,,5994,,19181,,1998,,1998,,594,
445,1,444,352,,5994,,5994,,19181,,1998,,1998,,599,
446,1,445,352,,6048,,6048,,19181,,1998,,1998,,599,
447,1,446,352,,6048,,6048,,19354,,1998,,1998,,599,
448,1,447,352,,6048,,6048,,19354,,2016,,2016,,599,
449,1,448,352,,6048,,6048,,19354,,2016,,2016,,605,
450,1,449,352,,6102,,6102,,19354,,2016,,2016,,605,
451,1,450,352,,6102,,6102,,19526,,2016,,2016,,605,
452,1,451,352,,6102,,6102,,19526,,2034,,2034,,605,
453,1,452,352,,6102,,6102,,19526,,2034,,2034,,610,
