变量名,name,_desc,value,valueArray,languages
96,megaCommonBuyAddTimes,,5,,
97,megaCommonBuyChanceLimit,,2,,
98,megaBuyAddTimes,,5,,
99,megaBuyChanceLimit,,2,,
100,megaCommonRecoveryFirst,,20,,
101,megaRecoveryFirst,,20,,
102,cardCommentWordCount,,300,,
103,cardSwitchBranchCostRMB,,500,,
104,cardCommentDailyMarkNum,,10,,
105,cardCommentDailyMarkSendTimes,,5,,
106,cardScoreDailyChangeTimes,,1,,
107,cardCommentHotNum,,10,,
108,gymPwCD,,300,,
109,gymRecoverFirst,,50,,
110,gymTalentPointBuyCount,,10,,
111,cloneCanKickTime,,180,,
112,cloneCanKickFinishNum,,3,,
113,cloneDailyBeKickedMax,,3,,
114,dropEquipAbilityNeedRmb,,30,,
115,dropEquipSignetNeedRmb,,30,,
116,seniorRoleLevel,,55,,
117,seniorRoleOffline,,3,,
118,seniorRoleFightingPoint,,150000,,
119,longBindCD,,30,,
120,shortBindCD,,15,,
121,reunionLoginDays,,4,,
122,gymFubenMaxDamageMultiple,,8000,,
123,dailyStaminaCostMax,,12000,,
124,figureSkillLimit,,3,,
125,figureSkill2,,8,,
126,figureSkill3,,16,,
127,halloweenSpriteNum1,,3,,
128,halloweenSpriteNum2,,2,,
129,huoDongBossMaxDamageMultiple,,8000,,
130,huodongBossCrossServerSize,,5,,
131,huodongBossCrossServerLimit,,8,,
132,unionFubenDeadlyTimesLimit,,1,,
133,talentResetAllCost,,200,,
134,gymLogLimit,,500,,
135,crossMineBossMaxDamageMultiple,,8000,,
136,citySpriteTimesMax,,3,,
137,unionQABuyCost,,50,,
138,unionQABuyTimes,,1,,
139,unionQATimes,,1,,
140,crossMineBossAgentCheckDamageFix,,50,,
141,crossMineBossMaxTime,,300,,
142,redPacketCrossGroupSize,,10,,
143,skyscraperCrossGroupSize,,20,,
144,horseRaceBetCost,,50,,
145,braveChallengeGroupSize,,50,,
146,horseRaceGroupSize,,20,,
147,zawakeResetOneKeyCost,,500,,
148,zawakeResetOneKeyRatio,,1,,
149,zawakeResetAutoRatio,,1,,
150,drawChipCostPrice,,98,,
151,draw10ChipCostPrice,,880,,
152,drawChipItemCostPrice,,10,,
153,draw10ChipItemCostPrice,,100,,
154,chipUpLimit,,3,,
155,chipExpNeedGold,,50,,
156,chipResetCost,,1000,,
157,chipRebirthRMBCostLimit,,100,,
158,chipRebirthRMBCostMin,,10,,
159,chipRebirthRetrunProportion,,1,,
160,huntingMaxDamageMultiple,,8000,,
161,drawCardUpChangeLimit,,4,,
162,drawCardUp1CostPrice,,220,,
163,drawCardUp10CostPrice,,2000,,
164,volleyballGroupSize,,20,,
165,endlessCheatSilentTimes,,3,,
166,buildingCompletionInterval,,10,,
167,buildingCompletionCost,,5,,
168,buildingHomeRenameCost,,100,,
169,townHomeEnergyRecovery,,3,,
170,crossMineDisablenBattleProtectBeforeOver,,15,,
171,townHomePlanNum,,15,,
172,TownHomeMainFigureMaxCount,,15,,
173,TownHomeMainFigureMinCount,,11,,
174,totemShopRefreshDays,,2,,
175,battlebetGroupSize,,50,,
176,buildingCompletionFree,,2,,
177,elementCrushGroupSize,,20,,
178,treeResettingCost,,300,,
179,drawTotemCostPrice,,128,,
180,draw6TotemCostPrice,,680,,
181,bossBattleCheatSilentTimes,,3,,
182,bossBattleCheatSilent,,10800,,
183,bossBattleCheatSilentDamageFix,,50,,
184,componentCostBase,,10,,
185,mimicryBossMaxDamageMultiple,,0.2,,
186,abilityExtraNeedFullAbilityCardNum,,12,,
187,abilityExtraSwitchCost,,300,,
188,worldcupGroupSize,,50,,
189,followSpriteNeedFeelLevel,,200,,
190,cardStarSwapRaritySTimesCD,,2160,,
191,signInShopNeedCreateRoleDays,,75,,
192,cardStarSwapRaritySTimesLimit,,2,,
193,cardStarSwapRaritySDefaultTimes,,1,,
194,armsDeploymentSelectLength,,2,,
195,vipCoinRechargeRatio,,0.1,,
196,totemStarUnlockNeedEnergy,,850,,
197,totemStarShowNeedEnergy,,750,,
198,contractRebirthRMBCostLimit,,100,,
199,contractRebirthRMBCostMin,,10,,
200,contractRebirthRetrunProportion,,1,,
201,contractExpNeedGold,,100,,
202,cardStarSwapMinimumStarNumber,,8,,
203,aidResetCost,,200,,
204,chatServerDays,,2,,<cn>
205,chatVIP,,1,,<cn>
206,miTuCountdown,,60,,
207,miTuPointUnit,,5,,
208,hellRandomTowerBoxLimit1,,,,
209,hellRandomTowerBoxLimit2,,,,
210,hellRandomTowerPassResumeMp,,0.2,,
211,cardMergeRecoverCD,,432000,,
212,crossChatTimeRecoverCD,,10,,
213,universalFragS,,544,,
214,aidMaterialExchangeCost,,50000,,
215,abyssEndlessTowerUnlock,,300,,
216,notFriendFightLimit,,5,,
217,autoChessSaodangPvePassTimes,,10,,
218,unionSendMailTimeLimit,,72,,
219,townReadyCardMax,,15,,
220,drawEmeraCostPrice,,198,,
221,draw5EmeraCostPrice,,980,,
222,emeraRebirthRMBCostLimit,,100,,
223,emeraRebirthRMBCostMin,,10,,
224,emeraRebirthRetrunProportion,,1,,
225,cardUnDecompose,,6,,
226,eliteChallengePassResumeMp,,0.2,,
227,ipLimitConn,,10,,
228,capturePlanOnceNum,,5,,
229,capturePlanOpenLevel,,3,,
5000,client_test,,,,
5001,slayAddMp,,300,,
5002,lostOnePercentHpAddMp,,7,,
5003,saodang50RoleLevel,,60,,
5004,cityBgStartTime,,360,,
5005,cityBgDayDuration,,720,,
5006,cityBgNightDuration,,720,,
5007,signinItemRate,,4,,
5008,signinCardRate,,1.6,,
5009,levelBoxDelayTime,,1.6,,
5010,pvpBattleItemID,,517,,
5011,pvpCardShowScale,,2.4,,
5012,citySpecialTimeMin,,60,,
5013,showCardRarityMin,,3,,
5014,attrHp,,0.4,,
5015,attrDamage,,1,,
5016,attrSpecialDamage,,1,,
5017,attrDefence,,3,,
5018,attrSpecialDefence,,3,,
5019,attrSpeed,,4.5,,
5020,endlessTowerJumpCD,,30,,
5021,randomTowerJumpCD,,15,,
5022,feedBackDayCount,,10,,
5023,randomTowerBattleHp,,10,,
5024,randomTowerBattleMp,,200,,
5025,captureSprite,,1.5,,
5026,rechargeVip,,15000,,<cn;en>
5027,marqueeMax,,3,,
5028,personalSignShowLevel,,27,,
5029,worldBossJumpCD,,25,,
5030,worldBossDamageLimitRate,,0.6,,
5031,preCheckFailAttrFix,,1.2,,
5032,craftHpRatioBorder,,0.85,,
5033,onlineFightAwardLimit,,5,,
5034,onlineFightFleeRoundLimit,,5,,
5035,onlineFightLateSpeedUpTime,,20,,
5036,onlineFightLateFrameLimit,,3,,
5037,gymMapScale,,0.8,,
5038,crossMapScale,,0.5,,
5039,onlineFightWdfRecordRound,,4,,
5040,onlineFightWdfRecordLimit,,0.5,,
5041,gymGateJumpCD,,,,
5042,huodongbossNewTimes,,15,,
5043,huodongbossMaxNumber,,50,,
5044,embattleReadyMax,,5,,
5045,loadingBgTotal,,21,<1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;20;22;24;25>,
5046,signinPassportTipDays,,7,,
5047,antiFraudPosterAppearsCD,,1,,
5048,huntingJumpCD,,,,
5049,reboundFix,,0.04,,
5050,messageIsFull,,7,,
5051,crossUnionFight,,8.5,,
5052,crossUnionBattleReportTime,,20,,
5053,unionFubenDamageLimitRate,,80,,
5054,crossMineBossDamageLimitRate,,80,,
5057,starSwapSMax,,2,,
5058,starSwapSPlusMax,,1,,
5059,changeNoticeLevel,,40,,
5060,changeNoticeDays,,,,
5061,reduceLimit,,0.9,,
5062,loginServerAreaNum,,10,,
5063,blockMin,,0.24,,
5064,correctFightPoint,,500000,,
5065,hellRandomTowerJumpCD,,15,,
5066,hellRandomTowerBattleHp,,10,,
5067,hellRandomTowerBattleMp,,200,,
5068,abyssEndlessTowerJumpCD,,,,
5069,shieldFixRate,,,,
5070,onlineFightOperateTime,,30,,
5071,onlineFightOperateTimeMin,,1,,
5072,onlineFightOperateTimeMax,,8,,
