变量名,name,icon,languages,unlockDesc,type,isShow,__version
412,通行证S13,config/portrait/frame/icon_txztxk13.png,<cn;kr;en;tw;en_eu;en_us>,,3,,
413,通行证S14,config/portrait/frame/icon_txztxk14.png,<cn;kr;en;tw;en_eu;en_us>,,3,,
414,通行证S15,config/portrait/frame/icon_txztxk15.png,<cn;kr;en;tw;en_eu;en_us>,,3,,
415,通行证S16,config/portrait/frame/icon_txztxk16.png,<cn;kr;en;tw;en_us>,,3,,
416,通行证S17,config/portrait/frame/icon_txztxk17.png,<cn;kr;en;tw;en_us>,,3,,
417,通行证S18,config/portrait/frame/icon_txztxk18.png,<cn;kr;en;tw;en_us>,,3,,
418,通行证S19,config/portrait/frame/icon_txztxk19.png,<cn;kr;en;tw;en_us>,,3,,
419,通行证S20,config/portrait/frame/icon_txztxk20.png,<cn;kr;en;tw;en_us>,,3,,
420,通行证S21,config/portrait/frame/icon_txztxk21.png,<cn;kr;en;tw;en_us>,,3,,
421,通行证S22,config/portrait/frame/icon_txztxk22.png,<cn;kr;en;tw;en_us>,,3,,
422,通行证S23,config/portrait/frame/icon_txztxk23.png,<cn;kr;tw;en_us>,,3,,
423,通行证S24,config/portrait/frame/icon_txztxk24.png,<cn;kr;tw;en_us>,,3,,
424,通行证S25,config/portrait/frame/icon_txztxk25.png,<cn;tw;en_us>,,3,,
425,通行证S26,config/portrait/frame/icon_txztxk26.png,<cn>,,3,,
426,通行证S27,config/portrait/frame/icon_txztxk27.png,<cn>,,3,,
427,通行证S28,config/portrait/frame/icon_txztxk28.png,<cn>,,3,,
428,通行证S29,config/portrait/frame/icon_txztxk29.png,<cn>,,3,,
429,通行证S30,config/portrait/frame/icon_txztxk30.png,<cn>,,3,,
430,通行证S31,config/portrait/frame/icon_txztxk31.png,<cn>,,3,,
501,世界锦标赛S1头像框（红）,config/portrait/frame/icon_sjjbs1_s1.png,,,2,FALSE,
502,世界锦标赛S1头像框（紫）,config/portrait/frame/icon_sjjbs2_s1.png,,,2,FALSE,
503,世界锦标赛S1头像框（蓝）,config/portrait/frame/icon_sjjbs3_s1.png,,,2,FALSE,
504,世界锦标赛S2头像框（红）,config/portrait/frame/icon_sjjbs1_s2.png,,,2,FALSE,
505,世界锦标赛S2头像框（紫）,config/portrait/frame/icon_sjjbs2_s2.png,,,2,FALSE,
506,世界锦标赛S2头像框（蓝）,config/portrait/frame/icon_sjjbs3_s2.png,,,2,FALSE,
507,世界锦标赛S3头像框（红）,config/portrait/frame/icon_sjjbs1_s3.png,,,2,FALSE,
508,世界锦标赛S3头像框（紫）,config/portrait/frame/icon_sjjbs2_s3.png,,,2,FALSE,
509,世界锦标赛S3头像框（蓝）,config/portrait/frame/icon_sjjbs3_s3.png,,,2,FALSE,
510,世界锦标赛S4头像框（红）,config/portrait/frame/icon_sjjbs1_s4.png,,,2,FALSE,
511,世界锦标赛S4头像框（紫）,config/portrait/frame/icon_sjjbs2_s4.png,,,2,FALSE,
512,世界锦标赛S4头像框（蓝）,config/portrait/frame/icon_sjjbs3_s4.png,,,2,FALSE,
513,世界锦标赛S5头像框（红）,config/portrait/frame/icon_sjjbs1_s5.png,,,2,FALSE,
514,世界锦标赛S5头像框（紫）,config/portrait/frame/icon_sjjbs2_s5.png,,,2,FALSE,
515,世界锦标赛S5头像框（蓝）,config/portrait/frame/icon_sjjbs3_s5.png,,,2,FALSE,
516,世界锦标赛S6头像框（红）,config/portrait/frame/icon_sjjbs1_s6.png,,,2,FALSE,
517,世界锦标赛S6头像框（紫）,config/portrait/frame/icon_sjjbs2_s6.png,,,2,FALSE,
518,世界锦标赛S6头像框（蓝）,config/portrait/frame/icon_sjjbs3_s6.png,,,2,FALSE,
519,世界锦标赛S7头像框（红）,config/portrait/frame/icon_sjjbs1_s7.png,,,2,FALSE,
520,世界锦标赛S7头像框（紫）,config/portrait/frame/icon_sjjbs2_s7.png,,,2,FALSE,
521,世界锦标赛S7头像框（蓝）,config/portrait/frame/icon_sjjbs3_s7.png,,,2,FALSE,
522,世界锦标赛S8头像框（红）,config/portrait/frame/icon_sjjbs1_s8.png,,,2,FALSE,
523,世界锦标赛S8头像框（紫）,config/portrait/frame/icon_sjjbs2_s8.png,,,2,FALSE,
524,世界锦标赛S8头像框（蓝）,config/portrait/frame/icon_sjjbs3_s8.png,,,2,FALSE,
525,世界锦标赛S9头像框（红）,config/portrait/frame/icon_sjjbs1_s9.png,,,2,FALSE,
526,世界锦标赛S9头像框（紫）,config/portrait/frame/icon_sjjbs2_s9.png,,,2,FALSE,
527,世界锦标赛S9头像框（蓝）,config/portrait/frame/icon_sjjbs3_s9.png,,,2,FALSE,
528,世界锦标赛S10头像框（红）,config/portrait/frame/icon_sjjbs1_s10.png,,,2,FALSE,
529,世界锦标赛S10头像框（紫）,config/portrait/frame/icon_sjjbs2_s10.png,,,2,FALSE,
530,世界锦标赛S10头像框（蓝）,config/portrait/frame/icon_sjjbs3_s10.png,,,2,FALSE,
531,世界锦标赛S11头像框（红）,config/portrait/frame/icon_sjjbs1_s11.png,,,2,FALSE,
532,世界锦标赛S11头像框（紫）,config/portrait/frame/icon_sjjbs2_s11.png,,,2,FALSE,
533,世界锦标赛S11头像框（蓝）,config/portrait/frame/icon_sjjbs3_s11.png,,,2,FALSE,
534,世界锦标赛S12头像框（红）,config/portrait/frame/icon_sjjbs1_s12.png,,,2,FALSE,
535,世界锦标赛S12头像框（紫）,config/portrait/frame/icon_sjjbs2_s12.png,,,2,FALSE,
536,世界锦标赛S12头像框（蓝）,config/portrait/frame/icon_sjjbs3_s12.png,,,2,FALSE,
537,世界锦标赛S13头像框（红）,config/portrait/frame/icon_sjjbs1_s13.png,,,2,FALSE,
538,世界锦标赛S13头像框（紫）,config/portrait/frame/icon_sjjbs2_s13.png,,,2,FALSE,
539,世界锦标赛S13头像框（蓝）,config/portrait/frame/icon_sjjbs3_s13.png,,,2,FALSE,
540,世界锦标赛S14头像框（红）,config/portrait/frame/icon_sjjbs1_s14.png,,,2,FALSE,
541,世界锦标赛S14头像框（紫）,config/portrait/frame/icon_sjjbs2_s14.png,,,2,FALSE,
542,世界锦标赛S14头像框（蓝）,config/portrait/frame/icon_sjjbs3_s14.png,,,2,FALSE,
543,世界锦标赛S15头像框（红）,config/portrait/frame/icon_sjjbs1_s15.png,,,2,FALSE,
544,世界锦标赛S15头像框（紫）,config/portrait/frame/icon_sjjbs2_s15.png,,,2,FALSE,
545,世界锦标赛S15头像框（蓝）,config/portrait/frame/icon_sjjbs3_s15.png,,,2,FALSE,
546,世界锦标赛S16头像框（红）,config/portrait/frame/icon_sjjbs1_s16.png,,,2,FALSE,
547,世界锦标赛S16头像框（紫）,config/portrait/frame/icon_sjjbs2_s16.png,,,2,FALSE,
548,世界锦标赛S16头像框（蓝）,config/portrait/frame/icon_sjjbs3_s16.png,,,2,FALSE,
549,世界锦标赛S17头像框（红）,config/portrait/frame/icon_sjjbs1_s17.png,,,2,FALSE,
550,世界锦标赛S17头像框（紫）,config/portrait/frame/icon_sjjbs2_s17.png,,,2,FALSE,
551,世界锦标赛S17头像框（蓝）,config/portrait/frame/icon_sjjbs3_s17.png,,,2,FALSE,
552,世界锦标赛s18头像框（红）,config/portrait/frame/icon_sjjbs1_s18.png,,,2,FALSE,
553,世界锦标赛s18头像框（紫）,config/portrait/frame/icon_sjjbs2_s18.png,,,2,FALSE,
554,世界锦标赛s18头像框（蓝）,config/portrait/frame/icon_sjjbs3_s18.png,,,2,FALSE,
555,世界锦标赛s19头像框（红）,config/portrait/frame/icon_sjjbs1_s19.png,,,2,FALSE,
556,世界锦标赛s19头像框（紫）,config/portrait/frame/icon_sjjbs2_s19.png,,,2,FALSE,
557,世界锦标赛s19头像框（蓝）,config/portrait/frame/icon_sjjbs3_s19.png,,,2,FALSE,
558,世界锦标赛s20头像框（红）,config/portrait/frame/icon_sjjbs1_s20.png,,,2,FALSE,
559,世界锦标赛s20头像框（紫）,config/portrait/frame/icon_sjjbs2_s20.png,,,2,FALSE,
560,世界锦标赛s20头像框（蓝）,config/portrait/frame/icon_sjjbs3_s20.png,,,2,FALSE,
561,世界锦标赛s21头像框（红）,config/portrait/frame/icon_sjjbs1_s21.png,,,2,FALSE,
562,世界锦标赛s21头像框（紫）,config/portrait/frame/icon_sjjbs2_s21.png,,,2,FALSE,
563,世界锦标赛s21头像框（蓝）,config/portrait/frame/icon_sjjbs3_s21.png,,,2,FALSE,
564,世界锦标赛s22头像框（红）,config/portrait/frame/icon_sjjbs1_s22.png,,,2,FALSE,
565,世界锦标赛s22头像框（紫）,config/portrait/frame/icon_sjjbs2_s22.png,,,2,FALSE,
566,世界锦标赛s22头像框（蓝）,config/portrait/frame/icon_sjjbs3_s22.png,,,2,FALSE,
567,世界锦标赛s23头像框（红）,config/portrait/frame/icon_sjjbs1_s23.png,,,2,FALSE,
568,世界锦标赛s23头像框（紫）,config/portrait/frame/icon_sjjbs2_s23.png,,,2,FALSE,
569,世界锦标赛s23头像框（蓝）,config/portrait/frame/icon_sjjbs3_s23.png,,,2,FALSE,
570,世界锦标赛s24头像框（红）,config/portrait/frame/icon_sjjbs1_s24.png,,,2,FALSE,
571,世界锦标赛s24头像框（紫）,config/portrait/frame/icon_sjjbs2_s24.png,,,2,FALSE,
572,世界锦标赛s24头像框（蓝）,config/portrait/frame/icon_sjjbs3_s24.png,,,2,FALSE,
573,世界锦标赛s25头像框（红）,config/portrait/frame/icon_sjjbs1_s25.png,,,2,FALSE,
574,世界锦标赛s25头像框（紫）,config/portrait/frame/icon_sjjbs2_s25.png,,,2,FALSE,
575,世界锦标赛s25头像框（蓝）,config/portrait/frame/icon_sjjbs3_s25.png,,,2,FALSE,
576,世界锦标赛s26头像框（红）,config/portrait/frame/icon_sjjbs1_s26.png,,,2,FALSE,
577,世界锦标赛s26头像框（紫）,config/portrait/frame/icon_sjjbs2_s26.png,,,2,FALSE,
578,世界锦标赛s26头像框（蓝）,config/portrait/frame/icon_sjjbs3_s26.png,,,2,FALSE,
579,世界锦标赛s27头像框（红）,config/portrait/frame/icon_sjjbs1_s27.png,,,2,FALSE,
580,世界锦标赛s27头像框（紫）,config/portrait/frame/icon_sjjbs2_s27.png,,,2,FALSE,
581,世界锦标赛s27头像框（蓝）,config/portrait/frame/icon_sjjbs3_s27.png,,,2,FALSE,
582,世界锦标赛s28头像框（红）,config/portrait/frame/icon_sjjbs1_s28.png,,,2,FALSE,
583,世界锦标赛s28头像框（紫）,config/portrait/frame/icon_sjjbs2_s28.png,,,2,FALSE,
