变量名,onceEffectResPath,onceEffectDelay,effectResDelay,effectAssignLayer,effectPos,onceEffectPos,onceEffectAniName,onceEffectWait,deepCorrect,effectResPath,effectShowOnAttack,spineEffect,effectAniName,effectAniChoose,effectOffsetPos,onceEffectOffsetPos,holderActionType,pointEffect,onceEffectAssignLayer,stageArgs,linkEffect,effectOnEnd,rayEffect,__version
3639311,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,,,,buff_fengying_chuxian,,,koudai_dianxi_megapf2/hero_dianxi_megapf2.skel,,,<buff_fengying_loop>,,,,,,,,,{res=koudai_dianxi_megapf/hero_dianxi_megapf.skel;pos=0;aniName=buff_fengying_xiaoshi},,
3639661,koudai_dianxi_mega/hero_dianxi_mega.skel,,,2,3,5,buff_yanjingyan_chuxian,,20050,koudai_dianxi_megapf2/hero_dianxi_megapf2.skel,,,<buff_yanjingyan_loop>,,{x=200;y=400},{x=200;y=400},,,2,,,,,
3639689,,,,,,,,,,koudai_dianxi_megapf2/hero_dianxi_megapf2.skel,,,<die_loop>,,,,{args={lifebar={isShow=FALSE};sprite={isShow=FALSE}};typ=hide},,,,,,,
3642311,koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel,,,,,,shugl_chuxian,,11,,,,,,,,{args={other={isShow=FALSE}};typ=hide},,,,,{res=koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel;pos=0;aniName=shugl_xiaoshi},,
3642313,koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel,,,,,,yiciyuandaji,,,,,,,,,,,,,,,,,
3642331,koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel,,,,,,shugl_chuxian,,11,,,,,,,,{args={other={isShow=FALSE}};typ=hide},,,,,{res=koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel;pos=0;aniName=shugl_xiaoshi},,
3642612,koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel,,,,,,shifang,TRUE,,,,,,,,,,,,,,,,
3642613,koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel,,,,,,shifang,TRUE,,,,,,,,,,,,,,,,
3642620,koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel,200,695,,,,hengl_chuxian,TRUE,1,koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel,,,<hengl_loop>,,{x=0;y=-20},{x=0;y=-20},,,,,,{res=koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel;pos=0;aniName=hengl_xiaoshi},,
3642634,koudai_jiefanghupa_pifu/hero_jiefanghupa_pifu_buff.skel,,,,,,hengl_atk2_left,TRUE,,,,,,,,{flip=TRUE;x=0;y=0},,,,,,,,
3642683,,,,,,,,,,,,,,,,,,,,,,{res=koudai_jiefanghupa_pifu/chengjiezhihu_pifu.skel;aniName=mohu2;pos=0;x=50},,
3642684,koudai_jiefanghupa_pifu/chengjiezhihu_pifu.skel,,,,,,xishou,TRUE,,,,,,,,{flip=TRUE;x=0;y=0},{args={other={isShow=FALSE};sprite={isShow=FALSE}};typ=hide},,,,,{res=koudai_jiefanghupa_pifu/chengjiezhihu_pifu.skel;pos=0;aniName=tuchu},,
3642685,,,,,,,,TRUE,,,,,,,,,{list=<{args={other={isShow=FALSE};lifebar={isShow=FALSE};sprite={isShow=FALSE}};playType=1;typ=hide};{args={onceEffectOffsetPos={y=140;x=0};onceEffectResPath=koudai_jiefanghupa_pifu/chengjiezhihu_pifu.skel;onceEffectAniName=mohu1};playType=1;typ=onceEffect};{args={lifetime=2970};playType=1;typ=wait};{args={other={isShow=TRUE};lifebar={isShow=TRUE};sprite={isShow=TRUE}};playType=1;typ=hide}>},,,,,,,
4023211,,,,,,,,,,koudai_sejlopifu/hero_sejlopifu.skel,,,<buffdun_loop>,,{x=-70;y=0},,,,,,,,,
4024311,,,,,,,,,,koudai_lunaiyalapf/hero_lunaiyalapf.skel,,,<buff_guyue_loop>,,,,,,,,,,,
4024322,koudai_lunaiyalapf/hero_lunaiyalapf.skel,,,,,,buff_yuehua,,,,,,,,,,,,,,,,,
4024610,,,,0,5,,,,19998,koudai_lunaiyalapf/lunaiyalapf_yuexiang.skel,,,<beijing_loop>,,{x=0;y=400},,,,,,,,,
4024611,,,,0,7,,,,19999,koudai_lunaiyalapf/lunaiyalapf_yuexiang.skel,,,<suyue>,,,,,,,,,,,
4024621,,,,0,7,,,,19999,koudai_lunaiyalapf/lunaiyalapf_yuexiang.skel,,,<xianyue_shang>,,,,,,,,,,,
4024631,,,,0,7,,,,19999,koudai_lunaiyalapf/lunaiyalapf_yuexiang.skel,,,<manyue>,,,,,,,,,,,
4024641,,,,0,7,,,,19999,koudai_lunaiyalapf/lunaiyalapf_yuexiang.skel,,,<xianyue_xia>,,,,,,,,,,,
4024719,,,,,,,,,,koudai_lunaiyalapf/hero_lunaiyalapf.skel,,,<buff_yueying_loop>,,,,{args={lifebar={isShow=FALSE};sprite={isShow=FALSE}};typ=hide},,,,,,,
4024725,,,,,,,,,,koudai_lunaiyalapf/hero_lunaiyalapf.skel,,,<buff_yueying_loop>,,,,{args={lifebar={isShow=FALSE};sprite={isShow=FALSE}};typ=hide},,,,,,,
4024726,koudai_lunaiyalapf/hero_lunaiyalapf.skel,,,,,,buff_yueying_chuxian,,,,,,,,,,,,,,,,,
4024727,koudai_lunaiyalapf/hero_lunaiyalapf.skel,,,,,,buff_yueying_xiaoshi,,,,,,,,,,,,,,,,,
4071214,,,,,,,,,,,,{action={hit=xuli_hit};unitRes=<koudai_thhypf/hero_thhypf.skel>},,,,,,,,,,,,
4071311,,,,4,5,,,,998,koudai_thhypf/hero_thhypf.skel,,,<yanmu_loop>,,{x=0;y=0},,,,4,,,,,
4071316,koudai_thhypf/hero_thhypf.skel,,,,,,xialuo,,,,,,,,,,,,,,,,,
4071321,koudai_thhypf/hero_thhypf.skel,,,,,,xialuo,,,,,,,,,,,,,,,,,
4101011,,,,,,,,,,,,,,,,,,{res=koudai_naikeluozima_pifu/hero_naikeluozima_pifu_buff.skel;offsetY=-25;offsetX=-90;emptyAction=guangneng_loop;hideEmptyPoint=TRUE;activeAction=guangneng_loop},,,,,,
4101024,,,,,,,,TRUE,,,,,,,,,{list=<{args={other={isShow=FALSE};lifebar={isShow=FALSE};sprite={isShow=FALSE}};playType=1;typ=hide};{args={onceEffectOffsetPos={y=140;x=-560};onceEffectAniName=leishe_attack;onceEffectResPath=koudai_naikeluozima_pifu/hero_naikeluozima_pifu.skel;onceEffectPos=6};playType=1;typ=onceEffect};{args={lifetime=852};playType=1;typ=wait};{args={other={isShow=TRUE};lifebar={isShow=TRUE};sprite={isShow=TRUE}};playType=1;typ=hide}>},,,,,,,
4101031,,,,,,,,,,,,{action={standby=baozou_loop};unitRes=<koudai_naikeluozima_pifu/hero_naikeluozima_pifu.skel>},,,,,,,,,,,,
4101214,koudai_naikeluozima_pifu/hero_naikeluozima_pifu_buff.skel,,594,,,,lengjing_chuxian,TRUE,11,koudai_naikeluozima_pifu/hero_naikeluozima_pifu_buff.skel,,,<lengjing_loop>,,,,,,,,,{res=koudai_naikeluozima_pifu/hero_naikeluozima_pifu_buff.skel;pos=0;aniName=lengjing_xiaoshi},,
4101331,koudai_naikeluozima_pifu/hero_naikeluozima_pifu_buff.skel,,495,,,4,shijie_chuxian,TRUE,,koudai_naikeluozima_pifu/hero_naikeluozima_pifu_buff.skel,,,<shijie_loop>,,,,{args={value=0};typ=opacity},,,,,{res=koudai_naikeluozima_pifu/hero_naikeluozima_pifu_buff.skel;pos=0;aniName=shijie_xiaoshi},,
4101615,,,,,,,,,,,,,,,,,,,,,,,{offsetPos={y=0;x=0};startDelayTime=10;scaleX=1;deep=13;aniName=buff_guangshu_loop;endDelayTime=400;effectRes=koudai_naikeluozima_pifu/hero_naikeluozima_pifu_guangshu.skel;time=800},
4101619,koudai_naikeluozima_pifu/hero_naikeluozima_pifu_buff.skel,,,,,4,chuantouguangxian,TRUE,,,,,,,,{flip=TRUE;x=0;y=120},,,,,,,,
4103211,,,,,,,,,,koudai_hhzzpf/buff_hhzzpf.skel,,,<rmk_loop>,,{x=-100;y=0},,,,,,,,,
4103357,,,,,,,,,,,,,,,,,"{effect=<{args={other={isShow=FALSE};lifebar={isShow=FALSE};sprite={isShow=FALSE}};revertFrame=TRUE;typ=hide};{args={offsetPos={y=-130;x=0};onceEffectPosIndex=3;followTime=3233.3;input=And(enemyForce(),enemyForceEx(c.huanghunshibie()))|nodead;bones=<hitman_move;hitman_move2;hitman_move3;hitman_move4;hitman_move5;hitman_move6;hitman_move7;hitman_move8;hitman_move9;hitman_move10;hitman_move11;hitman_move12>;aniName=buff_rghxxcq;process=random(99);pos=3;skin=auto;resPath=koudai_hhzzpf/hero_hhzzpf.skel};playType=1;typ=followBone};{args={lifetime=3233.3};playType=1;typ=wait};{typ=playDeferList;args={key=id}}>}",,,,,,,
4103360,,,,,,,,,,koudai_hhzzpf/buff_hhzzpf.skel,,,<ybbf_loop>,,,,,,,,,,,
4103363,,,,,,,,,8,koudai_hhzzpf/buff_hhzzpf.skel,,,<rsam_loop>,,{x=0;y=100},,{args={value=0.5};typ=opacity},,,,,,,
4103670,,,,,,,,,8,koudai_hhzzpf/buff_hhzzpf.skel,,,<tysk1_loop;tysk2_loop;tysk3_loop;tysk4_loop;tysk5_loop;tysk6_loop>,{mapping=<1;2;3;4;5;6>;type=1},,,,,,,,,,
4104212,,,,,,,,,,koudai_fxzypf/fxzypf_buff.skel,,,<buff_xuwu_loop>,,,,{args={value=0.5};typ=opacity},,,,,,,
4104311,,,,,,,,,,koudai_fxzypf/fxzypf_buff.skel,,,<buff_yszl_qian_loop>,,,,,,,,,,,
4104318,,,,,,,,,9,koudai_fxzypf/fxzypf_buff.skel,,,<buff_yszl_hou_loop>,,,,,,,,,,,
4104416,koudai_fxzypf/fxzypf_buff.skel,,,,,,buff_heiguang,,,,,,,,,,,,,,,,,
4104511,,,,,,,,,,,,,,,,,,,,<{bkCsv=csv.stage.hhyyingpf;delay=0}>,,,,
4104610,,,,0,7,,,,19998,koudai_fxzypf/fxzypf_buff.skel,,,<ys_beijing_loop>,,,,,,,,,,,
4104611,,,,0,7,,,,19999,koudai_fxzypf/fxzypf_buff.skel,,,<ys_chukui>,,,,,,,,,,,
4104620,koudai_fxzypf/fxzypf_buff.skel,,,,,,buff_heiguang,,,,,,,,,,,,,,,,,
4104621,,,,0,7,,,,19999,koudai_fxzypf/fxzypf_buff.skel,,,<ys_shishen>,,,,,,,,,,,
4104631,,,,0,7,,,,19999,koudai_fxzypf/fxzypf_buff.skel,,,<ys_fuyuan>,,,,,,,,,,,
4104652,,,,,,,,,9,koudai_fxzypf/fxzypf_buff.skel,,,<buff_yuehen1_loop;buff_yuehen2_loop;buff_yuehen3_loop>,{mapping=<1;2;3>;type=1},{x=0;y=330},,,,,,,,,
4104923,,,,,,,,,9,koudai_fxzypf/fxzypf_buff.skel,,,<buff_yueying_loop>,,,,,,,,,,,
4112211,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,990,,,4,buff_fanzhi_chuxian,TRUE,,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,,<buff_fanzhi_loop>,,,,,,,,,,,
4112212,koudai_majiyana_pifu/hero_majiyana_pifu.skel,1000,,,,4,buff_fanzhi_effect,TRUE,,,,,,,,,,,,,,,,
4112311,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,1485,4,4,6,buff_yinli_chuxian,TRUE,15,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,,<buff_yinli_loop>,,{x=-430;y=-20},{x=-430;y=-20},,,,,,,,
4112313,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,,,,6,buff_yinli_effect,TRUE,5,,,,,,,{x=-880;y=-20},,,,,,,,
4112317,koudai_majiyana_pifu/hero_majiyana_pifu.skel,2000,,,,6,buff_yinli_xiaoshi,TRUE,,,,,,,,{flip=TRUE;x=-430;y=-20},,,,,,,,
4112611,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,990,,2,2,buff_hunxin_chuxian,TRUE,,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,,<buff_hunxin_loop>,,{x=0;y=-120},{x=0;y=-120},,,,,,{res=koudai_majiyana_pifu/hero_majiyana_pifu.skel;pos=2;aniName=buff_hunxin_xiaoshi},,
4112633,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,990,,,4,buff_jianci_chuxian,TRUE,2,koudai_majiyana_pifu/hero_majiyana_pifu.skel,,,<buff_jianci_loop>,,,,,,,,,{res=koudai_majiyana_pifu/hero_majiyana_pifu.skel;pos=4;aniName=buff_jianci_xiaoshi},,
