变量名,cardID,chooseItemNum,shopWeight,drawItemsWeight,itemID,languages,tag,customLevel
1757,3171,1,60,60,,,tag_cardS_zx,1
1758,3181,1,60,60,,,tag_cardS_zx,1
1759,861,1,60,60,,,tag_cardS_zx,1
1760,381,1,60,60,,,tag_cardS_zx,1
1761,501,1,60,60,,,tag_cardS_zx,1
1762,611,1,60,60,,,tag_cardS_zx,1
1763,3191,1,60,60,,,tag_cardS_zx,1
1764,3201,1,60,60,,,tag_cardS_zx,1
1765,3231,1,60,60,,,tag_cardS_zx,1
1766,3681,1,60,60,,,tag_cardS_zx,1
1767,3961,1,40,40,,,tag_cardS_zx,1
1768,2411,1,40,40,,,tag_cardS_zx,1
1769,4081,1,40,40,,,tag_cardS_zx,1
1770,4071,60,40,40,,,tag_cardS_zx,1
1771,2371,60,40,40,,,tag_cardS_zx,1
1772,4151,60,40,40,,,tag_cardS_zx,1
1773,4031,60,40,40,,,tag_cardS_zx,1
1774,4141,60,40,40,,,tag_cardS_zx,1
2001,,1,110,110,20031,,tag_fragB,
2002,,1,110,110,20041,,tag_fragB,
2003,,1,110,110,20061,,tag_fragB,
2004,,1,110,110,20071,,tag_fragB,
2005,,1,110,110,20081,,tag_fragB,
2006,,1,110,110,20101,,tag_fragB,
2007,,1,110,110,20111,,tag_fragB,
2008,,1,110,110,20121,,tag_fragB,
2009,,1,110,110,20171,,tag_fragB,
2010,,1,110,110,20191,,tag_fragB,
2011,,1,110,110,20231,,tag_fragB,
2012,,1,110,110,20351,,tag_fragB,
2013,,1,110,110,20451,,tag_fragB,
2014,,1,110,110,20541,,tag_fragB,
2015,,1,110,110,20891,,tag_fragB,
2016,,1,110,110,21351,,tag_fragB,
2017,,1,110,110,23561,,tag_fragB,
2201,,1,100,80,20001,,tag_fragA,
2202,,1,100,80,20011,,tag_fragA,
2203,,1,100,80,20021,,tag_fragA,
2204,,1,100,80,20051,,tag_fragA,
2205,,1,100,80,20091,,tag_fragA,
2206,,1,100,80,20131,,tag_fragA,
2207,,1,100,80,20271,,tag_fragA,
2208,,1,100,80,20281,,tag_fragA,
2209,,1,100,80,20301,,tag_fragA,
2210,,1,100,80,20371,,tag_fragA,
2211,,1,100,80,20461,,tag_fragA,
2212,,1,100,80,20471,,tag_fragA,
2213,,1,100,80,20481,,tag_fragA,
2214,,1,100,80,20551,,tag_fragA,
2215,,1,100,80,20691,,tag_fragA,
2216,,1,100,80,20781,,tag_fragA,
2217,,1,100,80,20791,,tag_fragA,
2218,,1,100,80,20801,,tag_fragA,
2219,,1,100,80,21441,,tag_fragA,
2220,,1,100,80,21611,,tag_fragA,
2221,,1,100,80,21861,,tag_fragA,
2222,,1,100,80,22011,,tag_fragA,
2223,,1,100,80,22071,,tag_fragA,
2224,,1,100,80,22271,,tag_fragA,
2225,,1,100,80,22301,,tag_fragA,
2226,,1,100,80,22481,,tag_fragA,
2227,,1,100,80,22591,,tag_fragA,
2228,,1,100,80,22611,,tag_fragA,
2229,,1,100,80,22631,,tag_fragA,
2230,,1,100,80,22681,,tag_fragA,
2231,,1,100,80,22871,,tag_fragA,
2232,,1,100,80,22891,,tag_fragA,
2233,,1,100,80,22921,,tag_fragA,
2234,,1,100,80,22922,,tag_fragA,
2235,,1,100,80,22961,,tag_fragA,
2236,,1,100,80,23011,,tag_fragA,
2237,,1,100,80,23281,,tag_fragA,
2238,,1,100,80,23291,,tag_fragA,
2239,,1,100,80,23341,,tag_fragA,
2240,,1,100,80,23431,,tag_fragA,
2241,,1,100,80,23471,,tag_fragA,
2242,,1,100,80,23501,,tag_fragA,
2243,,1,100,80,23511,,tag_fragA,
2244,,1,100,80,21851,,tag_fragA,
2245,,1,100,80,22841,,tag_fragA,
2246,,1,100,80,20221,,tag_fragA,
2247,,1,100,80,20151,,tag_fragA,
2248,,1,100,80,20341,,tag_fragA,
2249,,1,100,80,21801,,tag_fragA,
2250,,1,100,80,21641,,tag_fragA,
2251,,1,20,20,20211,,tag_fragA,
2501,,1,50,50,20261,,tag_fragS,
2502,,1,50,50,20331,,tag_fragS,
2503,,1,50,50,20391,,tag_fragS,
2504,,1,50,50,20491,,tag_fragS,
2505,,1,50,50,20571,,tag_fragS,
2506,,1,50,50,20591,,tag_fragS,
2507,,1,50,50,20601,,tag_fragS,
2508,,1,50,50,20631,,tag_fragS,
2509,,1,50,50,20721,,tag_fragS,
2510,,1,50,50,20731,,tag_fragS,
2511,,1,50,50,20741,,tag_fragS,
2512,,1,50,50,20881,,tag_fragS,
2513,,1,50,50,21071,,tag_fragS,
2514,,1,50,50,21081,,tag_fragS,
2515,,1,50,50,21171,,tag_fragS,
2516,,1,50,50,21221,,tag_fragS,
2517,,1,50,50,21231,,tag_fragS,
2518,,1,50,50,21241,,tag_fragS,
2519,,1,50,50,21251,,tag_fragS,
2520,,1,50,50,21291,,tag_fragS,
2521,,1,50,50,21311,,tag_fragS,
2522,,1,50,50,21391,,tag_fragS,
2523,,1,50,50,21421,,tag_fragS,
2524,,1,50,50,21501,,tag_fragS,
2525,,1,50,50,21811,,tag_fragS,
2526,,1,50,50,22721,,tag_fragS,
2527,,1,50,50,23021,,tag_fragS,
2528,,1,50,50,23141,,tag_fragS,
2529,,1,50,50,23351,,tag_fragS,
2530,,1,50,50,23541,,tag_fragS,
2531,,1,50,50,21841,,tag_fragS,
2532,,1,50,50,23411,,tag_fragS,
2533,,1,50,50,20241,,tag_fragS,
2534,,1,50,50,20401,,tag_fragS,
2535,,1,50,50,23001,,tag_fragS,
2536,,1,50,50,22991,,tag_fragS,
2537,,1,50,50,23661,,tag_fragS,
2538,,1,50,50,20161,,tag_fragS,
2539,,1,50,50,22031,,tag_fragS,
2540,,1,50,50,21911,,tag_fragS,
2541,,1,50,50,21921,,tag_fragS,
2542,,1,50,50,21931,,tag_fragS,
2543,,1,50,50,22471,,tag_fragS,
2544,,1,50,50,23151,,tag_fragS,
2545,,1,50,50,23591,,tag_fragS,
2546,,1,50,50,20711,,tag_fragS,
2547,,1,50,50,22401,,tag_fragS,
2548,,1,50,50,20641,,tag_fragS,
2549,,1,50,50,23771,,tag_fragS,
2550,,1,50,50,23841,,tag_fragS,
2551,,1,50,50,21941,,tag_fragS,
2552,,1,50,50,21951,,tag_fragS,
2553,,1,50,50,21031,,tag_fragS,
2554,,1,30,30,24131,,tag_fragS,
2555,,1,30,30,23251,,tag_fragS,
2556,,1,30,30,23161,,tag_fragS,
2557,,1,30,30,23171,,tag_fragS,
2558,,1,30,30,23181,,tag_fragS,
2559,,1,30,30,20861,,tag_fragS,
2560,,1,30,30,20381,,tag_fragS,
2561,,1,30,30,20501,,tag_fragS,
2562,,1,30,30,20611,,tag_fragS,
2563,,1,30,30,23191,,tag_fragS,
2564,,1,30,30,23201,,tag_fragS,
2565,,1,30,30,23231,,tag_fragS,
2566,,1,30,30,23681,,tag_fragS,
2567,,1,30,30,23961,,tag_fragS,
2568,,1,30,30,22411,,tag_fragS,
2569,,1,30,30,24081,,tag_fragS,
5001,741,1,80,80,,,tag_up1,
5002,601,1,100,100,,,tag_up1,
5003,1171,1,100,100,,,tag_up1,
5004,241,1,100,100,,,tag_up1,
5005,1231,1,100,100,,,tag_up1,
5006,2991,1,100,100,,,tag_up1,
5007,3151,1,100,100,,,tag_up1,
5051,631,1,100,100,,,tag_up2,
5052,1241,1,80,80,,,tag_up2,
5053,1311,1,100,100,,,tag_up2,
5054,2721,1,80,80,,,tag_up2,
5055,491,1,80,80,,,tag_up2,
5056,2031,1,100,100,,,tag_up2,
5057,641,1,100,100,,,tag_up2,
5058,3771,1,100,100,,,tag_up2,
5059,1031,1,100,100,,,tag_up2,
5060,3251,1,100,100,,,tag_up2,
5061,3231,1,100,100,,,tag_up2,
5062,3681,1,100,100,,,tag_up2,
5063,381,1,100,100,,,tag_up2,
5064,2411,1,80,80,,,tag_up2,
5101,331,1,100,100,,,tag_up3,
5102,731,1,80,80,,,tag_up3,
5103,591,1,100,100,,,tag_up3,
5104,881,1,100,100,,,tag_up3,
5105,1221,1,80,80,,,tag_up3,
5106,3201,1,80,80,,,tag_up3,
5151,721,1,80,80,,,tag_up4,
5152,3021,1,100,100,,,tag_up4,
5153,1081,1,100,100,,,tag_up4,
5154,1391,1,100,100,,,tag_up4,
5155,3351,1,100,100,,,tag_up4,
5156,1921,1,100,100,,,tag_up4,
5157,641,1,100,100,,,tag_up4,
5158,861,1,100,100,,,tag_up4,
5159,381,1,100,100,,,tag_up4,
5160,3961,1,30,30,,,tag_up4,
5200,401,1,100,100,,,tag_up5,
5201,491,1,100,100,,,tag_up5,
5202,1251,1,80,80,,,tag_up5,
5203,1501,1,100,100,,,tag_up5,
5204,3411,1,100,100,,,tag_up5,
5205,1911,1,100,100,,,tag_up5,
5206,1931,1,100,100,,,tag_up5,
5207,2031,1,100,100,,,tag_up5,
5208,3161,1,100,100,,,tag_up5,
5209,3171,1,100,100,,,tag_up5,
5210,4081,1,80,80,,,tag_up5,
5251,1081,1,80,80,,,tag_up6,
5252,1171,1,100,100,,,tag_up6,
5253,1841,1,100,100,,,tag_up6,
5254,3141,1,100,100,,,tag_up6,
5255,2721,1,100,100,,,tag_up6,
5256,161,1,100,100,,,tag_up6,
5257,3771,1,100,100,,,tag_up6,
5258,4131,1,100,100,,,tag_up6,
5300,1071,1,100,100,,,tag_up7,
5301,1421,1,100,100,,,tag_up7,
5302,571,1,100,100,,,tag_up7,
5303,1291,1,100,100,,,tag_up7,
5304,2471,1,100,100,,,tag_up7,
5305,3661,1,100,100,,,tag_up7,
5306,3151,1,100,100,,,tag_up7,
5307,711,1,100,100,,,tag_up7,
5308,3841,1,100,100,,,tag_up7,
5309,3181,1,100,100,,,tag_up7,
5310,611,1,100,100,,,tag_up7,
5311,4081,1,80,80,,,tag_up7,
5351,261,1,100,100,,,tag_up8,
5352,391,1,100,100,,,tag_up8,
5353,1391,1,100,100,,,tag_up8,
5354,1811,1,100,100,,,tag_up8,
5355,3541,1,80,80,,,tag_up8,
5356,3001,1,80,80,,,tag_up8,
5357,3591,1,100,100,,,tag_up8,
5358,2991,1,100,100,,,tag_up8,
5359,2401,1,100,100,,,tag_up8,
5360,1941,1,100,100,,,tag_up8,
5361,1951,1,100,100,,,tag_up8,
5362,4131,1,100,100,,,tag_up8,
5363,3961,1,80,80,,,tag_up8,
