变量名,name,languages,drawlanguages,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction,location,aidID,contractPlan,emeraPlanID,__version,chipsMod,contractMod,gemMod
21,杰尼龟,,,21,,<8>,,,,,,,,21,50021,,,,<24;23;14;16>,,<44;43;48;65;50;64;314>,,2,11,2,<621;622;623;602;603>,,,2,21,,,213,<211;212;213;216;61151;61152>,21,,<11022;11122;11222;11322>,20021,2,2,,21,17,2,2,2,<211;212;213>,1031,,0.79,杰尼龟，那是擅长水属性攻击的小龟宝可梦。有坚硬的龟壳，能够发挥强烈的水枪攻击。详细的栖息地点不明。,护佑友方,,320,4,,<101;102>,<<106;208>;<105;208>;<104;209>>,<1021>
22,卡咪龟,,,21,,<8>,2,,,,,,,21,50021,,,,<24;23;14;16>,,<59;58;63;80;65;80;405>,,2,11,2,<621;622;623;602;603>,,,2,22,,,223,<221;222;223;226;61151;61152>,21,,<11022;11122;11222;11322>,20021,2,2,,21,17,2,2,2,<211;212;213>,1031,,0.79,卡咪龟，龟宝可梦。是杰尼龟的进化形。那长毛覆盖的尾巴，被人们认为是长寿的象征。,护佑友方,,320,4,,<101;102>,<<106;208>;<105;208>;<104;209>>,<1022>
23,水箭龟,,,21,,<8>,3,,,,,,,21,50021,,,,<24;23;14;16>,,<79;78;83;100;85;105;530>,,2,11,2,<621;622;623;602;603>,,,2,23,,,233,<231;232;233;236;61151;61152>,21,,<11022;11122;11222;11322>,20021,2,2,,21,17,2,2,2,<211;212;213>,1031,,0.79,水箭龟，龟甲宝可梦。是卡咪龟的进化形。巨大的身体虽然没有速度的优势，但是力量惊人。坚硬的甲壳防御力特高，背上的水炮攻击力威力巨大无比。,护佑友方,,320,4,,<101;102>,<<106;208>;<105;208>;<104;209>>,<1023>
24,超级水箭龟,<cn;kr;en;en_us;en_eu;tw>,,21,,<8>,4,,,210,,,,22,50021,,,,<24;23;14;16>,2,<79;78;103;120;135;115;630>,,12,11,2,<621;622;623;602;603>,,,2,24,,,243,<241;242;243;246;61151;61152>,21,,<11022;11122;11222;11322>,20021,2,10,,21,17,2,2,2,<211;212;213>,1042,15,0.79,龟甲上的大炮拥有不逊于坦克的威力，结实的腰腿使它能在发射的冲击力之下用力站稳。,水系护盾&防御庇护,,420,4,,<101;102>,<<113;206>;<114;206>;<115;204>>,<1024>
31,绿毛虫,,,31,,<7>,,,,,,,,,50031,,,,<6;8;14;16>,,<45;45;30;35;20;20;195>,,,,,<609;610;611;602;603>,,,,31,,,313,<311;312;313;316;61101;61102>,31,,<11001;11101;11201;11301>,20031,,2,,31,14,,,,<311;312;313>,,,,绿毛虫，青虫宝可梦。使用脚上的吸盘攀爬树木来啃食他们喜欢吃的树叶。,强力减速,,230,2,,,<<107;209>;<108;209>;<109;208>>,
33,巴大蝶,,,31,,<8>,2,,,,,,,,50031,,,,<22;24;18;20>,,<60;70;45;50;90;80;395>,,,,,<609;610;611;602;603>,,,,33,,,333,<331;332;333;336;61101;61102>,31,,<11001;11101;11201;11301>,20031,,2,,31,14,,,,<311;312;313>,,,,巴大蝶，蝶属性宝可梦，铁甲蛹的进化形。可以藉着翅膀上的鳞粉在水面上弹跳。,强力减速,,230,2,,,<<107;209>;<108;209>;<109;208>>,
41,大针蜂,,,41,,<7>,,,,,,,,,50041,,,,<24;25;11;12>,,<65;75;90;40;45;80;395>,,,,,<609;610;611;602;603>,,,,43,,,433,<431;432;433;436;61101;61102>,41,,<11001;11101;11201;11301>,20041,,2,,41,11,,,,<411;412;413>,,,,毒蜂宝可梦，大针锋，是铁壳昆进化过来的，屁股那根毒针非常的危险。,普通输出：单体减疗,,210,,,,<<101;208>;<102;209>;<103;209>>,
44,超级大针蜂,<cn;kr;en;en_us;en_eu;tw>,,41,,<7>,2,,,410,,,,42,50041,,,,<24;25;11;12>,,<65;145;150;40;15;80;495>,,,,,<609;610;611;602;603>,,,,44,,,443,<441;442;443;446;61101;61102>,41,,<11002;11102;11202;11302>,20041,,2,,41,11,,,,<411;412;413>,1011,,0.65,双脚也变化为毒针。用手脚的针猛刺之后，以尾部的毒针给出最后一击。,中毒增伤&单体减疗,,310,,,,<<103;208>;<102;208>;<101;209>>,
51,波波,,,51,,<7>,,,,,,,,51,50051,,,,<8;9;13;12>,,<40;56;45;40;35;35;251>,,2,11,2,<606;607;608;602;603>,,,2,51,,,513,<511;512;513;516;61101;61102>,51,,<11012;11112;11212;11312>,20051,2,2,,51,19,2,2,2,<511;512;513>,1111,,0.83,波波，空中的宝可梦。是飞行的宝可梦中个性最温和，最容易捕捉的。是宝可梦训练家初学者小试身手的最好目标。,提速输出：速度增伤,,330,2,,,<<109;209>;<108;208>;<107;208>>,
52,比比鸟,,,51,,<7>,2,,,,,,,51,50051,,,,<8;9;13;12>,,<63;71;60;55;50;50;349>,,2,11,2,<606;607;608;602;603>,,,2,52,,,523,<521;522;523;526;61101;61102>,51,,<11012;11112;11212;11312>,20051,2,2,,51,19,2,2,2,<511;512;513>,1111,,0.83,比比鸟，波波进化后的形态。会急速俯冲以锐利的爪子当武器捕捉小动物当食物，波波的温柔个性在进化后剧烈转变，性好攻击请多小心。,提速输出：速度增伤,,330,2,,,<<109;209>;<108;208>;<107;208>>,
53,大比鸟,,,51,,<7>,3,,,,,,,51,50051,,,,<8;9;13;12>,,<83;101;80;75;70;70;479>,,2,11,2,<606;607;608;602;603>,,,2,53,,,533,<531;532;533;536;61101;61102>,51,,<11012;11112;11212;11312>,20051,2,2,,51,19,2,2,2,<511;512;513>,1111,,0.83,大比鸟，鸟宝可梦。是比比鸟的进化的型。可以用2马赫的速度，飞行一千米的高度。,提速输出：速度增伤,,330,2,,,<<109;209>;<108;208>;<107;208>>,
54,超级大比鸟,<cn;kr;en;en_us;en_eu;tw>,,51,,<7>,4,,,510,,,,52,50051,,,,<6;7;18;19>,2,<83;121;80;80;135;80;579>,,12,11,2,<606;607;608;602;603>,,,2,54,,,543,<541;542;543;546;61101;61102>,51,,<11012;11112;11212;11312>,20051,2,10,,51,19,2,2,2,<511;512;513>,1022,15,0.83,大比鸟，鸟宝可梦。是比比鸟的进化的型。可以用2马赫的速度，飞行一千米的高度。,提速输出：速度增伤,,430,2,,,<<116;204>;<117;206>>,
61,小拉达,,,61,,<7>,,,,,,,,,50061,,,,<8;9;13;12>,,<30;72;56;35;25;35;253>,,,,,<606;607;608;602;603>,,,,61,,,613,<611;612;613;616;61101;61102>,61,,<11011;11111;11211;11311>,20061,,2,,61,11,,,,<611;612;613>,,,,森林中的宝可梦小拉达，喜欢吃树果等坚硬的东西跟干酪，有的时候它会看上粗心大意的旅行者的食物，跑到野地来。,暴力输出：必然暴击,,210,,,,<<101;208>;<102;209>;<103;209>>,
62,拉达,,,61,,<7>,2,,,,,,,,50061,,,,<8;9;13;12>,,<55;97;81;60;50;70;413>,,,,,<606;607;608;602;603>,,,,62,,,623,<621;622;623;626;61101;61102>,61,,<11011;11111;11211;11311>,20061,,2,,61,11,,,,<611;612;613>,,,,拉达，鼠宝可梦，是恶跟一般属性。他们会成群结队，有时候还会偷老百姓家里的食物。,暴力输出：必然暴击,,210,,,,<<101;208>;<102;209>;<103;209>>,
71,烈雀,,,71,,<7>,,,,,,,,,50071,,,,<8;9;13;12>,,<40;70;60;30;31;31;262>,,,,,<606;607;608;602;603>,,,,71,,,713,<711;712;713;716;61101;61102>,71,,<11011;11111;11211;11311>,20071,,2,,71,14,,,,<711;712;713>,,,,烈雀，跟波波不同，脾气火爆，有的时候会攻击人类跟其他的宝可梦。,普通输出：速度增伤,,230,2,,,<<107;209>;<108;209>;<109;208>>,
72,大嘴雀,,,71,,<7>,2,,,,,,,,50071,,,,<8;9;13;12>,,<65;100;90;65;61;61;442>,,,,,<606;607;608;602;603>,,,,72,,,723,<721;722;723;726;61101;61102>,71,,<11011;11111;11211;11311>,20071,,2,,71,14,,,,<711;712;713>,,,,大嘴雀，是鸟嘴宝可梦。烈雀的进化的型。拥有巨大翅膀，可以一整天持续飞行。它的鸟嘴力量强大。,普通输出：速度增伤,,230,2,,,<<107;209>;<108;209>;<109;208>>,
81,阿柏蛇,,,81,,<7>,,,,,,,,,50081,,,,<7;8;9;12>,,<35;55;60;44;40;54;288>,,,,,<621;622;623;602;603>,,,,81,,,813,<811;812;813;816;61101;61102>,81,,<11021;11121;11221;11321>,20081,,2,,81,11,,,,<811;812;813>,,,,身体会随着年龄增长不断变长。每到夜里，它会一圈圈地将身体缠绕在树枝上休息。,普通输出：恃强凌弱,,210,,,,<<101;208>;<102;209>;<103;209>>,
82,阿柏怪,,,81,,<7>,2,,,,,,,,50081,,,,<7;8;9;12>,,<60;80;95;69;65;79;448>,,,,,<621;622;623;602;603>,,,,82,,,823,<821;822;823;826;61101;61102>,81,,<11021;11121;11221;11321>,20081,,2,,81,11,,,,<811;812;813>,,,,腹部的花纹看起来像一张可怕的脸。弱小的敌人只要看到这个花纹就会被吓跑。,普通输出：恃强凌弱,,210,,,,<<101;208>;<102;209>;<103;209>>,
91,皮丘,,,91,,<8>,,,,,,,,91,50091,,,,<6;7;18;19>,,<20;60;40;15;35;35;205>,,2,11,2,<612;613;614;602;603>,,,2,91,,,913,<911;912;913;916;61101;61102>,91,,<11052;11152;11252;11352>,20091,2,2,,91,18,2,2,2,<911;912;913>,1041,,0.6,皮丘，小老鼠宝可梦。双颊上的电气袋非常的小，即使电力蓄积到只满出来一点点，他也会不小心被自己电到。,麻痹控制,,330,2,,,<<109;209>;<108;208>;<107;208>>,<1070>
92,皮卡丘,,,91,,<8>,2,,,,,,,91,50091,,,,<6;7;18;19>,,<35;90;55;40;50;50;320>,,2,11,2,<612;613;614;602;603>,,,2,,,,923,<921;922;923;926;61101;61102>,91,,<11052;11152;11252;11352>,20091,2,2,,91,18,2,2,2,<911;912;913>,1041,,0.6,皮卡丘，鼠宝可梦。脸颊的两侧有小小的电气袋，危急时会放电出来。,麻痹控制,,330,2,,,<<109;209>;<108;208>;<107;208>>,<1070>
93,雷丘,,,91,,<8>,3,,,,,,,91,50091,,,,<6;7;18;19>,,<60;110;90;55;90;80;485>,,2,11,2,<612;613;614;602;603>,,,2,93,,,933,<931;932;933;936;61101;61102>,91,,<11052;11152;11252;11352>,20091,2,2,,91,18,2,2,2,<911;912;913>,1041,,0.6,雷丘，电属性的鼠宝可梦。皮卡丘的进化型。其电击超过十万伏特，连印度象被电到都会晕倒。,麻痹控制,,330,2,,,<<109;209>;<108;208>;<107;208>>,<1070>
101,穿山鼠,,,101,,<7>,,,,,,,,,50101,,,,<15;16;11;12>,,<50;40;75;85;20;30;300>,,,,,<609;610;611;602;603>,,,,101,,,1013,<1011;1012;1013;1016;61151;61152>,101,,<11001;11101;11201;11301>,20101,,2,,101,12,,,,<1011;1012;1013>,,,,身体很干燥。但据说在夜里降温时，它的表皮上会有露水凝结。,嘲讽肉盾,,220,4,,,<<104;209>;<105;208>;<106;209>>,
102,穿山王,,,101,,<7>,2,,,,,,,,50101,,,,<15;16;11;12>,,<75;65;100;110;45;55;450>,,,,,<609;610;611;602;603>,,,,102,,,1023,<1021;1022;1023;1026;61151;61152>,101,,<11001;11101;11201;11301>,20101,,2,,101,12,,,,<1011;1012;1013>,,,,穿山王，老鼠宝可梦。穿山鼠的进化形。会利用背上的刺攻击敌人。,嘲讽肉盾,,220,4,,,<<104;209>;<105;208>;<106;209>>,
111,尼多兰,,,111,,<7>,,,,,,,,,50111,,2,,<15;16;11;12>,,<55;41;47;52;40;40;275>,,,,,<621;622;623;602;603>,,,,111,,,1113,<1111;1112;1113;1116;61151;61152>,111,,<11021;11121;11221;11321>,20111,,2,,111,12,,,,<1111;1112;1113>,,,,尼多兰，性别母。身体较小，可是毒针的威力很强。身上的角比公的尼多朗小。,反伤坦克：群体中毒,,220,4,,,<<104;209>;<105;208>;<106;209>>,
112,尼多娜,,,111,,<7>,2,,,,,,,,50111,,2,,<15;16;11;12>,,<70;56;62;67;55;55;365>,,,,,<621;622;623;602;603>,,,,112,,,1123,<1121;1122;1123;1126;61151;61152>,111,,<11021;11121;11221;11321>,20111,,2,,111,12,,,,<1111;1112;1113>,,,,尼多娜，毒针宝可梦。是尼多兰的进化形。嘴巴射出的超音波有迷惑对方的能力。,反伤坦克：群体中毒,,220,4,,,<<104;209>;<105;208>;<106;209>>,
113,尼多后,,,111,,<7>,3,,,,,,,,50111,,2,,<11;12;15;16>,,<90;76;92;87;75;85;505>,,,,,<621;622;623;602;603>,,,,113,,,1133,<1131;1132;1133;1136;61151;61152>,111,,<11021;11121;11221;11321>,20111,,2,,111,12,,,,<1111;1112;1113>,,,,尼多后，钻锥宝可梦。全身都被坚硬的皮肤所覆盖。不论面对什么攻击，都能毫不畏惧的冲撞过去。,反伤坦克：群体中毒,,220,4,,,<<104;209>;<105;208>;<106;209>>,
121,尼多朗,,,121,,<7>,,,,,,,,,50121,,1,,<7;8;9;12>,,<46;50;57;40;40;40;273>,,,,,<621;622;623;602;603>,,,,121,,,1213,<1211;1212;1213;1216;61101;61102>,121,,<11021;11121;11221;11321>,20121,,2,,121,11,,,,<1211;1212;1213>,,,,尼多朗，公的毒针宝可梦。尼多朗，性别男。它的角比母的尼多兰大，擅长的绝招是角撞攻击。,暴力输出：中毒增伤,,210,,,,<<101;208>;<102;209>;<103;209>>,
122,尼多力诺,,,121,,<7>,2,,,,,,,,50121,,1,,<7;8;9;12>,,<61;65;72;57;55;55;365>,,,,,<621;622;623;602;603>,,,,122,,,1223,<1221;1222;1223;1226;61101;61102>,121,,<11021;11121;11221;11321>,20121,,2,,121,11,,,,<1211;1212;1213>,,,,尼多力诺，毒针宝可梦。是尼多朗的进化形。额头上的独角的威力变得更加强大。,暴力输出：中毒增伤,,210,,,,<<101;208>;<102;209>;<103;209>>,
123,尼多王,,,121,,<7>,3,,,,,,,,50121,,1,,<10;11;13;9>,,<81;85;102;77;85;75;505>,,,,,<621;622;623;602;603>,,,,123,,,1233,<1231;1232;1233;1236;61101;61102>,121,,<11021;11121;11221;11321>,20121,,2,,121,11,,,,<1211;1212;1213>,,,,尼多王，钻锥宝可梦。会甩动巨大的尾巴。看对手胆怯时，会用刚硬的身体冲撞上去。,暴力输出：中毒增伤,,210,,,,<<101;208>;<102;209>;<103;209>>,
131,皮宝宝,,,131,,<8>,,,,,,,,131,50131,,,,<22;24;18;20>,,<50;15;25;28;45;55;218>,,2,11,2,<618;619;620;602;603>,,,2,131,,,1313,<1311;1312;1313;1316;61151;61152>,131,,<11032;11132;11232;11332>,20131,2,2,,131,18,2,2,2,<1311;1312;1313>,1201,,0.95,皮宝宝，星形宝可梦。据说在众多流星的夜里，会围成圆圈拍动翅膀跳舞。,减益辅助：弱化输出,,330,2,,,<<109;209>;<108;208>;<107;208>>,
132,皮皮,,,131,,<8>,2,,,,,,,131,50131,,,,<22;24;18;20>,,<70;35;45;48;60;65;323>,,2,11,2,<618;619;620;602;603>,,,2,132,,,1323,<1321;1322;1323;1326;61151;61152>,131,,<11032;11132;11232;11332>,20131,2,2,,131,18,2,2,2,<1311;1312;1313>,1201,,0.95,皮皮，妖精宝可梦。爱好和平，心地善良，主要栖息地是月见山，不过皮皮的发现例子非常的稀少。,减益辅助：弱化输出,,330,2,,,<<109;209>;<108;208>;<107;208>>,
133,皮可西,,,131,,<8>,3,,,,,,,131,50131,,,,<22;24;18;20>,,<95;60;70;73;95;90;483>,,2,11,2,<618;619;620;602;603>,,,2,133,,,1333,<1331;1332;1333;1336;61151;61152>,131,,<11032;11132;11232;11332>,20131,2,2,,131,18,2,2,2,<1311;1312;1313>,1201,,0.95,皮可西，妖精宝可梦。是皮皮的进化形，发现的案例比皮皮还要更的稀少。,减益辅助：弱化输出,,330,2,,,<<109;209>;<108;208>;<107;208>>,
143,阿罗拉六尾,<cn;kr;en;en_us;en_eu;tw>,,143,,<8>,,,,,,,,143,50143,,,,<6;8;22;25>,,<38;65;41;40;50;65;299>,,3,11,3,<615;616;617;602;603>,,,3,143,,,1433,<1431;1432;1433;1436;61151;61152>,143,,<11043;11143;11243;11343>,20143,3,3,{drawcard=huang_effect_loop},143,3,3,3,3,<1431;1432;1433;1434>,1572,15,0.73,六尾，这是狐狸宝可梦。阿罗拉六尾为了适应寒冷的气候拥有了冰的能力。,冰粒控制&极光幕影,,430,2,,,<<116;204>;<117;206>>,
144,阿罗拉九尾,<cn;kr;en;en_us;en_eu;tw>,,143,,<8>,2,,,,,,,143,50143,,,,<6;8;22;25>,,<73;109;67;75;81;100;505>,,3,11,3,<615;616;617;602;603>,,,3,144,,,1443,<1441;1442;1443;1446;61151;61152>,143,,<11043;11143;11243;11343>,20143,3,3,{drawcard=huang_effect_loop},143,3,3,3,3,<1431;1432;1433;1434>,1572,15,0.73,九尾，是狐狸宝可梦。阿罗拉九尾居住在阿罗拉地区被奉为神圣之山的雪山上，会在暴风雪的伴随下出现。,冰粒控制&极光幕影,,430,2,,,<<116;204>;<117;206>>,
151,宝宝丁,<cn;kr;en;en_us;en_eu;tw>,,151,,<8>,,,,,,,,151,50151,,,,<18;19;20;21>,,<90;15;30;15;40;20;210>,,2,11,2,<606;607;608;602;603>,,,2,151,,,1513,<1511;1512;1513;1516;61101;61102>,151,,<11011;11111;11211;11311>,20151,2,2,,151,18,2,2,2,<1511;1512;1513>,1561,,1.4,宝宝丁，气球宝可梦。身体充满弹性。一跳起来，可以飞到很远的地方去。,甜美歌声&催眠控制,,330,2,,,<<109;209>;<108;208>;<107;208>>,
152,胖丁,<cn;kr;en;en_us;en_eu;tw>,,151,,<8>,2,,,,,,,151,50151,,,,<10;11;13;9>,,<115;20;45;20;45;25;270>,,2,11,2,<606;607;608;602;603>,,,2,152,,,1523,<1521;1522;1523;1526;61101;61102>,151,,<11011;11111;11211;11311>,20151,2,2,,151,18,2,2,2,<1511;1512;1513>,1561,,1.4,胖丁，气球宝可梦。以一双又圆又大的眼睛诱对手靠近，唱出让人神清气爽的歌。,甜美歌声&催眠控制,,330,2,,,<<109;209>;<108;208>;<107;208>>,
153,胖可丁,<cn;kr;en;en_us;en_eu;tw>,,151,,<8>,3,,,,,,,151,50151,,,,<18;19;20;21>,,<140;45;70;45;85;50;435>,,2,11,2,<606;607;608;602;603>,,,2,153,,,1533,<1531;1532;1533;1536;61101;61102>,151,,<11011;11111;11211;11311>,20151,2,2,,151,18,2,2,2,<1511;1512;1513>,1561,,1.4,当２只胖可丁依偎在一起时，它们便会因对方的毛皮太过舒适而难以分开。,甜美歌声&催眠控制,,330,2,,,<<109;209>;<108;208>;<107;208>>,
161,超音蝠,<cn;kr;en;en_us;en_eu;tw>,,161,,<7>,,,,,,,,161,50161,,,,<8;9;13;12>,,<40;55;45;35;30;40;245>,,3,11,3,<621;622;623;602;603>,,,3,161,,,1613,<1611;1612;1613;1616;61101;61102>,161,,<11023;11123;11223;11323>,20161,3,3,{drawcard=huang_effect_loop},161,4,3,3,3,<1611;1612;1613;1614>,1512,15,0.85,超音蝠，是蝙蝠宝可梦。利用发出的超音波飞行。躲在阴暗洞窟平时很少出来。,辅助续毒,161,430,2,,,<<116;204>;<117;206>>,<101;102>
162,大嘴蝠,<cn;kr;en;en_us;en_eu;tw>,,161,,<7>,2,,,,,,,161,50161,,,,<8;9;13;12>,,<75;90;80;70;65;75;455>,,3,11,3,<621;622;623;602;603>,,,3,162,,,1623,<1621;1622;1623;1626;61101;61102>,161,,<11023;11123;11223;11323>,20161,3,3,{drawcard=huang_effect_loop},161,4,3,3,3,<1611;1612;1613;1614>,1512,15,0.85,大嘴蝠，有尖锐的牙齿。咬住对手以后会吸取300毫升血液的宝可梦。,辅助续毒,161,430,2,,,<<116;204>;<117;206>>,<102;103>
163,叉字蝠,<cn;kr;en;en_us;en_eu;tw>,,161,,<7>,3,,,,,,,161,50161,,,,<8;9;13;12>,,<85;130;90;80;70;80;535>,,3,11,3,<621;622;623;602;603>,,,3,163,,,1633,<1631;1632;1633;1636;61101;61102>,161,,<11023;11123;11223;11323>,20161,3,3,{drawcard=huang_effect_loop},161,4,3,3,3,<1611;1612;1613;1614>,1512,15,0.85,叉字蝠，蝙蝠宝可梦，大嘴蝠的进化形。翅膀增加成四个，可以飞得更加快速。,辅助续毒,161,430,2,,,<<116;204>;<117;206>>,<103;102>
