变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,discountDesc,discountDesc_tw,discountDesc_en,discountDesc_kr,limitType,limitTimes,showUnable
1702,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,7,<1;27>,,,,,,,
1703,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,7,<1;39>,,,,,,,
1704,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,7,<1;39>,,,,,,,
1705,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,7,<1;49>,,,,,,,
1706,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,7,<1;49>,,,,,,,
1707,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,7,<28;59>,,,,,,,
1708,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,7,<28;59>,,,,,,,
1709,宝石33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,7,<40;69>,,,,,,,
1710,宝石33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,7,<40;69>,,,,,,,
1711,宝石41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,7,<50;79>,,,,,,,
1712,宝石41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,7,<50;79>,,,,,,,
1713,宝石42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,7,<60;84>,,,,,,,
1714,宝石42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,7,<60;84>,,,,,,,
1715,宝石42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,7,<60;84>,,,,,,,
1716,宝石51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,7,<70;99>,,,,,,,
1717,宝石51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,7,<70;99>,,,,,,,
1718,宝石51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,7,<70;99>,,,,,,,
1719,宝石52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,7,<80;99>,,,,,,,
1720,宝石52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,7,<80;99>,,,,,,,
1721,宝石52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,7,<80;99>,,,,,,,
1722,宝石53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,7,<85;104>,,,,,,,
1723,宝石53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,7,<85;104>,,,,,,,
1724,宝石53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,7,<85;104>,,,,,,,
1725,宝石54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,7,<90;109>,,,,,,,
1726,宝石54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,7,<90;109>,,,,,,,
1727,宝石54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,7,<90;109>,,,,,,,
1728,宝石55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,7,<95;114>,,,,,,,
1729,宝石55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,7,<95;114>,,,,,,,
1730,宝石55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,7,<95;114>,,,,,,,
1731,宝石61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,7,<100;119>,,,,,,,
1732,宝石61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,7,<100;119>,,,,,,,
1733,宝石61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,7,<100;119>,,,,,,,
1734,宝石62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,7,<105;124>,,,,,,,
1735,宝石62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,7,<105;124>,,,,,,,
1736,宝石62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,7,<105;124>,,,,,,,
1737,宝石63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,7,<110;129>,,,,,,,
1738,宝石63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,7,<110;129>,,,,,,,
1739,宝石63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,7,<110;129>,,,,,,,
1740,宝石64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,7,<115;134>,,,,,,,
1741,宝石64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,7,<115;134>,,,,,,,
1742,宝石64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,7,<115;134>,,,,,,,
1743,宝石65,{5049=100;5050=100;5051=100},30,{rmb=570},,100,,,7,<120;139>,,,,,,,
1744,宝石65,{5049=100;5050=100;5051=100},60,{rmb=1140},,100,,,7,<120;139>,,,,,,,
1745,宝石65,{5049=100;5050=100;5051=100},100,{rmb=1900},,100,,,7,<120;139>,,,,,,,
,,,,,,,,,,,,,,,,,
1801,高级潜能石钻石,{850=10},100,{rmb=100},0,100,,,8,,,,,,,,
1802,普通潜能石钻石,{851=10},30,{rmb=100},0,100,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
1901,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,12,<1;27>,,,,,,,
1902,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,12,<1;27>,,,,,,,
1903,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,12,<1;39>,,,,,,,
1904,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,12,<1;39>,,,,,,,
1905,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,12,<1;49>,,,,,,,
1906,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,12,<1;49>,,,,,,,
1907,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,12,<28;59>,,,,,,,
1908,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,12,<28;59>,,,,,,,
1909,宝石33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,12,<40;69>,,,,,,,
1910,宝石33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,12,<40;69>,,,,,,,
1911,宝石41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,12,<50;79>,,,,,,,
1912,宝石41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,12,<50;79>,,,,,,,
1913,宝石42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,12,<60;84>,,,,,,,
1914,宝石42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,12,<60;84>,,,,,,,
1915,宝石42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,12,<60;84>,,,,,,,
1916,宝石51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,12,<70;99>,,,,,,,
1917,宝石51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,12,<70;99>,,,,,,,
1918,宝石51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,12,<70;99>,,,,,,,
1919,宝石52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,12,<80;99>,,,,,,,
1920,宝石52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,12,<80;99>,,,,,,,
1921,宝石52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,12,<80;99>,,,,,,,
1922,宝石53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,12,<85;104>,,,,,,,
1923,宝石53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,12,<85;104>,,,,,,,
1924,宝石53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,12,<85;104>,,,,,,,
1925,宝石54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,12,<90;109>,,,,,,,
1926,宝石54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,12,<90;109>,,,,,,,
1927,宝石54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,12,<90;109>,,,,,,,
1928,宝石55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,12,<95;114>,,,,,,,
1929,宝石55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,12,<95;114>,,,,,,,
1930,宝石55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,12,<95;114>,,,,,,,
1931,宝石61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,12,<100;119>,,,,,,,
1932,宝石61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,12,<100;119>,,,,,,,
1933,宝石61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,12,<100;119>,,,,,,,
1934,宝石62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,12,<105;124>,,,,,,,
1935,宝石62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,12,<105;124>,,,,,,,
1936,宝石62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,12,<105;124>,,,,,,,
1937,宝石63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,12,<110;129>,,,,,,,
1938,宝石63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,12,<110;129>,,,,,,,
1939,宝石63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,12,<110;129>,,,,,,,
1940,宝石64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,12,<115;134>,,,,,,,
1941,宝石64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,12,<115;134>,,,,,,,
1942,宝石64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,12,<115;134>,,,,,,,
1943,宝石65,{5049=100;5050=100;5051=100},30,{rmb=570},,100,,,12,<120;139>,,,,,,,
1944,宝石65,{5049=100;5050=100;5051=100},60,{rmb=1140},,100,,,12,<120;139>,,,,,,,
1945,宝石65,{5049=100;5050=100;5051=100},100,{rmb=1900},,100,,,12,<120;139>,,,,,,,
,,,,,,,,,,,,,,,,,
2001,高级潜能石钻石,{850=10},100,{rmb=100},0,100,,,9,,,,,,,,
