变量名,_beizhu1,easyEffectFunc,overlayType,overlayLimit,value,prob,lifeRound,__version
61,,secondAttack,,,,,,
62,,pauseBuffEffect,,,,,,
63,,pauseBuffLifeRound,,,,,,
64,,pausePassiveSkillEffect,,,,,,
65,,forceSneer,1,1,,,,
66,,controlEnemy,1,1,,,,
67,,addAttackRange,,,,,,
68,,buffBattleRound,,,,,,
69,,transformMpchange,,,,,,
70,,reduceSkillDamageTarget,,,,,,
71,,reflexDamage,,,,,,
72,,transferBuffToOther,,,,,,
73,,delayBuff,1,1,,,,
74,,reflectBuffToOther,,,,,,
75,,filterFlag,,,,,,
76,,commandeer,,,,,,
77,,applyCommandeer,,,,,,
78,,forbiddenSpecBuff,,,,,,
79,,forbiddenExtraAttack,,,,,,
80,,needMoreDispel,,,,,,
81,,changeTreatment,,,,,,
82,,lockMp1Add,,,,,,
83,,changeUnit,,,,,,
84,,lockShield,,,,,,
85,,seal,,,,,,
86,,forbiddenAddHP,,,,,,
87,,deathMatch,,,,,,
88,,invincible,,,,,,
89,,comboAttack,,,,,,
90,,calDmgKeepDefence,,,,,,
91,,cantDispelBuffRound,,,,,,
92,,damageByHpRate,,,,,,
93,,behead,,,,,,
94,,fatal,,,,,,
95,,ignorePriorityBuff,,,,,,
96,,transferMp,,,,,,
97,,noCostMp,,,,,,
98,,atOnceTransformAttrBuff,,,,,,
99,,needMoreDispel,,,,,,
100,,replaceBuffHolder,,,,,,
101,,symbiosis,,,,,,
102,,dealSymbiosis,,,,,,
103,,healBoost,,,,,,
104,,finalAttrLimit,,,,,,
105,,forceMaxHpLimit,,,,,,
106,,assimilateDamage,,,,,,
107,,addNature,,,,,,
108,,aura,,,,,,
109,,preCalcBuffDamageProb,,,,,,
110,,editBuffPriority,,,,,,
111,,replaceExAttackSkill,,,,,,
112,,randomCastBuff,,,,,,
113,,barrier,,,,,,
114,,freezeBuff,,,,,,
115,,addAttr,,,,,,
116,,addHpMax,,,,,,
117,,addMp1Max,,,,,,
118,,freezeHpMax,,,,,,
119,,alterRoundAttackInfo,,,,,,
120,,multiplyOverlays,,,,,,
121,,dmgAdjustAllocateAndLink,,,,,,
122,,universalBar,,,,,,
123,,damageLink,,,,,,
124,,lockHpShield,,,,,,
125,,downPriorityOnAutoChoose,,,,,,
126,,registerBuffs,,,,,,
127,,otherBuffEnhance,,,,,,
128,,transferBuffToOtherWithFilter,,,,,,
129,,finalCureRate,,,,,,
130,,extraShieldPower,,,,,,
131,,addBattleRound,,,,,,
132,,shieldReduceRate,,,,,,
133,,fixDamageSub,,,,,,
134,,collectBuff,,,,,,
135,,extraAttrChange,,,,,,
136,,speedRankExtraSpeed,,,,,,
137,,customAttr,,,,,,
138,,modifyBuffEffectValue,,,,,,
139,,lockBarrier,,,,,,
140,,freezeHp,,,,,,
141,,replaceSkillProcess,,,,,,
1001,,hpMax,,,(-self:hpMax()*0.1),,2,
1002,,mp1Max,,,-500,,2,
1003,,initMp1,,,,,2,
1004,,hpRecover,,,,,2,
1005,,mp1Recover,,,-2000,,2,
1006,,damage,,,(-self:damage()*0.1),,2,
1007,,specialDamage,,,(-self:specialDamage()*0.1),,2,
1008,,defence,,,(-self:defence()*0.2),,2,
1009,,specialDefence,,,(-self:specialDefence()*0.2),,2,
1010,,defenceIgnore,,,-2000,,2,
1011,,specialDefenceIgnore,,,-2000,,2,
1012,,speed,,,(-self:speed()*0.2),,2,
1013,,strike,,,-2000,,2,
1014,,strikeDamage,,,-2000,,2,
1015,,strikeResistance,,,-2000,,2,
1016,,block,,,-2000,,2,
1017,,breakBlock,,,-2000,,2,
1018,,blockPower,,,-2000,,2,
1019,,dodge,,,0,,2,
1020,,hit,,,0,,2,
1021,,damageAdd,,,-2000,,2,
1022,,damageSub,,,-2000,,2,
1023,,ultimateAdd,,,-2000,,2,
1024,,ultimateSub,,,-2000,,2,
1025,,suckBlood,,,-2000,,2,
1026,,rebound,,,-2000,,2,
1027,,cure,,,-2000,,2,
1028,,controlPer,,,-2000,,2,
1029,,immuneControl,,,-2000,,2,
1030,,natureRestraint,,,-2000,,2,
1031,,damageDeepen,,,-2000,,2,
1032,,damageReduce,,,-2000,,2,
1033,,physicalDamageAdd,,,-2000,,2,
1034,,physicalDamageSub,,,-2000,,2,
1035,,specialDamageAdd,,,-2000,,2,
1036,,specialDamageSub,,,-2000,,2,
1037,,normalDamageAdd,,,-2000,,2,
1038,,fireDamageAdd,,,-2000,,2,
1039,,waterDamageAdd,,,-2000,,2,
1040,,grassDamageAdd,,,-2000,,2,
1041,,electricityDamageAdd,,,-2000,,2,
1042,,iceDamageAdd,,,-2000,,2,
1043,,combatDamageAdd,,,-2000,,2,
1044,,poisonDamageAdd,,,-2000,,2,
1045,,groundDamageAdd,,,-2000,,2,
1046,,flyDamageAdd,,,-2000,,2,
1047,,superDamageAdd,,,-2000,,2,
1048,,wormDamageAdd,,,-2000,,2,
1049,,rockDamageAdd,,,-2000,,2,
1050,,ghostDamageAdd,,,-2000,,2,
1051,,dragonDamageAdd,,,-2000,,2,
1052,,evilDamageAdd,,,-2000,,2,
1053,,steelDamageAdd,,,-2000,,2,
1054,,fairyDamageAdd,,,-2000,,2,
1055,,normalDamageSub,,,-2000,,2,
1056,,fireDamageSub,,,-2000,,2,
1057,,waterDamageSub,,,-2000,,2,
1058,,grassDamageSub,,,-2000,,2,
1059,,electricityDamageSub,,,-2000,,2,
1060,,iceDamageSub,,,-2000,,2,
1061,,combatDamageSub,,,-2000,,2,
1062,,poisonDamageSub,,,-2000,,2,
1063,,groundDamageSub,,,-2000,,2,
1064,,flyDamageSub,,,-2000,,2,
1065,,superDamageSub,,,-2000,,2,
1066,,wormDamageSub,,,-2000,,2,
1067,,rockDamageSub,,,-2000,,2,
1068,,ghostDamageSub,,,-2000,,2,
1069,,dragonDamageSub,,,-2000,,2,
1070,,evilDamageSub,,,-2000,,2,
1071,,steelDamageSub,,,-2000,,2,
1072,,fairyDamageSub,,,-2000,,2,
1073,,normalCure,,,-2000,,2,
1074,,fireCure,,,-2000,,2,
1075,,waterCure,,,-2000,,2,
1076,,grassCure,,,-2000,,2,
1077,,electricityCure,,,-2000,,2,
1078,,iceCure,,,-2000,,2,
1079,,combatCure,,,-2000,,2,
1080,,poisonCure,,,-2000,,2,
1081,,groundCure,,,-2000,,2,
1082,,flyCure,,,-2000,,2,
1083,,superCure,,,-2000,,2,
1084,,wormCure,,,-2000,,2,
1085,,rockCure,,,-2000,,2,
1086,,ghostCure,,,-2000,,2,
1087,,dragonCure,,,-2000,,2,
1088,,evilCure,,,-2000,,2,
1089,,steelCure,,,-2000,,2,
1090,,fairyCure,,,-2000,,2,
1091,,normalDamageDeepen,,,-2000,,2,
1092,,fireDamageDeepen,,,-2000,,2,
1093,,waterDamageDeepen,,,-2000,,2,
1094,,grassDamageDeepen,,,-2000,,2,
1095,,electricityDamageDeepen,,,-2000,,2,
1096,,iceDamageDeepen,,,-2000,,2,
1097,,combatDamageDeepen,,,-2000,,2,
1098,,poisonDamageDeepen,,,-2000,,2,
1099,,groundDamageDeepen,,,-2000,,2,
1100,,flyDamageDeepen,,,-2000,,2,
1101,,superDamageDeepen,,,-2000,,2,
1102,,wormDamageDeepen,,,-2000,,2,
1103,,rockDamageDeepen,,,-2000,,2,
1104,,ghostDamageDeepen,,,-2000,,2,
1105,,dragonDamageDeepen,,,-2000,,2,
1106,,evilDamageDeepen,,,-2000,,2,
1107,,steelDamageDeepen,,,-2000,,2,
1108,,fairyDamageDeepen,,,-2000,,2,
1109,,normalDamageReduce,,,-2000,,2,
1110,,fireDamageReduce,,,-2000,,2,
1111,,waterDamageReduce,,,-2000,,2,
1112,,grassDamageReduce,,,-2000,,2,
1113,,electricityDamageReduce,,,-2000,,2,
1114,,iceDamageReduce,,,-2000,,2,
1115,,combatDamageReduce,,,-2000,,2,
1116,,poisonDamageReduce,,,-2000,,2,
1117,,groundDamageReduce,,,-2000,,2,
1118,,flyDamageReduce,,,-2000,,2,
1119,,superDamageReduce,,,-2000,,2,
1120,,wormDamageReduce,,,-2000,,2,
1121,,rockDamageReduce,,,-2000,,2,
1122,,ghostDamageReduce,,,-2000,,2,
1123,,dragonDamageReduce,,,-2000,,2,
1124,,evilDamageReduce,,,-2000,,2,
1125,,steelDamageReduce,,,-2000,,2,
1126,,fairyDamageReduce,,,-2000,,2,
1127,,pvpDamageAdd,,,-2000,,2,
1128,,pvpDamageSub,,,-2000,,2,
1129,,strikeDamageSub,,,-2000,,2,
1130,,healAdd,,,-2000,,2,
1131,,beHealAdd,,,-2000,,2,
1132,,damageRateAdd,,,-2000,,2,
1133,,damageHit,,,-2000,,2,
1134,,damageDodge,,,-2000,,2,
1135,,ignoreDamageSub,,,-2000,,2,
1136,,ignoreStrikeResistance,,,-2000,,2,
1137,,finalSkillAddRate,,,-2000,,2,
1138,,finalDamageAdd,,,-2000,,2,
1139,,finalDamageSub,,,-2000,,2,
1140,,finalDamageDeepen,,,-2000,,2,
1141,,finalDamageReduce,,,-2000,,2,
1142,,mpBeAttackRecover,,,-2000,,2,
1143,,trueDamageAdd,,,-2000,,2,
1144,,trueDamageSub,,,-2000,,2,
1145,,natureResistance,,,-2000,,2,
1146,,natureDamageDeepen,,,-2000,,2,
1147,,natureDamageSub,,,-2000,,2,
1148,,natureDamageAdd,,,-2000,,2,
1150,,weight,,,,,,
1151,,shieldPower,,,-2000,,2,
1152,,mpAttackRecover,,,-2000,,2,
1153,,elementalDamageAdd,,,-2000,,2,
1154,,elementalDamageSub,,,-2000,,2,
1155,,elementalDamageDeepen,,,-2000,,2,
1156,,elementalDamageReduce,,,-2000,,2,
468211,,freeze,1,1,target:hpMax()*0.5,,,
706111,,buffDamage,6,3,1,,2,
