变量名,name,desc,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
44,收集25全体精灵,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,2,25,9,0,44,100,
45,收集3全体精灵,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,2,3,10,0,45,100,
46,收集6全体精灵,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,2,6,10,0,45,100,
47,收集12全体精灵,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,2,12,10,0,45,100,
48,收集18全体精灵,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,2,18,10,0,45,100,
49,收集3全体精灵,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,2,3,11,0,46,100,
50,收集6全体精灵,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,2,6,11,0,46,100,
51,收集12全体精灵,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,2,12,11,0,46,100,
52,收集3全体精灵,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,2,3,12,0,47,100,
53,收集6全体精灵,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,2,6,12,0,47,100,
54,收集12全体精灵,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,2,12,12,0,47,100,
55,收集3全体精灵,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,2,3,13,0,48,100,
56,收集6全体精灵,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,2,6,13,0,48,100,
57,收集12全体精灵,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,2,12,13,0,48,100,
58,收集18全体精灵,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,2,18,13,0,48,100,
59,收集3全体精灵,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,2,3,14,0,49,100,
60,收集6全体精灵,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,2,6,14,0,49,100,
61,收集9全体精灵,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,2,9,14,0,49,100,
62,收集12全体精灵,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,2,12,14,0,49,100,
63,收集15全体精灵,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,2,15,14,0,49,100,
64,收集3全体精灵,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,2,3,15,0,50,100,
65,收集6全体精灵,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,2,6,15,0,50,100,
66,收集12全体精灵,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,2,12,15,0,50,100,
67,收集18全体精灵,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,2,18,15,0,50,100,
68,收集3全体精灵,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,2,3,16,0,51,100,
69,收集6全体精灵,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,2,6,16,0,51,100,
70,收集9全体精灵,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,2,9,16,0,51,100,
71,收集15全体精灵,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,2,15,16,0,51,100,
72,收集3全体精灵,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,2,3,17,0,52,100,
73,收集6全体精灵,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,2,6,17,0,52,100,
74,收集12全体精灵,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,2,12,17,0,52,100,
75,收集18全体精灵,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,2,18,17,0,52,100,
76,收集3全体精灵,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,2,3,18,0,53,100,
77,收集6全体精灵,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,2,6,18,0,53,100,
78,收集9全体精灵,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,2,9,18,0,53,100,
79,收集12全体精灵,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,2,12,18,0,53,100,
,,,,,,,,,
101,收集250全体精灵,#C0xFF5B545B#全体精灵物防提升 #C0xFF60C456#3%,1,250,,0,9,300,
102,收集300全体精灵,#C0xFF5B545B#全体精灵特防提升 #C0xFF60C456#3%,1,300,,0,10,300,
103,收集350全体精灵,#C0xFF5B545B#全体精灵暴击抗性提升#C0xFF60C456#3%,1,350,,0,16,300,
104,收集400全体精灵,#C0xFF5B545B#全体精灵物防提升#C0xFF60C456#3%,1,400,,0,9,300,
,收集450全体精灵,#C0xFF5B545B#全体精灵特防提升#C0xFF60C456#3%,1,450,,0,10,300,
,收集500全体精灵,#C0xFF5B545B#全体精灵暴击抗性提升#C0xFF60C456#3%,1,500,,0,16,300,
,收集550全体精灵,#C0xFF5B545B#全体精灵物伤减免提升#C0xFF60C456#3%,1,550,,0,33,300,
,收集600全体精灵,#C0xFF5B545B#全体精灵特伤减免提升#C0xFF60C456#3%,1,600,,0,35,300,
,,,,,,,,,
111,收集25全体精灵,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,2,25,1,0,36,100,
112,收集40全体精灵,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,2,40,1,0,36,100,
,收集60全体精灵,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,2,60,1,0,36,100,
,收集80全体精灵,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,2,80,1,0,36,100,
115,收集25全体精灵,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,2,25,2,0,37,100,
116,收集40全体精灵,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,2,40,2,0,37,100,
117,收集60全体精灵,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,2,60,2,0,37,100,
,收集80全体精灵,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,2,80,2,0,37,100,
119,收集40全体精灵,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,2,40,3,0,38,100,
120,收集60全体精灵,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,2,60,3,0,38,100,
121,收集30全体精灵,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,2,30,4,0,39,100,
122,收集40全体精灵,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,2,40,4,0,39,100,
,收集50全体精灵,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,2,50,4,0,39,100,
,收集60全体精灵,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,2,60,4,0,39,100,
,收集70全体精灵,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,2,70,4,0,39,100,
126,收集20全体精灵,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,2,20,5,0,40,100,
127,收集25全体精灵,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,2,25,5,0,40,100,
128,收集35全体精灵,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,2,35,5,0,40,100,
,收集45全体精灵,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,2,45,5,0,40,100,
,收集50全体精灵,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,2,50,5,0,40,100,
131,收集18全体精灵,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,2,18,6,0,41,100,
132,收集24全体精灵,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,2,24,6,0,41,100,
133,收集30全体精灵,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,2,30,6,0,41,100,
134,收集35全体精灵,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,2,35,6,0,41,100,
,收集40全体精灵,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,2,40,6,0,41,100,
136,收集24全体精灵,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,2,24,7,0,42,100,
137,收集30全体精灵,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,2,30,7,0,42,100,
138,收集35全体精灵,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,2,35,7,0,42,100,
,收集40全体精灵,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,2,40,7,0,42,100,
140,收集30全体精灵,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,2,30,8,0,43,100,
141,收集40全体精灵,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,2,40,8,0,43,100,
142,收集50全体精灵,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,2,50,8,0,43,100,
,收集60全体精灵,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,2,60,8,0,43,100,
144,收集30全体精灵,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,2,30,9,0,44,100,
145,收集40全体精灵,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,2,40,9,0,44,100,
,收集50全体精灵,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,2,50,9,0,44,100,
,收集60全体精灵,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,2,60,9,0,44,100,
148,收集30全体精灵,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,2,30,10,0,45,100,
149,收集40全体精灵,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,2,40,10,0,45,100,
,收集55全体精灵,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,2,55,10,0,45,100,
,收集65全体精灵,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,2,65,10,0,45,100,
152,收集27全体精灵,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,2,27,11,0,46,100,
153,收集40全体精灵,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,2,40,11,0,46,100,
,收集50全体精灵,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,2,50,11,0,46,100,
,收集60全体精灵,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,2,60,11,0,46,100,
,收集70全体精灵,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,2,70,11,0,46,100,
157,收集16全体精灵,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,2,16,12,0,47,100,
158,收集20全体精灵,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,2,20,12,0,47,100,
159,收集24全体精灵,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,2,24,12,0,47,100,
,收集28全体精灵,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,2,28,12,0,47,100,
,收集32全体精灵,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,2,32,12,0,47,100,
162,收集25全体精灵,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,2,25,13,0,48,100,
163,收集35全体精灵,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,2,35,13,0,48,100,
,收集45全体精灵,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,2,45,13,0,48,100,
,收集55全体精灵,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,2,55,13,0,48,100,
166,收集25全体精灵,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,2,25,14,0,49,100,
167,收集35全体精灵,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,2,35,14,0,49,100,
,收集45全体精灵,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,2,45,14,0,49,100,
169,收集24全体精灵,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,2,24,15,0,50,100,
170,收集30全体精灵,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,2,30,15,0,50,100,
171,收集36全体精灵,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,2,36,15,0,50,100,
,收集42全体精灵,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,2,42,15,0,50,100,
173,收集20全体精灵,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,2,20,16,0,51,100,
174,收集25全体精灵,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,2,25,16,0,51,100,
175,收集30全体精灵,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,2,30,16,0,51,100,
,收集40全体精灵,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,2,40,16,0,51,100,
177,收集24全体精灵,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,2,24,17,0,52,100,
178,收集30全体精灵,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,2,30,17,0,52,100,
179,收集36全体精灵,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,2,36,17,0,52,100,
,收集42全体精灵,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,2,42,17,0,52,100,
181,收集18全体精灵,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,2,18,18,0,53,100,
182,收集24全体精灵,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,2,24,18,0,53,100,
183,收集30全体精灵,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,2,30,18,0,53,100,
,收集40全体精灵,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,2,40,18,0,53,100,
