变量名,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2,__version
77,61,,,,,5,7,0.12%,,,
78,61,,,,,6,7,0.18%,,,
79,61,,,,,7,7,0.24%,,,
80,61,,,,,8,7,0.32%,,,
81,61,,,,,9,7,0.40%,,,
82,61,,,,,10,7,0.50%,,,
83,61,,,,,11,7,0.60%,,,
84,61,,,,,12,7,0.72%,,,
85,71,,,,,1,10,0%,,,
86,71,,,,,2,10,0.04%,,,
87,71,,,,,3,10,0.06%,,,
88,71,,,,,4,10,0.08%,,,
89,71,,,,,5,10,0.12%,,,
90,71,,,,,6,10,0.18%,,,
91,71,,,,,7,10,0.24%,,,
92,71,,,,,8,10,0.32%,,,
93,71,,,,,9,10,0.40%,,,
94,71,,,,,10,10,0.50%,,,
95,71,,,,,11,10,0.60%,,,
96,71,,,,,12,10,0.72%,,,
97,81,,,,,1,9,0%,,,
98,81,,,,,2,9,0.04%,,,
99,81,,,,,3,9,0.06%,,,
100,81,,,,,4,9,0.08%,,,
101,81,,,,,5,9,0.12%,,,
102,81,,,,,6,9,0.18%,,,
103,81,,,,,7,9,0.24%,,,
104,81,,,,,8,9,0.32%,,,
105,81,,,,,9,9,0.40%,,,
106,81,,,,,10,9,0.50%,,,
107,81,,,,,11,9,0.60%,,,
108,81,,,,,12,9,0.72%,,,
109,91,,,,,1,13,0%,,,
110,91,,,,,2,13,0.08%,,,
111,91,,,,,3,13,0.16%,,,
112,91,,,,,4,13,0.24%,,,
113,91,,,,,5,13,0.40%,,,
114,91,,,,,6,13,0.56%,,,
115,91,,,,,7,13,0.80%,,,
116,91,,,,,8,13,1.04%,,,
117,91,,,,,9,13,1.36%,,,
118,91,,,,,10,13,1.68%,,,
119,91,,,,,11,13,2%,,,
120,91,,,,,12,13,2.40%,,,
121,101,,,,,1,10,0%,,,
122,101,,,,,2,10,0.04%,,,
123,101,,,,,3,10,0.06%,,,
124,101,,,,,4,10,0.08%,,,
125,101,,,,,5,10,0.12%,,,
126,101,,,,,6,10,0.18%,,,
127,101,,,,,7,10,0.24%,,,
128,101,,,,,8,10,0.32%,,,
129,101,,,,,9,10,0.40%,,,
130,101,,,,,10,10,0.50%,,,
131,101,,,,,11,10,0.60%,,,
132,101,,,,,12,10,0.72%,,,
133,111,,,,,1,8,0%,,,
134,111,,,,,2,8,0.04%,,,
135,111,,,,,3,8,0.06%,,,
136,111,,,,,4,8,0.08%,,,
137,111,,,,,5,8,0.12%,,,
138,111,,,,,6,8,0.18%,,,
139,111,,,,,7,8,0.24%,,,
140,111,,,,,8,8,0.32%,,,
141,111,,,,,9,8,0.40%,,,
142,111,,,,,10,8,0.50%,,,
143,111,,,,,11,8,0.60%,,,
144,111,,,,,12,8,0.72%,,,
145,121,,,,,1,9,0%,,,
146,121,,,,,2,9,0.04%,,,
147,121,,,,,3,9,0.06%,,,
148,121,,,,,4,9,0.08%,,,
149,121,,,,,5,9,0.12%,,,
150,121,,,,,6,9,0.18%,,,
151,121,,,,,7,9,0.24%,,,
152,121,,,,,8,9,0.32%,,,
153,121,,,,,9,9,0.40%,,,
154,121,,,,,10,9,0.50%,,,
155,121,,,,,11,9,0.60%,,,
156,121,,,,,12,9,0.72%,,,
157,131,,,,,1,8,0%,,,
158,131,,,,,2,8,0.08%,,,
159,131,,,,,3,8,0.16%,,,
160,131,,,,,4,8,0.24%,,,
161,131,,,,,5,8,0.40%,,,
162,131,,,,,6,8,0.56%,,,
163,131,,,,,7,8,0.80%,,,
164,131,,,,,8,8,1.04%,,,
165,131,,,,,9,8,1.36%,,,
166,131,,,,,10,8,1.68%,,,
167,131,,,,,11,8,2%,,,
168,131,,,,,12,8,2.40%,,,
169,141,,,,,1,,0%,,,
170,141,,,,,2,,0%,,,
171,141,,,,,3,,0%,,,
172,141,,,,,4,,0%,,,
173,141,,,,,5,,0%,,,
174,141,,,,,6,,0%,,,
175,141,,,,,7,,0%,,,
176,141,,,,,8,,0%,,,
177,141,,,,,9,,0%,,,
178,141,,,,,10,,0%,,,
179,141,,,,,11,,0%,,,
180,141,,,,,12,,0%,,,
181,151,,,,,1,13,0%,,,
182,151,,,,,2,13,0.08%,,,
183,151,,,,,3,13,0.16%,,,
184,151,,,,,4,13,0.24%,,,
185,151,,,,,5,13,0.40%,,,
186,151,,,,,6,13,0.56%,,,
187,151,,,,,7,13,0.80%,,,
188,151,,,,,8,13,1.04%,,,
189,151,,,,,9,13,1.36%,,,
190,151,,,,,10,13,1.68%,,,
191,151,,,,,11,13,2%,,,
192,151,,,,,12,13,2.40%,,,
193,161,,,,,1,7,0%,,,
194,161,,,,,2,7,0%,,,
195,161,,,,,3,7,0.10%,,,
196,161,,,,,4,7,0.25%,,,
197,161,,,,,5,7,0.40%,,,
198,161,,,,,6,7,0.70%,,,
199,161,,,,,7,7,1%,,,
200,161,,,,,8,7,1.30%,,,
201,161,,,,,9,7,1.75%,,,
202,161,,,,,10,7,2.20%,,,
203,161,,,,,11,7,2.65%,,,
204,161,,,,,12,7,3.25%,,,
205,171,,,,,1,8,0%,,,
206,171,,,,,2,8,0.04%,,,
207,171,,,,,3,8,0.06%,,,
208,171,,,,,4,8,0.08%,,,
209,171,,,,,5,8,0.12%,,,
210,171,,,,,6,8,0.18%,,,
211,171,,,,,7,8,0.24%,,,
212,171,,,,,8,8,0.32%,,,
213,171,,,,,9,8,0.40%,,,
214,171,,,,,10,8,0.50%,,,
215,171,,,,,11,8,0.60%,,,
216,171,,,,,12,8,0.72%,,,
217,181,,,,,1,,0%,,,
218,181,,,,,2,,0%,,,
219,181,,,,,3,,0%,,,
220,181,,,,,4,,0%,,,
221,181,,,,,5,,0%,,,
222,181,,,,,6,,0%,,,
223,181,,,,,7,,0%,,,
224,181,,,,,8,,0%,,,
225,181,,,,,9,,0%,,,
226,181,,,,,10,,0%,,,
227,181,,,,,11,,0%,,,
228,181,,,,,12,,0%,,,
229,191,,,,,1,13,0%,,,
230,191,,,,,2,13,0.04%,,,
231,191,,,,,3,13,0.06%,,,
232,191,,,,,4,13,0.08%,,,
233,191,,,,,5,13,0.12%,,,
234,191,,,,,6,13,0.18%,,,
235,191,,,,,7,13,0.24%,,,
236,191,,,,,8,13,0.32%,,,
237,191,,,,,9,13,0.40%,,,
238,191,,,,,10,13,0.50%,,,
239,191,,,,,11,13,0.60%,,,
240,191,,,,,12,13,0.72%,,,
241,201,,,,,1,,0%,,,
242,201,,,,,2,,0%,,,
243,201,,,,,3,,0%,,,
244,201,,,,,4,,0%,,,
245,201,,,,,5,,0%,,,
246,201,,,,,6,,0%,,,
247,201,,,,,7,,0%,,,
248,201,,,,,8,,0%,,,
249,201,,,,,9,,0%,,,
250,201,,,,,10,,0%,,,
251,201,,,,,11,,0%,,,
252,201,,,,,12,,0%,,,
253,211,,,,,1,13,0%,,,
254,211,,,,,2,13,0.08%,,,
255,211,,,,,3,13,0.16%,,,
256,211,,,,,4,13,0.24%,,,
257,211,,,,,5,13,0.40%,,,
258,211,,,,,6,13,0.56%,,,
259,211,,,,,7,13,0.80%,,,
260,211,,,,,8,13,1.04%,,,
261,211,,,,,9,13,1.36%,,,
262,211,,,,,10,13,1.68%,,,
263,211,,,,,11,13,2%,,,
264,211,,,,,12,13,2.40%,,,
265,221,,,,,1,8,0%,,,
266,221,,,,,2,8,0.08%,,,
267,221,,,,,3,8,0.16%,,,
268,221,,,,,4,8,0.24%,,,
269,221,,,,,5,8,0.40%,,,
270,221,,,,,6,8,0.56%,,,
271,221,,,,,7,8,0.80%,,,
272,221,,,,,8,8,1.04%,,,
273,221,,,,,9,8,1.36%,,,
274,221,,,,,10,8,1.68%,,,
275,221,,,,,11,8,2%,,,
276,221,,,,,12,8,2.40%,,,
277,231,,,,,1,9,0%,,,
278,231,,,,,2,9,0.04%,,,
279,231,,,,,3,9,0.06%,,,
280,231,,,,,4,9,0.08%,,,
281,231,,,,,5,9,0.12%,,,
282,231,,,,,6,9,0.18%,,,
283,231,,,,,7,9,0.24%,,,
284,231,,,,,8,9,0.32%,,,
285,231,,,,,9,9,0.40%,,,
286,231,,,,,10,9,0.50%,,,
287,231,,,,,11,9,0.60%,,,
288,231,,,,,12,9,0.72%,,,
289,241,,,,,1,7,0%,,,
290,241,,,,,2,7,0%,,,
291,241,,,,,3,7,0.10%,,,
292,241,,,,,4,7,0.25%,,,
293,241,,,,,5,7,0.40%,,,
294,241,,,,,6,7,0.70%,,,
295,241,,,,,7,7,1%,,,
296,241,,,,,8,7,1.30%,,,
297,241,,,,,9,7,1.75%,,,
298,241,,,,,10,7,2.20%,,,
299,241,,,,,11,7,2.65%,,,
300,241,,,,,12,7,3.25%,,,
301,251,,,,,1,1,0%,,,
302,251,,,,,2,1,0%,,,
303,251,,,,,3,1,0.07%,,,
304,251,,,,,4,1,0.18%,,,
305,251,,,,,5,1,0.28%,,,
306,251,,,,,6,1,0.49%,,,
307,251,,,,,7,1,0.70%,,,
308,251,,,,,8,1,0.91%,,,
309,251,,,,,9,1,1.23%,,,
310,251,,,,,10,1,1.54%,,,
311,251,,,,,11,1,1.86%,,,
312,251,,,,,12,1,2.28%,,,
313,261,,,,,1,1,0%,,,
314,261,,,,,2,1,0%,,,
315,261,,,,,3,1,0.07%,,,
316,261,,,,,4,1,0.18%,,,
317,261,,,,,5,1,0.28%,,,
318,261,,,,,6,1,0.49%,,,
319,261,,,,,7,1,0.70%,,,
320,261,,,,,8,1,0.91%,,,
321,261,,,,,9,1,1.23%,,,
322,261,,,,,10,1,1.54%,,,
323,261,,,,,11,1,1.86%,,,
324,261,,,,,12,1,2.28%,,,
325,271,,,,,1,7,0%,,,
326,271,,,,,2,7,0.08%,,,
327,271,,,,,3,7,0.16%,,,
328,271,,,,,4,7,0.24%,,,
329,271,,,,,5,7,0.40%,,,
330,271,,,,,6,7,0.56%,,,
331,271,,,,,7,7,0.80%,,,
332,271,,,,,8,7,1.04%,,,
333,271,,,,,9,7,1.36%,,,
334,271,,,,,10,7,1.68%,,,
335,271,,,,,11,7,2%,,,
336,271,,,,,12,7,2.40%,,,
337,281,,,,,1,8,0%,,,
338,281,,,,,2,8,0.08%,,,
339,281,,,,,3,8,0.16%,,,
340,281,,,,,4,8,0.24%,,,
341,281,,,,,5,8,0.40%,,,
342,281,,,,,6,8,0.56%,,,
343,281,,,,,7,8,0.80%,,,
344,281,,,,,8,8,1.04%,,,
345,281,,,,,9,8,1.36%,,,
346,281,,,,,10,8,1.68%,,,
347,281,,,,,11,8,2%,,,
348,281,,,,,12,8,2.40%,,,
349,291,,,,,1,,0%,,,
350,291,,,,,2,,0%,,,
351,291,,,,,3,,0%,,,
352,291,,,,,4,,0%,,,
353,291,,,,,5,,0%,,,
354,291,,,,,6,,0%,,,
355,291,,,,,7,,0%,,,
356,291,,,,,8,,0%,,,
357,291,,,,,9,,0%,,,
358,291,,,,,10,,0%,,,
359,291,,,,,11,,0%,,,
360,291,,,,,12,,0%,,,
361,301,,,,,1,9,0%,,,
362,301,,,,,2,9,0.08%,,,
363,301,,,,,3,9,0.16%,,,
364,301,,,,,4,9,0.24%,,,
365,301,,,,,5,9,0.40%,,,
366,301,,,,,6,9,0.56%,,,
367,301,,,,,7,9,0.80%,,,
368,301,,,,,8,9,1.04%,,,
369,301,,,,,9,9,1.36%,,,
370,301,,,,,10,9,1.68%,,,
371,301,,,,,11,9,2%,,,
372,301,,,,,12,9,2.40%,,,
373,311,,,,,1,7,0%,,,
374,311,,,,,2,7,0%,,,
375,311,,,,,3,7,0.10%,,,
376,311,,,,,4,7,0.25%,,,
377,311,,,,,5,7,0.40%,,,
378,311,,,,,6,7,0.70%,,,
379,311,,,,,7,7,1%,,,
380,311,,,,,8,7,1.30%,,,
381,311,,,,,9,7,1.75%,,,
382,311,,,,,10,7,2.20%,,,
383,311,,,,,11,7,2.65%,,,
384,311,,,,,12,7,3.25%,,,
385,321,,,,,1,10,0%,,,
386,321,,,,,2,10,0%,,,
387,321,,,,,3,10,0.10%,,,
388,321,,,,,4,10,0.25%,,,
389,321,,,,,5,10,0.40%,,,
390,321,,,,,6,10,0.70%,,,
391,321,,,,,7,10,1%,,,
392,321,,,,,8,10,1.30%,,,
393,321,,,,,9,10,1.75%,,,
394,321,,,,,10,10,2.20%,,,
395,321,,,,,11,10,2.65%,,,
396,321,,,,,12,10,3.25%,,,
397,331,,,,,1,10,0%,,,
398,331,,,,,2,10,0%,,,
399,331,,,,,3,10,0.10%,,,
400,331,,,,,4,10,0.25%,,,
401,331,,,,,5,10,0.40%,,,
402,331,,,,,6,10,0.70%,,,
403,331,,,,,7,10,1%,,,
404,331,,,,,8,10,1.30%,,,
405,331,,,,,9,10,1.75%,,,
406,331,,,,,10,10,2.20%,,,
407,331,,,,,11,10,2.65%,,,
408,331,,,,,12,10,3.25%,,,
409,341,,,,,1,13,0%,,,
410,341,,,,,2,13,0.08%,,,
411,341,,,,,3,13,0.16%,,,
412,341,,,,,4,13,0.24%,,,
413,341,,,,,5,13,0.40%,,,
414,341,,,,,6,13,0.56%,,,
415,341,,,,,7,13,0.80%,,,
416,341,,,,,8,13,1.04%,,,
417,341,,,,,9,13,1.36%,,,
418,341,,,,,10,13,1.68%,,,
419,341,,,,,11,13,2%,,,
420,341,,,,,12,13,2.40%,,,
421,351,,,,,1,1,0%,,,
422,351,,,,,2,1,0.03%,,,
423,351,,,,,3,1,0.04%,,,
424,351,,,,,4,1,0.06%,,,
425,351,,,,,5,1,0.08%,,,
426,351,,,,,6,1,0.13%,,,
427,351,,,,,7,1,0.17%,,,
428,351,,,,,8,1,0.22%,,,
429,351,,,,,9,1,0.28%,,,
430,351,,,,,10,1,0.35%,,,
431,351,,,,,11,1,0.42%,,,
432,351,,,,,12,1,0.50%,,,
433,361,,,,,1,,0%,,,
434,361,,,,,2,,0%,,,
435,361,,,,,3,,0%,,,
436,361,,,,,4,,0%,,,
437,361,,,,,5,,0%,,,
438,361,,,,,6,,0%,,,
439,361,,,,,7,,0%,,,
440,361,,,,,8,,0%,,,
441,361,,,,,9,,0%,,,
442,361,,,,,10,,0%,,,
443,361,,,,,11,,0%,,,
444,361,,,,,12,,0%,,,
445,371,,,,,1,9,0%,,,
446,371,,,,,2,9,0.08%,,,
447,371,,,,,3,9,0.16%,,,
448,371,,,,,4,9,0.24%,,,
449,371,,,,,5,9,0.40%,,,
450,371,,,,,6,9,0.56%,,,
451,371,,,,,7,9,0.80%,,,
452,371,,,,,8,9,1.04%,,,
453,371,,,,,9,9,1.36%,,,
454,371,,,,,10,9,1.68%,,,
455,371,,,,,11,9,2%,,,
456,371,,,,,12,9,2.40%,,,
457,381,,,,,1,7,0%,,,
458,381,,,,,2,7,0%,,,
459,381,,,,,3,7,0.10%,,,
460,381,,,,,4,7,0.25%,,,
461,381,,,,,5,7,0.40%,,,
462,381,,,,,6,7,0.70%,,,
463,381,,,,,7,7,1%,,,
464,381,,,,,8,7,1.30%,,,
465,381,,,,,9,7,1.75%,,,
466,381,,,,,10,7,2.20%,,,
467,381,,,,,11,7,2.65%,,,
468,381,,,,,12,7,3.25%,,,
469,391,,,,,1,13,0%,,,
470,391,,,,,2,13,0%,,,
471,391,,,,,3,13,0.10%,,,
472,391,,,,,4,13,0.25%,,,
473,391,,,,,5,13,0.40%,,,
474,391,,,,,6,13,0.70%,,,
475,391,,,,,7,13,1%,,,
476,391,,,,,8,13,1.30%,,,
477,391,,,,,9,13,1.75%,,,
478,391,,,,,10,13,2.20%,,,
479,391,,,,,11,13,2.65%,,,
480,391,,,,,12,13,3.25%,,,
481,401,,,,,1,9,0%,,,
482,401,,,,,2,9,0%,,,
483,401,,,,,3,9,0.10%,,,
484,401,,,,,4,9,0.25%,,,
485,401,,,,,5,9,0.40%,,,
486,401,,,,,6,9,0.70%,,,
487,401,,,,,7,9,1%,,,
488,401,,,,,8,9,1.30%,,,
489,401,,,,,9,9,1.75%,,,
490,401,,,,,10,9,2.20%,,,
491,401,,,,,11,9,2.65%,,,
492,401,,,,,12,9,3.25%,,,
493,411,,,,,1,10,0%,,,
494,411,,,,,2,10,0%,,,
495,411,,,,,3,10,0.10%,,,
496,411,,,,,4,10,0.25%,,,
497,411,,,,,5,10,0.40%,,,
498,411,,,,,6,10,0.70%,,,
499,411,,,,,7,10,1%,,,
500,411,,,,,8,10,1.30%,,,
501,411,,,,,9,10,1.75%,,,
502,411,,,,,10,10,2.20%,,,
503,411,,,,,11,10,2.65%,,,
504,411,,,,,12,10,3.25%,,,
505,421,,,,,1,,0%,,,
506,421,,,,,2,,0%,,,
507,421,,,,,3,,0%,,,
508,421,,,,,4,,0%,,,
509,421,,,,,5,,0%,,,
510,421,,,,,6,,0%,,,
511,421,,,,,7,,0%,,,
512,421,,,,,8,,0%,,,
513,421,,,,,9,,0%,,,
514,421,,,,,10,,0%,,,
515,421,,,,,11,,0%,,,
516,421,,,,,12,,0%,,,
517,431,,,,,1,8,0%,,,
518,431,,,,,2,8,0%,,,
519,431,,,,,3,8,0.10%,,,
520,431,,,,,4,8,0.25%,,,
521,431,,,,,5,8,0.40%,,,
522,431,,,,,6,8,0.70%,,,
523,431,,,,,7,8,1%,,,
524,431,,,,,8,8,1.30%,,,
525,431,,,,,9,8,1.75%,,,
526,431,,,,,10,8,2.20%,,,
527,431,,,,,11,8,2.65%,,,
528,431,,,,,12,8,3.25%,,,
529,441,,,,,1,8,0%,,,
530,441,,,,,2,8,0%,,,
531,441,,,,,3,8,0.10%,,,
532,441,,,,,4,8,0.25%,,,
533,441,,,,,5,8,0.40%,,,
534,441,,,,,6,8,0.70%,,,
535,441,,,,,7,8,1%,,,
536,441,,,,,8,8,1.30%,,,
537,441,,,,,9,8,1.75%,,,
538,441,,,,,10,8,2.20%,,,
539,441,,,,,11,8,2.65%,,,
540,441,,,,,12,8,3.25%,,,
541,451,,,,,1,7,0%,,,
542,451,,,,,2,7,0.04%,,,
543,451,,,,,3,7,0.06%,,,
544,451,,,,,4,7,0.08%,,,
545,451,,,,,5,7,0.12%,,,
546,451,,,,,6,7,0.18%,,,
547,451,,,,,7,7,0.24%,,,
548,451,,,,,8,7,0.32%,,,
549,451,,,,,9,7,0.40%,,,
550,451,,,,,10,7,0.50%,,,
551,451,,,,,11,7,0.60%,,,
552,451,,,,,12,7,0.72%,,,
553,461,,,,,1,7,0%,,,
554,461,,,,,2,7,0.08%,,,
555,461,,,,,3,7,0.16%,,,
556,461,,,,,4,7,0.24%,,,
557,461,,,,,5,7,0.40%,,,
558,461,,,,,6,7,0.56%,,,
559,461,,,,,7,7,0.80%,,,
560,461,,,,,8,7,1.04%,,,
561,461,,,,,9,7,1.36%,,,
562,461,,,,,10,7,1.68%,,,
563,461,,,,,11,7,2%,,,
564,461,,,,,12,7,2.40%,,,
565,471,,,,,1,10,0%,,,
566,471,,,,,2,10,0.08%,,,
567,471,,,,,3,10,0.16%,,,
568,471,,,,,4,10,0.24%,,,
569,471,,,,,5,10,0.40%,,,
570,471,,,,,6,10,0.56%,,,
571,471,,,,,7,10,0.80%,,,
572,471,,,,,8,10,1.04%,,,
573,471,,,,,9,10,1.36%,,,
574,471,,,,,10,10,1.68%,,,
575,471,,,,,11,10,2%,,,
576,471,,,,,12,10,2.40%,,,
577,481,,,,,1,8,0%,,,
578,481,,,,,2,8,0.08%,,,
579,481,,,,,3,8,0.16%,,,
580,481,,,,,4,8,0.24%,,,
581,481,,,,,5,8,0.40%,,,
582,481,,,,,6,8,0.56%,,,
583,481,,,,,7,8,0.80%,,,
584,481,,,,,8,8,1.04%,,,
585,481,,,,,9,8,1.36%,,,
586,481,,,,,10,8,1.68%,,,
587,481,,,,,11,8,2%,,,
588,481,,,,,12,8,2.40%,,,
589,491,,,,,1,9,0%,,,
590,491,,,,,2,9,0%,,,
591,491,,,,,3,9,0.10%,,,
592,491,,,,,4,9,0.25%,,,
593,491,,,,,5,9,0.40%,,,
594,491,,,,,6,9,0.70%,,,
595,491,,,,,7,9,1%,,,
596,491,,,,,8,9,1.30%,,,
597,491,,,,,9,9,1.75%,,,
598,491,,,,,10,9,2.20%,,,
599,491,,,,,11,9,2.65%,,,
600,491,,,,,12,9,3.25%,,,
601,501,,,,,1,1,0%,,,
602,501,,,,,2,1,0%,,,
603,501,,,,,3,1,0.07%,,,
604,501,,,,,4,1,0.18%,,,
605,501,,,,,5,1,0.28%,,,
606,501,,,,,6,1,0.49%,,,
607,501,,,,,7,1,0.70%,,,
608,501,,,,,8,1,0.91%,,,
609,501,,,,,9,1,1.23%,,,
610,501,,,,,10,1,1.54%,,,
611,501,,,,,11,1,1.86%,,,
612,501,,,,,12,1,2.28%,,,
613,511,,,,,1,,0%,,,
614,511,,,,,2,,0%,,,
615,511,,,,,3,,0%,,,
616,511,,,,,4,,0%,,,
617,511,,,,,5,,0%,,,
618,511,,,,,6,,0%,,,
619,511,,,,,7,,0%,,,
620,511,,,,,8,,0%,,,
621,511,,,,,9,,0%,,,
622,511,,,,,10,,0%,,,
623,511,,,,,11,,0%,,,
624,511,,,,,12,,0%,,,
625,521,,,,,1,,0%,,,
626,521,,,,,2,,0%,,,
627,521,,,,,3,,0%,,,
628,521,,,,,4,,0%,,,
629,521,,,,,5,,0%,,,
630,521,,,,,6,,0%,,,
631,521,,,,,7,,0%,,,
632,521,,,,,8,,0%,,,
633,521,,,,,9,,0%,,,
634,521,,,,,10,,0%,,,
635,521,,,,,11,,0%,,,
636,521,,,,,12,,0%,,,
637,531,,,,,1,,0%,,,
638,531,,,,,2,,0%,,,
639,531,,,,,3,,0%,,,
640,531,,,,,4,,0%,,,
641,531,,,,,5,,0%,,,
642,531,,,,,6,,0%,,,
643,531,,,,,7,,0%,,,
644,531,,,,,8,,0%,,,
645,531,,,,,9,,0%,,,
646,531,,,,,10,,0%,,,
647,531,,,,,11,,0%,,,
648,531,,,,,12,,0%,,,
649,541,,,,,1,1,0%,,,
650,541,,,,,2,1,0.03%,,,
651,541,,,,,3,1,0.04%,,,
652,541,,,,,4,1,0.06%,,,
653,541,,,,,5,1,0.08%,,,
654,541,,,,,6,1,0.13%,,,
655,541,,,,,7,1,0.17%,,,
656,541,,,,,8,1,0.22%,,,
657,541,,,,,9,1,0.28%,,,
658,541,,,,,10,1,0.35%,,,
659,541,,,,,11,1,0.42%,,,
660,541,,,,,12,1,0.50%,,,
661,551,,,,,1,8,0%,,,
662,551,,,,,2,8,0.08%,,,
663,551,,,,,3,8,0.16%,,,
664,551,,,,,4,8,0.24%,,,
665,551,,,,,5,8,0.40%,,,
666,551,,,,,6,8,0.56%,,,
667,551,,,,,7,8,0.80%,,,
668,551,,,,,8,8,1.04%,,,
669,551,,,,,9,8,1.36%,,,
670,551,,,,,10,8,1.68%,,,
671,551,,,,,11,8,2%,,,
672,551,,,,,12,8,2.40%,,,
673,561,,,,,1,10,0%,,,
674,561,,,,,2,10,0%,,,
675,561,,,,,3,10,0.10%,,,
676,561,,,,,4,10,0.25%,,,
677,561,,,,,5,10,0.40%,,,
678,561,,,,,6,10,0.70%,,,
679,561,,,,,7,10,1%,,,
680,561,,,,,8,10,1.30%,,,
681,561,,,,,9,10,1.75%,,,
682,561,,,,,10,10,2.20%,,,
683,561,,,,,11,10,2.65%,,,
684,561,,,,,12,10,3.25%,,,
685,571,,,,,1,7,0%,,,
686,571,,,,,2,7,0%,,,
687,571,,,,,3,7,0.10%,,,
688,571,,,,,4,7,0.25%,,,
689,571,,,,,5,7,0.40%,,,
690,571,,,,,6,7,0.70%,,,
691,571,,,,,7,7,1%,,,
692,571,,,,,8,7,1.30%,,,
693,571,,,,,9,7,1.75%,,,
694,571,,,,,10,7,2.20%,,,
695,571,,,,,11,7,2.65%,,,
696,571,,,,,12,7,3.25%,,,
697,581,,,,,1,,0%,,,
698,581,,,,,2,,0%,,,
699,581,,,,,3,,0%,,,
700,581,,,,,4,,0%,,,
701,581,,,,,5,,0%,,,
702,581,,,,,6,,0%,,,
703,581,,,,,7,,0%,,,
704,581,,,,,8,,0%,,,
705,581,,,,,9,,0%,,,
706,581,,,,,10,,0%,,,
707,581,,,,,11,,0%,,,
708,581,,,,,12,,0%,,,
709,591,,,,,1,8,0%,,,
710,591,,,,,2,8,0%,,,
711,591,,,,,3,8,0.10%,,,
712,591,,,,,4,8,0.25%,,,
713,591,,,,,5,8,0.40%,,,
714,591,,,,,6,8,0.70%,,,
715,591,,,,,7,8,1%,,,
716,591,,,,,8,8,1.30%,,,
717,591,,,,,9,8,1.75%,,,
