变量名,typeID,star,attrTarget,attrNatureType,attrNum,effectDesc,__version
5006,51,6,,,{24=300},,
5007,51,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
5008,51,8,,,{7=10%;8=10%},,
5009,51,9,,,{24=600},,
5010,51,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
5011,51,11,,,{23=1000},,
5012,51,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
6002,61,2,,,{24=200},,
6003,61,3,,,{7=5%;8=5%},,
6004,61,4,,,{1=5%},,
6005,61,5,,,{7=5%;8=5%},,
6006,61,6,,,{15=450},,
6007,61,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
6008,61,8,,,{7=10%;8=10%},,
6009,61,9,,,{15=900},,
6010,61,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
6011,61,11,,,{23=1000},,
6012,61,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
7002,71,2,,,{24=200},,
7003,71,3,,,{7=5%;8=5%},,
7004,71,4,,,{1=5%},,
7005,71,5,,,{7=5%;8=5%},,
7006,71,6,,,{5=300},,
7007,71,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
7008,71,8,,,{7=10%;8=10%},,
7009,71,9,,,{5=600},,
7010,71,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
7011,71,11,,,{23=1000},,
7012,71,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
8002,81,2,,,{24=200},,
8003,81,3,,,{7=5%;8=5%},,
8004,81,4,,,{1=5%},,
8005,81,5,,,{7=5%;8=5%},,
8006,81,6,,,{11=300},,
8007,81,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
8008,81,8,,,{7=10%;8=10%},,
8009,81,9,,,{11=600},,
8010,81,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
8011,81,11,,,{23=1000},,
8012,81,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
9002,91,2,,,{24=200},,
9003,91,3,,,{7=5%;8=5%},,
9004,91,4,,,{1=5%},,
9005,91,5,,,{9=5%;10=5%},,
9006,91,6,,,{90=300},,
9007,91,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
9008,91,8,,,{7=10%;8=10%},,
9009,91,9,,,{90=600},,
9010,91,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
9011,91,11,,,{23=1000},,
9012,91,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
10002,101,2,,,{25=200},,
10003,101,3,,,{9=5%;10=5%},,
10004,101,4,,,{1=5%},,
10005,101,5,,,{9=5%;10=5%},,
10006,101,6,,,{25=300},,
10007,101,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
10008,101,8,,,{9=10%;10=10%},,
10009,101,9,,,{25=600},,
10010,101,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
10011,101,11,,,{23=1000},,
10012,101,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
11002,111,2,,,{24=200},,
11003,111,3,,,{9=5%;10=5%},,
11004,111,4,,,{1=5%},,
11005,111,5,,,{7=5%;8=5%},,
11006,111,6,,,{27=300},,
11007,111,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
11008,111,8,,,{9=10%;10=10%},,
11009,111,9,,,{27=600},,
11010,111,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
11011,111,11,,,{23=1000},,
11012,111,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
12002,121,2,,,{24=200},,
12003,121,3,,,{7=5%;8=5%},,
12004,121,4,,,{1=5%},,
12005,121,5,,,{7=5%;8=5%},,
12006,121,6,,,{11=300},,
12007,121,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
12008,121,8,,,{7=10%;8=10%},,
12009,121,9,,,{11=600},,
12010,121,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
12011,121,11,,,{23=1000},,
12012,121,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
13002,131,2,,,{25=200},,
13003,131,3,,,{9=5%;10=5%},,
13004,131,4,,,{1=5%},,
13005,131,5,,,{7=5%;8=5%},,
13006,131,6,,,{25=300},,
13007,131,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
13008,131,8,,,{9=10%;10=10%},,
13009,131,9,,,{25=600},,
13010,131,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
13011,131,11,,,{23=1000},,
13012,131,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
14001,141,,,,,,
14202,143,2,,,{25=200},,
14203,143,3,,,{9=6%;10=6%},,
14204,143,4,,,{1=6%},,
14205,143,5,,,{7=6%;8=6%},,
14206,143,6,,,{25=400},,
14207,143,7,,,{1=12%},\n解锁竞技玩法伤害减免被动技能,
14208,143,8,,,{9=12%;10=12%},,
14209,143,9,,,{25=800},,
14210,143,10,,,{22=1200},\n解锁竞技玩法伤害加成被动技能,
14211,143,11,,,{23=1200},,
14212,143,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
15002,151,2,,,{24=200},,
15003,151,3,,,{7=5%;8=5%},,
15004,151,4,,,{1=5%},,
15005,151,5,,,{9=5%;10=5%},,
15006,151,6,,,{25=300},,
15007,151,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
15008,151,8,,,{7=10%;8=10%},,
15009,151,9,,,{25=600},,
15010,151,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
15011,151,11,,,{23=1000},,
15012,151,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
16002,161,2,,,{25=200},,
16003,161,3,,,{9=6%;10=6%},,
16004,161,4,,,{1=6%},,
16005,161,5,,,{7=6%;8=6%},,
16006,161,6,,,{25=400},,
16007,161,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
16008,161,8,,,{9=12%;10=12%},,
16009,161,9,,,{25=800},,
16010,161,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
16011,161,11,,,{23=1200},,
16012,161,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
17002,171,2,,,{25=200},,
17003,171,3,,,{7=5%;8=5%},,
17004,171,4,,,{1=5%},,
17005,171,5,,,{9=5%;10=5%},,
17006,171,6,,,{91=300},,
17007,171,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
17008,171,8,,,{7=10%;8=10%},,
17009,171,9,,,{91=600},,
17010,171,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
17011,171,11,,,{23=1000},,
17012,171,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
18001,181,,,,,,
19002,191,2,,,{24=200},,
19003,191,3,,,{7=5%;8=5%},,
19004,191,4,,,{1=5%},,
19005,191,5,,,{7=5%;8=5%},,
19006,191,6,,,{26=300},,
19007,191,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
19008,191,8,,,{7=10%;8=10%},,
19009,191,9,,,{26=600},,
19010,191,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
19011,191,11,,,{23=1000},,
19012,191,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
20001,201,,,,,,
21002,211,2,,,{24=200},,
21003,211,3,,,{7=5%;8=5%},,
21004,211,4,,,{1=5%},,
21005,211,5,,,{7=5%;8=5%},,
21006,211,6,,,{14=300},,
21007,211,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
21008,211,8,,,{7=10%;8=10%},,
21009,211,9,,,{14=600},,
21010,211,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
21011,211,11,,,{23=1000},,
21012,211,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},\n解锁【聚宝功】技能,
22002,221,2,,,{24=200},,
22003,221,3,,,{7=5%;8=5%},,
22004,221,4,,,{1=5%},,
22005,221,5,,,{7=5%;8=5%},,
22006,221,6,,,{24=300},,
22007,221,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
22008,221,8,,,{7=10%;8=10%},,
22009,221,9,,,{24=600},,
22010,221,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
22011,221,11,,,{23=1000},,
22012,221,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
23002,231,2,,,{24=200},,
23003,231,3,,,{7=5%;8=5%},,
23004,231,4,,,{1=5%},,
23005,231,5,,,{7=5%;8=5%},,
23006,231,6,,,{14=300},,
23007,231,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
23008,231,8,,,{7=10%;8=10%},,
23009,231,9,,,{14=600},,
23010,231,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
23011,231,11,,,{23=1000},,
23012,231,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
24002,241,2,,,{24=200},,
24003,241,3,,,{7=6%;8=6%},,
24004,241,4,,,{1=6%},,
24005,241,5,,,{7=6%;8=6%},,
24006,241,6,,,{15=600},,
24007,241,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
24008,241,8,,,{7=12%;8=12%},,
24009,241,9,,,{15=1200},,
24010,241,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
24011,241,11,,,{23=1200},,
24012,241,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
25002,251,2,,,{24=200},,
25003,251,3,,,{7=6%;8=6%},,
25004,251,4,,,{1=6%},,
25005,251,5,,,{7=6%;8=6%},,
25006,251,6,,,{14=400},,
25007,251,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
25008,251,8,,,{7=12%;8=12%},,
25009,251,9,,,{14=800},,
25010,251,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
25011,251,11,,,{23=1200},,
25012,251,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
26002,261,2,,,{24=200},,
26003,261,3,,,{7=6%;8=6%},,
26004,261,4,,,{1=6%},,
26005,261,5,,,{9=6%;10=6%},,
26006,261,6,,,{90=400},,
26007,261,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
26008,261,8,,,{7=12%;8=12%},,
26009,261,9,,,{90=800},,
26010,261,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
26011,261,11,,,{23=1200},,
26012,261,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
27002,271,2,,,{24=200},,
27003,271,3,,,{7=5%;8=5%},,
27004,271,4,,,{1=5%},,
27005,271,5,,,{7=5%;8=5%},,
27006,271,6,,,{11=300},,
27007,271,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
27008,271,8,,,{7=10%;8=10%},,
27009,271,9,,,{11=600},,
27010,271,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
27011,271,11,,,{23=1000},,
27012,271,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
28002,281,2,,,{25=200},,
28003,281,3,,,{9=5%;10=5%},,
28004,281,4,,,{1=5%},,
28005,281,5,,,{7=5%;8=5%},,
28006,281,6,,,{26=300},,
28007,281,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
28008,281,8,,,{9=10%;10=10%},,
28009,281,9,,,{26=600},,
28010,281,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
28011,281,11,,,{23=1000},,
28012,281,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
29001,291,,,,,,
30002,301,2,,,{25=200},,
30003,301,3,,,{9=5%;10=5%},,
30004,301,4,,,{1=5%},,
30005,301,5,,,{9=5%;10=5%},,
30006,301,6,,,{17=300},,
30007,301,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
30008,301,8,,,{9=10%;10=10%},,
30009,301,9,,,{17=600},,
30010,301,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
30011,301,11,,,{23=1000},,
30012,301,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
31002,311,2,,,{24=200},,
31003,311,3,,,{7=6%;8=6%},,
31004,311,4,,,{1=6%},,
31005,311,5,,,{7=6%;8=6%},,
31006,311,6,,,{24=400},,
31007,311,7,,,{1=12%},\n解锁竞技玩法伤害减免被动技能,
31008,311,8,,,{7=12%;8=12%},,
31009,311,9,,,{24=800},,
31010,311,10,,,{22=1200},\n解锁竞技玩法伤害加成被动技能,
31011,311,11,,,{23=1200},,
31012,311,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
32002,321,2,,,{25=200},,
32003,321,3,,,{9=6%;10=6%},,
32004,321,4,,,{1=6%},,
32005,321,5,,,{9=6%;10=6%},,
32006,321,6,,,{27=400},,
32007,321,7,,,{1=12%},\n解锁竞技玩法伤害减免被动技能,
32008,321,8,,,{9=12%;10=12%},,
32009,321,9,,,{27=800},,
32010,321,10,,,{22=1200},\n解锁竞技玩法伤害加成被动技能,
32011,321,11,,,{23=1200},,
32012,321,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
33002,331,2,,,{24=200},,
33003,331,3,,,{7=6%;8=6%},,
33004,331,4,,,{1=6%},,
33005,331,5,,,{7=6%;8=6%},,
33006,331,6,,,{5=400},,
33007,331,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
33008,331,8,,,{7=12%;8=12%},,
33009,331,9,,,{5=800},,
33010,331,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
33011,331,11,,,{23=1200},,
33012,331,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
34002,341,2,,,{24=200},,
34003,341,3,,,{7=5%;8=5%},,
34004,341,4,,,{1=5%},,
34005,341,5,,,{7=5%;8=5%},,
34006,341,6,,,{11=300},,
34007,341,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
34008,341,8,,,{7=10%;8=10%},,
34009,341,9,,,{11=600},,
34010,341,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
34011,341,11,,,{23=1000},,
34012,341,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
35002,351,2,,,{24=200},,
35003,351,3,,,{7=5%;8=5%},,
35004,351,4,,,{1=5%},,
35005,351,5,,,{7=5%;8=5%},,
35006,351,6,,,{14=300},,
35007,351,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
35008,351,8,,,{7=10%;8=10%},,
35009,351,9,,,{14=600},,
35010,351,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
35011,351,11,,,{23=1000},,
35012,351,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
36001,361,,,,,,
37002,371,2,,,{25=200},,
37003,371,3,,,{9=5%;10=5%},,
37004,371,4,,,{1=5%},,
37005,371,5,,,{7=5%;8=5%},,
37006,371,6,,,{27=300},,
37007,371,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
37008,371,8,,,{9=10%;10=10%},,
37009,371,9,,,{27=600},,
37010,371,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
37011,371,11,,,{23=1000},,
37012,371,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
38002,381,2,,,{25=200},,
38003,381,3,,,{9=6%;10=6%},,
38004,381,4,,,{1=6%},,
38005,381,5,,,{9=6%;10=6%},,
38006,381,6,,,{27=400},,
38007,381,7,,,{1=12%},\n解锁竞技玩法伤害减免被动技能,
38008,381,8,,,{9=12%;10=12%},,
38009,381,9,,,{27=800},,
38010,381,10,,,{22=1200},\n解锁竞技玩法伤害加成被动技能,
38011,381,11,,,{23=1200},,
38012,381,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
39002,391,2,,,{24=200},,
39003,391,3,,,{7=6%;8=6%},,
39004,391,4,,,{1=6%},,
39005,391,5,,,{9=6%;10=6%},,
39006,391,6,,,{5=400},,
39007,391,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
39008,391,8,,,{7=12%;8=12%},,
39009,391,9,,,{5=800},,
39010,391,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
39011,391,11,,,{23=1200},,
39012,391,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
40002,401,2,,,{25=200},,
40003,401,3,,,{9=6%;10=6%},,
40004,401,4,,,{1=6%},,
40005,401,5,,,{9=6%;10=6%},,
40006,401,6,,,{25=400},,
40007,401,7,,,{1=12%},\n解锁竞技玩法伤害减免被动技能,
40008,401,8,,,{9=12%;10=12%},,
40009,401,9,,,{25=800},,
40010,401,10,,,{22=1200},\n解锁竞技玩法伤害加成被动技能,
40011,401,11,,,{23=1200},,
40012,401,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
41002,411,2,,,{24=200},,
41003,411,3,,,{7=6%;8=6%},,
41004,411,4,,,{1=6%},,
41005,411,5,,,{9=6%;10=6%},,
41006,411,6,,,{90=400},,
41007,411,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
41008,411,8,,,{7=12%;8=12%},,
41009,411,9,,,{90=800},,
41010,411,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
41011,411,11,,,{23=1200},,
41012,411,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
42001,421,,,,,,
43002,431,2,,,{24=200},,
43003,431,3,,,{7=6%;8=6%},,
43004,431,4,,,{1=6%},,
43005,431,5,,,{7=6%;8=6%},,
43006,431,6,,,{24=400},,
43007,431,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
43008,431,8,,,{7=12%;8=12%},,
43009,431,9,,,{24=800},,
43010,431,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
43011,431,11,,,{23=1200},,
43012,431,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
44002,441,2,,,{24=200},,
44003,441,3,,,{7=6%;8=6%},,
44004,441,4,,,{1=6%},,
44005,441,5,,,{7=6%;8=6%},,
44006,441,6,,,{24=400},,
44007,441,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
44008,441,8,,,{7=12%;8=12%},,
44009,441,9,,,{24=800},,
44010,441,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
44011,441,11,,,{23=1200},,
44012,441,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
45002,451,2,,,{24=200},,
45003,451,3,,,{7=5%;8=5%},,
45004,451,4,,,{1=5%},,
45005,451,5,,,{9=5%;10=5%},,
45006,451,6,,,{90=300},,
45007,451,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
45008,451,8,,,{7=10%;8=10%},,
45009,451,9,,,{90=600},,
45010,451,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
45011,451,11,,,{23=1000},,
45012,451,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
46002,461,2,,,{24=200},,
46003,461,3,,,{7=5%;8=5%},,
46004,461,4,,,{1=5%},,
46005,461,5,,,{7=5%;8=5%},,
46006,461,6,,,{11=300},,
46007,461,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
46008,461,8,,,{7=10%;8=10%},,
46009,461,9,,,{11=600},,
46010,461,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
46011,461,11,,,{23=1000},,
46012,461,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
47002,471,2,,,{25=200},,
47003,471,3,,,{9=5%;10=5%},,
47004,471,4,,,{1=5%},,
47005,471,5,,,{9=5%;10=5%},,
47006,471,6,,,{27=300},,
47007,471,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
47008,471,8,,,{9=10%;10=10%},,
47009,471,9,,,{27=600},,
47010,471,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
47011,471,11,,,{23=1000},,
47012,471,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
48002,481,2,,,{25=200},,
48003,481,3,,,{9=5%;10=5%},,
48004,481,4,,,{1=5%},,
48005,481,5,,,{7=5%;8=5%},,
48006,481,6,,,{27=300},,
48007,481,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
48008,481,8,,,{9=10%;10=10%},,
48009,481,9,,,{27=600},,
48010,481,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
48011,481,11,,,{23=1000},,
48012,481,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
49002,491,2,,,{25=200},,
49003,491,3,,,{9=6%;10=6%},,
49004,491,4,,,{1=6%},,
49005,491,5,,,{9=6%;10=6%},,
49006,491,6,,,{16=400},,
49007,491,7,,,{1=12%},\n解锁竞技玩法伤害减免被动技能,
49008,491,8,,,{9=12%;10=12%},,
49009,491,9,,,{16=800},,
49010,491,10,,,{22=1200},\n解锁竞技玩法伤害加成被动技能,
49011,491,11,,,{23=1200},,
49012,491,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
50002,501,2,,,{25=200},,
50003,501,3,,,{7=6%;8=6%},,
50004,501,4,,,{1=6%},,
50005,501,5,,,{9=6%;10=6%},,
50006,501,6,,,{28=400},,
50007,501,7,,,{1=12%},\n解锁竞技玩法伤害减免被动技能,
50008,501,8,,,{7=12%;8=12%},,
50009,501,9,,,{28=800},,
50010,501,10,,,{22=1200},\n解锁竞技玩法伤害加成被动技能,
50011,501,11,,,{23=1200},,
50012,501,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
51001,511,,,,,,
52001,521,,,,,,
53001,531,,,,,,
54002,541,2,,,{25=200},,
54003,541,3,,,{9=5%;10=5%},,
54004,541,4,,,{1=5%},,
54005,541,5,,,{7=5%;8=5%},,
54006,541,6,,,{91=300},,
54007,541,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
54008,541,8,,,{9=10%;10=10%},,
54009,541,9,,,{91=600},,
54010,541,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
54011,541,11,,,{23=1000},,
54012,541,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
55002,551,2,,,{25=200},,
55003,551,3,,,{9=5%;10=5%},,
55004,551,4,,,{1=5%},,
55005,551,5,,,{7=5%;8=5%},,
55006,551,6,,,{91=300},,
55007,551,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
55008,551,8,,,{9=10%;10=10%},,
55009,551,9,,,{91=600},,
55010,551,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
55011,551,11,,,{23=1000},,
55012,551,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
55602,5561,2,,,{25=300},,
55603,5561,3,,,{9=8%;10=8%},,
55604,5561,4,,,{1=8%},,
55605,5561,5,,,{7=8%;8=8%},,
55606,5561,6,,,{25=500},,
55607,5561,7,,,{1=15%},\n解锁竞技玩法伤害减免被动技能,
55608,5561,8,,,{9=15%;10=15%},,
55609,5561,9,,,{25=1000},,
55610,5561,10,,,{96=1500},\n解锁竞技玩法伤害加成被动技能,
55611,5561,11,,,{97=1500},,
55612,5561,12,,,{1=15%;7=15%;8=15%;9=15%;10=15%;13=15%},,
56002,561,2,,,{25=200},,
56003,561,3,,,{9=6%;10=6%},,
56004,561,4,,,{1=6%},,
56005,561,5,,,{7=6%;8=6%},,
56006,561,6,,,{27=400},,
56007,561,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
56008,561,8,,,{9=12%;10=12%},,
56009,561,9,,,{27=800},,
56010,561,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
56011,561,11,,,{23=1200},,
56012,561,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
57002,571,2,,,{24=200},,
57003,571,3,,,{7=6%;8=6%},,
57004,571,4,,,{1=6%},,
57005,571,5,,,{7=6%;8=6%},,
57006,571,6,,,{24=400},,
57007,571,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
57008,571,8,,,{7=12%;8=12%},,
57009,571,9,,,{24=800},,
57010,571,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
57011,571,11,,,{23=1200},,
57012,571,12,,,{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%},,
58001,581,,,,,,
59002,591,2,,,{24=200},,
59003,591,3,,,{7=6%;8=6%},,
59004,591,4,,,{1=6%},,
59005,591,5,,,{7=6%;8=6%},,
59006,591,6,,,{24=400},,
59007,591,7,,,{1=12%},\n解锁竞技玩法伤害加成被动技能,
59008,591,8,,,{7=12%;8=12%},,
59009,591,9,,,{24=800},,
59010,591,10,,,{22=1200},\n解锁竞技玩法伤害减免被动技能,
59011,591,11,,,{23=1200},,
