变量名,fightPointRate,groupKey,buffValueRate,buffProbRate,attr,excludeBuffID,combatPowerLimit,combatPowerLimit_tw,combatPowerLimit_en,combatPowerLimit_kr
18,<0.3;0.2>,c.kongzhis(),,-0.04,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
19,<0.2;0.1>,c.kongzhis(),,-0.045,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
20,<0.1;0>,c.kongzhis(),,-0.05,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
1001,<1;0.9>,c.debuffs_gabuffs(),,,{block=0;strike=0},,{},,,
1002,<0.9;0.8>,c.debuffs_gabuffs(),0.9,-0.01,{block=-400;finalDamageDeepen=500;finalDamageReduce=500;strike=-400},,{},,,
1003,<0.8;0.7>,c.debuffs_gabuffs(),0.8,-0.015,{block=-600;finalDamageDeepen=1000;finalDamageReduce=1000;strike=-600},,{},,,
1004,<0.7;0.6>,c.debuffs_gabuffs(),0.7,-0.025,{block=-1250;damageDeepen=1000;damageReduce=1000;finalDamageDeepen=1000;finalDamageReduce=1000;strike=-1250},,{},,,
1005,<0.6;0.5>,c.debuffs_gabuffs(),0.6,-0.04,{block=-1750;damageDeepen=1750;damageReduce=1750;finalDamageDeepen=1750;finalDamageReduce=1750;strike=-1750},,{},,,
1006,<0.5;0.4>,c.debuffs_gabuffs(),0.5,-0.05,{block=-2500;damageDeepen=2500;damageReduce=2500;finalDamageDeepen=2500;finalDamageReduce=2500;strike=-2500},,{},,,
1007,<0.4;0.3>,c.debuffs_gabuffs(),0.4,-0.075,{block=-4000;damageDeepen=4000;damageReduce=4000;finalDamageDeepen=4000;finalDamageReduce=4000;strike=-4000},,{},,,
1008,<0.3;0.2>,c.debuffs_gabuffs(),0.3,-0.1,{block=-6000;damageDeepen=6000;damageReduce=6000;finalDamageDeepen=6000;finalDamageReduce=6000;strike=-6000},,{},,,
1009,<0.2;0.1>,c.debuffs_gabuffs(),0.2,-0.1,{block=-8000;damageDeepen=8000;damageReduce=8000;finalDamageDeepen=8000;finalDamageReduce=8000;strike=-8000},,{},,,
1010,<0.1;0>,c.debuffs_gabuffs(),0.15,-0.1,{block=-10000;damageDeepen=10000;damageReduce=10000;finalDamageDeepen=10000;finalDamageReduce=10000;strike=-10000},,{},,,
1011,<1;0.9>,c.kongzhis(),,,,,{},,,
1012,<0.9;0.8>,c.kongzhis(),,-0.01,,,{},,,
1013,<0.8;0.7>,c.kongzhis(),,-0.015,,,{},,,
1014,<0.7;0.6>,c.kongzhis(),,-0.02,,,{},,,
1015,<0.6;0.5>,c.kongzhis(),,-0.025,,,{},,,
1016,<0.5;0.4>,c.kongzhis(),,-0.03,,,{},,,
1017,<0.4;0.3>,c.kongzhis(),,-0.035,,,{},,,
1018,<0.3;0.2>,c.kongzhis(),,-0.04,,,{},,,
1019,<0.2;0.1>,c.kongzhis(),,-0.045,,,{},,,
1020,<0.1;0>,c.kongzhis(),,-0.05,,,{},,,
