变量名,skillName,_beizhu,skillTypeShow,describe,describe1,simDesc,starEffect,starEffectDesc,starEffectDesc1,zawakeEffect,zawakeEffectDesc,zawakeEffectDesc1,zawakeStarEffectDesc1,zawakeSimpleType,zawakeSimpleDesc,upLvDesc,iconRes,isGlobal,changeUnitTrigger,isCombat,alwaysEffective,passivePriority,skillType,skillType2,skillDamageType,skillNatureType,skillPower,skillHit,weather,cdRound,startRound,passiveStartRound,passiveTriggerType,passiveTriggerArg,posChoose,moveTime,specialChoose,hitFormula,hintTargetType,hintChoose,specialHintChoose,autoHintChoose,targetTypeDesc,targetChooseType,_attacktest,damageFormula,_damageFormula,hpFormula,skillCalDamageProcessId,diffSkillCalDmgProcessId,skillProcess,passiveSkillAttrs,activeType,activeCondition,fightingPoint,costMp1,costMp1Args,recoverMp1,widgetEffects,hurtMp1,costID,posC,chargeArgs,skillArgs,conditionValue,spineAction,flashBack,cameraNear,cameraNear_posC,cameraNear_blankTime,cameraNear_scaleArgs,blankTime,scaleArgs,effectBigName,effectBigPos,effectBigFlip,notShowProcedure,hurtPos,sound,allEffectTime,descGray,keyWords,zawakeKeyWords,skillPriority,zawakeStarEffectDesc,specialRatio,skillFlag,summonInherit,blockEffect,__version
31,藤鞭,,,,<攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#>,妙蛙花用藤鞭攻击敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，并提升自身5%治疗率，持续2回合},,,#C0x5c9970#提高自身5%治疗率2回合#C0x5B545B#,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,4,,,,,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<311;312>,,,,,,,240,,,,{x=-600;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/miaowahua_attack.mp3},,,,,,,,,,,
32,毒叶快刀,,,,<攻击敌方单体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并有60%概率【眩晕】目标1回合>,妙蛙花飞出叶片，切斩敌方单体目标进行攻击,,,,<79002>,,{1=攻击敌方单体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并有100%概率【眩晕】目标1回合},,,有60%概率【眩晕】目标1回合\n#F20#\n#F40##C0x5c9970#→有100%概率【眩晕】目标1回合#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,8,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36,,,,,<321;322;323>,,,,,,,360,,,2,{x=-600;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/miaowahua_skill1.mp3},,,<【眩晕】>,<【眩晕】>,,,,,,,
33,阳光烈焰,,,,<攻击敌方单体目标，造成#C0x3D8A99#380%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊伤害#C0x5B545B#，并为友方全体添加一枚青藤种子3回合>,妙蛙花积蓄阳光，然后发射强力烈焰攻击敌方单体目标，并为己方全体添加一枚寄生种子治疗友方,<11>,,<额外效果：释放必杀技时立即触发一次青藤种子中的恢复效果>,<79003;1>,,{1=攻击敌方单体目标，造成#C0x3D8A99#370%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊伤害#C0x5B545B#，并为友方全体添加一枚青藤种子3回合},<额外效果：释放必杀技时立即触发一次青藤种子中的恢复效果，并使本次恢复量加倍>,,#C0x5c9970#释放必杀技时立即触发一次青藤种子中的恢复效果#C0x5c9970#→释放必杀技时立即触发一次青藤种子中的恢复效果，并使本次恢复量加倍#C0x5B545B#,固定伤害+240,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,4,,,,,,,,,,,,,,,,,敌方单体,single,,self:specialDamage()*3.8+(self:flag(99) and skillLevel or skillLevel*4)*60,,,,,<331;332;333;334>,,,,,1000,,,,,3,{x=-350;y=100},,,,skill2,,,,7833.3,{delayLast=7833.3;endLast=50;scale=0.88;startLast=50},7833.3,{delayLast=7833.3;endLast=50;scale=0.88;startLast=50},<img_3_mwh@>,,,,,{loop=0;delay=0;res=hero_sound/miaowahua_skill2.mp3},,,,,,,,,,,
36,生芽,,,,<{title=生芽};自身回合结束后，为己方随机一个精灵添加青藤种子3回合（青藤种子：增益效果，每回合前回复自身#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#特攻的生命值）>,,<8>,,<<>;效果强化：青藤种子回复量提升10%>,<79004>,,{1={title=生芽};2=自身回合结束后，为己方随机一个精灵添加青藤种子3回合（青藤种子：增益效果，每回合前回复自身#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#特攻的生命值），有30%概率给自己也添加一个青藤种子3回合},<<>;效果强化：青藤种子回复量提升10%>,,#C0x5c9970#有30%概率给自己也添加一个【青藤种子】3回合#C0x5B545B#,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,9,0,5,,,,,,,,,,,,,,,,<361;362>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,藤鞭,,,,<攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【双防Ⅰ】2回合>,妙蛙花用藤鞭攻击敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0x3D8A99#110%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【双防Ⅰ】2回合；攻击后，自身恢复100%双防之和的生命值},,,#C0x5c9970#基础伤害系数提升至110%，攻击后，自身恢复100%双防之和的生命值,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,4,,,,,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*(self:flagZ1() and 1.1 or 1)+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<411;412;413>,,,,,,,240,,,,{x=-430;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/miaowahuam_atk.mp3},,,<【双防Ⅰ】>,<【双防Ⅰ】>,,,,,,,
42,毒粉,,,,<攻击敌方单体目标，造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【治疗率Ⅰ】2回合，令目标获得1层【中毒Ⅰ】，持续3回合>,妙蛙花飞出叶片，切斩敌方单体目标进行攻击,,,,<79002>,,{1=攻击敌方单体目标，造成#C0x3D8A99#180%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，自身获得【治疗率Ⅰ】2回合，令目标获得2层【中毒Ⅰ】，持续3回合},,,#C0x5c9970#基础伤害系数提升至180%，令目标额外获得1层【中毒Ⅰ】，持续3回合,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,8,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*(self:flagZ2() and 1.8 or 1.6)+(self:flag(99) and skillLevel or skillLevel*4)*36,,,,,<421;422;423>,,,,,,,360,,,2,{x=-450;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/miaowahuam_skill1.mp3},,,<【治疗率Ⅰ】;【中毒Ⅰ】>,<【治疗率Ⅰ】;【中毒Ⅰ】>,,,,,,,
43,阳光烈焰,,,,<攻击敌方列排目标，造成#C0x3D8A99#260%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊伤害#C0x5B545B#，为自身恢复#C0x5c9970#$(150+skillLevel*0.3-0.3)$%#C0x5B545B#双防之和的生命值，并为主目标附着1枚【寄生种子】1回合>,超级妙蛙花用藤鞭击飞敌人，然后收集阳光之力发射光束攻击敌方单体目标，并为己方全体添加一枚寄生种子治疗友方,<11>,,<本次恢复量额外提升20%，并且附着【寄生种子】时，额外令目标获得1层【中毒Ⅰ】，持续3回合>,<79003;1>,,{1=攻击敌方列排目标，造成#C0x3D8A99#270%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊伤害#C0x5B545B#，为自身恢复#C0x5c9970#$(150+skillLevel*0.3-0.3)$%#C0x5B545B#双防之和的生命值，并为主目标附着1枚【寄生种子】1回合；令额外1名敌方附着【寄生种子】，额外令目标获得1层【中毒Ⅰ】3回合；前三次释放必杀技时，令自身释放的【寄生种子】效果延长1回合},<本次恢复量额外提升20%，并且附着【寄生种子】时，额外令目标获得1层【中毒Ⅰ】，持续3回合>,,#C0x5c9970#基础伤害系数提升至270%，令额外1名敌方附着【寄生种子】，额外令目标获得1层【中毒Ⅰ】3回合；前三次释放必杀技时，令自身释放的【寄生种子】效果延长1回合,固定伤害+240,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,4,,,,,,,,,,,,,,,,,敌方列排,column,,self:specialDamage()*(self:flagZ3() and 2.7 or 2.6)+(self:flag(99) and skillLevel or skillLevel*4)*60,,,,,<431;432;433;434;435;436>,,,,,1000,,,,,3,{x=-40;y=80},,,,skill2,,,,12166.6,{delayLast=12166.6;endLast=50;scale=0.88;startLast=50},12166.6,{delayLast=12166.6;endLast=50;scale=0.88;startLast=50},<img_3_cjmwh@>,,,,,{loop=0;delay=0;res=hero_sound/miaowahuam_skill2.mp3},,,<【寄生种子】;【中毒Ⅰ】>,<【寄生种子】;【中毒Ⅰ】>,,,,,,,
46,生芽,,,,<{title=生芽};#L10#毒性皮肤：#L0#受到主动攻击时，表皮毒液可令自身恢复#C0x5c9970#$(100+skillLevel*0.2-0.2)$%#C0x5B545B#双防之和的生命值（每回合3次）；并且令攻击目标获得1层【中毒Ⅰ】3回合>,,<6;8>,,<<<>;#L10#厚脂肪：#L0#受到属性克制攻击时，自身受到的伤害减少#C0x5c9970#$(15+skillLevel*0.075-0.075)$%#C0x5B545B#；附带毒素效果的目标，对自身伤害额外降低15%>;<<>;#L10#生命活力：#L0#自身血量每降低3%，双防和治疗率提升1%；血量首次低于30%时，恢复100%最大血量>>,<79004>,,{1={title=生芽};2=#L10#毒性皮肤：#L0#受到主动攻击时，表皮毒液可令自身恢复#C0x5c9970#$(100+skillLevel*0.2-0.2)$%#C0x5B545B#双防之和的生命值（每回合3次）；并且令攻击目标获得1层【中毒Ⅰ】3回合；首次低于30%血量时，为己方所有草/毒系队友恢复超级妙蛙花200%双防之和的生命值},<<<>;#L10#厚脂肪：#L0#受到属性克制攻击时，自身受到的伤害减少#C0x5c9970#$(15+skillLevel*0.075-0.075)$%#C0x5B545B#；附带毒素效果的目标，对自身伤害额外降低15%>;<<>;#L10#生命活力：#L0#自身血量每降低3%，双防和治疗率提升1%；血量首次低于30%时，恢复100%最大血量>>,,首次低于30%血量时，为己方所有草/毒系队友恢复超级妙蛙花200%双防之和的生命值,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,9,0,5,,,,,,,,,,,,,,,,<461;462;463;464>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<【中毒Ⅰ】>,<【中毒Ⅰ】>,,,,,,,
111,火焰拳,,,,<攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#>,小火龙跳跃至目标前，用火焰拳攻击敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，并提升10%特攻2回合},,,#C0x5c9970#提升10%特攻2回合,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,2,,,,,,,,,1,,,,,,,,敌方单体,single,,"(self:specialDamage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24)*((target:hasBuffGroup(1500,1510,1520) and skillLv(116, 126, 136)) and (1.2+(skillLv(116, 126, 136) or 0) * 0.001-0.001) or 1)",,,111,,<1111;1112>,,,,,,,240,,,,{x=-250;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/xiaohuolong_attack.mp3},,,,,,,,,,,
112,火焰风车,,,,<攻击敌方单体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并提升自身10%速度与10%特攻，持续2回合>,小火龙甩动火焰尾巴攻击敌方单体目标,,,,<79002>,,{1=攻击敌方单体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并提升自身10%速度与10%特攻，持续2回合，并有50%几率附带一层【灼烧Ⅰ】},,,#C0x5c9970#并有50%几率附带一层【灼烧】,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,2,,,,2,,,,,1,,,,,,,,敌方单体,single,,"(self:specialDamage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36)*((target:hasBuffGroup(1500,1510,1520) and skillLv(116, 126, 136)) and (1.2+(skillLv(116, 126, 136) or 0) * 0.001-0.001) or 1)",,,111,,<1121;1122;1123>,,,,,,,360,,,2,{x=-350;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/xiaohuolong_skill1.mp3},,,,<【灼烧Ⅰ】>,,,,,,,
