变量名,_comment,weightList,cardWeightMap,specialWeightMap
13,无尽塔随机库5,<<5007;100;1>;<5008;100;1>>,,
14,无尽塔随机库6,<<5009;100;1>;<5010;100;1>>,,
15,无尽塔随机库7,<<5011;100;1>;<5012;100;1>>,,
16,无尽塔随机库8,<<5013;100;1>;<5014;100;1>>,,
20,魂匣测试2,<<11;100;1>;<12;100;1>;<13;100;1>;<14;100;1>;<15;100;1>;<16;100;1>>,,
21,魂匣测试2,<<21893;10;1>;<20001;100;1>;<20011;100;1>;<20021;100;1>>,,
22,魂匣测试2,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=1893};100>>,
23,魂匣测试1,<<11;100;1>;<12;100;1>;<13;100;1>;<14;100;1>;<15;100;1>;<16;100;1>>,,
24,魂匣测试1,<<23631;10;1>;<22231;10;1>;<20001;100;1>;<20011;100;1>;<20021;100;1>>,,
25,魂匣测试1,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=3631};100>;<{id=2233};100>>,
30,限定抽卡1,,<<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>>,
31,限定抽卡2,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=41};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};0>;<{id=191};100>;<{id=231};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=351};100>;<{id=371};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=541};100>;<{id=551};100>;<{id=691};0>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=891};100>;<{id=1081};0>;<{id=1351};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};0>;<{id=2611};0>;<{id=2631};100>;<{id=2681};0>;<{id=2871};100>;<{id=2891};0>;<{id=2921};100>;<{id=2922};100>;<{id=2961};0>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};0>;<{id=3561};100>>,
32,限定抽卡3,,<<{id=1811};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>>,
33,限定抽卡4,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=41};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};0>;<{id=191};100>;<{id=231};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=351};100>;<{id=371};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=541};100>;<{id=551};100>;<{id=691};0>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=891};100>;<{id=1081};0>;<{id=1351};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};0>;<{id=2611};0>;<{id=2631};100>;<{id=2681};0>;<{id=2871};100>;<{id=2891};0>;<{id=2921};100>;<{id=2922};100>;<{id=2961};0>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};0>;<{id=3561};100>>,
34,限定抽卡5,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>>,
35,限定抽卡6,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=41};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};0>;<{id=191};100>;<{id=231};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=351};100>;<{id=371};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=541};100>;<{id=551};100>;<{id=691};0>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=891};100>;<{id=1081};0>;<{id=1351};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};0>;<{id=2611};0>;<{id=2631};100>;<{id=2681};0>;<{id=2871};100>;<{id=2891};0>;<{id=2921};100>;<{id=2922};100>;<{id=2961};0>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};0>;<{id=3561};100>>,
100,随机经验药水,<<11;100;1>;<12;100;1>;<13;100;1>;<14;100;1>;<15;100;1>;<16;100;1>>,,
101,随机经验药水,<<11;50;1>;<12;60;1>;<13;70;1>;<14;80;1>;<15;90;1>;<16;100;1>>,,
102,随机经验药水,<<11;100;5>;<12;100;4>;<13;100;3>;<14;100;2>;<15;100;1>>,,
110,110-无尽之塔培养初级代币,<<451;150;1>;<451;50;2>;<none;800;1>>,,
111,111-无尽之塔高级培养代币,<<452;20;2>;<none;480;1>>,,
112,112-无尽之塔道具库,<<606;30;1>;<609;10;1>;<612;30;1>;<615;10;1>;<618;30;1>;<621;10;1>;<607;30;1>;<610;10;1>;<613;30;1>;<616;10;1>;<619;30;1>;<622;10;1>;<5000;50;3>;<12;30;5>;<13;20;3>;<14;10;1>;<19;10;1>;<none;1500;0>>,,
120,随机突破材料,<<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5006;100;1>>,,
121,随机突破材料,<<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
122,随机突破材料,<<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
123,随机突破材料,<<5025;100;1>;<5026;100;1>;<5027;100;1>;<5028;100;1>;<5029;100;1>;<5030;100;1>;<5031;100;1>;<5032;100;1>;<5033;100;1>;<5034;100;1>;<5035;100;1>;<5036;100;1>>,,
130,130-主城精灵奖励库,<<gold;100;10000>;<gold;75;20000>;<gold;75;30000>;<gold;10;50000>;<5000;100;3>;<5000;50;5>;<5000;20;10>;<930;100;3>;<930;50;5>;<930;20;10>;<12;100;10>;<13;50;5>;<14;20;2>;<100;100;1>;<100;50;2>;<100;20;3>;<2101;50;3>;<2101;20;5>;<2102;10;2>>,,
131,百变怪奖励,<<rmb;10;50>;<rmb;10;100>>,,
132,谜拟Q奖励,<<rmb;50;10>;<rmb;50;20>;<rmb;50;30>>,,
135,135-在线礼包奖励库,<<gold;100;10000>;<gold;75;20000>;<gold;75;50000>;<gold;42;100000>;<5000;100;5>;<5000;50;10>;<5000;20;20>;<930;100;5>;<930;50;10>;<930;20;20>;<12;100;10>;<13;50;5>;<14;20;2>;<502;3;1>;<501;3;1>;<rmb;50;10>;<rmb;90;20>;<rmb;40;50>;<rmb;5;100>;<503;10;1>;<451;50;10>;<452;30;5>;<19;5;1>>,,
136,136-主城精灵解冻奖励库,<<gold;80;100000>;<gold;60;200000>;<gold;60;300000>;<talent_point;40;1>;<5000;50;10>;<5000;50;15>;<5000;45;20>;<930;50;10>;<930;50;15>;<930;50;20>;<901;50;5>;<902;50;5>;<519;20;1>;<501;20;1>;<503;20;2>;<rmb;50;18>;<rmb;80;28>;<rmb;35;58>;<rmb;10;108>;<2102;50;3>;<2103;40;2>;<500;25;1>;<515;15;1>;<100;50;2>>,,
150,150-饰品升星库,<<501;100;1>>,,
151,151-饰品觉醒库,<<200;100;1>;<201;100;1>;<202;100;1>;<203;100;1>;<204;100;1>;<205;100;1>;<210;100;1>;<211;100;1>;<212;100;1>;<213;100;1>;<214;100;1>;<215;100;1>;<220;100;1>;<221;100;1>;<222;100;1>;<223;100;1>;<224;100;1>;<225;100;1>;<230;100;1>;<231;100;1>;<232;100;1>;<233;100;1>;<234;100;1>;<235;100;1>>,,
152,152-携带道具升级材料,<<2101;100;1>;<2102;80;1>;<2103;60;1>>,,
153,153-饰品抽卡杂项资料库,<<451;100;5>;<452;100;2>;<451;80;10>;<452;50;5>;<19;30;1>;<850;100;10>;<851;30;3>;<850;50;20>;<851;15;6>>,,
154,154-饰品抽卡金币库,<<gold;30;50000>;<gold;20;100000>;<gold;50;30000>>,,
160,160-抽卡绿色携带道具库,<<30101;100;1>;<30102;100;1>;<30103;100;1>;<30104;100;1>;<30105;100;1>;<30106;100;1>>,,
161,161-抽卡蓝色携带道具库,<<30201;100;1>;<30202;100;1>;<30203;100;1>;<30204;100;1>;<30205;100;1>;<30206;100;1>;<30207;100;1>;<30208;100;1>;<30209;100;1>;<31201;100;1>;<31202;100;1>>,,
162,162-抽卡紫色携带道具库,<<30301;100;1>;<30302;100;1>;<30303;100;1>;<30304;100;1>;<30305;100;1>;<30306;100;1>;<30307;150;1>;<30308;150;1>;<30309;150;1>;<30310;150;1>;<30311;150;1>;<30312;150;1>;<30313;100;1>;<30314;100;1>;<30315;100;1>;<30316;100;1>;<30317;100;1>>,,
170,170-探险器绿色库,<<4011;100;1>;<4012;100;1>;<4013;100;1>;<4021;100;1>;<4022;100;1>;<4023;100;1>>,,
171,171-探险器蓝色库,<<4031;100;1>;<4032;100;1>;<4033;100;1>;<4034;0;1>;<4041;100;1>;<4042;100;1>;<4043;100;1>;<4044;0;1>;<4051;100;1>;<4052;100;1>;<4053;100;1>;<4054;0;1>>,,
172,172-探险器紫色库,<<4061;100;1>;<4062;100;1>;<4063;100;1>;<4064;100;1>;<4065;0;1>;<4071;100;1>;<4072;100;1>;<4073;100;1>;<4074;100;1>;<4075;0;1>>,,
173,173-探险器橙色库,<<4081;100;1>;<4082;100;1>;<4083;100;1>;<4084;100;1>;<4085;100;1>;<4086;0;1>;<4091;0;1>;<4092;100;1>;<4093;100;1>;<4094;100;1>;<4095;100;1>;<4096;100;1>>,,
175,175-探险器升级材料库,<<4000;100;10>;<4000;100;15>;<4000;50;30>;<4000;25;50>>,,
180,180-探险器绿色必出1库,<<4011;100;1>;<4012;0;1>;<4013;0;1>;<4021;0;1>;<4022;0;1>;<4023;0;1>>,,
181,181-探险器绿色必出2库,<<4011;0;1>;<4012;100;1>;<4013;0;1>;<4021;0;1>;<4022;0;1>;<4023;0;1>>,,
182,182-探险器绿色必出2库,<<4011;0;1>;<4012;0;1>;<4013;100;1>;<4021;0;1>;<4022;0;1>;<4023;0;1>>,,
190,190-饰品觉醒护符随机库,<<200;100;1>;<201;100;1>;<202;100;1>;<203;100;1>;<204;100;1>;<205;100;1>>,,
191,191-饰品觉醒耳环随机库,<<210;100;1>;<211;100;1>;<212;100;1>;<213;100;1>;<214;100;1>;<215;100;1>>,,
192,192-饰品觉醒戒指随机库,<<220;100;1>;<221;100;1>;<222;100;1>;<223;100;1>;<224;100;1>;<225;100;1>>,,
193,193-饰品觉醒项链随机库,<<230;100;1>;<231;100;1>;<232;100;1>;<233;100;1>;<234;100;1>;<235;100;1>>,,
201,201-钻石抽卡S级卡牌库,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};100>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};100>;<{id=3591};100>;<{id=711};100>;<{id=2401};100>;<{id=641};100>;<{id=3771};100>;<{id=3841};100>;<{id=1941};100>;<{id=1951};100>;<{id=1031};100>;<{id=4131};60>;<{id=3251};60>;<{id=3161};60>;<{id=3171};60>;<{id=3181};60>;<{id=861};60>;<{id=381};60>;<{id=501};60>;<{id=611};60>;<{id=3191};60>;<{id=3201};60>;<{id=3231};60>;<{id=3681};60>;<{id=3961};40>;<{id=2411};40>;<{id=4081};40>>,
202,202-钻石抽卡AB级卡牌库,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=41};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};100>;<{id=191};100>;<{id=231};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=351};100>;<{id=371};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=541};100>;<{id=551};100>;<{id=691};100>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=891};100>;<{id=1351};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};100>;<{id=2611};100>;<{id=2631};100>;<{id=2681};100>;<{id=2871};100>;<{id=2891};100>;<{id=2921};100>;<{id=2922};100>;<{id=2961};100>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};100>;<{id=3561};100>;<{id=1851};100>;<{id=2841};100>;<{id=221};100>;<{id=151};100>;<{id=341};100>;<{id=1801};100>;<{id=1641};100>;<{id=211};25>>,
203,203-钻石免费首冲卡牌库,,<<{id=301;character=5;nvalue={hp=15;speed=12;damage=12;defence=15;specialDamage=12;specialDefence=15}};100>>,
204,204-钻石单抽首抽卡A级卡牌库,,<<{id=1};0>;<{id=11};0>;<{id=21};0>;<{id=51};100>;<{id=91};0>;<{id=131};100>;<{id=271};100>;<{id=281};100>;<{id=301};0>;<{id=371};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=551};100>;<{id=691};100>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};100>;<{id=2611};100>;<{id=2631};100>;<{id=2681};100>;<{id=2871};100>;<{id=2891};100>;<{id=2921};100>;<{id=2922};100>;<{id=2961};100>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};100>;<{id=1851};100>;<{id=2841};100>;<{id=221};100>;<{id=151};100>;<{id=341};100>;<{id=1801};100>;<{id=1641};100>;<{id=211};25>>,
205,205-钻石抽卡A级卡牌库,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=51};100>;<{id=91};100>;<{id=131};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=371};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=551};100>;<{id=691};100>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};100>;<{id=2611};100>;<{id=2631};100>;<{id=2681};100>;<{id=2871};100>;<{id=2891};100>;<{id=2921};100>;<{id=2922};100>;<{id=2961};100>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};100>;<{id=1851};100>;<{id=2841};100>;<{id=221};100>;<{id=151};100>;<{id=341};100>;<{id=1801};100>;<{id=1641};100>;<{id=211};25>>,
206,206-钻石抽卡B级卡牌库,,<<{id=31};100>;<{id=41};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=171};100>;<{id=191};100>;<{id=231};100>;<{id=351};100>;<{id=451};100>;<{id=541};100>;<{id=891};100>;<{id=1351};100>;<{id=3561};100>>,
207,207-钻石抽卡首抽S级卡牌库特殊处理,,<<{id=261};100>;<{id=331};100>;<{id=391};0>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};0>;<{id=721};0>;<{id=731};0>;<{id=741};0>;<{id=881};100>;<{id=1071};100>;<{id=1171};100>;<{id=1221};0>;<{id=1231};0>;<{id=1241};0>;<{id=1251};0>;<{id=1291};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};0>;<{id=3021};0>;<{id=3141};100>;<{id=3351};0>;<{id=3541};100>;<{id=1841};0>;<{id=2821};0>;<{id=3411};0>;<{id=241};100>;<{id=401};100>;<{id=161};0>;<{id=2031};0>;<{id=1911};0>;<{id=1921};0>;<{id=1931};0>;<{id=2471};0>;<{id=3151};0>;<{id=3591};0>;<{id=711};0>;<{id=2401};0>;<{id=641};0>;<{id=3771};0>;<{id=3841};0>;<{id=1941};0>;<{id=1951};0>;<{id=1031};0>;<{id=4131};0>;<{id=3251};0>;<{id=3161};0>;<{id=3171};0>;<{id=3181};0>;<{id=861};0>;<{id=381};0>;<{id=501};0>;<{id=611};0>;<{id=3191};0>;<{id=3201};0>;<{id=3231};0>;<{id=3681};0>;<{id=3961};0>;<{id=2411};0>;<{id=4081};0>>,
210,210-钻石抽卡精灵碎片库(废),<<20001;100;1>;<20011;100;1>;<20021;100;1>;<20041;100;1>;<20051;100;1>;<20061;100;1>;<20071;100;1>;<20081;100;1>;<20091;100;1>;<20101;100;1>;<20131;100;1>;<20261;50;1>;<20271;100;1>;<20301;100;1>;<20331;100;1>;<20391;100;1>;<20451;100;1>;<20471;100;1>;<20481;100;1>;<20551;100;1>;<20571;50;1>;<20591;50;1>;<20601;50;1>;<20631;50;1>;<20691;100;1>;<20721;100;1>;<20731;50;1>;<20741;50;1>;<20751;0;1>;<20771;0;1>;<20791;100;1>;<20891;100;1>;<21171;50;1>;<21221;50;1>;<21231;50;1>;<21241;50;1>;<21251;50;1>;<21291;50;1>;<21351;100;1>;<21421;50;1>;<21611;100;1>;<22011;100;1>;<22271;100;1>;<22481;100;1>;<23281;100;1>;<23291;100;1>;<23301;0;1>;<23471;100;1>;<23541;50;1>>,,
211,211-钻石抽卡随机道具库(废),<<11;0;0>;<12;100;10>;<13;70;5>;<14;0;3>;<5000;100;5>;<5000;50;10>;<100;100;1>;<gold;100;100000>;<gold;100;50000>;<19;200;1>;<800;50;2>;<800;50;2>;<801;50;3>;<801;50;3>>,,
212,211-钻石抽卡礼物道具库(废),<<606;100;2>;<607;100;2>;<608;30;2>;<609;100;2>;<610;100;2>;<611;30;2>;<612;100;2>;<613;100;2>;<614;30;2>;<615;100;2>;<616;100;2>;<617;30;2>;<618;100;2>;<619;100;2>;<620;30;2>;<621;100;2>;<622;100;2>;<623;30;2>>,,
220,220-金币抽卡精灵碎片库,<<20261;50;1>;<20331;50;1>;<20391;50;1>;<20571;50;1>;<20591;50;1>;<20601;50;1>;<20631;50;1>;<20721;50;1>;<20731;50;1>;<20741;50;1>;<20881;50;1>;<21071;50;1>;<21171;50;1>;<21221;50;1>;<21231;50;1>;<21241;50;1>;<21251;50;1>;<21291;50;1>;<21311;0;1>;<21391;50;1>;<21421;50;1>;<21501;50;1>;<21811;50;1>;<22721;0;1>;<23001;50;1>;<23021;50;1>;<23141;50;1>;<23301;0;1>;<23351;50;1>;<23541;50;1>;<20001;75;1>;<20011;75;1>;<20021;75;1>;<20051;75;1>;<20091;75;1>;<20131;75;1>;<20271;75;1>;<20281;75;1>;<20301;75;1>;<20371;75;1>;<20461;75;1>;<20471;75;1>;<20481;75;1>;<20551;75;1>;<20781;75;1>;<20791;75;1>;<20801;75;1>;<21441;75;1>;<21611;75;1>;<21841;75;1>;<21861;75;1>;<22011;75;1>;<22071;75;1>;<22271;75;1>;<22301;75;1>;<22481;75;1>;<22631;75;1>;<22681;75;1>;<22871;75;1>;<23011;75;1>;<23281;75;1>;<23291;75;1>;<23341;75;1>;<23411;75;1>;<23431;75;1>;<23471;75;1>;<23501;75;1>;<20031;100;1>;<20041;100;1>;<20061;100;1>;<20071;100;1>;<20081;100;1>;<20101;100;1>;<20111;100;1>;<20121;100;1>;<20191;100;1>;<20351;100;1>;<20451;100;1>;<20541;100;1>;<21351;100;1>;<23561;100;1>;<20241;50;1>;<22721;50;1>;<22961;75;1>;<23511;75;1>;<21851;75;1>;<22591;75;1>;<20401;50;1>;<23001;50;1>;<22611;100;1>;<22841;100;1>;<20221;100;1>;<20151;100;1>;<22991;50;1>;<20341;100;1>;<23661;50;1>;<21801;100;1>;<20161;50;1>;<22031;50;1>;<20491;50;1>;<22921;75;1>;<22922;75;1>;<20891;100;1>;<20171;100;1>;<20231;100;1>;<21911;50;1>;<21921;50;1>;<21931;50;1>;<22471;50;1>;<23151;50;1>;<23591;50;1>>,,
221,221-金币抽卡随机道具库,<<11;100;5>;<12;100;3>;<13;80;2>;<14;40;2>;<15;20;2>;<11;100;10>;<12;100;10>;<13;80;5>;<14;40;5>;<15;20;2>;<5000;200;2>;<5000;150;5>;<5000;75;10>;<5000;30;20>;<gold;100;10000>;<gold;30;15000>;<100;30;1>>,,
222,222-金币抽卡礼物道具库,<<606;100;1>;<607;30;1>;<608;10;1>;<609;100;1>;<610;30;1>;<611;10;1>;<612;100;1>;<613;30;1>;<614;10;1>;<615;100;1>;<616;30;1>;<617;10;1>;<618;100;1>;<619;30;1>;<620;10;1>;<621;100;1>;<622;30;1>;<623;10;1>>,,
231,231-精灵球S级卡牌库,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};0>;<{id=731};0>;<{id=741};0>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};0>;<{id=1231};0>;<{id=1241};0>;<{id=1251};0>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};0>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=2821};0>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=3001};75>;<{id=2991};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};100>;<{id=3591};100>;<{id=711};100>;<{id=2401};100>;<{id=641};100>;<{id=3771};100>;<{id=3841};100>;<{id=1941};100>;<{id=1951};100>;<{id=1031};100>;<{id=4131};60>;<{id=3251};60>;<{id=3161};60>;<{id=3171};60>;<{id=3181};60>;<{id=861};60>;<{id=381};60>;<{id=501};60>;<{id=611};60>;<{id=3191};60>;<{id=3201};60>;<{id=3231};60>;<{id=3681};60>;<{id=3961};40>;<{id=2411};40>;<{id=4081};40>>,
232,232-精灵球A级卡牌库,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=51};100>;<{id=91};100>;<{id=131};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=371};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=551};100>;<{id=691};100>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};100>;<{id=2611};100>;<{id=2631};100>;<{id=2681};100>;<{id=2871};100>;<{id=2891};100>;<{id=2921};100>;<{id=2922};100>;<{id=2961};100>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};100>;<{id=1851};100>;<{id=2841};100>;<{id=221};100>;<{id=151};100>;<{id=341};100>;<{id=1801};100>;<{id=1641};100>;<{id=211};25>>,
233,233-精灵球B级卡牌库,,<<{id=31};100>;<{id=41};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=171};100>;<{id=191};100>;<{id=231};100>;<{id=351};100>;<{id=451};100>;<{id=541};100>;<{id=891};100>;<{id=1351};100>;<{id=3561};100>>,
