变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,buffFlag,iconShowType,roundInherit,spineEffect,skinEffect,extraOverlayLimit,pointEffect,effectViewArgs,delRefreshMode,rayEffect
486,,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjljd.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
491,,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
492,,,,,defenceIgnore,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
591,,,,,addMp1,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
592,,,,,addMp1,,,2,11,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqjd.png,,,,,,,,,,,,,,,,,,,,,,<2045>,<1;10>,,,,,,,,
593,,,,,specialDefenceIgnore,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
594,,,,,,,,2,,,,,<594>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
595,,,,,strikeDamage,,,,,,,,,,2,3,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1171,,,,,buffDamage,,,2,10101,,,,,,2,5,,,battle/buff_icon/logo_zs.png,,buff/zhuoshao/zhuoshao.skel,<zhuoshao_loop_top>,,,,,,,,,,,,,,,,,battle/txt/txt_zs1.png,,,<{processId=4;damageType=1;natureType=2}>,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,,,,,,,,,,
1172,,,,,damageAdd,,,2,1005,,,,,,1,1,,,battle/buff_icon/logo_shjc_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1174,,,,,cure,,,2,1103,,,,,,1,1,,,battle/buff_icon/logo_jl1.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_jl1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,,,,,strikeDamage,,,,,,,,,,2,3,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1221,,,,,buffDamage,,,2,10181,,,,,,2,5,,,battle/buff_icon/logo_zd.png,,buff/zhongdu/zhongdu.skel,<zhongdu_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_zd.png,,,<{processId=3008;damageType=2;natureType=8}>,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,<4008;4027>,,,,,,,,,
1222,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,,,,,,,,,
1223,,,,,addHP,,,2,1401,,,,,,1,1,,,battle/buff_icon/logo_cxzl.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,,zhiliao_lv,,,,,,,,,,,,,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,<2031>,,,,,,,,,
1224,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=10;effectFuncs=<castBuff>;funcArgs=<<{value=self:specialDamage()*(0.15+(fromSkillLevel*0.0015-0.0015));holder=1;caster=2;cfgId=1222;lifeRound=1}>>}},,,,,,,,,,,,,,,,,,,,,,,,
1225,,,,,cure,,,,1013,102,,,,,1,1,,,battle/buff_icon/logo_zll_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlltg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1311,,,,,stun,,,2,101,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{x=0;y=-320},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,,,,,,,,2,,,,,,,1,1,,FALSE,battle/buff_icon/logo_cxzl.png,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=5;effectFuncs=<castBuff>;funcArgs=<<{value=self:specialDamage()*(0.15+(fromSkillLevel*0.001-0.001));holder=3;caster=2;cfgId=1313;lifeRound=3}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1313,,,,,addHP,,,2,1401,,,,,,2,3,,,battle/buff_icon/logo_jszz.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_jszz.png,,,,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,<2031>,,,,,,,,,
1314,,,,,addHP,,,2,1401,,,,,,2,3,,,battle/buff_icon/logo_jszz.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_jszz.png,,,,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,<2031>,,,,,,,,,
1315,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={triggerPoint=5;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=self:specialDamage()*(0.3+(fromSkillLevel*0.002-0.002));holder=3;caster=2;cfgId=1313;lifeRound=3}>;<{value=self:specialDamage()*(0.3+(fromSkillLevel*0.002-0.002));caster=2;holder=2;cfgId=1313;prob=self:flagZ4() and 1 or 0;lifeRound=3}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1316,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,<1;10>,,,,,,,,
1411,,,,,,,,2,1030,,,,,,1,1,,,battle/buff_icon/logo_sf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sftg.png,,,,,,,{0={triggerPoint=1};1={triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=target:Bdefence()*0.1;cfgId=1412;caster=2;bond=1;holder=1;lifeRound=999;prob=1}>;<{value=target:BspecialDefence()*0.1;cfgId=1413;caster=2;bond=1;holder=1;lifeRound=999;prob=1}>>}},,,,,,,,,,,,,,,<2038>,,,,,,,,,
1412,,,,,defence,,,2,2021,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,,,,,specialDefence,,,2,2022,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,<1;10>,,,,,,,,
1421,,,,,cure,,,,3085,,,,,,1,1,,,battle/buff_icon/logo_zll_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlltg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1425,,,,,buffDamage,,,2,10181,,,,,,2,8,,,battle/buff_icon/logo_zd.png,,buff/zhongdu/zhongdu.skel,<zhongdu_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_zd.png,,,<{processId=3008;damageType=2;natureType=8}>,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,<4008;4027>,,,,,,,,,
1431,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,<1;10>,,,,,,,,
1432,,,,,,,,,18011,,,,,,1,1,,,battle/buff_icon/logo_jszz.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_jszz.png,,,,,,,"{1={triggerPoint=5;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=min(target2:hpMax()*0.05,self2:hpMax()*0.05);caster=1;holder=2;cfgId=1434;prob=1;lifeRound=1}>;<{value=min(target2:hpMax()*0.05,self2:hpMax()*0.05);caster=2;holder=1;cfgId=1433;prob=1;lifeRound=1}>>};2={triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{value=self:specialDamage()*0.3;caster=2;holder=1;cfgId=1425;prob=moreE(self:star(),11) and 1 or 0;lifeRound=3}>>}}",,,,,,,,,,,,,,,,,,,,,,,,
1433,,,,,buffDamage,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=15;damageType=2}>,,,,,,,,,,,,,,,,,,,<4021>,<1;10>,,,,,,,,
1434,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,<1;10>,,,,,,,,
1438,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1451,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1={triggerPoint=10;effectFuncs=<castBuff;castBuff;castBuff>;funcArgs=<<{value=0;caster=2;holder=1;cfgId=1452;prob=1;lifeRound=999}>;<{value=(self:specialDefence()+self:defence())*0.01*(100+((skillLv(46) or 0)-1)*0.2);caster=2;holder=1;cfgId=1453;prob=lessE(self:getBuffOverlayCount(1452),3) and 1 or 0;lifeRound=1}>;<{value=self:specialDamage()*0.3;caster=2;holder=7;cfgId=1425;prob=1;lifeRound=3}>>};2={triggerPoint=2;effectFuncs=<castBuff>;funcArgs=<<{value=0;caster=2;holder=1;cfgId=1454;prob=1;lifeRound=1}>>}}",,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1452,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1453,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,<1;10>,,,,,,,,
1454,,,,,,,,,,,,,<1452>,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{0={triggerPoint=1};1={triggerPoint=42;delSelfWhenTriggered=1}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1461,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{1={extraAttackTrigger=2;triggerPoint=40;onSomeFlag=<trigger.natureFlag=='strong'>;effectFuncs=<castBuff>;funcArgs=<<{value=1500+(skillLv(46)-1)*7.5;caster=2;holder=2;cfgId=1462;prob=1;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1462,,,,,physicalDamageSub,,,2,3023,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wsjmtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
1465,,,,,alterDmgRecordVal,,,2,3326,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{finalRate=<setValue(list(""finalDamageSub""),(intersection(arg.buffFlag,list(4008))) and list(env:finalDamageSub()*10000+1500) or list(env:finalDamageSub()*10000))>}>",,,,,,,,,,,,,,,,,,,<1042>,,,,,,,,,
1471,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{1={triggerPoint=42;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=math.floor((self:hpMax()-self:hp())/self:hpMax()/3*100)*100;caster=2;holder=1;cfgId=1472;prob=1;lifeRound=999}>;<{value=0;caster=2;holder=1;cfgId=1474;prob=1;lifeRound=999}>>};2={triggerTimes=<1;1>;triggerPoint=18;onSomeFlag=<lessThan(self:hp()/self:hpMax(),0.3)>;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=self:hpMax()*1;caster=2;holder=1;cfgId=1473;prob=1;lifeRound=1}>;<{value=(self:specialDefence()+self:defence())*2;caster=2;holder={input=selfForce|nodead;process=attrDiffer(""natureType"", {4,8})};cfgId=1482;prob=self:flagZ4() and 1 or 0;lifeRound=1}>>}}",,,,,,,,1,,,,,,,,,,,,,,,,
1472,,,,,cure,,,,1003,201,,,,,1,1,,,battle/buff_icon/logo_zll_up.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1473,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,<1;10>,,,,,,,,
1474,,,,,,,,2,1030,,,,,,1,1,,,battle/buff_icon/logo_sf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sftg.png,,,,,,,{0={triggerPoint=1};1={triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=target:Bdefence()*0.01*math.floor((self:hpMax()-self:hp())/self:hpMax()/3*100);cfgId=1475;caster=2;bond=1;holder=1;lifeRound=999;prob=1}>;<{value=target:BspecialDefence()*0.01*math.floor((self:hpMax()-self:hp())/self:hpMax()/3*100);cfgId=1476;caster=2;bond=1;holder=1;lifeRound=999;prob=1}>>}},,,,,,,,,,,,,,,<2038>,,,,,,,,,
1475,,,,,defence,,,2,2021,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,,,,,specialDefence,,,2,2022,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1482,,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,<2031>,<1;10>,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
2012,,,,,addHP,,,2,1401,,,,,,1,1,,,battle/buff_icon/logo_cxzl.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,effect/zhiliaoxiaoguo.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,{0={triggerPoint=5}},,,,,,,,,,,,,,,<2031>,,,,,,,,,
2013,,,,,defence,,,,,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
