变量名,_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,topTalk,topTalk_tw,topTalk_en,topTalk_vn,topTalk_kr,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_vn,roleName_kr,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
563,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
564,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
571,,,2000,,,,,,,,,,,<1>,,,,拉帝欧斯、拉帝亚斯，释放你们最强的合击技吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
573,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
581,,,2000,,,,,,,4,,,,<1>,,,,,,,,,,,,,,,,,end.mp4,,,,,,,,,,,,,,
816,,,4500,1,,,,,,,,,,,10263,,,“欢迎来到口袋宝贝联盟举办的世界锦标赛直播现场，我是主持人超级电龙！比赛开始前，照惯例让我们请出我们的圣火大使——喷火龙！” ,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,4500,4500,1,,,,,,,,,,,10263,,,（空中飞来一只庞然大物，观众们立马欢呼起来。）\n“喷火龙！”“喷火龙！”“喷火龙！”…,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,,9000,4500,1,,,,,,,,,,,10263,,,（喷火龙落在竞技场中央的圣火台上收起翅膀，向场上参加本次比赛的选手们低头致意。接着它把头转向圣火台，喷出了一口火焰。） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,,13500,4500,1,,,,,,,,,,,10263,,,（圣火台上燃起了熊熊烈火…在圣火照耀下，选手们宣誓开始！),,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,18000,1500,1,,,,,,3,,,,,,,,,,,,,"“我宣誓，我等将遵照口袋宝贝联盟的精神，堂堂正正进行战斗……!”""",,,,,2,,,,,,,,,,,,,,,,,
821,,19500,1500,1,,,,,,3,,,,,,,,,,,,,“我宣誓…！”,,,,,7,,,,,,,,,,,,,,,,,
822,,21000,1500,1,,,,,,3,,,,,,,,,,,,,“我宣誓…！”,,,,,4,,,,,,,,,,,,,,,,,
823,,22500,1500,1,,,,,,3,,,,,,,,,,,,,“我宣誓…！”,,,,,9,,,,,,,,,,,,,,,,,
824,,24000,1500,1,,,,,,3,,,,,,,,,,,,,“我宣誓…！”,,,,,6,,,,,,,,,,,,,,,,,
825,,25500,1500,1,,,,,,3,,,,,,,,,,,,,“我宣誓…！”,,,,,11,,,,,,,,,,,,,,,,,
826,,27000,6000,1,,,,,,,,,2,,10263,,,“听完各位选手的宣誓，我对本次比赛变得更加期待。既然各位选手现在都已准备完毕，那么我宣布——本次比赛正式开始！”,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,,4500,,,,,,,,,,,,10131,,,“哇，这次世界锦标赛真是精彩极了！下面我想请本次世界锦标赛的冠军，口袋妖怪的训练师代表——真新镇的小智登上圣火台发言！”\n小智…我的名字！,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,,4500,4500,,,,,,,,,,2,,10131,,,“…小智，起床了！今天可是你成为口袋妖怪训练师的第一天哟！…”\n……老妈的声音，啊！我是在睡觉做梦，要迟到了！,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,2000,,,TRUE,,,,,,,,<0>,,,,战斗开始了，让我们全力以赴吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,2000,,,TRUE,,,,,,,2,,,{y=600;x=-30},,让我来告诉你战斗的基本技巧吧,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,{y=600;x=-30},图鉴洛托姆,,,,,,,,,,,
1012,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill3>,effect/shouyindao.skel,,,,
1013,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
1021,,,,,,TRUE,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill3>,effect/shouyindao.skel,,,,
1022,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
1031,,,2000,,,TRUE,,,,,,,2,,,{y=600;x=-30},,尝试下使用更强力的技能，使用后会进入一定回合数的冷却。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,{y=600;x=-30},图鉴洛托姆,,,,,,,,,,,
1032,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill2>,effect/shouyindao.skel,,,,
1033,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
1041,,,,,,TRUE,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill2>,effect/shouyindao.skel,,,,
1042,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel9>,effect/shouyindao.skel,,,,
1051,,,2000,,,,,,,,,,2,,,{y=600;x=-30},,怒气满了，可以使用威力强大的必杀技了，赶紧试一试吧！,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,{y=600;x=-30},图鉴洛托姆,,,,,,,,,,,
1052,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
1053,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel11>,effect/shouyindao.skel,,,,
1101,,,2000,,,TRUE,,,,,,,2,,,{y=600;x=-30},,这次，让我教你一些进阶的战斗技巧,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,{y=600;x=-30},图鉴洛托姆,,,,,,,,,,,
1102,,,,,,,,,,1,,,,,,,,这里是速度条，决定了出手的顺序,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<midPanel;widgetPanel;speedRank>,,,,TRUE,{width=320;height=930}
1103,,,,,,,,,,1,,,,,,,,选择要释放的技能,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill3>,,,,,
1104,,,,,,,,,,1,,,,,,{y=0;x=-500},,选择技能后，角色身上的属性会有对应的克制关系显示,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,{y=0;x=-500},图鉴洛托姆,,,,,,<UILayer;hitPanel7>,,,,TRUE,{width=750;dy=-200;height=950;dx=150}
1201,,,2000,,,TRUE,,,,,,,2,,,{y=600;x=-30},,恭喜你，可以开启自动战斗和战斗加速了！,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,{y=600;x=-30},图鉴洛托姆,,,,,,,,,,,
1202,,,,,,,,,,1,,,,,,,,点击这里，就可以开启自动战斗和战斗加速,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<Panel;bottomLeftPanel;speedUp>,effect/shouyindao.skel,,,TRUE,{width=420;dy=0;height=180;dx=-90}
2001,,,3000,1,,,,,,,,,,<0>,,,,诶，那里好像有只小火龙,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,3000,3000,1,,,,,,,,,,<0>,,,,尝试着去捕捉它把！,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,6000,3000,1,,,,,,,,,2,,10011,,,嘎唔！！,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,,,2000,1,TRUE,,,,,,,,,<1>,,,,终于到了这一步了。,,,,,,,,,,,,,,,,,,,,,,,,,,,
5002,,4000,2000,1,TRUE,,,,,,,,,<1>,,,,艾岚你很强，就让我全力以赴吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
5003,,8000,2000,,,,,,,,,,2,<31>,,,,我一直也都期待着，能在这儿和你对战。,,,,,,,,,,,,,,,,,,,,,,,,,,,
5101,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5102,,500,1500,,,,,,,,,,,<1>,,,,甲贺忍蛙，对手的分量已经足够！,,,,,,,,,,,,,,,,,,,,,,,,,,,
5103,,2000,4000,,,,,,,3,,,,,,,,,,,,,"“我宣誓，我等将遵照口袋宝贝联盟的精神，堂堂正正进行战斗……!”""",,,,,2,,,,,,,,,,,,,,,,,
5104,,3000,3000,,,,,,,3,,,,,,,,,,,,,“我宣誓…！”,,,,,7,,,,,,,,,,,,,,,,,
5108,,6000,,,,,,,,1,,,,,,,,开始战斗了，你需要控制自己的精灵去击败对手,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,,,,,,
5109,,6000,5000,,,,,,,3,,,,,,,,,,,,,“我宣誓…！”,,,,,1,,,,,,,,,,,,,,,,,
5201,,,2000,,,,,,,,,,,<1>,,,,让他见识一下我们最强的一面吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
5202,,2000,2000,,,,,,,,,,2,<31>,,,,谢谢你，小智，我一直在等你的全力。,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501,,,,,,,,,,1,,,,,,,,这里是速度条，决定了出手的顺序1,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,,,,,,,<midPanel;widgetPanel;speedRank>,,,,,
5502,,,,,,,,,,1,,,,,,,,这里是速度条，决定了出手的顺序2,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<midPanel;widgetPanel;speedRank>,effect/shouyindao.skel,,,TRUE,{width=6240;dy=0;height=2880;dx=0}
5503,,,,,,,,,,1,,,,,,,,这里是速度条，决定了出手的顺序3,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<midPanel;widgetPanel;speedRank>,effect/shouyindao.skel,,,TRUE,{width=220;height=900}
5504,,,,,,,,,,1,,,,,,,,轮到你出击了，点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill2>,effect/shouyindao.skel,,,TRUE,
5505,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
5506,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
5601,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill3>,effect/shouyindao.skel,,,,
5602,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
5701,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill3>,effect/shouyindao.skel,,,,
5702,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel9>,effect/shouyindao.skel,,,,
5801,,,,,,,,,,,,,,<1>,,,,测试,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,,,2000,,TRUE,,,,,,,,2,<32>,,,,按照我说，精灵可是一种非常神奇的生物，他们…,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,,2000,2000,,TRUE,,,,,,,,,<0>,,,,…………,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,,4000,2000,,TRUE,,,,,,,,2,<32>,,,,最近的年轻人有点急躁啊，我看你好像不太想听的样子，那我也就不多说了，既然你拿到了你心仪的精灵，那么来对战试试吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,,,2000,,TRUE,,,,,,,,2,<32>,,,,看来你已经掌握了精灵对战的技巧了啊,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,,2000,2000,,TRUE,,,,,,,,,<0>,,,,那是当然啊，你在小看我嘛！,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,,4000,2000,,TRUE,,,,,,,,2,<32>,,,,不错不错，就是这个势头，我期待你将来的表现哦，接下来就拜托你了哦，图鉴洛托姆,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014,,6000,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,交给我吧，洛托,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,,8000,2000,,TRUE,,,,,,,,,<0>,,,,那我出发咯,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,,,2000,,TRUE,,,,,,,,2,<13>,,,,哟，慢吞吞的家伙，我还以为你当不了训练家了呢,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,,2000,2000,,TRUE,,,,,,,,,<0>,,,,怎么可能，我可是要成为大师训练家的人，既然你也拿到精灵了，让我们来对战吧,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,,4000,2000,,TRUE,,,,,,,,2,<13>,,,,哦！好大口气，来吧，我来教你什么叫做训练家！,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,,6000,2000,,TRUE,,,,,,,,,<0>,,,,哼，赢的人肯定是我！,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,,,2000,,TRUE,,,,,,,,2,<13>,,,,哎呀，今天发挥不好，下次我一定把你击败,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,,2000,2000,,TRUE,,,,,,,,,<0>,,,,你随便来吧，下次赢得肯定还是我,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,,4000,2000,,TRUE,,,,,,,,2,<13>,,,,那我先出发了，祝你好运了,,,,,,,,,,,,,,,,,,,,,,,,,,,
10041,,,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,前方有野生精灵的反应,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042,,2000,2000,,TRUE,,,,,,,,,<0>,,,,诶！是什么神兽？,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,,4000,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,你想多了吧，洛托，在这种人类的城镇附近怎么可能有那玩意儿。,,,,,,,,,,,,,,,,,,,,,,,,,,,
10044,,6000,2000,,TRUE,,,,,,,,,<0>,,,,切，我还以为是凤王呢，嘛，先和野生的精灵打打看吧，将来肯定！！….,,,,,,,,,,,,,,,,,,,,,,,,,,,
