变量名,service,_comment,seqParam,mapParam
112,fishingshop_refresh_cost,,<20;30;50;50;80;80;100>,
113,mega_item_convert_cost,,<50;100;200>,
114,mega_commonitem_convert_cost,,<50;100;200>,
115,gym_talent_point_buy_cost,,<20;30;50;100;100>,
116,gym_battle_buy_cost,,<20;30;50;100;100>,
117,gym_talent_reset_cost,,<20;50;100;100>,
118,figure_skill_unlock_cost,,<500;1000>,
119,equip_drop_cost,,<10;20;30;40;50>,
120,cross_mine_rob_buy_cost,,<10;20;30;50;50;70;70;100;100;200;200;200;400;400;400;800>,
121,cross_mine_revenge_buy_cost,,<10;20;30;50;50;70;70;100;100;200;200;200;400;400;400;800>,
122,cross_mine_boss_buy_cost,,<10;20;30;50;100;100>,
123,cross_mine_enemy_fresh_cost,,<0;0;0;0;0;500;500;500;500;500;1000;1000;1000;1000;1000;2000;2000;2000;2000;2000;5000>,
124,union_qa_buy_cost,,<50>,
125,play_passport_buy_cost2,,<100;100;100;100;100;100;100;100;100;100;150;150;150;150;150;150;150;150;150;150;200;200;200;200;200;200;200>,
126,play_passport_buy_cost3,,<50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;200;200;200;200;200;200;200>,
127,play_passport_buy_cost4,,<50;50;50;50;50;75;75;75;75;75;100;100;100;100;100;100;100;100;100;100;150>,
128,hunting_box_cost,,<30;50>,
129,draw_card_up_change_cost,,<0;50;100;200>,
130,cross_supremacy_rematch,,<30;50;100;100;200;200;400>,
131,cross_supremacy_vip_match_times,,<30;50;50;150;150;200>,
132,townshop_refresh_cost,,<50;100;100;150>,
133,hell_random_tower_box_cost1,,<10;20;40;80;80;120;200>,
134,hell_random_tower_box_cost2,,<10;10;20;20;40;40;40;40;40;40>,
135,lucky_draw_refresh_cost,,<50;100;200>,
136,play_passport_buy_cost5,,<50;50;50;50;50;75;75;75;75;75;100;100;100;100;100;100;100;100;100;100;150>,
137,play_passport_buy_cost6,,<100;100;100;100;100;100;100;100;100;100;150;150;150;150;150;150;150;150;150;150;200;200;200;200;200;200;200>,
138,round_draw_cost,,<10;10;10;10;15;15;15;20;20;40>,
139,cross_circus_refresh_cost,,<0;0;0;0;0;0;0;0;10;10;10;10>,
140,cross_circus_pw_buy_cost,,<10;15;20;30;50>,
141,festival_passport_buy_cost,,<100;100;100;100;100;100;100;100;100;100;150;150;150;150;150;150;150;150;150;150;200;200;200;200;200;200;200>,
142,autochess_saodang_cost,,<50;50;50;100;100;100;100;100;100;100;100;100;150;150;150;150;150;150;150;150;150;150;150;150;200;200;200;200;200;200;200;200;200;200;200;200;250;250;250;250;250;250;250;250;250;250;250;250>,
143,town_ready_card_unlock_cost,,<100;200;200;400;400;800;800>,
144,play_passport_buy_cost7,,<50;50;50;50;50;75;75;75;75;75;100;100;100;100;100;100;100;100;100;100;150>,
145,play_passport_buy_cost8,,<100;100;100;100;100;100;100;100;100;100;150;150;150;150;150;150;150;150;150;150;200;200;200;200;200;200;200>,
