变量名,gateID,_beizhu,itemMap,count,probability,itemCount
60,10803,(手游普通关卡随机掉落)(普通8-04)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
61,10804,(手游普通关卡随机掉落)(普通8-05)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
62,10805,(手游普通关卡随机掉落)(普通8-06)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
63,10806,(手游普通关卡随机掉落)(普通8-07)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
64,10807,(手游普通关卡随机掉落)(普通8-08)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
65,10808,(手游普通关卡随机掉落)(普通8-09)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
66,10809,(手游普通关卡随机掉落)(普通8-10)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
67,10810,(手游普通关卡随机掉落)(普通9-01)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
68,10901,(手游普通关卡随机掉落)(普通9-02)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
69,10902,(手游普通关卡随机掉落)(普通9-03)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
70,10903,(手游普通关卡随机掉落)(普通9-04)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
71,10904,(手游普通关卡随机掉落)(普通9-05)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
72,10905,(手游普通关卡随机掉落)(普通9-06)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
73,10906,(手游普通关卡随机掉落)(普通9-07)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
74,10907,(手游普通关卡随机掉落)(普通9-08)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
75,10908,(手游普通关卡随机掉落)(普通9-09)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
76,10909,(手游普通关卡随机掉落)(普通9-10)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
77,10910,(手游普通关卡随机掉落)(普通10-01)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
78,11001,(手游普通关卡随机掉落)(普通10-02)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
79,11002,(手游普通关卡随机掉落)(普通10-03)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
80,11003,(手游普通关卡随机掉落)(普通10-04)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
81,11004,(手游普通关卡随机掉落)(普通10-05)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
82,11005,(手游普通关卡随机掉落)(普通10-06)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
83,11006,(手游普通关卡随机掉落)(普通10-07)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
84,11007,(手游普通关卡随机掉落)(普通10-08)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
85,11008,(手游普通关卡随机掉落)(普通10-09)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
86,11009,(手游普通关卡随机掉落)(普通10-10)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
87,11010,(手游普通关卡随机掉落)(普通11-01)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
88,11101,(手游普通关卡随机掉落)(普通11-02)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
89,11102,(手游普通关卡随机掉落)(普通11-03)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
90,11103,(手游普通关卡随机掉落)(普通11-04)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
91,11104,(手游普通关卡随机掉落)(普通11-05)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
92,11105,(手游普通关卡随机掉落)(普通11-06)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
93,11106,(手游普通关卡随机掉落)(普通11-07)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
94,11107,(手游普通关卡随机掉落)(普通11-08)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
95,11108,(手游普通关卡随机掉落)(普通11-09)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
96,11109,(手游普通关卡随机掉落)(普通11-10)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
97,11110,(手游普通关卡随机掉落)(普通12-01)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
98,11201,(手游普通关卡随机掉落)(普通12-02)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
99,11202,(手游普通关卡随机掉落)(普通12-03)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
100,11203,(手游普通关卡随机掉落)(普通12-04)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
101,11204,(手游普通关卡随机掉落)(普通12-05)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
102,11205,(手游普通关卡随机掉落)(普通12-06)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
103,11206,(手游普通关卡随机掉落)(普通12-07)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
104,11207,(手游普通关卡随机掉落)(普通12-08)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
105,11208,(手游普通关卡随机掉落)(普通12-09)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
106,11209,(手游普通关卡随机掉落)(普通12-10)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
107,11210,(手游普通关卡随机掉落)(普通13-01)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
108,11301,(手游普通关卡随机掉落)(普通13-02)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
109,11302,(手游普通关卡随机掉落)(普通13-03)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
110,11303,(手游普通关卡随机掉落)(普通13-04)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
111,11304,(手游普通关卡随机掉落)(普通13-05)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
112,11305,(手游普通关卡随机掉落)(普通13-06)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
113,11306,(手游普通关卡随机掉落)(普通13-07)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
114,11307,(手游普通关卡随机掉落)(普通13-08)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
115,11308,(手游普通关卡随机掉落)(普通13-09)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
116,11309,(手游普通关卡随机掉落)(普通13-10)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
117,11310,(手游普通关卡随机掉落)(普通14-01)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
118,11401,(手游普通关卡随机掉落)(普通14-02)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
119,11402,(手游普通关卡随机掉落)(普通14-03)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
120,11403,(手游普通关卡随机掉落)(普通14-04)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
121,11404,(手游普通关卡随机掉落)(普通14-05)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
122,11405,(手游普通关卡随机掉落)(普通14-06)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
123,11406,(手游普通关卡随机掉落)(普通14-07)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
124,11407,(手游普通关卡随机掉落)(普通14-08)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
125,11408,(手游普通关卡随机掉落)(普通14-09)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
126,11409,(手游普通关卡随机掉落)(普通14-10)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
127,11410,(手游普通关卡随机掉落)(普通15-01)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
128,11501,(手游普通关卡随机掉落)(普通15-02)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
129,11502,(手游普通关卡随机掉落)(普通15-03)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
130,11503,(手游普通关卡随机掉落)(普通15-04)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
131,11504,(手游普通关卡随机掉落)(普通15-05)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
132,11505,(手游普通关卡随机掉落)(普通15-06)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
133,11506,(手游普通关卡随机掉落)(普通15-07)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
134,11507,(手游普通关卡随机掉落)(普通15-08)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
135,11508,(手游普通关卡随机掉落)(普通15-09)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
136,11509,(手游普通关卡随机掉落)(普通15-10)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
137,11510,(手游普通关卡随机掉落)(普通16-01)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
138,11601,(手游普通关卡随机掉落)(普通16-02)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
139,11602,(手游普通关卡随机掉落)(普通16-03)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
140,11603,(手游普通关卡随机掉落)(普通16-04)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
141,11604,(手游普通关卡随机掉落)(普通16-05)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
142,11605,(手游普通关卡随机掉落)(普通16-06)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
143,11606,(手游普通关卡随机掉落)(普通16-07)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
144,11607,(手游普通关卡随机掉落)(普通16-08)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
145,11608,(手游普通关卡随机掉落)(普通16-09)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
146,11609,(手游普通关卡随机掉落)(普通16-10)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
147,11610,(手游普通关卡随机掉落)(普通17-01)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
148,11701,(手游普通关卡随机掉落)(普通17-02)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
149,11702,(手游普通关卡随机掉落)(普通17-03)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
150,11703,(手游普通关卡随机掉落)(普通17-04)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
151,11704,(手游普通关卡随机掉落)(普通17-05)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
152,11705,(手游普通关卡随机掉落)(普通17-06)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
153,11706,(手游普通关卡随机掉落)(普通17-07)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
154,11707,(手游普通关卡随机掉落)(普通17-08)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
155,11708,(手游普通关卡随机掉落)(普通17-09)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
156,11709,(手游普通关卡随机掉落)(普通17-10)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
157,11710,(手游普通关卡随机掉落)(普通18-01)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
158,11801,(手游普通关卡随机掉落)(普通18-02)(普通关卡),{510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524;11=29.7398;12=7.4349;13=1.8587;14=0.7435},5,53.8,
