变量名,name,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSpine,cardSpinePos,cardSpineScale,finalDamageSubC,extraSkillList,cardSkinScale,followSpineScale,weight,shinyPos,height,followSpinePos,shiny,cardSpineNeedStar,cardSkinPos,fakePassiveSkillList,shinyRes,mZawakeStatus,unitType,frontPriority,elementalDamageAddC,elementalDamageDeepenC,elementalDamageReduceC,elementalDamageSubC,finalDamageAddC,finalDamageDeepenC,finalDamageReduceC,ignoreDamageSubC,mpAttackRecoverC,mpBeAttackRecoverC,shieldPowerC,skinReplaceIDs,__version
15,超级喷火龙Y,base,3,2,10,,<10011>,,,,15,,config/portrait/speedranktouxiang/img_6_cjphly@.png,config/portrait/jinglingtouxiang/img_6_cjphly@.png,config/portrait/jinglingtouxiang1/img_6_cjphly@.png,config/portrait/simple/img_6_cjphly@.png,config/big_hero/normal/img_6_cjphly@.png,1.9,{x=120;y=-95},koudai_penhuolongmegay/hero_penhuolongmegay.skel,,config/big_hero/standby/img_6_cjphly@.png,,{x=50;y=-120},,<151;152;153>,,,{headPos={y=290;x=0};hitPos={y=155;x=0};lifePos={y=330;x=0};namePos={y=330;x=0}},,,,,,,1.16,,,,,,,,,,,,,49.534,1.251,11.214,12.656,4.237,4.622,1.32,1.39,1.4,1.32,1.58,1.44,1644,1000,400,,,,456,718,160,222,0,0,58,200,15000,,300,500,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,90.5,,1.7,{x=29;y=30},,,,<156>,,,3,,,,,,,,,,,,,,
21,杰尼龟,base,2,3,,,<10011>,,,,21,,config/portrait/speedranktouxiang/img_7_jng@.png,config/portrait/jinglingtouxiang/img_7_jng@.png,config/portrait/jinglingtouxiang1/img_7_jng@.png,config/portrait/simple/img_7_jng@.png,config/big_hero/normal/img_7_jng@.png,,{x=25;y=10},koudai_jienigui/hero_jienigui.skel,,config/big_hero/standby/img_7_jng@.png,,{x=120;y=0},,<211;212;213>,,,{headPos={y=210;x=0};hitPos={y=115;x=0};lifePos={y=250;x=0};namePos={y=250;x=0}},,,,2.3,,,1.38,,,,,,,,,,,,,42.404,1.017,9.131,9.212,3.82,3.82,1.13,1.13,1.14,1.19,1.15,1.19,874,1000,400,,,,198,205,115,114,0,0,29,,15000,100,400,,3000,,,,,,100,,,,,,,,,,,,,,,,,,,0.9,9,,0.5,{x=-54;y=30},,,,<216>,,,1,,,,,,,,,,,,,,
22,卡咪龟,base,2,3,,,<10011>,,,,22,,config/portrait/speedranktouxiang/img_8_kmg@.png,config/portrait/jinglingtouxiang/img_8_kmg@.png,config/portrait/jinglingtouxiang1/img_8_kmg@.png,config/portrait/simple/img_8_kmg@.png,config/big_hero/normal/img_8_kmg@.png,,{x=20;y=0},koudai_kamigui/hero_kamigui.skel,,config/big_hero/standby/img_8_kmg@.png,,{x=120;y=0},,<221;222;223>,,,{headPos={y=240;x=0};hitPos={y=130;x=0};lifePos={y=280;x=0};namePos={y=280;x=0}},,,,2.5,,,1.44,,,,,,,,,,,,,44.28,1.053,9.532,9.532,3.98,3.98,1.18,1.17,1.19,1.24,1.19,1.24,1045,1000,400,,,,235,241,129,129,0,0,34,,15000,100,400,,3000,,,,,,100,,,,,,,,,,,,,,,,,,,0.9,22.5,,1,{x=-54;y=30},,,,<226>,,,1,,,,,,,,,,,,,,
23,水箭龟,base,2,3,,,<10011>,,,,23,,config/portrait/speedranktouxiang/img_9_sjg@.png,config/portrait/jinglingtouxiang/img_9_sjg@.png,config/portrait/jinglingtouxiang1/img_9_sjg@.png,config/portrait/simple/img_9_sjg@.png,config/big_hero/normal/img_9_sjg@.png,1.2,,koudai_shuijiangui/hero_shuijiangui.skel,,config/big_hero/standby/img_9_sjg@.png,,{x=60;y=-50},,<231;232;233>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,46.156,1.107,10.013,10.013,4.173,4.205,1.23,1.23,1.25,1.3,1.25,1.31,1339,1000,400,,,,301,307,157,164,0,0,41,,15000,100,400,,3000,,,,,,100,,,,,,,,,,,,,,,,,,,,85.5,,1.6,{x=20;y=30},,,,<236>,,,1,,,,,,,,,,,,,,
24,超级水箭龟,base,3,3,,,<10011>,,,,24,,config/portrait/speedranktouxiang/img_9_cjsjg@.png,config/portrait/jinglingtouxiang/img_9_cjsjg@.png,config/portrait/jinglingtouxiang1/img_9_cjsjg@.png,config/portrait/simple/img_9_cjsjg@.png,config/big_hero/normal/img_9_cjsjg@.png,1.5,{x=50;y=40},koudai_shuijianguimega/hero_shuijianguimega.skel,,config/big_hero/standby/img_9_cjsjg@.png,,{x=60;y=-50},,<241;242;243>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.1,,,1.31,,,,,,,,,,,,,49.534,1.188,11.214,12.015,4.687,4.622,1.32,1.32,1.4,1.46,1.5,1.44,1659,1000,400,,,,453,597,232,222,0,0,48,,15000,1000,,500,3000,,,,,,500,,,,,,,,,,,,,,,,,,,,85.5,,1.6,{x=78;y=30},,,,<246>,,,1,,,,,,,,,,,,,,
31,绿毛虫,base,,12,,,,,,,31,,config/portrait/speedranktouxiang/img_10_lmc@.png,config/portrait/jinglingtouxiang/img_10_lmc@.png,config/portrait/jinglingtouxiang1/img_10_lmc@.png,config/portrait/simple/img_10_lmc@.png,config/big_hero/normal/img_10_lmc@.png,0.8,{x=10;y=20},koudai_lvmaochong/hero_lvmaochong.skel,,config/big_hero/standby/img_10_lmc@.png,,{x=120;y=0},,<311;312;313>,,,{headPos={y=200;x=0};hitPos={y=110;x=0};lifePos={y=240;x=0};namePos={y=240;x=0}},,,,1.4,,,0.9,,,,,,,,,,,,,39.777,0.954,8.09,7.93,3.306,3.178,1.06,1.06,1.01,1.03,0.99,0.99,633,1000,400,,,,98,75,51,36,0,0,24,,15000,,,,3000,,,,,150,150,,,,,,,,,,,,,,,,,,,0.9,2.9,,0.3,{x=-22;y=30},,,,<316>,,,2,,,,,,,,,,,,,,
33,巴大蝶,base,,12,10,,,,,,33,,config/portrait/speedranktouxiang/img_12_bdd@.png,config/portrait/jinglingtouxiang/img_12_bdd@.png,config/portrait/jinglingtouxiang1/img_12_bdd@.png,config/portrait/simple/img_12_bdd@.png,config/big_hero/normal/img_12_bdd@.png,,{x=40;y=20},koudai_badahu/hero_badahu.skel,,config/big_hero/standby/img_12_bdd@.png,,{x=80;y=0},,<331;332;333>,,,,,,,1.9,,,1.02,,,,,,,,,,,,,41.278,1.017,8.491,9.452,3.435,3.724,1.1,1.13,1.06,1.07,1.18,1.16,819,1000,400,,,,135,262,66,100,0,0,32,,15000,,,,3000,,,,,150,150,,,,,,,,,,,,,,,,,,,,32,,1.1,{x=-22;y=94},,,,<336>,,,2,,,,,,,,,,,,,,
43,大针蜂,base,,12,8,,,,,,41,,config/portrait/speedranktouxiang/img_15_dzf@.png,config/portrait/jinglingtouxiang/img_15_dzf@.png,config/portrait/jinglingtouxiang1/img_15_dzf@.png,config/portrait/simple/img_15_dzf@.png,config/big_hero/normal/img_15_dzf@.png,1.2,,koudai_dazhenfeng/hero_dazhenfeng.skel,,config/big_hero/standby/img_15_dzf@.png,,{x=100;y=-50},,<431;432;433>,,,,,,,,,,1.32,,,,,,,,,,,,,41.653,1.026,9.452,8.491,3.338,3.724,1.11,1.14,1.18,1.04,1.06,1.16,881,1000,400,,,,262,135,55,100,0,0,33,100,15000,,,200,3000,,,,,,,,,,,,,,,,,,,,,,,<411;412;413;431;432;433>,,,29.5,,1,{x=-22;y=94},,,,<436>,,,3,,,,,,,,,,,,,,
44,超级大针蜂,base,2,12,8,,,,,,44,,config/portrait/speedranktouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,config/portrait/simple/img_15_cjdzf@.png,config/big_hero/normal/img_15_cjdzf@.png,,{x=10;y=0},koudai_dazhenfengmega/hero_dazhenfengmega.skel,,config/big_hero/standby/img_15_cjdzf@.png,,{x=100;y=-50},,<441;442;443>,,,,,,,1.7,,,1.1,,,,,,,,,,,,,44.655,1.287,11.615,8.33,3.595,3.98,1.19,1.43,1.45,1.12,1.04,1.24,1127,1000,400,,,,561,100,80,129,0,0,69,300,15000,,,300,3000,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,1,{x=-22;y=94},,,,<446>,,,3,,,,,,,,,,,,,,
51,波波,base,2,,10,,,,,,51,,config/portrait/speedranktouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang1/img_16_bb@.png,config/portrait/simple/img_16_bb@.png,config/big_hero/normal/img_16_bb@.png,1.1,{x=-15;y=10},koudai_bobo/hero_bobo.skel,,config/big_hero/standby/img_16_bb@.png,,{x=150;y=0},,<511;512;513>,,,{headPos={y=360;x=0};hitPos={y=190;x=0};lifePos={y=400;x=0};namePos={y=400;x=0}},,,,2.2,,,1.32,,,,,,,,,,,,,42.029,1.053,9.051,8.811,3.595,3.531,1.12,1.17,1.13,1.12,1.1,1.1,779,1000,400,,,,180,152,80,74,0,0,33,,15000,,,300,3000,,,,,300,,,,,,,,,,,,,,,,,,,,0.9,1.8,,0.3,{x=-109;y=50},,,,<516>,,,2,,,,,,,,,,,,,,
52,比比鸟,base,2,,10,,,,,,52,,config/portrait/speedranktouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang1/img_17_bbn@.png,config/portrait/simple/img_17_bbn@.png,config/big_hero/normal/img_17_bbn@.png,1.1,{x=10;y=15},koudai_bibiniao/hero_bibiniao.skel,,config/big_hero/standby/img_17_bbn@.png,,{x=100;y=0},,<521;522;523>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.2,,,1.32,,,,,,,,,,,,,44.655,1.089,9.452,9.212,3.724,3.692,1.19,1.21,1.18,1.16,1.15,1.15,1102,1000,400,,,,226,195,97,91,0,0,38,,15000,,,300,3000,,,,,300,,,,,,,,,,,,,,,,,,,,,30,,1.1,{x=-17;y=50},,,,<526>,,,2,,,,,,,,,,,,,,
53,大比鸟,base,2,,10,,,,,,53,,config/portrait/speedranktouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang1/img_18_dbn@.png,config/portrait/simple/img_18_dbn@.png,config/big_hero/normal/img_18_dbn@.png,1.5,{x=60;y=60},koudai_dabiniao/hero_dabiniao.skel,,config/big_hero/standby/img_18_dbn@.png,,{x=120;y=0},,<531;532;533>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.3,,,1.38,,,,,,,,,,,,,46.907,1.17,9.932,9.692,3.916,3.884,1.25,1.3,1.24,1.22,1.21,1.21,1410,1000,400,,,,291,257,122,116,0,0,50,,15000,,,300,3000,,,,,300,,,,,,,,,,,,,,,,,,,,,39.5,,1.5,{x=-17;y=50},,,,<536>,,,2,,,,,,,,,,,,,,
54,超级大比鸟,base,3,,10,,,,,,54,,config/portrait/speedranktouxiang/img_18_cjdbn@.png,config/portrait/jinglingtouxiang/img_18_cjdbn@.png,config/portrait/jinglingtouxiang1/img_18_cjdbn@.png,config/portrait/simple/img_18_cjdbn@.png,config/big_hero/normal/img_18_cjdbn@.png,1.2,{x=-60;y=20},koudai_dabiniaomega/hero_dabiniaomega.skel,,config/big_hero/standby/img_18_cjdbn@.png,,{x=120;y=0},,<541;542;543>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,1.8,,,1.1,,,,,,,,,,,,,46.907,1.17,9.932,9.692,3.916,3.884,1.25,1.3,1.24,1.22,1.21,1.21,1410,1000,400,,,,291,257,122,116,0,0,50,600,15000,,,600,3000,,,,,500,300,,,,,,,,,,,,,,,,,,,,50.5,,2.2,{x=14;y=81},,,,<546>,,,2,,,,,,,,,,,,,,
61,小拉达,base,,,,,<10006>,,,,61,,config/portrait/speedranktouxiang/img_19_xld@.png,config/portrait/jinglingtouxiang/img_19_xld@.png,config/portrait/jinglingtouxiang1/img_19_xld@.png,config/portrait/simple/img_19_xld@.png,config/big_hero/normal/img_19_xld@.png,,{x=10;y=35},koudai_xiaolada/hero_xiaolada.skel,,config/big_hero/standby/img_19_xld@.png,,{x=100;y=0},,<611;612;613>,,,{headPos={y=200;x=0};hitPos={y=110;x=0};lifePos={y=240;x=0};namePos={y=240;x=0}},,,,1.7,,,1.02,,,,,,,,,,,,,37.901,1.017,8.731,8.01,3.306,3.306,1.01,1.13,1.09,1.03,,1.03,457,1000,400,,,,164,86,51,51,0,0,32,100,15000,,,100,3000,,,,,,,,,,,200,,,,,,,,,,,,,,0.9,3.5,,0.3,{x=-33;y=91},,,,<616>,,,3,,,,,,,,,,,,,,
62,拉达,base,,,,,<10006>,,,,62,,config/portrait/speedranktouxiang/img_20_ld@.png,config/portrait/jinglingtouxiang/img_20_ld@.png,config/portrait/jinglingtouxiang1/img_20_ld@.png,config/portrait/simple/img_20_ld@.png,config/big_hero/normal/img_20_ld@.png,0.95,{x=20;y=10},koudai_lada/hero_lada.skel,,config/big_hero/standby/img_20_ld@.png,,{x=100;y=0},,<621;622;623>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,2.2,,,1.32,,,,,,,,,,,,,40.528,1.08,9.292,8.571,3.531,3.627,1.08,1.2,1.16,1.1,1.07,1.13,752,1000,400,,,,235,148,76,88,0,0,41,100,15000,,,100,3000,,,,,,,,,,,200,,,,,,,,,,,,,,,18.5,,0.7,{x=-33;y=91},,,,<626>,,,3,,,,,,,,,,,,,,
