变量名,vipDouble,months,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
11,5,<>,{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000}
12,,<>,{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80}
13,6,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
14,,<1;2;3;4;5;6;7;8;9;10;11;12>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
15,7,<1;2;3;4;5;6;7;8;9;10;11;12>,{20741=5},{20571=5},{21251=5},{21221=5},{20391=5},{21231=5},{22401=5},{23151=5},{21931=5},{21421=5},{20641=5},{23771=5}
16,8,<>,{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000}
17,,<>,{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90}
18,9,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
19,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
20,10,<1;2;3;4;5;6;7;8;9;10;11;12>,{20741=8},{20571=8},{21251=8},{21221=8},{20391=8},{21231=8},{22401=8},{23151=8},{21931=8},{21421=8},{20641=8},{23771=8}
21,10,<>,{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000}
22,,<>,{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100}
23,11,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
24,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
25,12,<1;2;3;4;5;6;7;8;9;10;11;12>,{20741=8},{20571=8},{21251=8},{21221=8},{20391=8},{21231=8},{22401=8},{23151=8},{21931=8},{21421=8},{20641=8},{23771=8}
26,13,<>,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
27,,<>,{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100}
28,14,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
29,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
30,15,<1;2;3;4;5;6;7;8;9;10;11;12>,{20741=10},{20571=10},{21251=10},{21221=10},{20391=10},{21231=10},{22401=10},{23151=10},{21931=10},{21421=10},{20641=10},{23771=10}
31,15,,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
101,,,{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000},{19=5;gold=500000}
102,,,{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300},{502=6;544=6;rmb=300}
103,,,{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5},{501=3;519=10;521=5}
201,1,<>,{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000}
202,,<>,{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60}
203,2,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
204,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
205,3,<1;2;3;4;5;6;7;8;9;10;11;12>,{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200}
206,3,<>,{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000}
207,,<>,{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70}
208,4,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
209,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
210,4,<1;2;3;4;5;6;7;8;9;10;11;12>,{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200}
211,5,<>,{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000},{gold=140000}
212,,<>,{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80},{rmb=80}
213,6,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
214,,<1;2;3;4;5;6;7;8;9;10;11;12>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
215,7,<1;2;3;4;5;6;7;8;9;10;11;12>,{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200},{coin20=200}
216,8,<>,{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000},{gold=160000}
217,,<>,{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90},{rmb=90}
218,9,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
219,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
220,10,<1;2;3;4;5;6;7;8;9;10;11;12>,{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320}
221,10,<>,{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000},{gold=180000}
222,,<>,{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100}
223,11,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
224,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
225,12,<1;2;3;4;5;6;7;8;9;10;11;12>,{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320},{coin20=320}
226,13,<>,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
227,,<>,{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100},{rmb=100}
228,14,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
229,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
230,15,<1;2;3;4;5;6;7;8;9;10;11;12>,{coin20=400},{coin20=400},{coin20=400},{coin20=400},{coin20=400},{coin20=400},{coin20=400},{coin20=400},{coin20=400},{coin20=400},{coin20=400},{coin20=400}
231,15,,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
1000,,,{card=741},{card=572},{card=1253},{card=1221},{card=393},{card=1231},{card=2401},{card=3152},{card=1931},{card=1423},{card=641},{card=3772}
